month,num_neg,num_neu,num_pos
2013-05,0,0,3
2013-06,2,0,10
2013-07,1,0,18
2013-08,2,0,22
2013-09,1,0,10
2013-10,3,0,14
2013-11,3,1,11
2013-12,2,0,14
2014-01,0,0,16
2014-02,1,0,12
2014-03,4,0,16
2014-04,0,0,10
2014-05,2,0,14
2014-06,4,0,15
2014-07,5,0,22
2014-08,2,0,11
2014-09,4,0,7
2014-10,2,0,7
2014-11,0,0,8
2014-12,2,0,12
2015-01,2,0,10
2015-02,2,0,13
2015-03,1,0,18
2015-04,1,0,10
2015-05,3,1,12
2015-06,0,0,11
2015-07,2,0,18
2015-08,4,0,16
2015-09,2,1,16
2015-10,0,0,10
2015-11,2,0,6
2015-12,2,0,7
2016-01,0,0,12
2016-02,5,0,8
2016-03,1,1,13
2016-04,1,0,11
2016-05,1,0,11
2016-06,1,0,3
2016-07,2,0,10
2016-08,2,0,12
2016-09,3,0,10
2016-10,1,0,7
2016-11,1,0,12
2016-12,2,0,5
2017-01,1,0,7
2017-02,3,0,7
2017-03,4,0,7
2017-04,2,0,13
2017-05,0,0,16
2017-06,2,0,8
2017-07,4,0,10
2017-08,1,0,11
2017-09,1,0,6
2017-10,1,0,5
2017-11,0,0,7
2017-12,0,0,8
2018-01,4,0,4
2018-02,1,0,11
2018-03,1,0,3
2018-04,6,0,10
2018-05,2,0,7
2018-06,0,0,3
2018-07,3,0,1
2018-08,2,0,9
2018-09,0,0,3
2018-10,1,0,2
2018-11,3,0,8
2018-12,2,0,5
2019-01,3,0,4
2019-02,1,0,2
2019-03,1,0,7
2019-04,2,1,2
2019-05,0,0,8
2019-06,2,0,2
2019-07,2,0,7
2019-08,2,0,5
2019-09,0,0,8
2019-10,2,0,1
2019-11,2,0,3
2019-12,1,0,6
2020-01,1,0,6
2020-02,0,0,4
2020-03,0,0,1
2020-08,1,0,0
2020-09,0,0,1
2020-10,1,0,1
2020-11,0,0,1
2021-01,0,0,1
2021-02,1,0,1
2021-04,1,0,3
2021-05,1,0,0
2021-06,1,0,2
2021-07,1,0,7
2021-08,0,0,4
2021-09,1,0,4
2021-10,0,0,3
2021-11,0,0,2
2021-12,2,0,3
2022-01,1,0,4
2022-02,1,0,2
2022-03,2,0,3
2022-04,0,0,3
2022-05,1,0,3
2022-06,0,0,3
2022-07,1,0,1
2022-08,0,0,2
2022-09,0,0,1
2022-11,1,0,1
2022-12,1,0,2
2023-01,1,0,2
2023-02,0,0,2
2023-03,1,0,1
2023-04,1,0,2
2023-05,2,0,2
2023-06,1,0,1
2023-07,1,0,1
2023-09,0,0,1
2023-10,0,0,2
2023-11,0,0,3
2024-02,2,0,0
2024-04,0,0,1
2024-05,0,0,1
2024-07,0,0,2
2024-08,0,0,4
2024-09,0,0,1
2024-10,0,0,3
2024-11,0,0,1
2024-12,1,0,1
2025-01,0,0,1
2025-03,0,0,1
