,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
1017,2013-05-08 18:55:44+00:00,4,"I'm a huge fan of ABC Kitchen, so I couldn't wait to try Jean Georges's new place. The atmosphere is awesome. It's like the dark, super sexy version of ABC Kitchen. Alright now let me break this down!

Drinks: Expensive, obviously. Comes with the territory. I tried the banana rhubarb daquiri (when in Rome, right?). Wouldn't recommend it. The banana gave a weird grainy texture that wasn't appealing. Grapefruit margarita was eh. 

So here are the dishes we ordered...

1) Snap pea guacamole-Freaking awesome! Can't go wrong. 
2) Fluke-Probably my favorite thing I tried. The puffed rice was a great contrast to the fish. Get it!
3) Jamon Iberico-Ok, if you like prosciutto, this is like the best prosciutto you've ever tasted times 100. Salty deliciousness. 
4) Ancho chile paste atop fried calamari- Wasn't a fan of this at all. The chili paste overpowered the calamari and had this thick consistency. I felt like I was eating Marmite. We sent it back. 
5) Fish tacos-A fish taco is a fish taco is a fish taco, ya know? But this one is reeeeally delicious. 
6) Ribs in Chimichurri sauce- Meat cooked to perfection, so yummy. 
7) Arroz con pollo- I'm just not a heavy creamy sauce kind of person, so this didn't appeal to me. But if you're into that, it's probably worth a try. 

For dessert we ordered the passion fruit sundae and flan. O-M-G. Ok, I have a major sweet tooth anyway, but loooooved these. 

To top it off, the service was impeccable. The waiters were so friendly and very attentive. Even though we sent back the calamari, without asking our waiter returned with a shrimp dish he thought we'd like. Oh, and we met Jean Georges! It was a great night and I would definitely return. Check it out :)",False,8,3,4,Gabrielle B.,en
1016,2013-05-23 19:12:31+00:00,3,"We were sad to see Pipa go but up for trying its replacement! 

Wednesday night after work and the restaurant was packed. We got the last two spots at the communal table at the bar. There was some confusion at the host table and then with what waiter was helping us as about five different ones stopped by, but I'll give them the benefit of the doubt that they'll clean up their act after a few weeks on the job.

Sitting down, you start to get the feeling that a bridal shower threw up in there. Pink doily table mats, cute pink bread dishes from Grandma's china cabinet, flowers & pastel colors on the menus. Perfect bridal shower set-up. Weird for regular dinner/drinks.

I do like, however, how they opened up the kitchen, compared to Pipa's wall that separated the cooks from the customers. 

Food was fantastic. Try:
- spring pea guac - Matt got it right on the money - this is a game-changer
- raw fluke - so light & delicate & delicious
- shrimp with banana - how creative?! Great pairing.

Service was just OK. One of our servers, Matty, was great and lovely to talk to, the other kept stealing my wines by the glass menu away from me. 

And I was pretty disappointed with the wine list. Although I did like that there are several wines 'on tap' - they were all pretty horrible. Flat...boring...table wines. And the two roses I tried off the list were both so super sweet and not fresh & refreshing as a rose should be. I turned both of those away and decided on what I thought would be an easy like - the albarino - but even that glass was just OK. Common Jean....

We'll be back because we're Pipa veterans and the local is great for after work drinks...but can we get rid of all the pink shit everywhere???",False,0,0,0,Megan T.,en
1015,2013-05-24 18:15:33+00:00,4,"Love, love, love this place!

The guacamole is first rate, arroz con pollo is the best I ever had!

Food is pretty close to perfect, restaurant is sexy as hell, staff incredibly sweet, and the music is fantastic!

Only slight negative, the tenderloin was a tad too salty!",False,0,0,0,J T.,en
1014,2013-06-01 04:21:38+00:00,5,"I did like ABC Kitchen, but don't quite get the hype about it. For the new ABC Cocina though, which is getting major hype as well, I totally get it. This was an amazing meal and every single thing I tasted was incredibly good.

Even though they're on OpenTable, it says they don't have any tables for the next 31 days, which seems wrong, but I was too lazy to call, and just figured I would chance it and show up early in hopes of getting a table. I got there at 6 PM, and they already had no tables other than the choice of two communal tables up front, or outside seating in the 90 degree heat. I happily accepted a seat at one of the communal tables to enjoy the cool, nice, dark atmosphere of the very hip-feeling restaurant.

After the waiter explained that we should get 2-3 dishes per person, I clearly figured we needed at least 7 things for the two of us since I always eat way more than most humans. He looked shocked and told us it was A LOT of food, but I just brushed him off since I knew better and so we commenced with the delicious feast:

- Spring Pea Guacamole ($11).
Amazing. Some of the best, most interesting guacamole I've ever had. I've never seen it riddled with so much stuff, and the copious amounts of peas were delicious and refreshing. Along with this, the warm, crispy chips also happened to be excellent. We happily accepted more chips when they offered, since there was a very generous portion of guac to eat it all with.

- Patatas Bravas ($8)
These are always great, but it was all about the sauce here - that rosemary aioli is amazing.

- Gooey Spicy Ham and Cheese Fritters ($10)
Five little balls of pure deliciousness. These were really great. I tasted mostly cheese and not much ham, but I still don't have any complaints since they were so good.

- Savory Glazed Short Rib Tacos ($14)
Best tacos in my life. Seriously, so good. These were piping hot, with a very thin and chewy tortilla and a generous amount of buttery soft short rib. I could have easily eaten 10 more of these.

- Chipotle Chicken Tacos ($12)
These were also amazing, and almost as good as the short ribs. This only makes me really itch to come back to try the several other tacos still remaining on the menu.

- Beef Tenderloin Burnt Ends ($18)
This was delicious, but maybe not quite as satisfying as the other dishes. This was on the higher end of prices, and it consisted of just six little cubes of beef. Those cubes happened to be extremely good, but after the variety of flavors going on in the other dishes, it just wasn't as interesting.

- Arroz Con Pollo ($19)
This was probably my favorite dish of the night and it was extremely satisfying as well. For this place, it was a very healthy portion of rice, along with a great deal of chicken. This one was well worth the price tag.

Anticipating the shock from the waiter and the shame of it all, I still asked for the dessert menu after we easily cleaned the plates for all seven of these dishes. Dessert is usually my favorite part of the meal, but although very good, the dessert here didn't blow me away like the rest of the food did. I still really did love the Warm Vanilla Fritters and the Soft and Crunchy Almond Cake ($8 each), but they just weren't on the same level as the amazing food that preceded them. That chocolate pudding with the fritters was exceptionally good.

I can't wait to come back to eat through the rest of the large, varied, and guaranteed to be delicious menu. I might even consider getting some vegetables, as our waiter suggested and we ignored this time. I also must try every single other taco on the menu. I'll be back soon and early before it gets way too tough to get a seat here.",True,16,9,12,Mike C.,en
1013,2013-06-02 03:00:43+00:00,5,"This place deserves five stars. Amazing food and service is exceptional. We had:

Spring Pea Guacamole - I wanted to submerge myself in a bathtub full of this and eat my way out. THAT GOOD. 

Pulled Pork Tacos --  Amazing. I had to pause and take a moment after each bite just to savor it. Waitress also said the short-rib tacos are exceptional, which I will try next time. 

Chicken empanadas - Also great. But we hadn't recovered from the other dishes to fully appreciate it. 

Spring Vegetable Salad - light, refreshing, tangy, perfect mix of vegetables and manchego. I loved it. 

Sauteed flowering greens -- like a kale salad. Wasn't that bad, but compared to everything else, the least spectacular. 

DO IT. MAKE IT HAPPEN. IT'S WORTH IT. WORD.",False,1,1,0,Laurie K.,en
1012,2013-06-03 03:58:28+00:00,4,"A unique find as we were on route to Rosa Mexicana. The place looked chic and appealing from a far so we ventured in. The ambiance was very nice and eclectic. The dim lights the white and grey shades with exposed finishes was a unique mix I had not experienced before. We arrived just around 7 and were greeted by three hostesses. Since we did not have reservations we sat at one of the communal tables.

Here were our selections from each area of the menu:

Table Snacks- Warm marinated olives, poblano and mint pesto 
I love olives so these hit the spot!

Masa and Tortilla- chipotle chicken tacos, grilled jalapeno salsa 
These very delectable. The chicken had a great deal of flavor and the tacos melted in our mouth. 

Golden & Crispy-peekytoe crab and corn fritters, with chipotle mayo 
These were good, but the chipotle mayo made it better. That sauce can make ANYTHING taste good I swear!

Rice- Arroz con pollo, crackling skin and lemon zest 
This thing was so large I knew we would not be able to finish it. I think this was my least favorite dish out of our selections.

Dessert-warm vanilla fritters Mexican chocolate

Cocktail of choice:passion fruit white sangria  Carafe style 44 was really yummy it reminded me of a Mimosa more than a Sangria, but satisfying nonetheless. Enough for us to get two rounds each so well worth it.

Plus we got complimentary bread which filled me up beyond belief,  but it was all delicious. I plan to go back quite often and try something new every time.",True,2,0,1,Sheri S.,en
1011,2013-06-06 01:18:58+00:00,4,fun dinner great food. ordere 6-7 small plates. saw patrick stewart eating dinner near us. crowded and fun atmosphere,False,0,0,0,angelo a.,en
1010,2013-06-06 19:44:49+00:00,4,"Definitely met my expectations - which were high. The food was great, very similar to ABC Kitchen. The only reason why it gets  4/5 is that the wait is actually pretty ridic. Great seeing JG in the flesh though! Here is the quick and dirty:

Ambiance - for those of you who have been to Pipa, this is EXTREMELY similar. The decor is a little different (no mirrors on the wall everywhere or chandaleirs hanging) but the set up is pretty much the same (high table near bar). I would say that ABC Cocina does look a little less crowded than Pipa and it wasn't as loud as Pipa is (I don't enjoy super loud places - so this was a HUGE plus for me).

Service- We had one server at the bar (not the bartender, but just a server dude) who was awesome. Then our regular server at the table was also great but nothing to write home about. He didn't explain dishes which is a ""minus"" in my eyes but he was friendly and the service overall was speedy without being pushy. At the moment, reservations are pretty hard to get since its new so my group of 4 decided to walk in. They told us 45 minutes, which we expected, and had a few drinks at the bar. The actual wait ended up being an hour and a half (!!). A friend of mine had a reservation the night before and still waited 30 minutes. HUGE MINUS. But what can you do? This is the hot spot right now. I'd imagine in a year or so it won't be as crazy?

It is pretty pricey (comparable to ABC Kitchen) - also to be expected. I hate to keep comparing it to Pipa but I personally think Pipa does a better job at tapas and prices were great (If you can't tell, I miss Pipa). ABC Cocina, however, is NOT Pipa and therefor do not expect traditional tapas. The menu is more similar to ABC Kitchen (in price and type)

Food - I would say 75% of the items we ordered (and we got a lot) are definitely memorable. The other 25% ehh. Some of the items we got that I would recommend:
Sweet Pea Guac (an obvious must), Fluke with green chili dressing (not so obvious, but is legit), chicken tacos, pork tacos, arroz con lobster (i have no idea if this was the actual name or not).

Things that I didn't think are anything special: Sea bass, Mushroom tacos, some item with jam on the top (this is the one thing I'd say DONT get).


Bottom line - go here, enjoy, then realize that ABC Kitchen is ACTUALLY where its at.",False,0,0,0,S G.,en
1009,2013-06-09 14:44:22+00:00,2,"I think the Webster dictionary definition for disappointment should be ABC Cocina.  Quite simply, the hype over this place is completely unmerited.  While it's a cool space, the food is solidly mediocre.  For example, the lauded spring pea guacamole was a generic guacamole with peas.  I was expecting some mind blowing experience because everyone spoke so highly about it and I was totally underwhelmed.  Perhaps, some of these people have never had guacamole before and their first time was quite memorable?  Guacamole aside, with each dish, hopefully ""it gets better.""  Alas, it never really did.  It takes a lot for me to turn down dessert and I had absolutely no desire to even glance at the dessert menu.  That alone should speak volumes about this restaurant.

On top of overly priced OK food, the service was painfully slow.  It took over 20 minutes to get our first round of (mediocre) drinks.  We had to request clean plates multiple times which was fairly frustrating.  

As a fan of ABC Kitchen, while I don't think it's the best restaurant in NYC,  I feel that it is much better than ABC Cocina.  I had high hopes for this place and they were totally quashed.  Perhaps it will get better at some point down the line but I will definitely not be rushing back on my own dime.",False,3,1,0,Julie M.,en
1008,2013-06-12 03:46:19+00:00,4,"This place would get 5 stars if the service was better. Overview: made to wait despite the open tables and many spots at the communal table.  I think the purpose was to get us to buy a drink first.  Ambience was good. Cool light fixtures, busy at 9:30pm on a Monday night. The food: excellent. Try the pea soup, the mushrooms, the asparagus, 
Skip the lobster rice dish. Too much rice, not enough lobster. And way too salty.  Skip the seabass-- the prune flavored sauce was overpowering.",False,0,0,0,Laura S.,en
