month,num_neg,num_neu,num_pos
2005-05,0,0,1
2005-08,0,0,1
2005-12,0,0,1
2006-01,0,0,1
2006-02,0,0,1
2006-03,0,0,1
2006-05,0,0,1
2006-08,0,0,2
2006-10,0,0,1
2006-12,0,0,1
2007-01,0,0,4
2007-02,0,0,6
2007-03,0,0,2
2007-04,1,0,4
2007-05,0,0,2
2007-06,1,0,3
2007-07,0,0,2
2007-08,0,1,2
2007-09,0,0,3
2007-10,0,0,2
2007-11,0,0,2
2007-12,0,0,3
2008-01,0,0,3
2008-02,0,0,1
2008-03,1,0,1
2008-05,0,0,3
2008-06,0,0,2
2008-07,0,0,3
2008-08,0,0,3
2008-09,0,0,2
2008-10,0,0,2
2008-11,1,0,1
2008-12,1,0,1
2009-01,1,0,3
2009-02,1,0,6
2009-03,0,0,5
2009-04,0,0,4
2009-05,1,0,0
2009-06,0,0,3
2009-07,3,0,16
2009-08,1,0,6
2009-09,2,0,2
2009-10,1,0,4
2009-11,0,0,1
2009-12,0,1,4
2010-01,1,0,6
2010-02,2,0,9
2010-03,1,0,6
2010-04,0,0,3
2010-05,0,0,1
2010-06,0,0,5
2010-07,1,1,12
2010-08,0,0,14
2010-09,1,0,3
2010-10,0,0,2
2010-11,0,0,4
2010-12,1,0,3
2011-01,2,0,11
2011-02,1,0,13
2011-03,0,0,14
2011-04,2,0,3
2011-05,1,0,2
2011-06,2,0,5
2011-07,3,0,15
2011-08,1,0,10
2011-09,0,0,4
2011-10,1,1,3
2011-11,0,0,5
2011-12,0,0,2
2012-01,0,0,2
2012-02,0,0,4
2012-03,1,0,3
2012-04,1,0,5
2012-05,1,0,2
2012-06,2,0,2
2012-07,0,0,13
2012-08,1,0,9
2012-09,0,0,7
2012-10,0,0,4
2012-11,0,0,1
2012-12,0,0,7
2013-01,1,0,2
2013-02,0,0,2
2013-03,0,0,4
2013-04,0,1,2
2013-05,0,0,4
2013-06,0,0,2
2013-07,0,0,6
2013-08,0,1,4
2013-09,0,0,1
2013-10,0,0,2
2013-11,0,0,2
2013-12,0,0,5
2014-01,0,0,4
2014-02,0,0,1
2014-03,0,0,1
2014-04,0,0,6
2014-05,1,0,1
2014-06,2,0,1
2014-07,1,0,7
2014-08,0,0,1
2014-09,0,0,2
2014-10,2,0,6
2014-11,0,0,6
2014-12,1,0,6
2015-01,1,0,9
2015-02,1,0,3
2015-03,0,0,6
2015-04,0,0,6
2015-05,0,0,6
2015-06,0,0,7
2015-07,1,0,3
2015-08,0,0,3
2015-09,2,0,5
2015-10,0,0,3
2015-11,0,0,4
2015-12,1,0,0
2016-02,1,0,4
2016-03,0,0,4
2016-04,0,0,5
2016-05,0,0,5
2016-06,1,0,4
2016-07,1,0,2
2016-08,0,0,4
2016-09,0,0,2
2016-10,0,0,4
2016-11,2,0,2
2016-12,0,0,6
2017-01,1,0,2
2017-02,1,0,5
2017-03,0,0,4
2017-04,2,0,6
2017-05,0,0,2
2017-06,1,0,7
2017-07,0,0,5
2017-08,2,0,7
2017-09,0,0,1
2017-10,1,0,8
2017-11,1,0,3
2017-12,2,0,5
2018-01,1,0,6
2018-02,1,0,4
2018-03,1,0,4
2018-04,0,0,4
2018-05,0,0,3
2018-06,1,0,3
2018-07,0,0,3
2018-08,0,0,4
2018-09,0,0,6
2018-10,0,0,2
2018-11,2,0,4
2018-12,2,0,3
2019-01,1,0,3
2019-02,0,0,7
2019-03,0,0,2
2019-04,2,0,1
2019-05,1,0,2
2019-06,0,0,2
2019-07,0,0,3
2019-10,0,0,1
2019-11,1,1,4
2019-12,3,0,5
2020-01,1,0,3
2020-02,1,0,3
2020-05,0,0,2
2020-06,0,0,3
2020-07,0,0,1
2020-08,1,0,2
2020-09,0,0,2
2020-10,0,0,4
2020-11,0,0,5
2020-12,0,0,1
2021-01,0,0,2
2021-02,0,0,3
2021-03,0,0,1
2021-04,0,0,2
2021-05,0,0,1
2021-06,1,0,3
2021-07,0,0,4
2021-08,1,0,1
2021-09,0,0,2
2021-10,0,0,4
2021-11,0,0,3
2021-12,0,0,4
2022-01,0,0,6
2022-02,2,0,3
2022-03,0,0,1
2022-04,1,0,8
2022-05,0,0,3
2022-06,0,0,6
2022-07,1,0,5
2022-08,1,0,6
2022-09,0,0,3
2022-10,0,0,3
2022-11,1,0,4
2022-12,1,0,5
2023-01,0,0,5
2023-02,1,0,4
2023-03,0,0,2
2023-04,0,0,7
2023-06,0,0,1
2023-07,1,0,2
2023-08,0,0,1
2023-09,0,0,4
2023-10,0,0,2
2023-12,0,0,5
2024-01,0,0,4
2024-02,0,0,3
2024-03,0,0,1
2024-04,0,0,4
2024-05,1,0,3
2024-06,0,0,2
2024-07,1,0,3
2024-08,0,0,1
2024-09,0,0,3
2024-10,0,0,6
2024-11,0,0,3
2024-12,0,0,7
2025-02,0,0,4
2025-03,0,0,3
