,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
940,2005-05-05 16:21:14+00:00,4,"I've been here for lunch twice and it's great. Never been to the restaurant, only the cafe part, but the food is wonderful, if you like Scandinavian/Swedish food. Yes their Swedish meatballs are more $$ than Ikea but they are fab!",False,0,0,0,Su-Lynn T.,en,"{'neg': 0.0, 'neu': 0.658, 'pos': 0.342, 'compound': 0.9622}",0.9622,0.342,0.0,0.658,positive
939,2005-08-04 14:34:29+00:00,5,"Aquavit has undergone some major changes, and the difference between the old, familiar spot and the new, highly stylized version is both striking and a little jarring. Considering how large it was in its former incarnation, the dining room now seems almost claustrophobic, but the cafe, once part of the bar, now has its own space, somewhat resembling an SAS airport lounge for frequent fliers. The Scandinavian cuisine with a contemporary twist remains excellent. An authentic Smorgasbord, served on Sunday from noon to 2:30pm, is priced at $39.00, and is probably the least expensive way to sample some of the outstanding dishes here. Weekdays, a three course prix-fixe lunch is $55.00 (vegetarian is $48); a three-course pre-theater menu, served daily from 5:30 - 6:15pm, is $55, rising to $75 after. The seven-course Chef's Tasting Menu is $100. Clearly this is a spot reserved for very special occasions only.",False,4,0,4,Gourmet G.,en,"{'neg': 0.0, 'neu': 0.853, 'pos': 0.147, 'compound': 0.9788}",0.9788,0.147,0.0,0.853,positive
938,2005-12-08 16:37:34+00:00,4,"It's a shame the restaurant no longer has a waterfall, but the decor is nice nonetheless. The service is also good, though a little off. The waiters have a bit of trouble with English and sometimes it takes a little time to get their attention. The bread is very nice as is the butter/goat cheese spread. The herring sampler leaves a lot to be desired. The taste of vinegar overpowers everything else. The hot smoked salmon entree on the other hand is original and very pleasant. The prix fixe lunch is a great deal.",False,0,0,0,Steve M.,en,"{'neg': 0.074, 'neu': 0.647, 'pos': 0.279, 'compound': 0.98}",0.98,0.279,0.074,0.647,positive
937,2006-01-19 05:16:25+00:00,5,Totally addicted to the Grapefruit Lemongrass Aquavit. Great atmosphere and friendly staff. The Prix Fixe lunch is pretty good without breaking the bank.,False,2,0,0,nelson w.,en,"{'neg': 0.0, 'neu': 0.572, 'pos': 0.428, 'compound': 0.9349}",0.9349,0.428,0.0,0.572,positive
936,2006-02-09 17:08:29+00:00,5,"Since my first visit to Aquavit, Marcus Samuelsson (youngest chef ever to receive a three-star restaurant review from food critic Ruth Reichl) has become such a big star! I feel like I see his face everywhere now. His story of trans-continental/racial adoption is quite unique and figures prominently in the liminality of his cuisine.

We got a great table at Aquavit, with a wonderful view of the cascading waterfall that runs down the wall on the other side of the restaurant. Our server made sure to let us know we had it for the entire night (important if you want to take your time on a multi-course meal).

When we went, it was during Aquavit's Herring Week, so the fish figured prominently in many of the dishes. Here's what we ate:

1. Lobster roll with pistachio and lemon yogurt, salmon roe, and homemade ginger ale
2. Herring Plate served with Aquavit and Carlsberg beer
3. Squab with potato pure and pearl onions
4. Konbu cured duck and braised leg with nut salad, kasha, bok choy, water chestnuts, and coconut-red beet sauce
5. Smoked dry-aged New York Strip with Kobe tongue, lily bulb salad, and Japanese potato in bone marrow emulsion
6. Trio: sweetbreads, pork sausage, and lobster
7.Peanut butter parfait, sauted banana, and kalamansi sorbet (this was particularly exciting for us, as two of us are Pilipinas, and kalamansi comes from the Philippines!)
8. Arctic Circle: goat cheese parfait, blueberry sorbet, and honey tuile
9. Warm chocolate with orange creamsicle and citrus salad

Can you say, WOW?",True,5,0,4,Miriam W.,en,"{'neg': 0.008, 'neu': 0.901, 'pos': 0.091, 'compound': 0.9695}",0.9695,0.091,0.008,0.901,positive
935,2006-03-27 18:47:19+00:00,5,"I'm not a seafood girl, but I'll eat seafood here! The best Scandavian fancy pants hang out hands down. Try the wagu beef ravioli, it's friggin brilliant. And check out the Festival of Santa Lucia night a couple weeks before Christmas. And oh, the aquavit (the swedish vodka) is incredible. Try a flight (3 shots) of cloudberry, lingonberry, and grapefruit lemongrass. Delicious! The new location isn't my favorite, but it's got Swedish style all the way. Check out the dining room, cafe or the bar. All quite fabulous. Scandtastic!",False,4,3,1,Amanda C.,en,"{'neg': 0.028, 'neu': 0.696, 'pos': 0.276, 'compound': 0.9877}",0.9877,0.276,0.028,0.696,positive
934,2006-05-24 22:54:32+00:00,5,"The cream of the crop in fine dining in New York. Marcus Samuelsson is a genius, blending Moroccan and Scandinavian cuisine into a culinary delight that is as much art as it is dinner. A relatively pricey restaurant, I find it is worth every penny. The interior is glamorously decorated, with the main dining room's high ceilings and elegant decor serving to complement the fine food. There is nothing bad on the menu, and you can be sure that you will remember your dining experience forever!

The prixe fixe dinner and lunch options are excellent ways to sample the menu without demolishing your wallet, and participation in Restaurant Week is also handy, although I've never gone during that time and can't speak to the menu then!",False,2,1,1,Irene F.,en,"{'neg': 0.068, 'neu': 0.763, 'pos': 0.169, 'compound': 0.9417}",0.9417,0.169,0.068,0.763,positive
933,2006-08-02 04:00:27+00:00,5,"ridiculously delicious.  joins nobu on the list of dreamworthy food.  i can't wait to go back.  the herring is so good.  as is the salmon.  and risotto.  and the arctic circle dessert is perfection on a plate.  i'm usually so full but always order dessert and the arctic circle is perfect because it is not heavy at all but just right and so incredibly tasty so even if you're really full, i doubt you'll have trouble finishing every last bite of this dessert.",False,0,0,0,Valerie A.,en,"{'neg': 0.085, 'neu': 0.677, 'pos': 0.238, 'compound': 0.959}",0.959,0.238,0.085,0.677,positive
932,2006-08-16 02:32:28+00:00,5,haven't been for dinner but this place is *the* power lunch spot during the week... sedated suits and dolled up middle aged women  fill the place.   I come here for one dish - the smorgasbord - its incredible and a good value to boot.,False,1,0,1,Martin G.,en,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.7876}",0.7876,0.155,0.0,0.845,positive
931,2006-10-27 14:43:06+00:00,5,Not your Vita creamed herring in a jar.  Their herring sampler in five different flavors was succulent.  I wanted to go back the very next day to have it again.  My second course of large portion of Swedish meatballs came with delicious mashed potatoes and snow peas.  My dessert was a chocolate-peanut butter mouse.  All this for their $24.07 prix fixe lunch.  The service was okay; fortunately I was in no hurry.,False,4,0,2,Arlyne B.,en,"{'neg': 0.063, 'neu': 0.779, 'pos': 0.158, 'compound': 0.8957}",0.8957,0.158,0.063,0.779,positive
930,2006-12-31 11:00:19+00:00,5,"I have a hard time saying more than Wow, but ""WOW"".
The food was awesome and they easily accomodated for my allergy.

This is a must repeat for me.",False,2,0,2,Tom S.,en,"{'neg': 0.035, 'neu': 0.638, 'pos': 0.327, 'compound': 0.9019}",0.9019,0.327,0.035,0.638,positive
929,2007-01-04 21:21:22+00:00,5,"Thank god for restaurant week 'cuz I don't think that I would have ever even thought about gracing this spot without it. I enjoyed Aquavit so much, that I would definitely return and actually pay the outlandish (but well worth it) prices. I had the Swedish meatballs (I know, not too adventurous, but I had never had them before and decided to try them at the best). Delicious! I'm addicted. I had never even heard of a ligonberry (very similar to cranberries) but now, I'm a great fan of them and have a jar in my fridge. The mash potatoes were a dream. Perfect!
I think that what I appreciated  most is that Aquavit exposed me to a brand new cuisine, and now I'm wide open and ready for more.
Oh yes, I met the chef Samuelson at an event at the Studio Museum in Harlem. He was very gracious and cool.",False,1,0,1,Arlene J.,en,"{'neg': 0.033, 'neu': 0.65, 'pos': 0.316, 'compound': 0.9951}",0.9951,0.316,0.033,0.65,positive
