month,num_neg,num_pos
2016-08,0,3
2016-09,0,1
2016-10,0,4
2016-11,0,2
2016-12,1,3
2017-01,0,3
2017-02,0,4
2017-03,0,1
2017-04,0,2
2017-05,0,6
2017-06,0,2
2017-07,0,4
2017-08,0,1
2017-09,0,4
2017-10,0,2
2017-11,0,2
2017-12,0,2
2018-01,0,3
2018-02,0,2
2018-03,0,3
2018-05,2,5
2018-06,0,2
2018-07,1,3
2018-08,0,2
2018-09,1,4
2018-10,2,1
2018-11,0,1
2018-12,1,1
2019-01,0,1
2019-02,0,2
2019-03,0,1
2019-05,0,1
2019-06,0,1
2019-07,0,2
2019-08,0,2
2019-09,0,1
2019-10,0,1
2019-11,0,2
2020-02,0,2
2020-03,0,2
2020-11,0,1
2021-03,0,2
2021-04,0,4
2021-05,0,1
2021-06,0,2
2021-07,0,1
2021-09,0,1
2021-11,1,0
2021-12,0,1
2022-01,0,2
2022-02,0,2
2022-04,1,2
2022-05,0,4
2022-06,1,3
2022-08,0,3
2022-09,0,1
2022-11,0,1
2022-12,0,1
2023-01,0,2
2023-02,1,1
2023-03,0,1
2023-04,0,1
2023-05,0,1
2023-06,0,1
2023-08,0,3
2023-09,0,2
2023-10,0,1
2023-11,0,1
2023-12,0,3
2024-01,1,4
2024-02,0,2
2024-03,0,2
2024-04,0,1
2024-05,0,3
2024-08,0,1
2024-09,0,2
2024-10,0,2
2024-11,0,2
2024-12,0,1
2025-01,0,1
