,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
173,2016-08-14 21:13:58+00:00,5,"Excellently prepared meal with unique flavors.

We stopped by with a reservation on a Friday evening, and it was pretty quiet meal given that I think it was still its first week and there was definitely space for more tables. There are too many dishes to recount in detail, but all of the ingredients were extremely fresh (although a bit lacking in protein). Among the more memorable dishes included the Maine shrimp, the king crab, the squid tart, and the dry aged rib eye; the latter in particular was an amazingly tender and flavorful piece of meat. We also split a wine pairing between my friend and I, and they poured it into two glasses for us so that we could share both, which I greatly appreciated.

Overall, it's a pricey but excellent place for a quiet, refined, not very heavy meal with excellent flavors.",False,4,1,2,Dennis J.,en,"{'neg': 0.067, 'neu': 0.659, 'pos': 0.274, 'compound': 0.9914}",0.9914,0.274,0.067,0.659,positive
172,2016-08-21 04:44:34+00:00,5,"Congrats!
Michelin 2* & Michelin's best new restaurant in NYC.

Never been to the original Aska, which received numerous accolades from prominent food critics and a Michelin star.
Executive Chef Fredrik Berselius just opened up his Nordic restaurant in another location right across Williamsburg Bridge. You can just walk across the bridge, and the restaurant is right there.

Left very, very impressed; Overall, wonderful tasting menu (18-courses) from beginning to end.

Highlights:  All (Not going into details; Very creative & delicious, some using unique techniques & preparation).
You just have to come & try it yourself. 
= Culinary genius

Excellent wine pairing (& reasonably priced).

Impeccable service. Wonderful/very friendly staff.
Chef Berselius came by the table often.
Big thumbs up for playing some great tunes from The Smiths (Arghhh.......I'm so old.). 

Gratuity included. No tipping here.

Highest recommendation.

: 10 calendars

Note:  They also have a casual outdoor dining area (with separate, inexpensive, but limited a la carte menu) - no reservations required for that one - and a bar downstairs.",False,5,1,3,Go Bruins 1.,en,"{'neg': 0.046, 'neu': 0.789, 'pos': 0.165, 'compound': 0.9538}",0.9538,0.165,0.046,0.789,positive
171,2016-08-29 01:55:58+00:00,5,"Ahhh... Aska is back! The original Aska, a small space in the back of Kinfolk Studios, was on our top 3 tasting menus in New York City. We were greatly saddened when it closed in 2014, but have been waiting patiently for chef Fredrik Berselius's reopening. We dined at Aska opening week, and the menu did not disappoint! Fortunately for us, opening week also fell on our 7-year anniversary, so we made it an occasion. 

The restaurant is right by the Williamsburg Bridge with quite an unassuming storefront; use to be an old warehouse. When we checked in with the hostess, we were led downstairs to a cellar bar and poured a glass of champagne in celebration of our anniversary. It was a lovely gesture. While we enjoyed a toast, we noticed that the bar serves a more casual a la carte menu as well as wine, beer, and cocktails. As far as I'm aware, they don't take reservations for the bar (or garden); it's first come first served.

We were then led back upstairs to the main dining room. Gorgeous space. It was dark and moody, but spacious and intimate with an open kitchen. We didn't do a pairing with our tasting menu, but we ordered 2 cocktails each throughout our dining, which were as superb as you would imagine. The tasting menu consisted of 19 courses, each dish was beautifully curated--visually and taste-wise. Each ingredient is deliberate, and Chef Berselius has foraged some (most?) of it himself. An innovative culinary journey. To give a sense of the menu, I will bore you with the details of some of the highlights: 
CAVIAR: grilled onion, sustainable finish caviar from Carelian, cultured cream, lemon verbena
RAZOR CLAM: razor claim, peas, elderflower and while pea oil
BLOOD PANCAKE: blood pancake, cherry, rose and rosehip
SKATE: cured skate wing, celery root puree with its leaves, roasted celery root, unfiltered rapeseed oil and flowering dill
SQUID TART: tart made with seaweed, charred squid and a puree made from dulse
BEEF: 50 day dry aged rib eye, preserved black currant and salted plum from last year, cured beef fat

And there were 3 delicious, fresh desserts! 

The entire experience was about 3 hours. Service was orderly and flawless. The tasting menu is completely and thoroughly worth it. It came as a surprise that at the end of the meal, we learned that tax and gratuity were already included in the price. 

Outstanding meal and evening! Aska remains one of my top favorite tasting menus in NYC, and I'm excited and appreciate that there is an a la carte dining option now. I hope to be back again soon!",False,13,3,4,Kathy D.,en,"{'neg': 0.039, 'neu': 0.758, 'pos': 0.203, 'compound': 0.9983}",0.9983,0.203,0.039,0.758,positive
170,2016-09-19 02:58:49+00:00,5,"What a great experience at this newly opened Williamsburg restaurant. The chef is a genius. The food was outstanding. The restaurant space is great. We were brought downstairs for a drink in the lounge before being shown to our table. They have a nice garden space too. The tables themselves are beautiful wood. The kitchen is open so you can see the master at work. 

I love the new Nordic/Scandinavian cuisine, after a trip to Scandinavia last year. The forward thinking and pushing the boundaries of innovation continually amazes me. We had a 20 course culinary journey. I think I didn't care for one dish. Beyond that they were all very good to fantastic. The plating was stunning. The highlights for me were the langoustine, the oysters, the liken with mushroom, and the strawberry dessert. 

The chef is a humble and kind guy who spent time talking to us during dinner and afterward.  The staff was all very friendly and informative. 

Obviously full after 20 courses but not stuffed. My friends may disagree. I just had a great time. Not an every day restaurant. But definitely worth the splurge. They also have a bar menu in the garden and lounge that doesn't require a reservation. Can't wait to go back. And oh, there's a cool parting gift.",False,5,1,1,J. Karim A.,en,"{'neg': 0.052, 'neu': 0.736, 'pos': 0.212, 'compound': 0.9873}",0.9873,0.212,0.052,0.736,positive
169,2016-10-04 20:58:42+00:00,5,"The chefs delivered an icredible dining experience bolstered by an excellent team of waiters/hosts. 

I didnt particularly enjoy every single dish (2 I didn't like) however every individual course was truly unique, regardless of my satisfaction. Can go into extreme detail for each course but that would be corny as hell. True to every dish were the various layers of flavors, even in a single bite. Some don't even hit till you begin your second bite, then you go hey... 

Waitstaff was incredibly attentive and friendly, was trying to think about something to write and just realized I don't even remember them clearing out the plates and cutlery between each course. Do remember the setting of cutlery and the presentation of each course, very theatrical, however the transition between each act, very ninja-esque.

Dinner is pre-paid when you make a reservation, so there is an added bonus of feeling like the meal was free. Btw totally worth the price if you don't feel the freebie-ness of it.

Lastly, don't plan anything too close to your reservation time, dinner took us a little over 4 hours. A quick 4, not the draggy kinda 4",False,3,2,2,Leo C.,en,"{'neg': 0.038, 'neu': 0.781, 'pos': 0.181, 'compound': 0.9853}",0.9853,0.181,0.038,0.781,positive
168,2016-10-20 01:53:00+00:00,5,"Bar review only. My wife and I went to the bar downstairs on a Thursday night. It was an amazing experience and we cannot wait to go back. The atmosphere is incredible, like hanging out in a friend's amazing Scandinavian den with cool music and great food. We sat on a couch and they brought two of the best cocktails we have ever had. They were complex, light, and beautiful - hard to describe but if you love cocktails like we do, you must try the Edda, a great gin based drink. 

The bar manager came over and she even gave us cold shots of the Black Death, Iceland's Brennivin. A gem of a bar for South Williamsburg!",False,3,0,0,Rep D.,en,"{'neg': 0.076, 'neu': 0.69, 'pos': 0.235, 'compound': 0.9644}",0.9644,0.235,0.076,0.69,positive
167,2016-10-20 02:11:17+00:00,5,"Frederik Berselius is keeping Williamsburg incredible.
My heartfelt dining experience is from how genuine Aska is: from food, staff, services, ambience, space. 

Food- They truly speaks for themselves.  Frederick is so talented, the food absolutely lives up to the hype and more. I was able to recognize familiar ingredients as well as exotic Scandinavian dishes that was completely mind-blowing (ie: blood pancake? SO GOOD.) 

Staff & Service - I loved how Frederick was able personally come table-side to EVERY one of the tables during service.  It was another high point to see the artists at work right in front of me!

Ambience & Space - The best way to describe the setting might be a dark theater or gallery with spot lights directly in the kitchen.  Very very interesting play of space, I felt I was part of an audiences watching a big production unfold.  

Frederik took my boyfriend and I to the downstairs bar area after our meal and we chatted casually about our experiences and he spoke to us about his idea to make the downstairs bar as a neighborhood place.  
I can't say I've had a similar experience dining anywhere else in the past.  It was high-end, yet artistic, yet neighborhoody. This place is sincerely incredible.",False,3,0,1,Allison S.,en,"{'neg': 0.014, 'neu': 0.84, 'pos': 0.147, 'compound': 0.982}",0.982,0.147,0.014,0.84,positive
166,2016-10-26 03:22:23+00:00,4,"In a nutshell, Aska is very similar to Aquavit, where food is presented more with its originality (though many times preservation is required), and less with cooking techniques. Having said that, the flavor did taste rather unique for many courses we had tried.

Hits and misses: I did like the oyster and caviar - both were marinated to perfection and had carried a fresh and light taste; that 120-day rib-eye was so tender and juicy that I could literally feel it melt down on my tongue. The blood pancake was rather disappointing - probably I am just not that into blood-made food, that the complex flavor was a bit disturbing to me. Our chef was extremely considerate and replaced my friend's pancake with a regular one, after her communication with the waiter. Very well done! 

Overall this dinner to me was well-executed, a bit less complicated and more open-ended. Scandinavian food was certainly nowhere top on my list, yet Aska did breakthrough and I view it as one of the strongest candidates for the new Michelin star family.",False,14,6,10,Elaine H.,en,"{'neg': 0.059, 'neu': 0.775, 'pos': 0.166, 'compound': 0.9726}",0.9726,0.166,0.059,0.775,positive
165,2016-11-15 18:18:35+00:00,5,"I had heard great things about chef Fredrik Berselius, but had never been to one of his restaurants, nor have I had Scandinavian food, so I was super excited to try out his newest space. 

The short: this is an amazing dining experience all around - food & alcohol, ambiance and service. I highly recommend the tasting menu.

The longer: we hopped out of an Uber in front of a sleek black building. We arrived a bit early, because we wanted to check out the downstairs bar. It was beautiful -- dimly lit, cozy furnishings, and beautifully decorated with upside down dried flowers and exposed brick. We tried both of the gin cocktails and loved them. 

We did the 10 course tasting menu with the beverage pairing. I'm by no means a food connoisseur (I grew up in an Italian household eating meatballs and chicken cutlets), so I was excited to try a new cuisine and different kinds of food. 

What I loved: the aged prime rib was ridiculously amazing, the oysters & caviar were incredible, the bread basket with the special butters was addictive, and the cured skate wing was unreal. 

What I tried, but might not eat again: blood pancake and the blood mignardise (dessert truffle). The blood was a unique flavor, but a little too crazy for me. 

The waiters, waitresses, and chefs were all so awesome and attentive; the space is open, yet intimate and totally beautiful; and it was an incredible experience overall. I highly recommend it! :)",True,2,1,1,Jennifer R.,en,"{'neg': 0.032, 'neu': 0.671, 'pos': 0.297, 'compound': 0.9984}",0.9984,0.297,0.032,0.671,positive
164,2016-11-21 09:01:26+00:00,5,It was a very memorable dining experience and perfect for a special occasion. We arrived early and had a drink at the bar downstairs. Simple and relaxing decor. If I lived in the neighborhood it'd be my favorite hangout for sure. The drinks of course were unique and very fit for the ambience. Once in the dining room I was impressed with the extremely generous table positioning. In addition we were told the table was ours all evening to enjoy the 19 course meal without a rush. The flow and pacing of the course was perfect and I did not feel overstuffed at the end of the meal as I had feared. The food was extremely creative and interesting as expected. I wouldn't compare to Aquavit as each has own unique character. With the excellent food and flawless service we were truly entertained for four short hours.,False,3,0,1,Akira O.,en,"{'neg': 0.018, 'neu': 0.694, 'pos': 0.287, 'compound': 0.9927}",0.9927,0.287,0.018,0.694,positive
