,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
226,2023-09-15 04:02:59+00:00,5,"everything is perfect! My favorite drinks are guava nam jim and beets n cream.
My favorite dish is pork jowl",False,0,0,0,Xuan X.,en
225,2023-09-19 22:03:35+00:00,5,"A very nice new restaurant that is getting a lot of hype despite being just two weeks old. You will be very hard pressed to get a reservation because there are so many people wanting to get in.

The cocktails are outstanding, very nice selection of sweeter options reminiscent of what you might expect in Southern Asian countries.

Service was very good, food came out relatively fast and the table was reset for each round of courses.

My friends loved the meat courses with the pork jowl being a fan favorite.

If you are gluten free, vegan or vegetarian this is not the restaurant for you. There was a single vegetarian dish available (mushrooms) although after some discussion with chef, the manager was kind enough to debut the crispy fried tofu. By the time you read this two dishes will apparently be available and the manager promised a third for next time, so I'll have to see if I can get in again!",True,1,1,1,Matthew H.,en
224,2023-09-22 12:11:56+00:00,5,"By some miracle we got in within a week of their opening. My only regret is not bringing more friends so we could try more dishes. 

Waiters are courteous, attentive, polite and friendly. Overall the food, ambiance and staff made the evening a delight!

We decided to try things we didn't necessarily read about, so we could provide a new opinion and are glad we did! 

For apps we tried the yum khai dao & hakkaido scallop ceviche. 
Lots of reviews are talking about the yum khai dao, but the ceviche was where my heart was at. I think The yum khai dao is for those with a specific taste palette...I would have preferred more of the sauce the egg was sitting in, and was hoping for the caviar to add an extra oomph. I loved how perfectly the egg was cooked, runny, but not flowing onto the plate. Probably too low brow for Bangkok supper club, but would have liked to dip the fried egg in the sauce it sat atop. 

As for the ceviche, it was divine. My only call out is to ensure your bite has a small amount of the watermelon granita, so the scallop won't instantly freeze in your mouth. But once the granita melts, I would definitely lap it up with your spoon as the combination with the mint and watermelon rind was delightful. 

For the mains we opted against there pork jowl & branzino, even though everyone is talking about them and we went for the Ba Jang lobster & beef cheeks massaman curry. All dishes here require you to taste everything in the dish in one bite, don't attempt to deconstruct & eat the lobster separate from the sticky rice, together it's delightful, but solo, they will come off as bland. However, in general we preferred the curry to the lobster. Our thought was that the lobster could have had a more robust flavor profile, so in comparison we loved the curry. 

The beef cheeks  broke apart easily and the curry was beautiful, and not too rich. I loved all the vegetables found in the dish. 

For two people, I was suspecting that 4 dishes would leave us very full, but it was the perfect amount of food leaving us satisfied and happy. 

The ambiance and decor is great inside, and it was very cool to experience a restaurant within their opening weeks. Would recommend people give it a go, and open their minds to the new dishes Bangkok Supper Club is offering.",True,2,0,1,Ari A.,en
223,2023-09-26 02:22:37+00:00,4,"New spot that just opened two weeks ago from the folks behind Fish Cheeks. You have to get the scallop ceviche & steak tartare! Pork jowl was phenomenal but I think the spotlight has to be on the apps. They ran out of the popular duck appetizer tonight so would probably get that since it seems to be a big hit. Service is very nice & it was popping on a Monday 9pm. Must come!

One star off for service, but I get it's a new shop. Servers were nice but forgot to put in a dish which later sold out that night (the duck). They offered a free appetizer in a replacement and later told us that management said it could no longer be free after we ordered so offered free mocktails. When the bill came, we were billed for all items.",False,1,0,0,Emilé Y.,en
222,2023-09-30 02:11:20+00:00,4,"Nice atmosphere, attentive service, great food, and good cocktails. However, the charge for beer was outrageous - $16 for one Singha. Keep in mind each cocktail was around $18-23. At most other locations charging ~$20 per cocktail, beers are typically max $10-12. We loved the dishes we tried (fried egg, beef tongue, prawns, and pork jowl), but will remember this restaurant by the outrageous beer price. The fried egg appetizer was great - acidic and spicy. We also enjoyed the prawn satay with the peanut sauce, but the star was the pork jowls with the rice (not pictured). As far as cocktails, I did really enjoy the Guava Nam Jim and raspberry miso cocktails, but the price of beer really surprised us.",False,0,0,0,Colleen F.,en
221,2023-09-30 18:11:15+00:00,4,"Absolutely delicious!! This is a new spot opened by the team behind Fish Cheeks and they did not disappoint. Aside from its amazingly chic decor, the lighting and seating gave intimate vibes - perfect for friends or a date night. 

The menu offered lots to try with perfect sharing portions that left you wanting more. My group and I practically tried the entire cocktail menu - all amazingly unique flavors you wouldn't find elsewhere (a drink with truffle aromatics and another drink with fish sauce?? Yes please!)

We tried 4 apps - fried duck eggs salad, beef tartare, octopus, prawn - and 3 mains - pork jowl, beef cheeks curry, sea bass curry. Everything was incredibly flavorful and tender. While not as spicy as its sister restaurant, still left us wanting more. One star docked for its menu - while I did enjoy everything we've ordered I do wish there were noodles or more sides",False,0,0,0,Veronica S.,en
220,2023-10-02 03:49:53+00:00,4,"This was FUN! We waited before opening to grab bar seats and had a really great time.

Bartender/host Chris was extremely thoughtful and conversational! 

Loved, loved the Pork Jowl! The pork pieces were so moist and on top a bed of crispy garlic rice that reminded me to some Filipino garlic rice dishes. Also fair warning across the board for those sensitive to spicy - although all dishes weren't jarringly spicy, it was enough to ask for milk throughout the courses.

The other stand out was the dessert! Sweet potato ice cream with coconut chips. Amazing!!! I'm not too big of an ice cream fan, but I loved loved this. It's so subtle and refreshing after all the savory items before.

Highly recommend coming back!",False,2,1,4,Erin L.,en
219,2023-10-03 13:18:46+00:00,3,"***2.5 STARS*** Overall a bad experience and probs would've given it a 1 star but the food ended up being pretty good and the manager did make an effort to amend the issues. 

We arrived before they opened so around 4:55pm and there was already a long line. Unfortunately our party of 3 didn't get in the first round of walk ins, we were told probably 1 hour wait so we were like ok that's fine. About 1 hr 15 min later we came back and asked what place we were in line and they said 8th. However, there were a lot of parties leaving at the time plus we felt like we were in too deep already so we decided to just stick it out for a little longer. Then at the 1.5 hr mark, i asked them again and was told there was only 1 party named ""Kevin"" ahead of us.

However, we kept waiting and waiting, seeing people come and go. We even witnessed them seat two parties who weren't even on the waitlist but said ""I'm friends with [presumed staff member]"" right in front of us.... We ask the host again what's going on and he shrugs and said ""sorry I don't know what's happening with the tables, I think they're doing something new, I'm not in charge"" which was completely unprofessional like why would you say that? Just don't say anything at all if you're not clear about what's going on, OR at the very least offer to ask someone who does know what's going on. He and the other guy at the host just kept ignoring us otherwise and making awkward eye contact for an hour but saying nothing. It's 2 hours 45 min wait at this point btw - AND to make matters even more confusing, 1) we have seen several tables completely vacant for over an hour while we're waiting and 2) we overhear from their convo that ""Kevin"" (the one party ahead of us since the 1.5 hr mark) hasn't even arrived yet even though tons of other parties have come and go... so are they reserving a table for him indefinitely or what? 

Eventually we flag down the manager Paul and finally something actually happens. He'a super apologetic and moves things around to create 3 spots at the bar. What pissed me off wasn't that there was a long wait for walk in bc I get that it's very unpredictable, but how unprofessional and unhelpful the two employees at the host table were despite KNOWING that we had been waiting for an entire 2 hr 45 min after arriving before the restaurant even opened. Yeah we should've flagged down the manager much earlier instead of relying on them two, and probably should've gone more Karen to be taken seriously, but wtf?

Anyway, we ordered a couple dishes which were delicious and Paul also added on another appetizer, dessert, and drinks on the house as an apology for the ""miscommunication and system issues"" that led to this fiasco. I acknowledge that the food was pretty fire - our favs were the Goi and yum khai dao - and now that they did make an effort to rectify the situation, I'd maybe consider coming back to eat ONLY if I had a reservation (but they're supposedly booked out for months).",True,8,0,2,Iris F.,en
218,2023-10-04 18:03:08+00:00,2,"I was more disappointed with the atmosphere and service than I was with the food. The food was a solid three stars, but the atmosphere & service was one star at best. Why? When I ordered the prawns the server said OH THAT'S SPICY basically insinuating I wouldn't like it and that I should order something else. When I ordered the octopus the server said UMM THAT ONE IS REALLY FISHY basically insinuating I wouldn't like it and that I should order something else. Neither my dining companion nor myself are Thai, but rather than ""guilty until proven innocent,"" they could have asked us if we were familiar with Thai cuisine (YES, WE BOTH ARE!!!), but instead it created a continued cloud of separation, as if the food was too good for us or we weren't good enough for the food? Mind you, the server wasn't Thai, either, this tone must have been instructed by management. Because only management can authorize free samples being REQUIRED before taking an order for a cocktail. The server would not accept my order for the Fish Sauce cocktail without me first having a sample, which of course took a few minutes to arrive for the sample, and then took an additional few minutes to arrive once I approved of the cocktail. Actually, the cocktail was underwhelming, and I have no idea how anybody could be offended by it or why anyone would send it back, but perhaps because the servers are doing such a poor job at advocating and encouraging, there is an overall tone established which is the opposite of Thai-inviting... 

As we attempted to order second courses, the server kept not just repeating what we were saying but ""correcting it,"" for the sake of clarity and precision I always order things as they're listed on the menu, so when I ordered the Whole Branzino, I was interrupted with ""The Fish, okay, what else?"" but since there were multiple fish items on the menu I repeated that I wanted the Whole Branzino and of course the server retorted even louder ""OKAY, SO, THE FISH, WHAT ELSE?"" When ordering an additional second course, sadly and unfortunately, the same exact thing happened all over again. ""Crying Tiger, please."" ""OKAY SO THE FISH AND THE BEEF,* but since there are multiple beef items on the menu, I wanted to ensure that it was indeed the Crying Tiger, and got admonished with ""THE BEEF."" It seems their preferred shorthand system takes precedent over actual interactions and communications with guests. Because when I ordered my second cocktail, although repeated a few times, it came out wrong. 

Anyway, the food. Prawns were well-done, I would have preferred medium to medium-rare to retain some moisture; they even took the head off and removed the innards presumably to not offend anyone. There was no beautiful Thai grill flavor that I love so much. Same with the Octopus, it seemed they pulled off most of the purple skin so that sadly there could not be any deep-char or crunch or chew. Crying Tiger was fine but had a lot of inedible gristle. Whole Branzino was the best thing all night, beautifully juicy, wonderfully flaky skin, but very bland overall. It seems that everything was muted and tone-down for the audience. Even though the Chef and Owner are Thai, the food seems like it's American with condiments influenced by Thailand, which is NOT what I wanted.",False,2,1,1,David L.,en
217,2023-10-08 02:12:42+00:00,4,Couldn't get a resie but walked in just fine! Love fish cheeks so had to try this spot out. The scallop ceviche was a bit spicy  but very good. The beef tartare was decent but could've used more flavor. Lobster over rice was very good - hard to go wrong with lobster. The coconut and mochi cake dessert was quite good. Very lively spot. Service was fairly good too. Enjoyed the bael drink.,True,2,0,3,Bo B.,en
