,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
869,2014-05-24 00:16:27+00:00,4,"Good riddance to the subpar Peels, and welcome to the new spot in its place, the excellent Bar Primi.

Just like the other hot spots from Andrew Carmellini such as The Dutch, Locanda Verde and Lafayette, the food here is delicious:

- Breadsticks
This is my one major complaint here - instead of starting you off with some bread, they bring you a few breadsticks, which while quite tasty, are no substitute, especially in an Italian joint that's heavy on the pasta.

- Eggplant Bruschetta ($8)
Longing for some bread, we decided to try this, which was a pretty tasty, heavy bite. There were two pieces of crust bread loaded with a ton of oily, delicious eggplant.

- Stuffed Meatballs ($12 for 3)
This is the must order appetizer - 3 piping hot, firm delicious meatballs stuffed with cheese. Yes, the perfectly snappy, dense balls are also stuffed with cheese. Delicious.

- Linguini ($14)
With breadcrumbs and ""4 cloves of garlic"", this is perfect for a married couple, but maybe not if you are on a date. If you like garlic, this is a must. The linguini is perfectly al dente and so delicious with the big chunks of garlic swimming in the oily bottom. This was probably the best of the pastas we tried.

- Bucatini ($18)
With veal amatriciana, this is another delicious choice, and probably a bit more interesting than the regular Spaghetti Pomodoro. It's a bit thicker than a spaghetti, and is also nice and chewy and hearty, just like the Linguini.

- Orecchiette ($16)
One of the best combos, this was a great rendition of the typical dish with sausage and broccoli rabe. As a slight spin here, there were chickpeas as well, which added even more flavor and a nice pop to the dish.

- The Sandwich ($14)
The lone sandwich on the menu, hence named ""The Sandwich"", this was a delicious little roast beef sandwich with provolone, peppers and arugula. The bun is so squishy and soft, and is the perfect vehicle for the equally soft and delicious rare roast beef. This is a definite must to go with your pastas.

- Tiramisu ($7)
Wow, this was easily one of the best slices of Tiramisu I've ever had. So smooth with a great, deep coffee flavor. You must make sure to end the meal with this.

Service was perfect throughout. It's a beautiful spot, with two packed floors. All of the food was quite tasty, but nothing was really a major standout, like some of the famous dishes at his other spots (e.g. Fried Chicken at The Dutch, Sheep's Milk Ricotta at Locanda Verde, etc.). This is definitely on its way to becoming another hit for Carmellini, and a popular neighborhood spot in no time.",True,19,8,12,Mike C.,en
868,2014-06-03 13:06:23+00:00,4,"The upstairs layout is more comfortable then Peels which it replaces . The staff was very friendly and helpful . 
My one complaint was that there was no meat or fish options for a main course . Trying to go light on carbs . But the chef is known for pasta soo... We enjoyed everything but nothing stood  ; the stuffed meatball starter , The pasta with artichokes and can't remember my friends pasta . 
The strawberry dessert was a nice surprise . Very light and refreshing for summer . It was tart ( which I love ) interesting crispy bits , meringue ?  The most memorable dish of the evening . A hit for us both .
  Unfortunately, My friend was still hungry since the pasta  main dishes were small . I must admit I ended getting a snack later too. I have been generous with the stars  because it  has been open less then a week I the stars. We expect it will improve. 
I've enjoyed locande verde and his other restaurants and hope it will catch up .",False,1,0,1,Lynn F.,en
867,2014-06-08 05:50:08+00:00,3,"Rip. Off.
I live in New York and understand things are expensive AND I don't mind spending money in a great meal. This was insulting. Two tiny pieces of bruschetta for $9. Primi plates that don't satisfy so you need to order more. The orchiette with broccoli rabe and pea with farro salad were delicious but didn't make up for the average nature of everything else. The octopus pasta had 3 tiny pieces of protein. And those breadsticks were insulting.",False,2,2,1,erin b.,en
866,2014-06-08 23:27:10+00:00,2,"4 stars for the food, minus 2 stars for poor value and overall stingy vibe of the restaurant. 

My wife and I ate at Bar Primi on Saturday night. Walked in at 7:30 no problems getting a table. 

Service was good - lots of staff. First warning that something might be off was when we asked the waiter which pastas he would recommend and he mentioned several times that the portions were very small. At least he told us - so we ordered 3 pastas to share for the two of us. 

First off we were served 3 thin pencil sized breadsticks which tasted fine but kind of stingy and they should be serving bread. 

We ordered the burrata bruschetta appetizer - which to be fair the server again warned us was tiny as we ordered it - and was a tasty bite.  That said the price of this appetizer should really be $6 or less - as a comparison it was smaller than half the size you would see at inoteca or dell'anima. 

For pasta we ordered the cavatelli, the bucatini, and the pappardelle. We liked them in about that order. The cavatelli especially was very good and unique.  That said, the pastas should either be priced around $11-12 as is, or double the portion size. Even with 3 pastas we were not really full.  (We are both normal/thin people)

Also, there were no paper towels in the bathroom, just an air blow dryer - again contributing to the stingy vibe of the restaurant. 

Another funny thing, after we finished dinner we went down the street to dbgb for drinks and dessert and noticed the couple from the table next to us at bar primi enjoying a second dinner at dbgb, so they must have left hungry, too.",False,3,3,1,Smitty J.,en
865,2014-06-11 12:36:03+00:00,3,"Over priced italian food. Though, the Carciofe is delicious. I left very hungry and if you are going to get an app the eggplant bruschettta is a MUST. 

Great place for drinks and light apps on a date.",False,3,0,0,Gabriella D.,en
864,2014-06-11 14:09:30+00:00,2,"I did not think the ambience, food, or service warranted the price or serving size",False,0,0,0,Laurie S.,en
863,2014-06-11 19:34:09+00:00,3,"I agree with some of the reviews below.  Overpriced and small portions.  The upstairs is cute and has a nice mood, however the food is nothing to rave about.  I ordered the Bronzino which was delicious, however my girlfriends were not thrilled of their meals.",False,1,0,0,Amanda F.,en
862,2014-06-12 02:50:48+00:00,3,"Specialty Pasta Bar on Bowery Street ""Bar Primi""

Bar Primi opened last month on the corner of Bowery and Bond Streets. The location is the former space of Peels. The chefs are Andrew Carmellini from Lafayette and Locanda Verde and Sal Lamboglia working on their team is Luke Ostrom and Josh Pickard. 

Overall - 3
Food - 3
Atmosphere - 3.5
Price - $$$1/2

I was here for dinner. Cute atmosphere. Food is O..K.. . .",False,3,0,3,Cutie Patroller ..,en
861,2014-06-12 23:55:39+00:00,3,"The bartender is a gem. This guy is going to be a celeb very soon, if he isn't already. He knows his drinks, and has confidence in his recommendations. I happily let him upsell me a couple of times and was glad I did. He has great taste. My Eastside was perfection and my friend had a sangria that we happily discovered was made with lambrusco. Awesome idea. The wine list is solid.

The food...is a work in progress. I will be back again to try it, but my rigatoni (made in house) was undercooked beyond al dente, with hardly any detectable ricotta (which was meant to be the highlight of the dish). The muscles were very good, but that's an easy dish to get right. The broccolini was well cooked, but the salsa rossa absolutely overwhelms any sense of the vegetable's natural flavor (in a bid to kill off the bitterness, I suppose, but I like the bitterness). The veal tails special did ""fall off the bone."" I'm not a fan of the dish, I discovered, but it seemed well prepared if that's your thing.

The service was perfect. The interior design is good. I hope to upgrade to 4 or 5 stars on my next visit.",False,1,0,0,Josh F.,en
860,2014-06-15 16:59:03+00:00,5,"Great affordable place! (I think the 3 dollar signs posted by yelp are misleading, should be 2). Really recommend the meatballs and bruschetta for starters and the bucatini and pesto for main courses, the portions are a bit smaller but I think that's the point, sharing is caring at this place. We ended the meal with tiramisu and strawberry coppa, everything was truly delicious. Thumbs up!",False,0,0,0,Maria Linn E.,en
