month,num_neg,num_neu,num_pos
2012-06,1,0,1
2012-07,0,0,4
2012-08,0,0,2
2012-09,0,0,3
2012-10,0,0,4
2012-11,0,0,2
2012-12,0,0,1
2013-02,0,0,4
2013-04,0,0,2
2013-05,1,0,1
2013-06,0,0,2
2013-07,1,0,2
2013-08,1,0,1
2013-09,0,0,4
2013-10,0,0,3
2013-11,0,0,1
2013-12,0,0,1
2014-01,0,0,1
2014-02,0,0,2
2014-03,0,0,1
2014-04,1,0,0
2014-05,0,0,5
2014-08,0,0,4
2014-09,0,0,1
2014-10,0,0,2
2014-11,1,0,2
2014-12,0,0,2
2015-01,0,0,2
2015-02,0,0,2
2015-03,0,0,2
2015-04,0,0,2
2015-05,0,0,1
2015-06,0,0,3
2015-07,1,0,1
2015-08,0,0,2
2015-09,1,0,1
2015-10,1,0,2
2015-11,0,0,1
2015-12,0,0,2
2016-01,0,0,3
2016-02,0,0,2
2016-03,1,0,3
2016-04,0,0,2
2016-05,0,0,3
2016-06,1,0,2
2016-07,1,0,4
2016-08,0,0,2
2016-10,0,0,2
2016-11,0,0,1
2017-01,0,0,1
2017-02,0,0,1
2017-03,1,0,0
2017-04,1,0,1
2017-05,0,0,1
2017-06,0,0,2
2017-07,0,0,1
2017-08,0,0,1
2017-09,0,0,1
2017-10,0,0,2
2017-11,0,0,3
2017-12,0,0,1
2018-01,1,0,2
2018-02,1,0,0
2018-03,0,0,2
2018-05,0,0,2
2018-06,0,0,1
2018-07,1,0,1
2018-09,1,0,1
2018-10,0,0,4
2018-11,0,0,1
2019-01,1,0,3
2019-05,1,0,1
2019-06,0,0,1
2019-07,0,0,1
2019-08,0,0,2
2019-10,0,0,1
2020-01,0,0,2
2020-02,0,0,1
2020-03,0,0,1
2023-11,0,0,1
2024-03,0,0,1
2024-04,0,0,1
2024-07,0,0,1
2024-08,0,1,1
2024-11,1,0,0
2024-12,0,0,2
2025-01,0,0,1
2025-02,2,0,1
