,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
177,2012-06-16 13:42:58+00:00,5,"Poulet Rouge, Porcini Mushrooms, Kohlrabi Broth, Broccoli Rabe:  With both my slices of bread gone in no time flat it was time for a dish we'd been watching roast in the oven for at least the last forty five minutes and with juices streaming down the lean bird what we received would prove every bit worth the wait as crisp and salty skin gave way to juicy meat resting in a slightly bitter and aromatic broth of kohlrabi, mushrooms, and rabe.  With a portion of dark and white meat provided and the flavors both intense and clean my guess is that this bird was not aged like the rest of the meats but having never tasted this particular heritage breed I really cannot be sure.

Strawberry Buttermilk Gelato:  Arriving as a palate cleanser before our last savory of the evening this small quenelle of gelato was creamy and smooth with small bits of berry throughout, a nice flavor serving its purpose admirably.

85 Day Dry Aged Wagyu Beef, Hearts of Palm, Ramps, Scapes, Vin Cotto:  The other piece of meat sitting next to the lamb rack earlier in the night, this was by far my most anticipated course of the night and much like last time the ultra-aged meat did not disappoint.  A sizable portion, though certainly not the nearly half pound served during my previous visit, and prepared to medium rare with another piece pan seared to well-done at its side the only way to describe the flavor is ""rich"" with a touch of earthy funk nicely balanced by a touch of acid and the pungency of the tender ramps and scapes.

Bayley Hazen Blue Cheese with Fig, Radish, Walnuts, Fennel, Honeycomb from the Roof:  As if the Wagyu wasn't funky enough our cheese course for the evening would feature one of my favorite American Blues alongside a number of accoutrements and although the figs were slightly less sweet than I would have liked the pairing of Jasper Hill's finest cheese with both the aromatic fennel and the bitter radish was an inspired choice while the honeycomb and walnuts worked as well as expected in highlighting the subtle spicy notes of the cheese.

Chamomile Gelato with Quinoa and Chickpea Crumble:  Having been only modestly impressed with the desserts on Roberta's tasting the first time around I was happy to see the first of three options arrive with a lot more nuance than any during my first visit and with the gelato flavored similarly to the milky tea that my grandmother often served both me as a child I was additionally impressed by the ""crumble"" - a buttery composition tasting something like grapenuts cereal without the bitterness. 

Wild Strawberries, Strawberry Soup, Sorrel and Ground Ivy Granita, Lemon Verbena Ice Cream:  Following close on the heels of the gelato this inspired composition would not have been out of place on the menu at a place like Manresa or even L'Arpege and with myriad textures, temperatures, and flavors at play the overall effect was at times sweet and other times sour but at all times intensely herbal.  To quote one of my co-diners, it tasted ""healthy"" and ""refreshing,"" a perfect dish for summer.

Cherry Sorbet, Yogurt, Coffee and Hempseed Crumble, Poached Cherries, Pakistani Noble Berry:  The final plate of the evening and the largest of the desserts suffice it to say that this was outstanding - the sorbet soft and creamy, the poached cherries slightly boozy, the yogurt just a touch sour, and the crumble much like the quinoa/chickpea combination in texture but laced with notes of coffee and earthiness in flavor.  Unfamiliar with the ""Noble Berry"" prior to this I was additionally impressed by the pastry chef taking time to chat with us about the ingredient, a jet black finger-length berry with a flavor similar to blackberries but a texture somewhat akin to a date.

Matcha:  Served after the desserts as we sat listening to music while watching the kitchen scrub down I personally would have preferred coffee, but all things being equal I'll never complain about green tea either, particularly one this fragrant.

The Verdict:  With the capability to now serve 12 persons per night when Carlo is in town I can only assume that Blanca will help the crew at Roberta's progress through their extensive wait list in a more expedited manner yet given the quality of the room, the food, the service, and the man in the kitchen I could also see the opposite occurring where demand increases even further and as such I will say the same thing I said after my last meal - that this is a dining experience that should reside near the top of everyone's 'must-visit' list, and that I cannot wait to go back.

The End.",False,3,0,5,Michael U.,en,"{'neg': 0.066, 'neu': 0.792, 'pos': 0.143, 'compound': 0.9971}",0.9971,0.143,0.066,0.792,positive
176,2012-06-19 02:24:15+00:00,4,"last night we went to roberta's (which is now known as Blanca) for a 27 course tasting menu paired with 3 different wines (we should have just done the full wine pairing but i was worried about getting to drunk to go to work the next day - it didn't matter, i got drunk anyway). on the drive home we tried to recount each bite or dish with fuzzy, giddy, food coma-y heads. we did a decent job of recalling 25 of the 27 dishes and in no particular order and without the accouterments (some things had chrysanthemum leaves and cherries and rhubarb, ramps, garlic leaves and sprigs of this and that along with green/yellow and pink sauces) we came up with the below list:

Sturgeon Osetra Caviar with Goats Milk
Glass shrimp with Poppy Seeds
Jack Fish
Veal Sweet Bread
Uni & House Made Tofu
Soft Shell Crab with Yogurt Sauce
Squid with Meyer Lemon and Ramps 
Roasted Sweet Potato
Horse Mackerel
Perch (Slightly Seared)
Smoked Fish (such a meaty flavor)
Geoduck with cherry
Japanese clam
Rhubarb Gelato
Spot prawn
Carpaccio with Duck Egg
Lamb Pasta
Clam Pasta
Andouille Ravioli (heaven!)
85 Day Dry Aged Ribeye
Rack of Lamb & Mint Jelly with Coriander (crackely skin)
Heritage Bird (from Pennsylvania)
85 Day 
Cheese & Honey Comb
Quinoa Crumble
Coffee Crumble
Strawberry Shortcake (Roberta's version - my least favorite of all the dishes)

the dishes were divine. truly special. If you want to read food bloggers break it down in their sciency way that they do, i implore you to check out chowhound or pocketfork's review of roberta's tasting menu. 

the new tasting room seats 12 and opened in April. in the past, the tasting menu was happening twice a week and only seated 4. the new tasting room just allowed a lot of people wanting this reservation to finally have a shot. we waited 9 months before getting this call. 

it's an expensive meal. the tasting menu is $180 a person. wine pairing is an additional $85 or you can get several of their wines by the glass or half bottle. 

the food was amazing but there were definitely some kinks to work out with the wait staff.",False,3,2,2,Maia D.,en,"{'neg': 0.089, 'neu': 0.835, 'pos': 0.076, 'compound': -0.6024}",-0.6024,0.076,0.089,0.835,negative
175,2012-07-02 18:55:29+00:00,4,"Signed up for Roberta's tasting menu back in October '11 and finally got a callback for a May reservation.  We had no clue that there was a separate tasting room and were shocked to be led to the spotless new space a half block down from the regular entrance. So suffice it to say the hype train was full steam ahead by the time we sat down.

Say what you will about the new space...on the one hand, it feels a bit clinical compared to the charming, DIY rusticity of Roberta's. But I think the idea is that it's really about the food and nothing else. Little touches like the turntable, massive fish head, and super comfortable chairs make it less alienating. Also you have to check out the toilet, it's one of those indecipherable, 50-function Japanese things that I'm too scared to experiment with. 

There's no question $180 is a stiff entry fee. But on the plus side, you won't be getting B-grade talent prepping your cuisine. They only do tastings if head chef and creative genius Carlo Mirarchi is there. Watching him break down proteins and plate the intricate dishes was something to see. I for one would rather pay the $180 and watch this kitchen at work than suffer through some overblown Broadway production.    

The food is as you'd expect: immensely creative, high technique, and hyperexotic ingredients you won't be spotting on freshdirect anytime this century.  Some courses were more unforgettable than others (the funk-laden dry-aged ribeye, in particular, is like nothing I've had before). The service was impeccable for how new this tasting space was...organized, friendly, passionate about the food, and, perhaps most importantly, bringing a fun attitude that ensured everyone had a great time.

Why not 5 stars? I felt the wine pairing could be improved. We were told that they were still in the development phase building the cellar, so perhaps it's gotten better in the weeks since. But notwithstanding that, I'll be stunned if Blanca doesn't have a fistful of Michelin stars in its future.",False,5,5,6,Adam C.,en,"{'neg': 0.082, 'neu': 0.749, 'pos': 0.168, 'compound': 0.9903}",0.9903,0.168,0.082,0.749,positive
174,2012-07-04 02:22:53+00:00,5,"Ok folks.   I went here a while ago and I just couldn't get my act together to write about the exquisiteness of Blanca.  But after reading the review by a fellow yelper wanting to give Blanca zero stars, I felt it was time to set the record straight.  Blanca is a super special experience.  I love what Carlo is doing and kudos to him for taking the risk, trying to make a unique experience in a sketchy place like bushwick!

My friend read about Robertas in the new York times review.  He dutifully put himself on the waiting and after 7 months (egads!), he finally got a ressie.  I was the lucky date and on opening night to boot!  

To be honest, this is going back two months.  The meal,the chefs table and the vibe were awesome.  They had a turntable with records a la Barry manilow, Neil diamond etc.  and we had cutest waitress who looked like a young Mia farrow.  It's all tasting menu and 20 or so little courses which we opted to do the wine pairing.  I think the wine / beer ale pairing needs a bit of work (limited) but that's the only black mark I can give this place.  

So if you want a detail of the food.  Refer to Michael u's review.  Blanca is a beautiful, tasting room lab where Carlo is creating.  Close your eyes and pay the price.  (I didn't pay but I venture to guess $300 +with tax and tip)    It's a unique experience that you won't forget.",True,4,5,4,Gloria F.,en,"{'neg': 0.049, 'neu': 0.723, 'pos': 0.228, 'compound': 0.9955}",0.9955,0.228,0.049,0.723,positive
173,2012-07-08 14:30:59+00:00,4,"Had the pleasure of having dinner at Blanca last night. Made my e-mail request for a reservation way back in February which was answered with thanks for your interest but we are completely booked up until the end of April. We will put you on the wait list in the order your request was received. I had forgotten about my request until late June when I sent off an e-mail to see where I stood on the wait list. I was pleasantly surprised to receive an e-mail reply a day later that a cancellation had opended up a few spots for dinner on Saturday July 08th. So needless to say I jumped at the chance and snapped up 2 spots in order to see if all the hype is justified or is it some hipster mirage deep in the Bush. Well I am happy to give a resounding YES!!! Blanca lived up to and far exceeded the hype. Which is rare these days in the foodie frenzied internet blogging world. I will refrain from discussing the menu since others have already done that at length on this site. Yes, the area may be sketchy to some but the trek out is worth it. Chef Carlo executed the evening with precision and was engaging at the end of service which is all you can ask for. I have been fortunate enough to dine at many of the so called best restaurants in NYC & beyond. This meal rated highly amongst them. The Chef & staff can be proud and will only fine tune this culinary machine in the future. I would like to wish Chef Carlo Mirachi luck but he doesn't need it. He has something far better. Skill & determination. 

Also a shout out to the somellier who did a wonderful job with the wine pairing incorporating sake & beer into the evening. Job well done with some daring choices. BRAVO!!!!!",False,2,0,4,gregory r.,en,"{'neg': 0.042, 'neu': 0.731, 'pos': 0.228, 'compound': 0.9969}",0.9969,0.228,0.042,0.731,positive
172,2012-07-28 00:02:44+00:00,5,"I'd been on the Roberta's Tasting menu waitlist so long, Chef Mirarchi opened Blanca's. I recently got an email saying they were ready for me when I had put myself on the list 5 months ago. I'd long left NYC by this email but luckily for me Chef Mirarchi brought the Blanca tasting menu to me. Being good friends with Chef David Kinch we were in for a special treat of Blanca-Manresa tag team. I may miss out on the divey Roberta's or the new fangled Blanca's 12 seat spaces, but it's the food that you're going for right?

We sat down to a fantastic 4.5 hours of glorious dishes as follows:

-turnip, porchini, goat's milk, caviar, kumquat

-Nude and raw, Veal and albacore, olive and truffle ""battuta""
2002 Laurent Perrier Millesime

-Bonito, lightly smoked, succulents (sea bean, white borage, purslane)
2004  Trimbach Cuvee Frederic Emile Riesling Alsace

-Shellfish and sorrels, narsturtium and saffron
2007 Tyrell's Wines Semillon Reserve Hunter Valley Australia

-Raviolo, anise hyssop and pecorino, N'duja
2010 Domaine Ott Chateau de Sell Rose Cote de Provence France

-Abats d'agneau, beets roasted with blueberry, fiorelli
2004 August Kessler Spatburgunder (Pinot Noir) Rheingau Germany

-80 Day Dry Aged Beef Loin, necatarine, sauce of aged far and vin cotto, aliums
2006 Paolo Bea Rosso de Veo Sagrantino Umbria Italy

-Buckwheat shortbread, plum, elderflower-lychee sorbet
-Apricot cremeaux, puffed and fried rice, apricot pit sherbert
2006 Chateau Les Justices Sauternes

Now I'd heard many things about Chef Mirarchi's cooking and after long, long last I finally got  to try it. The bonus was it was basically in my own back yard. Things like the 80 day dry aged beef was super intense. It was almost too much of a good thing. Some of the dishes put out were totally outside of what I thought we'd get, especially the influences of many cultures.

After the dinner was finished Carlo came out with his Red, White and Blue American Flag Budweiser, with a great laugh and totally down to earth for such talent. We'd run into him a couple more times in the next few days at a party and a dinner. A great guy and I can't say enough about the food. True skill and I look forward to the meals when Im in town in his hood.",True,9,5,8,Kim N.,en,"{'neg': 0.084, 'neu': 0.746, 'pos': 0.17, 'compound': 0.9902}",0.9902,0.17,0.084,0.746,positive
171,2012-08-20 00:03:37+00:00,5,"After only being ""open to the public"" for a few weeks now (they were working through a monster waiting list for a while before taking new reservations), I couldn't help but hit up another extreme 3 hour plus tastefest in Brooklyn after having such a good time at Chef's Table at Brooklyn Fare about a year ago.

The service was top notch.  Our waiters and waitresses were more than friendly, happy to discuss the food, the story behind the space, and answer our random questions all throughout the night.  Granted, one would expect that with several staff members and only 12 guests per evening.  On that note, the space was very comfortable compared to Brooklyn Fare.  There was a nice amount of space between you at the kitchen, an airy high ceiling, and you didn't have to squeeze around the edges to make it to the bathroom.  The highlight of the ambiance had to be the record player where you can put out albums to have them play throughout the night.  Nothing like stringing together Hall & Oates, A-ha, Simon & Garfunkel, and then Metallica. 

The food was tasty (this is a five star review after all), through there were few moments that left me completely shocked like I have been during other tasting menus (such as the sometime intense but totally appropriate flavors at Brooklyn Fare, the wow factor of some courses at Eleven Madison Park, the theme approach of Torrisi, etc.).  That is not to say that anything tasted bad and I didn't lick the plate clean, simply nothing left a lasting, wake-up-in-a-cold-sweat-after-a-flashback sort of impression.  If you like fresh food cooked well, where you can actually taste the underlying ingredient and appreciate its origin, then this is the place for you.  

One last note--the wine pairing was particularly good, so I would definitely recommend the splurge.  Put your food in the hands of the chef, the wine in the hands of your server, and simply focus on if you should play The Rolling Stones or Fleetwood Mac for the next record...



...who am I kidding. The answer is clearly The Rolling Stones.",False,8,7,6,Julie M.,en,"{'neg': 0.057, 'neu': 0.729, 'pos': 0.214, 'compound': 0.9971}",0.9971,0.214,0.057,0.729,positive
170,2012-08-30 18:01:42+00:00,4,"ambitious add to Roberta's real estate. and the label dinner theater is apt: a parade of one-bite wonders (27) prepared at showcase kitchen across from a dozen plush counter seats. not a very original concept, seen recently at Agapè Substance in Paris, El Bulli many years before. the farms, seas, the butcher; and foams, powder, gelée all present, with a decidedly Bushwick spin. at $180+ prix fixe, bit dear, uneven and tiresome. i prefer down-home Roberta's. http://www.yelp.com/user_details_review_search?userid=-Uch0Ftb3uw09Vkm1PBeog&q=roberta%27s",False,5,2,5,Mike G.,en,"{'neg': 0.028, 'neu': 0.874, 'pos': 0.098, 'compound': 0.662}",0.662,0.098,0.028,0.874,positive
169,2012-09-10 14:14:48+00:00,5,Amazing food. Service super. Wine pairing one of the best deals in town. Its worth waiting to get a reservation. Its a true labor of love.  Who knew this spectacular treat was hiding in the garden?,False,2,0,2,kim h.,en,"{'neg': 0.043, 'neu': 0.503, 'pos': 0.455, 'compound': 0.9694}",0.9694,0.455,0.043,0.503,positive
168,2012-09-14 17:38:52+00:00,5,"This place is awesome.  Loved the room it was in: bright, light and airy.  Lotsa space between diners on the counter surrounding the open kitchen.  Very different from Roberta's itself.  Tasting menu style, lasted about 3-3.5 hours.  In general, food was incredible.  A few stand-out dishes, a few very good dishes, and only a couple that were less memorable.  My personal favorite: dry aged beef.  For 85 days!!!  So crazy.  Worth it just for that.  Not stuffy at all. I liked it better than Brooklyn Fare because no chef is like watching your every move and you can take pics and do whatever.  I did, however, like Atera better (another tasting menu format place I went to recently) just because the food techniques and presentation were a bit more unique.  

More details of my visit posted on my blog!  http://photo-hungry.com/post/31068215047/blanca  

Couldn't post all the pics tho cos they requested us not to, so only posted those already posted by Time Out, NYTimes or Bon Appetit (altho I see most of them are posted on yelp already too).  Definitely a must go foodie destination - start trying to make rez now tho!",False,2,0,2,J W.,en,"{'neg': 0.042, 'neu': 0.772, 'pos': 0.187, 'compound': 0.9835}",0.9835,0.187,0.042,0.772,positive
