,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
678,2014-11-07 23:41:48+00:00,5,"Chef Josh Capon of Burger & Barrel keeps on winning this Burger Bash competition thing at the NYC Wine & Food Festival every year with his Bash Burger. Now, he has another incredible burger at this awesome new steakhouse on a quiet side street just off Bowery.

The menu is pretty extensive, with plenty of interesting options beyond just steak. We ordered a ton of stuff, which was all incredible:

- Bacon Rosemary Focaccia (complimentary to start)
Off to an excellent start, these two small pieces of bread accompanied by some charcuterie were delicious. Still warm, with some bacon bits inside the bread, this was really great.

- Oxtail Arancini ($13 for 6)
These tiny, fried, crispy arancini were delicious. Much smaller than typical arancini, these were bite size and addictive. There were 6, but I still wanted a lot more than my half.

- Bitter Greens ($14)
Opting for something non-beige and non-meat for once, we went with this very refreshing and delicious take on a caesar salad. Finely chopped with toasted bread crumbs on top, this was a great option that made me not regret ordering a salad.

- Spaghetti Aglio e Olio ($19)
Heartbroken that they didn't have the Duck Lasagna for some reason, we still wanted some pasta so we tried this, and it was a good consolation prize. It was perfectly al dente with tons of flavor from the lemon ricotta and the crunchy breadcrumbs. This is a great mid-course option.

- Short Rib ($37)
From the meat section, we went for the short rib, which came pre-sliced into perfect little medallions of meat, laid out alongside some tasty shishito peppers. They were a perfect rare, with almost no fat but still packing plenty of flavor.

- Cheeseburger ($22)
This is the definite must. Made with dry-aged beef, this is up there with the best new burgers this year. On par with the amazing one at Cherche Midi just a few blocks away, this is definitely worth the seemingly steep price tag for a burger. Even better, the price includes an amazing bucket of perfectly crispy and golden french fries. The place is considered a steak house, but if you are only going with one meat dish, make sure it's this one.

- Hash Brown Potato ($8)
Because we didn't have enough meat and potatoes, we went with even more, with this perfect little disc of a hash brown. Deliciously greasy and crispy, this is a good complement to your beef if you want something a little different from the fries.

- Donuts & Coffee ($12)
This was a pretty good dessert. You get four cinnamon & sugar donuts accompanied by a cup of mocha pudding topped with coffee cream, a sort of pot de creme. The donuts on their own are a little plain, but go great when paired with the creamy and chocolatey pudding.

- PB&J ($12)
Another pretty good dessert, and better than the donuts, but also not as impressive as the main meal, this consists of peanut butter mousse with a red berry filling and  strawberry cereal crunch on top, alongside a small scoop of sweet cream ice cream. It's super smooth and creamy and not as intensely peanut buttery as a peanut butter addict would hope, but still very delicious.

Not only was all the food excellent, but the atmosphere in here is beautiful too. It's pretty swanky, but with a more casual vibe than your usual steakhouse. Service was great too, with very friendly servers and management. I will be back for that Duck Lasagna and probably another steak. And it will be hard to resist that burger again.",True,33,10,15,Mike C.,en
677,2014-11-11 02:52:03+00:00,5,"Walked in early tonight and grabbed the last seat at the bar. Bartender was cool and welcoming as was the sommelier. They recommended a house cocktail called the 'Last Monk' (sp?) which was delicious and balanced. Not at all heavy or sweet.

Had the oxtail arancini to begin which was flavorful and crisp without being oily. Afterward, enjoyed a salad with a tangy greek yogurt dressing which was like a yummy alternative to a typical wedge salad.

I was going to skip red meat, but couldn't avoid it when they described their grilled short rib prep which sounded like an exciting alternative to the more common braised short ribs. I didn't want to finish the plate for dietary reasons, but I couldn't help it - too good. Also came with some solid shisito peppers.
 
Too full to try dessert, but will next time when I;m with people. Very impressive showing early on. Will definitely be a busy joint.",False,2,1,1,Eric S.,en
676,2014-11-11 03:26:07+00:00,3,"It was good, not great. My boyfriend and I went here on Saturday night and ordered the steak tartar, bitter greens, bowery steak and the short rib.

Steak tartar: nice texture, but overall flavor was pretty dull. $18

Bitter greens: we really enjoyed this version of a Caesar salad. $14

Bowery steak: he said it had the texture of a flank steak but enjoyed the flavor. Although not worth the price. $48

Short rib: it wasn't anything special at all. I did not enjoy the ""salsa verde"" flavor. $37

Service was great and since it was opening weekend they gave us 20% off of the food (not drinks). Overall it was a good meal but probably would not want to go spend over 200 bucks on 3 star food.",False,0,0,0,Cambria M.,en
675,2014-11-13 17:45:24+00:00,2,"Disappointed. Poor service - definitely need more knowledges of the food, ok food - kitchen needs to speed up, ok interiors - no surprise just like those industrial style places. This place definitely needs more time to grow. Not recommended if you like quality meats or try it after a few months.",False,0,0,0,Kira C.,en
674,2014-11-14 03:16:39+00:00,2,"Let me just say that I had high hopes after the syrupy sweet of a review from Mike C. I would have never brought my client here for dinner if I'd known. I wouldn't say I'm an official foodie but my review of one restaurant was quoted in Eater. I guess that does say something. So, it's when I say NEVER in my 30 years of living and dining in NYC have I ever had an experience like this one. And this is not a preamble to something great. 

The food was good. Was it better than any other ""high end"" steak joint I've been to? No. Was it mediocre? No. It was above average. Don't get me wrong the steaks were cooked perfectly. One guest of mine raved how perfectly the steak was cooked even along the bone. The duck lasagna was scrumptious. The wine on the wine list was good and steak house pricey. Albeit the sommelier described the one wine we ordered completely wrong.

So what made this a 2 star rating? Let's just say the chef/owner. The poor waiter who was serving us the duck lasagna tableside could do nothing right. And all of us sitting at the table were made painfully aware that he could do nothing right because the chef was breathing over him letting him know he was far from perfect. But, the be all to this fiasco of a 3 digit meal was when the chef came over to the table after we finished dessert and said ""I need to have this table back."" Rude is an understatement. Here's the thing. If the dude can cook keep him in the kitchen because his people skills will drive customers and repeat customers away. I can say that my clients were thankful for the meal but mentioned ""there would be no need to come back.""

Do I recommend this place? Nope. For the price and the service I say go to Del Frisco's or Capital Grille because you will pay just as much, get just as good of a steak minus the attitude from an ill mannered chef.",False,7,0,0,Yvette S.,en
673,2014-11-14 08:04:43+00:00,5,This is an amazing restaurant. I can't believe they've only been open for one week. The duck lasagna was amazing and the staff was kind and knowledgable. I'm excited to go back and try more of their amazing food.,False,1,2,0,Chelsey W.,en
672,2014-11-14 15:38:05+00:00,5,"Had a wonderful dinner last night. Sounds like some other reviewers have an axe to grind...

I was very pleasantly surprised about how seamless and smooth the service was, especially for a restaurant that has only been open for 4 days! Everyone was very friendly and not intrusive. I was there for a client dinner and they knew the right time to come. 

Food-wise. Spot-on. A delicious steak restaurant that doesn't serve your usual, bland, buttery sides. This is what we got:

- complimentary foccacia, charcuterie, and oxtail arancini = so good!
- Baked Oysters = amazing. I took more than my share and we should've ordered more.
- live scallops = delicate but just okay.
- crispy polenta = good. The mushrooms on top almost tasted like short rib.
- duck lasagna = WOW. Definitely order this and I usually do not like to eat duck. I know, I'm an alien. It says it's for two but you could definitely order this for 4-6 people to share as an app.
- short rib ravioli = Delicious. The ravioli was seriously cooked to al dente perfection and I loved the crispy sage on top. 
- bitter greens caesar salad = yes, it was almost mainly a salad of cheese...but it was tasty.
- korean short rib = i liked how they sliced it perfectly. it was cooked perfectly.
- lamb chops = I didn't have it but two of my dinner companions did. Both polished them off and loved it with the yogurt sauce.
- sour cream hash browns = SO GOOD. Next time, I'll be ordering my own and not sharing with anyone. 
- cinnamon sugar donuts with a mocha dip = definitely order.
- some chocolate kind of cake with ice- cream = it was just average. 
- wine list was pretty reasonable. We had a few bottles of a great malbec. 

All in all, I would definitely come back. The food was great, drinks were awesome, and the ambience was very lively and buzzy. Great addition to that area.",False,3,3,2,Nicole M.,en
671,2014-11-15 04:02:34+00:00,5,"Long story short, the bad reviews are pretty funny.If you'd rather go out at Capital Grille or Del Frisco's (Maybe they can get one of those sweet ""Double Eagle""designations), then you know who you're dealing with. If you're going to a brand-new restaurant and complaining about the speed, you were looking for something to complain about. 

With that out of the way - absolutely amazing meal, once again from Chef Josh Capon - huge fan of B&B, and Lure (both locations). Tried out too many items to list, but the Côte de Boeuf was a hit - i'll be ordering that each time -  so was the house special prime rib, and the burger. On the appetizer front, you have to check out the scallops, the oyster list is on point, and the beef tartare is a must order. 

Oh, and as an FYI if you're into that sort of thing - healthy craft beer selection with some nice California beers (Stone, Sierra Nevada), which go very well with the fare. I'm sure that list will be expanding because it seems you can't hit a new Manhattan restaurant that doesn't have at least 20 different craft brews. Pretty excited to see a few Belgian beers on there and a great midwest sour.

Had the coconut cake that we preordered, absolutely delicious. The pastry chef for this group is a national treasure. 

But, don't put too much weight into this - my reviews are never quoted in Eater. :)",False,10,9,4,X V.,en
670,2014-11-18 04:50:24+00:00,5,"Awesome spot, great atmosphere,  tasty appetizers, extensive wine list. Menu varied in price and the pork ribeye was special. Friendly service coupled with professionalism (like the exchange for clean silverware between courses) definite returning customer and highly recommend.",False,3,2,0,steve n.,en
669,2014-11-23 19:20:50+00:00,3,"The food here is pretty good. The foie gras was amazing, but my chicken was too salty. Overall it was disappointing that we had to wait for an hour for our 10 PM reservation to be seated. The hostess kept avoiding our questions for an ETA for the table, insisting that it was almost ready when it was not.",False,1,0,0,Austin H.,en
668,2014-11-27 03:30:25+00:00,5,"Recommend:
- Broiled Oysters
- Steak Tartare
- Short Rib Ravioli
- Pork Rib Eye
- Duck Lasagna
- PB&J dessert

Our server Joshua was excellent! 

Cocktails are okay.

Decor is kinda meh.


Expensive, but worth it.",False,5,0,0,Michael S.,en
667,2014-11-27 15:24:30+00:00,5,"Despite being in a new building that robs the east village of its charm, this place is great for dinner out.

Dressed oysters are the best I've had, steak was on point, and that oxtail thing - I wish they gave everyone more!",False,2,0,0,Mike G.,en
666,2014-11-29 02:10:31+00:00,5,"Just had a wonderful dinner at this warm and stylish place  Food was delicious. Lots of excellent choices. We had the cauliflower appetizer as well as the liver pate. Both were excellent. For dinner we shared the duck ragu lasagne. Delicious!  Don't miss dessert. We had the the peanut butter and jelly mousse and the donuts with mocha pudding. The service, by Joshua, was outstanding.",False,1,0,0,C C.,en
