month,num_neg,num_neu,num_pos
2009-12,0,0,1
2010-04,0,0,1
2010-12,0,0,1
2011-01,0,0,1
2011-05,0,0,1
2011-06,0,0,1
2011-07,0,0,1
2011-09,0,0,1
2011-12,0,0,1
2012-02,0,0,2
2012-03,0,0,1
2012-05,0,0,1
2012-06,1,0,1
2012-07,0,0,2
2012-08,1,0,1
2012-09,0,0,1
2012-10,1,0,0
2012-11,1,0,1
2012-12,0,0,1
2013-01,1,0,1
2013-03,0,0,2
2013-04,0,0,1
2013-05,1,0,1
2013-06,2,0,0
2013-11,1,0,0
2014-03,0,0,1
2014-04,2,0,0
2014-05,0,0,1
2014-06,1,0,0
2014-07,0,0,2
2014-08,1,0,0
2014-10,1,0,0
2014-11,0,0,1
2014-12,0,0,1
2015-02,0,0,2
2015-03,0,0,1
2015-04,0,0,1
2015-05,1,0,0
2015-06,0,0,1
2015-08,0,0,1
2015-09,0,0,1
2015-10,0,0,1
2015-12,0,0,2
2016-01,0,0,1
2016-02,1,0,0
2016-03,1,0,0
2016-06,1,0,0
2016-07,0,0,1
2016-09,1,0,1
2016-11,0,0,2
2016-12,1,0,0
2017-02,0,0,1
2017-11,0,0,1
2018-01,1,0,0
2018-02,0,0,1
2018-03,1,0,1
2018-08,0,0,2
2018-10,0,0,2
2018-11,1,0,1
2018-12,0,0,1
2019-04,0,0,1
2019-05,1,0,1
2019-07,0,0,2
2019-08,0,0,1
2019-09,0,0,1
2020-01,1,0,0
2020-07,0,0,2
2020-08,0,0,2
2020-09,0,0,2
2020-10,0,0,2
2020-11,0,0,1
2021-01,0,0,1
2021-02,1,0,0
2021-03,0,0,1
2021-04,0,0,1
2021-05,0,0,2
2021-06,0,0,3
2021-08,1,0,1
2021-09,2,0,1
2021-10,0,0,1
2021-11,0,0,3
2022-01,1,1,0
2022-04,0,0,1
2022-05,1,0,2
2022-06,1,0,1
2022-07,2,0,0
2022-09,0,0,1
2022-10,0,0,2
2022-11,0,0,1
2022-12,0,0,1
2023-01,0,0,20
2023-02,0,0,1
2023-05,0,0,1
2023-06,1,0,0
2023-07,0,0,1
2023-09,1,0,0
2023-10,0,0,2
2023-11,2,0,2
2023-12,1,0,0
2024-04,0,0,2
2024-07,0,0,1
2024-08,1,0,0
2024-11,0,0,1
2024-12,0,0,1
2025-03,0,0,1
