,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
167,2009-12-15 21:26:58+00:00,5,"My amazing fabulous diva Grandma and I were the only people eating lunch here today aside from Kyra Sedgwick and her Grandma. So, that was already pretty cool. The food here was too good for my vocabulary to do it justice. We shared a lovely salad to begin along with the breadsticks/bread/olives that were set out for us. I had the fig and beet ravioli which was by FAR the best ravioli I've ever had. The portion sizes were perfect and beautifully presented. The service was impeccable. For dessert we shared ""all about chocolate"" which was exactly what you'd expect. Little did we know, they also brought out adorable little pasties on the house- had we known that we probably would have skipped the chocolate dessert. We are BIG sweets eaters and couldn't make a dent in the spread left for us. All in all, this was one of my favorite dining experiences to date and I would love to go back sometime soon! It is, however, rather pricey- as to be expected with quality and service like this- but definitely worth a special occasion splurge if you've got the money (or a diva Grandma who does :) Bravo! Bravo! Bravo!",False,0,0,0,Carey Y.,en,"{'neg': 0.028, 'neu': 0.749, 'pos': 0.222, 'compound': 0.9885}",0.9885,0.222,0.028,0.749,positive
166,2010-04-30 16:34:30+00:00,4,"Despite having a limited time to make a reservation, the concierge at The Mark came through and managed to squeeze in a party of four on a Saturday night. The wait staff was attentive, but a bit too assertive when it came to taking our seats and reviewing the menu. The restaurant was full, yet there wasn't a wait and it didn't feel congested. The people watching factor is as high as anywhere else I've eaten on the Upper East Side and the food was very good. If the Mark concierge can squeeze me back in, I'll be back!",False,0,0,0,Theo H.,en,"{'neg': 0.065, 'neu': 0.834, 'pos': 0.101, 'compound': 0.4146}",0.4146,0.101,0.065,0.834,positive
165,2010-12-24 04:45:56+00:00,2,"Beautiful space have eaten here both times with 6 or more people have tried almost every dish for the price nothing ever stood out not the bass or the steak , short ribs. The service good but not friendly. The last time we used the coat check where we also checked some wine glasses in gift bags. When we left the coat check girl never gave us the glasses and we forgot to ask for them. We called 2 days later they said they will hold them for us to pick up. When we showed up 5 days later they said someone must have thrown them out not an apology , free drink nothing, bad, bad form for a place where we dropped at least 2k each time. We're done with this place.",True,4,1,0,Brad B.,en,"{'neg': 0.062, 'neu': 0.808, 'pos': 0.13, 'compound': 0.9006}",0.9006,0.13,0.062,0.808,positive
164,2011-01-05 20:13:27+00:00,3,Big power scene...but we had a reservation just before Christmas and when we arrived there was a private party. They wouldn't even let me have a drink while I waited for the other 3 in my party to arrive. Go there if you're a bigwig or if you have a healthy ego and want to pay a lot to pretend you are.,False,0,0,1,Jessie M.,en,"{'neg': 0.047, 'neu': 0.797, 'pos': 0.156, 'compound': 0.765}",0.765,0.156,0.047,0.797,positive
163,2011-05-14 01:32:33+00:00,5,"Gorgeous, intimate space on the UES with excellent food.  Decor is outstanding particularly when one considers the size of the restaurant.  Of course, being in NY, means you should make a rez or be okay sitting in the front room near the bar.  

Service is outstanding as well and the wine list is a bible.

In summary, one of the best places in the neighborhood.",False,5,3,4,David A.,en,"{'neg': 0.035, 'neu': 0.647, 'pos': 0.318, 'compound': 0.9776}",0.9776,0.318,0.035,0.647,positive
162,2011-06-29 15:14:06+00:00,5,"Went for a glass of wine, MAYBE a salad... 5 glasses of wine and six courses later, I was in Italian heaven. Gazpacho tea cup, broccoli puree soup, tuna tartare, lobster entree, sorbet, italian donuts filled with ricotta -- un. real. he faces on the wall are a little weird, gives you something to talk about and remember. Bit stuffy for me, definitely a mature crowd. Service is OUTSTANDING. The bartender Theodora was a gem. Not just dining out -- it's an experience.",False,1,0,0,Danielle B.,en,"{'neg': 0.094, 'neu': 0.759, 'pos': 0.147, 'compound': 0.5894}",0.5894,0.147,0.094,0.759,positive
161,2011-07-28 15:06:36+00:00,4,"I went on a Wednesday night with my dad and aunt. It was a very mellow and upscale atmosphere with a bit of an older crowd. I was seated at the first table in the dining area, closest to the bathroom with my back to the rest of the restaurant, so I wasn't starting at the older folks and didn't have to look at the slightly creepy wall of faces that's painted on their back wall. I had a much beter view of the super cute hostess instead. 

The service was decent, they didn''t come check on you very often, but were available to be flagged down quite easily. Good if you aren't in a rush and just wanted to enjoy each course at your own pace. 

I started with the assorted meats (delicious), had the lobster main course (amazing), and fresh doughnuts for dessert which they wheel out on a cart so you can see. The caramel/maple dipping sauce was incredible combined with the doughnuts. It wasn't a very novel dessert since I've had similar amazing freshly made doughnuts before at other restaurants like this (Perilla) but a good dish is a good dish. 

Great grappa selection as well, had a super sweet Amarone which I had never tried before. They had mostly grape distilled, very smooth grappas. 

I wuold definitely reccomend this place for a date, special occasion or just a nice dinner to treat yourself to!",False,0,0,0,Frank T.,en,"{'neg': 0.01, 'neu': 0.733, 'pos': 0.257, 'compound': 0.9971}",0.9971,0.257,0.01,0.733,positive
160,2011-09-22 21:32:16+00:00,5,"Truly one of the best Italian restaurants I've ever experienced. My taylor for my wedding dress is located down the block. My fiance, mother, sister and myself were starving and came across this place. First we sat by the bar had a glass of wine, which was out of sight. We glanced at the menu and thought ""Expensive yes, but let's give it a try"". A few hours later we were in Italian heaven! To start we ordered oysters, an antipasti dish, and asparagus. For our entree I went with homemade fettuccine, with a cream sauce and to top it off they had black truffles, never tasted anything like it in my life, my fiance had lobster and my mom and sis went with the crab ravioli. To the end night we had cappuccinos, along with Chocolate cake, sorbet, and ricotta stuffed pastries. This restaurant was a real treat for all of us! 

The staff was incredibly friendly and sweet. The ambiance was beautiful.",False,0,0,0,Danielle M.,en,"{'neg': 0.051, 'neu': 0.774, 'pos': 0.175, 'compound': 0.9785}",0.9785,0.175,0.051,0.774,positive
159,2011-12-19 02:09:28+00:00,4,"I went here with my friend from California who was staying at the Surrey Hotel nearby.  I can't believe I had not tried this restaurant sooner as it is only a few blocks away from my house.  The food is just delicious and the decor and service is very good as well.  The waiters are friendly and helpful and I had fun practicing my Italian with them.  My favorite dish was the Farfalle  con Vellutata di Parmigiano, Pomodoro, e Tartufo  Nero (Bowtie pasta in a creamy Parmesan sauce with fresh tomatoes and black truffles) a decadent dish but so worth it!! I highly recommend it!  We went back twice in one week because it was so good!",False,0,0,0,Tamae I.,en,"{'neg': 0.011, 'neu': 0.729, 'pos': 0.26, 'compound': 0.9841}",0.9841,0.26,0.011,0.729,positive
158,2012-02-01 17:22:28+00:00,5,"This is a great, formal, UES neighborhood restaurant. Maybe too formal for its own good. I dont have any negative things to say but be prepared that the average age is 55+ in the dining room. Its not a cool hip spot, a better place to take your parents or have a business meeting. The specials are better than the menu options in my view. The regulars always get priority seating if there is a wait. Highlights include the beet salad, the veal chop, the organic chicken, and the steak. The wait staff is well trained and hard working.",False,0,0,0,Asher A.,en,"{'neg': 0.145, 'neu': 0.68, 'pos': 0.175, 'compound': 0.3709}",0.3709,0.175,0.145,0.68,positive
157,2012-02-12 23:36:28+00:00,5,"The minute you walk into Caravaggio, an aroma of fresh truffles greets you and follows you into the absolutely gorgeous dining room.  Located in close proximity to some of the best art museums in the country, Caravaggio takes this inspiration and displays modern sculpture and murals throughout the breathtaking restaurant. What also amazed me was the sound architecture in the main dining room - although every table was filled, we were able to carry out intimate dining conversation without shouting over everyone else.  

Now on to the food. We had an italian sausage and buffala mozzarella antipasti and both were amazing.  The italian sausage was extremely tender and flavorful, and the beets paired nicely with the buffala mozzarella.  But then the pasta really took the cake. We ordered three different pastas to share with the table, and they thoughtfully brought each one of us a plate with a tasting portion of each of the three pastas so that we didn't need to pass around each plate and divvy them up ourselves. We ordered a pesto spaghetti that was a special for the evening, along with a bowtie pasta with a black truffle cream sauce, as well as the cavatelli with jumbo crab meat and fresh sea urchin.  All of the pastas were extremely fresh and perfectly cooked, but I have to say the cavatelli was a bit on the saltier side.

For my entree I had the branzino special served over mushrooms. It came with crispy branzino layers stacked one on top of the other.  It was amazing. I loved the perfectly crispy skin of the branzino. Even though I couldn't finish it, it still tasted great the next day.

The wait staff and service were all excellent. I felt like I was in a real Italian restaurant (I'm pretty sure a requirement for working there is that you're Italian, as everyone seemed to be).  The waiter we had recommended a superb white chardonnay that was one of the best I've ever had. It was light, crisp, and buttery.  The best part was the enormous black truffle they kept in a dome next to our table. They brought it over and let us take in the surreal aroma.

I probably wouldn't go back to Caravaggio on my own dime, I was lucky to have been a guest and so glad our host knew of this special restaurant.",False,3,1,1,Angel H.,en,"{'neg': 0.009, 'neu': 0.688, 'pos': 0.303, 'compound': 0.9993}",0.9993,0.303,0.009,0.688,positive
156,2012-03-25 02:25:08+00:00,2,"Caravaggio is very pretty inside, smells great, and the staff is professional and attentive.  However the food left a lot to be desired.  The shrimp scampi special was too salty, the farfalle pasta dish had too much garlic, and the risotto with gorgonzola cheese and peas was overpowered by the gorgonzola sauce.  Granted, gorgonzola is a strong cheese, but it could have been balanced out better.  After a strawberry shortcake dessert that fell flat, we were presented with a large bill, that showed that one of our entrees, the crab legs, was $60.  This had been one of the specials, and was twice the price of any other entree on the menu, which the waiter should have told us.  He did hint that the truffle entree special was quite pricey, probably meaning closer to $100, but I think if a special is twice the price of a normal menu item, the waiter should let the diners know.

I know this is a fancy UES restaurant, and I was expecting a large bill, but I was also expecting the food to be delicious and memorable, which is was not.",False,3,0,0,R L.,en,"{'neg': 0.043, 'neu': 0.785, 'pos': 0.172, 'compound': 0.9768}",0.9768,0.172,0.043,0.785,positive
