month,num_neg,num_neu,num_pos
2013-03,1,0,10
2013-04,0,0,9
2013-05,6,0,5
2013-06,0,0,11
2013-07,4,0,10
2013-08,3,0,7
2013-09,4,0,7
2013-10,2,0,4
2013-11,2,0,11
2013-12,1,0,6
2014-01,1,0,6
2014-02,2,0,3
2014-03,0,0,8
2014-04,1,0,10
2014-05,1,0,5
2014-06,1,0,3
2014-07,1,0,8
2014-08,2,0,8
2014-09,5,0,5
2014-10,1,1,5
2014-11,4,0,8
2014-12,2,0,8
2015-01,4,0,7
2015-02,2,1,8
2015-03,1,0,10
2015-04,1,0,6
2015-05,1,0,4
2015-06,1,0,8
2015-07,1,0,7
2015-08,4,0,8
2015-09,3,0,9
2015-10,2,0,9
2015-11,2,0,8
2015-12,2,0,8
2016-01,1,0,10
2016-02,3,0,11
2016-03,2,0,15
2016-04,1,0,9
2016-05,2,0,12
2016-06,3,0,4
2016-07,2,0,15
2016-08,3,0,10
2016-09,0,0,11
2016-10,0,0,15
2016-11,1,0,11
2016-12,1,0,6
2017-01,0,0,4
2017-02,1,0,6
2017-03,3,0,5
2017-04,4,0,7
2017-05,5,1,5
2017-06,3,0,9
2017-07,3,0,14
2017-08,1,1,17
2017-09,2,0,11
2017-10,3,1,14
2017-11,2,0,11
2017-12,3,0,10
2018-01,5,0,17
2018-02,2,1,8
2018-03,5,0,13
2018-04,2,0,12
2018-05,0,0,7
2018-06,4,0,13
2018-07,1,0,14
2018-08,2,0,14
2018-09,2,0,9
2018-10,1,0,15
2018-11,4,0,9
2018-12,1,0,14
2019-01,3,0,12
2019-02,2,0,11
2019-03,1,0,6
2019-04,4,0,9
2019-05,3,1,14
2019-06,2,0,11
2019-07,1,0,7
2019-08,4,0,13
2019-09,2,0,12
2019-10,3,0,16
2019-11,2,0,14
2019-12,2,0,10
2020-01,3,0,11
2020-02,2,0,14
2020-03,3,1,7
2020-04,4,0,5
2020-05,3,0,3
2020-06,3,0,1
2020-07,3,0,5
2020-08,2,1,13
2020-09,3,0,7
2020-10,2,0,12
2020-11,4,0,12
2020-12,3,0,18
2021-01,5,0,11
2021-02,5,0,11
2021-03,5,0,10
2021-04,5,0,10
2021-05,1,1,12
2021-06,1,1,12
2021-07,5,1,16
2021-08,3,1,18
2021-09,1,0,13
2021-10,2,0,19
2021-11,2,0,7
2021-12,0,0,12
2022-01,2,0,26
2022-02,2,0,17
2022-03,3,1,16
2022-04,3,1,16
2022-05,0,0,13
2022-06,2,0,21
2022-07,2,0,14
2022-08,3,0,14
2022-09,2,0,9
2022-10,2,0,6
2022-11,2,0,16
2022-12,2,0,13
2023-01,3,0,19
2023-02,1,0,21
2023-03,5,0,22
2023-04,4,0,12
2023-05,5,0,10
2023-06,3,1,13
2023-07,2,0,20
2023-08,2,0,21
2023-09,5,1,16
2023-10,5,0,21
2023-11,2,0,18
2023-12,0,0,18
2024-01,4,0,21
2024-02,3,0,11
2024-03,2,1,14
2024-04,2,0,15
2024-05,2,0,11
2024-06,2,1,13
2024-07,2,0,16
2024-08,1,0,16
2024-09,1,0,16
2024-10,1,1,18
2024-11,1,0,15
2024-12,1,0,9
2025-01,1,1,9
2025-02,1,0,12
2025-03,1,1,11
