,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
1982,2013-03-14 16:12:34+00:00,5,"Prepare for transport into the days of the Rat Pack at the latest from the owners of Torrisi and Parm. CARBONE -- an overdue exploration of comfort Italian food in a place that delicately balances fur-clad models in stilettos; staff in Zac Posen-designed burgundy suits; art curated by Vito Schnabel; and beef carpaccio so beautifully prepared, you could spread it on the warm, perfect crunch-to-butter-ratio garlic bread.

It's a true testament to what dining looked like in the movies of the 60's and early 70's; when you dressed to dine with friends in a 'Suit & Tie' (sh*t) over a table so full of wine glasses and food, you can't see the stains of red sauce on the tablecloth.

Plan in advance, bring the right crowd, make friends with the right people and you could score the best seat in the house: the back brick room crescent table.

Menu highlights:

-Beef Carpaccio
-Seafood Salad
-Oysters
-Meatballs
-Pasta alla Vodka
-Seafood Pasta
-Lobster Fra Diavolo
-Shrimp Scampi
-Lemon Cheesecake

//foodpaparazzi


-Tiramisu",False,3,8,3,Lauren B.,en
1981,2013-03-16 12:16:48+00:00,5,"I was not about to spend Friday night moping around the apartment about being past my due date.  

Carbone had opened, early reports were positive... and reservation or not (not) I decided to head down for doors at 5:30 and see about snagging a table before all I could do is read about this place, green with envy.

And green with envy I would have been.  I think we all know by now that Rich and Mario would turn out exceptional versions of the familiar comfort Italian dishes we know and love.  I can confirm this.

What really shines about this place is the service and the vibe that is so tongue-in-cheek-that-its-not-tongue-in-cheek-at-all.  Never has ""that's amore"" been so perfectly placed in my life - right in between forkfuls of delicious spicy rigatoni a la vodka.

I read an article somewhere over the summer about the ""extras"" being planned - they came early and often. Clumps of delicious Parmesan, A slice of ham, ""Grandma's Bread"", House made pickles in olive oil, a bread basket (fans of parm will quickly notice the familiarity of the best garlic bread in town), fried bowtie cookies (cenci alla fiorentina), housemade limoncello, housemade grappa, and the most aw-shucks of them all - Sambuca, which the ""wine advisor"" (sommelier does not feel right in this instance) left on the table saying - ""have as much as you want"".  You can only have so much Sambuca, but it was appreciated. 

When asking where is the bathroom, I was not given directions.  I was told ""right this way ma'am"", and then led there.  

Perhaps the most unanticipated delight of this meal, given they were kind enough to seat us without a reservation (please call ahead on walk ins vs. taking my experience for the norm.) was the comfortable pacing, especially towards the end as we became friendly with the couple next to us - while drinking low margin coffee.  And then at just the absolute perfect time, instead of bringing over the cc billfold, our server came over and asked ""can I get you anything else?""

No thanks. Just the check. And that private reservation # please. I know it exists.  

NOTES ON THE FOOD:
Had 2 Starters - the ceasar salad with strips of anchovies & the aged beef carpaccio.
Had 2 Pastas - the spicy rigatoni vodka & ravioli caruso with liver and bacon
Shared a Meat - the veal marsala
Shared Dessert - the blackout cake (OMFG) with two americanos

Perfect amount... if you plan on walking to the east broadway F after.

Perfect amount... if you plan on walking to the east broadway F after.",False,10,4,4,Maia D.,en
1980,2013-03-21 16:53:39+00:00,3,"I'd like to start by pointing out that this is my first Yelp review. However, after seeing the other two reviews on here about Carbone (and I agree with Eater NY that they are a shill), I had to write a review about my experience last night at Carbone. The food was exceptional, I just wish the front of house staff held to the same standards as the kitchen does with the food.

I scored a reservation at Carbone by repeatedly calling the number posted on Carbone's website a couple of days before opening day. With persistence, I finally got through and scored a 7:30pm reservation for two during the second week after opening. We arrived at Carbone right at 7:30pm and were advised that our table ""wasn't quite ready yet"" and were encouraged to enjoy drinks at the bar. We happily obliged and headed to the bar to enjoy very well crafted Old Fashioned and Manhattan cocktails. At first, there were only a couple of other individuals at the bar so it didn't feel cramped. However, after the wave of 7:30-8pm reservations started rolling in and with no tables ready, the bar scene became a nightmare. We were forced to stand near the dessert station (the bar is kind of tucked into a corner and by the hallway that leads into the kitchen, so it is a heavy traffic area to try and stand) and, ONE HOUR after our reservation time and being incessantly nudged as people tried to claim their space, we were finally seated.

Once we were seated, the head hostess (who was very sweet and apologetic about our wait) offered to comp our cocktails. We happily took her offer, however, it was then obvious that front of house didn't communicate since someone immediately came over and gave us the schpeel on the cocktails, ""you've seen these before,"" blah blah blah. We let her finish since we knew she'd soon find out about our situation. She then brought our cocktails, feeling a little embarrassed, and the ""house freebies"" started to come. You can tell that Carbone is trying to be like Il Mulino since the ""house freebies"" mirrored what Il Mulino offers: nugget of parmigiano-reggiano, focaccia (which Carbone refers to as ""momma's bread""), and some prosciutto. All delicious, especially the ""momma's bread,"" but, as the ""house freebies"" were dropped off, no explanation was provided and they were kind of thrown on our table. What happened to the 1950s, Rao's dining experience that the Torrisi boys' envisioned for Carbone? In order to get a sense of what the ""house freebies"" were, we had to yell to get the servers attention and then ask what was just dropped off at our table. It then took thirty minutes for the menus to be delivered and, before the server ran off, we got our food order in since we already decided what we wanted during our one hour wait for our table. We had to pass the time somehow, right? 

We ordered the aged beef carpaccio and the posillipo pan roast for our antipasti, both delicious and DEFINITELY ""must try."" For the macaroni, we went with the spicy rigatoni vodka and the tortellini al ragu. The spicy rigatoni was DELICIOUS and it has a kick. The tortellini had a great flavor profile with the ricotta filled center and meat sauce, but it would've been better if it was served hot and not luke warm/cold. Rather than trying to send off the flare gun to ask the kitchen to reheat the tortellini, we pressed onward. We ordered the bass oreganata, considering the note in the NY Times about the ""house dried oregano,"" and the chicken scarpariello. Both were good, nothing to write home to mom about. We then topped our meal off with the carrot cake and black-out cake. I loved both the desserts but my partner, being the HUGE chocolate fan that he is, didn't think the black-out cake was decadent enough. Oh well, to each their own. We loved the house grappa which was a fig and fennel fusion.

Our check came and the comped drinks were not comped, but the sweet and apologetic hostess quickly corrected the situation. We were very surprised at our experience given what the Torrisi boys mentioned in the NY Times and NYMag articles about the vision they had for Carbone, especially with our experience being on a Wednesday night. Don't believe all of the marketing hype about walking in and getting the 1950s, Rao's or Il Mullino experience. Be ready to dine at the current NY hotspot with the usual sense of entitlement and your expectations will be on par with what you'll experience. We hope to check out Carbone in a year or so well after it has gone through its excitement phase. What happened to the days where the Torrisi boys were serving their cheap, GLORIOUSLY done tasting menu and running a sandwich shop in the same spot during the day......sigh",False,9,2,1,Jonah T.,en
1979,2013-03-22 13:41:58+00:00,5,"Incredible! My wife and I went there last night and had the best meal we've had in a long time. The T Bone steak is amazing!!!!! 
The Bow Tie pasta with lobster is one of a kind. Great atmosphere and staff!",False,0,0,0,George K.,en
1978,2013-03-25 12:58:45+00:00,4,"Do you like to sing Volare & Mambo Italiano with your food? Old school meets new school at the latest Torrisi throwback themed incarnation. The hostess made a reservation for me late the same day- cool. Went when they opened at 5:30. The space has that private feeling and has that retro clubby feel. The proscuitto is cut in house and you see it upon entering.

The food comes and comes and comes starting with -
parmigiano cut from the circle
The proscuitto
Grandma bread
A bread basket

Ordered:
Diver scallops-2
Table prepared Ceasar w/anchovies
Ribs with cherry peppers
Creamed escarole

The diver scallops Sorrentina style were delish- as was everything. This is a gargantuan feast not a meal. They season the imported grissini in house. The standout was the creamed escarole- creamy, cheesey with pancetta- a very nventive dish. Dessert on the cart looked a tad pedestrian and the descriptions of the food did not match the sheer greatness of the dishes, otherwise loved the whole experience.  The service works the ""throwback thing."" Total bill- $98- no drinks, but the wine & beer lists looked good.",True,4,1,2,Franny A.,en
1977,2013-03-25 17:17:11+00:00,5,"I was looking forward to dinner here so much, I figured there was no way it could live up to my expectations.  Thankfully I was wrong.
What a perfect night.  The ambiance is upscale Italian- you feel transported back to the 1950's with the tuxedoed waiters and the oversize menus.
Drinks are pricey ($17) and are modern takes on old classics.  The Manhattan was incredible. Margarita good but gone in a few sips.  
We started with a truffled beef carpaccio which was amazing.  Followed by a Caesar salad (they mix the dressing right at the table).  For entrees we did the famous veal marsala (yes, it was pricey but in my opinion, worth it).  Just the mushrooms alone that accompanied it were some of the best tasting food I've ever had.  My boyfriend enjoyed the lobster.  I was also obsessed with the spicy vodka rigatoni (mentioned in other yelp reviews).
But whatever you do, do NOT miss dessert.  The carrot cake was phenomenal!!! (and better than the black out cake for sure).
I can't wait to go back.  Perfect for entertaining out of town guests.  Torrisi might win out by just a hair, but in my opinion they both have some of the best food in Manhattan.",False,1,0,0,Elisa R.,en
1976,2013-03-27 20:57:15+00:00,1,"Hilarity does not ensue:
I'd like to start by pointing out that I never had any interest in writing reviews about my restaurant experiences, but after this encounter I'd like to share mine at Carbone. After a long wait for my reservation my group and I were very pleased to be there. To begin with I had great expectations for this restaurant, I had heard about this new place in town so naturally I had decided to bring my buddies (Group of 4) here with me, sadly our experience wasn't what we were expecting. The manager seated our group in the very back of the restaurant (near the kitchen). Beware of the service, they are to be treated with extreme caution (be very careful in listening the Captain's in the way they present the menu). We were planning to order three apps, but we were convinced to add our order with a cold antipasti ($45/pp). After this happened the waiter insisted that we also order pastas and told us that he'd ""take care of us"". We ended up having 4 courses of pastas (each $16 /17 per pasta x 4) , and on top of that he brought us meatballs that were never order! Originally we planned to share 2 entrees and rest assured, but the Captain urged us all that we order our own entrees.  Lobster Fra Diavolo ($87), he never once mentioned the price. My other friends ordered the Veal Parmesan (Make a note that the Veal is enough to feed 3 people), the T-Bone stk, Carabinero Shrimp Special( $64) for 4 grilled shrimp's only, and 3 Contornis ($ 12 each).  
By the secondi (After Pasta course) we were completely bloated, we thought the waiter would actually do his job and take care of us as customers with respect, rather  than bringing us a sea of food and unnecessarily taking advantage of us. I'm serious you can't trust these guys. Before the food had arrived I was looking the room and admiring the floor, pictures. They were all very beautiful, but out of the corner of my eye also noted that this pack was commanded by a tall fat guy who roams the rooms  walking and looking like he had a chip on his shoulders. We called him "" Al Capone"", later we learn that he was the owner (Jeff Z) who was a very petulant arrogant person and he treated us like a ""prey"". In the end we felt screwed over by this pack of wolves. 
Over all we were disappointed by all the impositions and suggestions. This is not any Italian restaurant, these guys will leave your wallet for dead. Let's say you order an espresso they will bring a bottle of Sambuca (free), beware this isn't a favor they're doing you. This action act of generosity is all but preparing you to get drunk for the 'Grand Finale'! The check. 
The food is gratifying, but not worth the pay. Marea is a hundred times better than this. The ambiance is weird, the music way to loud,  also did I mentioned that our bill ended up being near to 1 grand! For just 4 people!? Remember I warned you about the 'Grand Finale' (; Though we are young I don't think that would be an excuse for the service provided to use us to their own ends. I don't recommend this place unless you enjoy having your decisions made for you and to come to the realization that you have an excessive amount of food that you won't eat.",False,9,1,3,Mauro T.,en
1975,2013-03-29 10:40:27+00:00,4,"FYI - Carbone DOES accept credit cards now. Food was great!! Loved everything - tortellini with ragu, linguine vongole, all delish. Best Parmesan cheese ever!  Will definitely be back.",False,0,0,0,Susan B.,en
1974,2013-03-29 23:01:58+00:00,1,"Wow!!

One of the most disappointing experiences ever.   Almost hilariously bad!

   Service was amateur.. as was the whole place.   Part of what makes a restaurant or bar great is a professional waiter or bartender.    This place is not professional in it's service, atmosphere or food.    The good reviews of this place boggle my mind.   You all must work there...  as it sounds like it from your reviews.

 Are Mauro T and I the only people that actually went there?    Or are we the only two that didn't grow up eating Kraft singles in the midwest?   You all have to be kidding to tell anyone that this is a good restaurant ..at any price....... nevertheless their exorbitant prices.  To say the food was average would be generous.   Noveau cuisine or old school italian???  I don't think they know ... either way it is was AWFUL!!!!    This place should be avoided at all costs.   They will be ""doing you a favor"" it they even bring your food to the table hot...  as we found out.

Sometimes you get what you pay for....  but surely not here.   

The decor is sad.    They claim they tried to make it  ""old school""..  as some people actually mention in their reviews.   Instead they made the place look like a cheap Disney cartoon take off of an old italian place.   Cheesey.  

By the Way....   WHO ARE YOU? ...... your sign says Carbone on top of the old Rocco sign...    Your menu cover highlights Rocco Restaurant sign instead of your name .....

This is a comic book rip off of  good italian food & decor    

I don't wish anyone failure....  but I have to make an exception here. 

The  two ""celebrity chef/restaurant owners""   should go back to what ever TV show or radio show they came from.",False,10,4,6,AL G.,en
1973,2013-03-30 02:08:43+00:00,3,"Known as one of the ""hardest"" restaurants to get into these days, Carbone really disappointed me with their service.  

As soon as we walked in we were greeted by the hostesses and our jackets were taken.  We arrived about 10 mins early so we waited at the bar.  The bar tender was definitely a character with a full beard and bow tie.  Everyone walking around with bow ties and jackets, it was almost a bit theatrical!  

After waiting, we were walked to our table (#15 - as written on our doggie bag).  When we were sitting all we got for the first 15 mins was water.  I had to ask to see a menu and for some bread as my boyfriend was a bit sick and we were both pretty hungry.  There's a fine line between horrible service and having a ""dining experience"" but I rarely have to ask for menu's or bread when I go out. 

Finally after another 10-15 mins. a small plate of ""mama's bread"" and a chunk of Parmesan cheese was given to us.  They were both okay.  The cheese wasn't that sharp and the bread was a bit dry but it was something to eat nonetheless. 

We didn't order any alcohol but got right into the menu.  Our waiter was on the older side and went on explaining the seafood dishes and the entrees.  I was kind of in the mood for seafood so I inquired about the ""jumbo shrimp"" which he told me was no longer available but that they had scallops instead.  He suggested I try the scampi.  I was excited and asked if I could get that as an entree size.  Now, I only mentioned he was older because I think this is where the misunderstanding happened.  He nodded and said ""of course, yes!"" and then we ordered our appetizers and the rest of our meal.

Now, the Caesar salad was made fresh but I actually found it to be a bit too garlic heavy.  The portion was not made for sharing but we split it anyway.  

Next came the disappointment of the night.  My shrimp scampi!  It was 3 shrimps sliced in half and served with half a lemon.  Now, I am not one to complain about small portions but $38 for 3 shrimp is a bit cray.  They were good but I wanted a bit more for nearly $40.  

My boyfriend wasn't feeling well so we skipped dessert and our waiter seemed mad at us for not getting dessert but we got the checked and were ready to head out.  I doubled check with our waiter that $38 was the appetizer portion and he replied ""there's only one size""....oh?!  

Did I think it was worth $110?  Absolutely not.",True,17,0,3,Kimberly L.,en
