month,num_neg,num_neu,num_pos
2014-09,6,0,17
2014-10,0,0,12
2014-11,4,0,9
2014-12,3,0,12
2015-01,3,0,13
2015-02,4,1,9
2015-03,5,0,14
2015-04,3,0,12
2015-05,4,0,5
2015-06,5,1,8
2015-07,0,0,9
2015-08,1,0,14
2015-09,3,0,11
2015-10,1,0,4
2015-11,3,0,13
2015-12,5,0,15
2016-01,4,0,8
2016-02,1,1,11
2016-03,0,0,11
2016-04,3,0,3
2016-05,5,0,8
2016-06,2,0,11
2016-07,2,0,7
2016-08,3,0,12
2016-09,2,0,7
2016-10,5,0,13
2016-11,3,0,8
2016-12,6,0,14
2017-01,1,0,6
2017-02,2,0,6
2017-03,3,0,9
2017-04,1,0,4
2017-05,1,0,10
2017-06,1,0,5
2017-07,1,0,9
2017-08,0,0,10
2017-09,2,0,10
2017-10,2,0,4
2017-11,1,0,8
2017-12,1,0,10
2018-01,1,0,4
2018-02,1,0,7
2018-03,1,0,3
2018-04,0,0,7
2018-05,4,0,6
2018-06,0,0,2
2018-07,2,0,5
2018-08,0,0,4
2018-09,1,0,3
2018-10,2,0,5
2018-11,3,0,3
2018-12,3,0,9
2019-01,0,0,6
2019-02,0,0,10
2019-03,2,0,4
2019-04,0,0,7
2019-05,0,0,2
2019-06,1,0,5
2019-07,1,0,5
2019-08,0,0,4
2019-09,0,0,6
2019-10,1,0,4
2019-11,1,0,7
2019-12,1,0,8
2020-01,0,0,3
2020-02,2,0,3
2020-03,1,0,3
2020-04,0,0,1
2020-05,1,0,0
2021-06,1,0,2
2021-07,0,0,4
2021-08,0,0,3
2021-10,2,0,2
2021-11,0,0,4
2021-12,0,0,5
2022-01,1,0,4
2022-02,1,0,1
2022-03,0,0,3
2022-04,0,0,4
2022-05,2,1,3
2022-06,0,0,3
2022-07,1,0,4
2022-09,1,0,5
2022-10,0,0,3
2022-11,0,0,2
2022-12,0,0,6
2023-01,0,0,4
2023-02,1,0,2
2023-03,0,0,4
2023-04,1,0,3
2023-05,1,0,3
2023-06,1,0,2
2023-07,0,0,1
2023-08,1,0,4
2023-10,0,0,4
2023-11,1,0,0
2023-12,1,0,1
2024-01,0,0,3
2024-02,1,0,2
2024-03,1,0,2
2024-04,0,0,3
2024-06,1,0,2
2024-07,0,0,1
2024-08,1,0,3
2024-09,0,0,2
2024-10,1,0,1
2024-12,0,0,2
2025-01,0,0,4
2025-02,0,0,1
2025-03,0,0,3
