,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
787,2014-09-06 23:26:03+00:00,4,"Located inside the Ludlow Hotel, the latest hype machine from the Torrisi team has the familiar high prices and excellent food as their other spots.

This time it's French food, and it's pretty good, but nothing was particularly memorable or as mind-blowing as at Carbone.

It's not a stuffy French restaurant, and is more on the casual side with pretty loud music playing. It's not that big, but feels more spacious with creative mirror placement.

On to the important stuff, we got too much food, which was all pretty good:

- Flatbread with Creme Fraiche
Complimentary to start, this was really excellent. It's a small round piece of bread that is very hot and even more buttery. Off to a great start.

- Gnocchi Parisienne ($14)
This was quite good, and like all the rest of the food here, very rich. The gnocchi actually reminded me more of Korean-style rice cakes, which was actually a good thing. The creamy sauce and tomatoes added the richness and flavor that the spongy gnocchi needed.

- Lamb Carpaccio ($16)
This was an impressively-plated large portion of carpaccio topped with goat cheese and figs. It was delicious, but the only problem is that the portion of pita provided for eating the lamb with was way too small. 

- Roquefort Salad ($16)
This was a tasty salad, but not a $16 salad. Mostly composed of roasted beets, but filled with funky blue cheese, candied cashews and other veggies, it was filled with tons of strong flavors. It was definitely way richer and not as healthy as you might expect a salad to be.

- Meunière ($26)
A very simple, clean plate, this was just a great piece of trout. It was definitely prepped with plenty of butter, and was very filling and satisfying for a piece of fish.

- Short Ribs Au Poivre ($33)
I was disappointed to hear they weren't serving the Cote de Beouf for 2, but this was a great consolation. This was a really generous portion of meat, an excellent slab of extremely soft and buttery short rib.

- Cauliflower Roti ($10)
Pretty tasty for cauliflower, this is a good choice for something a little lighter, even though it's still pretty oily too.

- Pommes Frites ($10)
You gotta have frites at a French restaurant, and these were really great, as well as very different from any I've had before. Instead of long, thin fries, they were more in the shape of potato chips, but much thicker and very crispy. These are a must as a side to go with your entrees.

- Tarte Tatin for 2 ($18)
They don't have a dessert menu yet, but do have 4 options available. The one that most caught our attention (aside from the Beignets, which we should've ordered as well) was this Tarte Tatin topped with Rum Raisin Ice Cream. Not particularly large, I don't see why it's listed and priced as ""for 2"", but it was delicious. The tart was super buttery, and definitely needs that cool, refreshing ice cream to go along with it.

As expected from this group, and from the high prices, service was perfect throughout the meal. Everybody was very friendly and the waitstaff was on point. The food was good, but maybe not good enough to justify the prices, and probably not enough to make me want to come back, especially given how much of a pain it will be soon to get a reservation once the reviews start coming in. I would probably go to Sweet Chick next door instead for some really satisfying food for half the price.",True,31,10,14,Mike C.,en,"{'neg': 0.055, 'neu': 0.653, 'pos': 0.292, 'compound': 0.9996}",0.9996,0.292,0.055,0.653,positive
786,2014-09-09 11:24:27+00:00,2,"Really disappointing. They ran out of half the menu by 9:30. The food is good, but for the price it should be excellent. 
Started with lamb carpaccio which was nice but lacked that delicate dissolving quality. Tomato gnocchi was very average, felt tired. Ordered the bouillabaisse for main, the seafood itself was great but I expected a classic French, thick, rich seafood broth and it was quite thin. 
Highlight was oyster service, great idea and gorgeous oysters. 
Not worth the $300 for 3 price",False,8,0,2,Michael G.,en,"{'neg': 0.174, 'neu': 0.531, 'pos': 0.295, 'compound': 0.9463}",0.9463,0.295,0.174,0.531,positive
785,2014-09-11 06:11:51+00:00,1,"Dear New Yorkers,

Have you ever been to a restaurant in NYC where your meal is served 2hrs after bring seated? Cold? Mediocre with respect to taste .... oh did I mention that literally half of the items on the menu are not available because ' we ran out'.. Did you say 'no' , well neither have I until... Dirty French. 

I would say half of the restaurant is not only staffed with aspiring actors, writers , artists,  its filled with aspiring wait staff. Have you ever waited 45 minutes to give your order? 'No' you say, then come to Dirty French.

If you're into new experiences in NYC dining Dirty French is the place to for you.The best part is if you don't find something acceptable, call the manager Jess Taylor! He'll tell you how 'its out of his hands' and give you a business card, well isn't that nice. Just when you thought you saw it all , you meet the first NYC manager with zero customer service. Thanks Dirty French",False,13,3,2,p r.,en,"{'neg': 0.062, 'neu': 0.731, 'pos': 0.206, 'compound': 0.9853}",0.9853,0.206,0.062,0.731,positive
784,2014-09-11 17:07:08+00:00,1,"This experience was very disappointing especially because the owners know the NYC restaurant game (Torrisi, Carbone). First I'll start with the good...my four Belmondo drinks were great (when you wait two hours for food you end up drinking alot) and the bread and whipped fromage they bring out first was excellent (I should have just asked for a plate of that as my meal). 
Now on to the bad....they were late seating us, which probably isn't even worth mentioning except that mostly everything else was bad too. It took awhile for the waitress to come over and discuss the menu with us. Once she did she informed us they were out of their signature dishes, which also meant there was no beef or chicken on the menu so for someone who only eats those two things I didn't have too many options (it was suggested to me that I order sides as my main dish (rice pilaf and green beans). Once we got over the ""nothing is available"" hurdle we waited. And waited. And waited. Our food took two hours to arrive. I saw people sit down after us, eat their food and leave before our food even came. We really tried not to complain and understand new restaurants have growing pains but this was a week after they opened and this team should know their way around a busy restaurant. The waitress sent over the manager as she had done previously when there was no food available. This time it was Jes Taylor. He asked how our meal was and we shared our grievances and we were told he was sorry and that it was out of his hands. He offered his card incase we were willing to give them another try and offered to make our reservation but said that he could not guarantee a reservation time we wanted. So basically it was the same as calling the reservation line or emailing the general reservation team?!

To sum it up: the food was disappointing, the service was disappointing and the manager, Jes Taylor was disappointing.

Oh and the cherry on top of it all, at 11:45pm we were asked if we wanted dessert....really? Who eats dessert after eating a pork chop at 11:45pm??",False,2,0,0,anonymous J.,en,"{'neg': 0.116, 'neu': 0.851, 'pos': 0.032, 'compound': -0.9894}",-0.9894,0.032,0.116,0.851,negative
783,2014-09-11 20:28:07+00:00,1,"I understand that every restaurant has a bad night but it is how you recover that makes the difference. The service was well meaning but confused and scatty. Half the items form the menu where not available and we waited almost an hour for what we were able to order;some apps and a few sides. The meal was expensive and lackluster and the manager just apologized and said ""it was out of his hands"" I am sorry but it IS in your hands. Your job is to manage and recover the mistakes of your staff. . Too many great restaurants in the area to waste your time on this overpriced confused lot.",False,1,0,1,Nancy Y.,en,"{'neg': 0.282, 'neu': 0.642, 'pos': 0.076, 'compound': -0.9877}",-0.9877,0.076,0.282,0.642,negative
782,2014-09-12 03:51:08+00:00,1,"Anticipated a marvelous Steak Dinner .... I WAS WRONG. 

Pro:  (very little)
Imperial Planter's Punch for 2 was tasty (Part 1 - why they received one star)
Flat bread was fantastic. (Part 2 - one star)

Oysters were so so, but having the waiter displaying them in a heavy iced serving bowl was a bit much, more like you were forced to order.

CONS: (HUGE)
Pretty boy waiter couldn't even take our order properly.  He stopped serving us after he found out that he forgot to tell us that the cote de boeuf was limited availability, basically ruining our experience at this pretentious restaurant.  Man up bad server.

The manager didn't even have the decency to come to the table to ask how dinner was.  
Basically was served flat bread and oysters even before we could place our meal order and have the menus taken from the table.  

NEED TO ADD LIMITED AVAILABILITY ON MOST THINGS ON THE MENU AND THE WAITWR EXPLAIN IT TO CUSTOMETS PRIOR TO ORDERING!!!

Dirty French needs to work on the service.  
I will not be going back after the HORRIBLE SERVICE.  

LES is not fancy, stop trying to be SOHO or TriBeCa.  You make the neighborhood look bad.

Thanks for the bad dinner.  Your restaurant made us have better dinner somewhere else.  

Never again.",False,8,4,0,Sonee S.,en,"{'neg': 0.247, 'neu': 0.662, 'pos': 0.091, 'compound': -0.9955}",-0.9955,0.091,0.247,0.662,negative
781,2014-09-12 04:42:01+00:00,5,"So my real rating is a 4.5 but I'm rounding up instead of down because other people are giving it one star for no good reason. 
I've actually been here twice now and yes, they ran out of items, but understand that they're still figuring stuff out. If you're going to come to a new restaurant their first few weeks you better expect that the servers and the chefs are still figuring things out. The trout, short rib, the bass, the beet salad, the tuna tartare, the cauliflower and the duck were all awesome. The lamb saddle could have been better and the gnocchi wasn't my favorite. Kind of had a spicy sausage taste to it. 
Best of all, the Grand Prixe and the bread starter are amazing... And so are the braised oysters. 
The music is great, the ambiance is happening,  and the decor is retro. This place can be a 4.5 and will be soon once they figure out how much food to prepare without having a lot go to waste.",False,2,0,1,Navid T.,en,"{'neg': 0.047, 'neu': 0.761, 'pos': 0.192, 'compound': 0.9868}",0.9868,0.192,0.047,0.761,positive
780,2014-09-13 15:01:02+00:00,5,"Wow. I had read the few reviews on here before going to Dirty French last night (9/12) and was actually not looking forward to it based on them. Thank goodness we opted to keep our reservation, because it was one of the better dining experiences that I have had in a LONG time. Our reservation was for 9:45, and we were a little early and were walked over to the Lobby Bar (very cool vibe) and had a pre dinner cocktail. We were probably seated a little bit before ten. 

We had NO issues with service, and if anything our waitress was great and helpful with recommendations. They were out of the short rib, which I had been planning to try and that was kind of a bummer, but nothing else as other reviewers have reported. The warm flatbread with soft cheese that was served to start was seriously delicious - other restaurants would charge for that! My husband and I split the roasted clams almondine and we have honestly been talking about them ever since. Incredibly flavorful and a different twist on clams - highly recommend! I ended up getting the lamb, which was delicious and made me less sad about missing out on the short rib and my husband got the duck l'orange, which was also delicious (and we go to a lot of French restaurants and are big fans of that dish, so we had a high bar). We split a side order of the roasted cauliflower and loved that as well. My only regret is that we did not try the dessert - the beignets sounded delicious but we were in the mood for gelato next door and passed on dessert. 

Perhaps Dirty French needed a week to work the kinks out, but we loved our experience. The wait time for food and between courses was no longer than anything else, the lobby bar (and outside bar area) were a great vibe to wait for your table or after dinner, and the restaurant itself was welcoming and they played awesome music. Again, we had no issues with service - I somehow managed to spill two drinks and they were incredibly accommodating about replacing them. We will absolutely return - I would love to try more of the starters, but the clams were so delicious I am not sure I can bring myself to go back and NOT order those again. Looking forward to trying to short rib and the cote d'boef. Yes, the restaurant wasn't cheap (entrees in the high 30's) but not outrageous either given that it is a Torrisi restaurant. I would definitely recommend it!",False,1,1,1,A H.,en,"{'neg': 0.114, 'neu': 0.642, 'pos': 0.243, 'compound': 0.9978}",0.9978,0.243,0.114,0.642,positive
779,2014-09-14 04:57:48+00:00,5,Excellent food. The backed clam was outstanding. The lamb main course was brilliant. Great food.,False,0,0,0,Sunjay K.,en,"{'neg': 0.0, 'neu': 0.375, 'pos': 0.625, 'compound': 0.9493}",0.9493,0.625,0.0,0.375,positive
778,2014-09-15 04:11:54+00:00,2,"saturday 5.30 
walk in no resy .
very accommodating nice hostess and all staff are great .
'
no pressure nice room but food was just ok..

disappointed ,",False,1,0,0,Drew L.,en,"{'neg': 0.324, 'neu': 0.494, 'pos': 0.182, 'compound': -0.7329}",-0.7329,0.182,0.324,0.494,negative
