month,num_neg,num_neu,num_pos
2007-02,0,0,1
2007-07,0,0,1
2007-08,0,0,1
2007-09,0,0,1
2008-09,0,0,1
2008-11,1,0,0
2009-03,0,0,1
2009-07,0,0,1
2009-11,1,0,1
2010-02,1,0,0
2010-03,0,0,2
2010-04,1,0,0
2010-05,1,0,1
2010-08,0,0,1
2010-09,0,0,1
2010-10,1,0,2
2010-11,1,0,2
2010-12,1,0,1
2011-01,0,0,2
2011-03,0,0,4
2011-04,0,0,1
2011-05,0,0,2
2011-06,0,0,3
2011-07,0,0,7
2011-08,1,0,3
2011-09,2,0,5
2011-10,2,0,4
2011-11,0,0,6
2011-12,1,0,0
2012-01,0,0,6
2012-02,0,0,1
2012-03,1,0,2
2012-04,3,0,2
2012-05,0,0,4
2012-06,1,0,3
2012-07,0,0,6
2012-08,2,0,3
2012-09,0,0,2
2012-10,1,0,3
2012-11,1,0,1
2012-12,0,0,3
2013-01,1,0,5
2013-02,0,0,2
2013-03,1,1,3
2013-04,1,0,5
2013-05,0,0,1
2013-06,0,0,4
2013-07,3,0,3
2013-08,0,0,7
2013-09,2,0,2
2013-10,2,0,0
2013-11,3,0,6
2013-12,2,0,3
2014-01,1,0,4
2014-02,2,0,6
2014-03,2,0,3
2014-04,1,0,4
2014-05,0,0,5
2014-06,0,0,6
2014-07,1,0,6
2014-08,0,0,6
2014-09,3,0,3
2014-10,1,1,5
2014-11,3,0,4
2014-12,1,0,6
2015-01,1,1,3
2015-02,1,0,1
2015-03,4,0,3
2015-04,1,0,1
2015-05,3,0,7
2015-06,2,1,4
2015-07,2,0,8
2015-08,1,0,0
2015-09,0,0,6
2015-10,1,0,3
2015-11,2,0,6
2015-12,1,0,7
2016-01,1,0,10
2016-02,0,0,5
2016-03,0,0,6
2016-04,3,0,10
2016-05,1,0,3
2016-06,2,0,1
2016-07,0,0,4
2016-08,1,0,4
2016-09,1,0,4
2016-10,0,1,8
2016-11,1,0,5
2016-12,0,0,4
2017-01,4,0,2
2017-03,1,0,5
2017-04,3,0,5
2017-05,2,0,7
2017-06,2,0,5
2017-07,2,0,5
2017-08,1,0,2
2017-09,1,0,7
2017-10,2,0,6
2017-11,0,0,1
2017-12,3,0,5
2018-01,2,0,8
2018-02,1,0,3
2018-03,0,0,5
2018-04,2,0,6
2018-05,0,0,10
2018-06,2,0,6
2018-07,0,0,4
2018-08,0,0,3
2018-09,2,0,3
2018-10,3,0,3
2018-11,1,0,3
2018-12,2,0,5
2019-01,0,0,6
2019-02,3,0,4
2019-03,2,0,3
2019-04,1,0,2
2019-05,0,0,3
2019-06,2,0,2
2019-07,4,0,1
2019-08,2,0,1
2019-09,1,0,3
2019-10,1,0,3
2019-11,2,0,1
2019-12,1,0,3
2020-01,0,0,2
2020-02,1,0,1
2020-03,0,0,2
2020-04,0,0,1
2020-05,0,0,1
2020-08,2,0,2
2020-09,0,0,2
2020-10,0,0,2
2020-11,2,0,2
2020-12,0,0,4
2021-01,0,0,1
2021-02,0,0,1
2021-04,2,0,5
2021-05,2,0,3
2021-06,0,0,2
2021-07,0,0,2
2021-08,2,0,0
2021-09,2,0,4
2021-10,1,0,8
2021-11,1,0,1
2021-12,0,0,3
2022-01,0,0,1
2022-02,0,0,1
2022-03,0,0,3
2022-04,1,0,2
2022-05,0,0,2
2022-06,0,0,2
2022-07,3,0,5
2022-08,1,0,0
2022-09,0,0,2
2022-10,0,0,3
2022-11,0,0,3
2022-12,0,0,1
2023-01,0,0,1
2023-02,1,0,1
2023-03,0,0,3
2023-04,1,0,2
2023-06,3,0,6
2023-07,1,0,3
2023-08,1,0,2
2023-09,1,0,2
2023-10,1,0,8
2023-11,0,0,2
2023-12,2,0,5
2024-01,1,0,1
2024-02,0,0,1
2024-03,0,0,2
2024-04,0,0,3
2024-05,0,0,3
2024-06,0,0,4
2024-07,0,1,4
2024-08,1,0,1
2024-09,1,0,5
2024-10,2,0,1
2024-11,0,0,5
2024-12,0,0,4
2025-01,0,0,2
2025-02,0,0,1
