,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
768,2007-02-16 21:13:57+00:00,5,"Not located in Manhattan, but in Queens, a few blocks from the Aqueduct race track, but very much worth the trip. About seven years ago a friend of mine kept talking about this 'Italian place' in queens like it was some mythical place, like Xanadu. One day we skipped work early (WTC 1) and went off to queens. I couldn't believe how good it was. If you like big chunks of roasted garlic, like me, this is THE place. Roasted peppers, big cutlets of sausage, roasted chicken covered in olive oil and vinegar, served 'family style'.
The restaurant itself is about as warm and inviting as a 7 Eleven, but the food makes up for any lapse in lousy decor'...

If you and a few friends have an afternoon to kill, hop into the car and make a trip out here. It will become a favorite of yours too...",False,2,1,1,Jay G.,en
767,2007-07-05 23:27:46+00:00,5,"So, you walk in the door, make sure you bring cash because these wise-guys don't bother with credit cards. You walk past the table with the guys with the pinkie rings and shiny suits and sit down and try not to make eye-contact with them.  You leave them alone, they'll leave you alone.......Anyway, Baked Clams, Scapparella, Chicken Parm, garlic bread, Zuppa De Clams or mussels, Osso Buco......This is my favorite Italian restaurant on the planet and if you are ever in Brooklyn near JFK, you have to go.  Bring cash and leave your gun at home.  
Dishes are posted on a black-board and everything is served family style on big oval plates to share. 
The Scapparella is bone-in chicken pieces tossed with onions, bell peppers, garlic chunks and potatoes and all roasted in the oven and slip on to the plate...amazing
Imagine chicken parmesan pounded thin then pan-fried until the breading is tender and crispy with only a wisp of sauce brushed on top and sprinkled with grated Parmegiano Reggiano., no mozzarella which is a great thing.   
Baked Clams the way they were intended, Garlicky baked breading drizzled with olive oil mixes with the juice of the clam, oh yes.  
Go.....enjoy.",False,4,5,3,Jay F.,en
766,2007-08-31 17:27:56+00:00,5,"This place will make your head explode!  I guarantee it.  Forget that the restaurant is next to JFK, it is well worth the commute.  Just remember that this is a cash-only, no BS establishment, so walk in, be respectful, take a look at the menu on the big board, order and enjoy.  I can't say enough about this place.  I've noticed people being more lax in dress there lately, but I would recommend not coming in shorts and a t-shirt - lots of special occassions being celebrated there, so don't stand out!",False,0,0,0,Marcus R.,en
765,2007-09-19 18:19:55+00:00,5,"This is the original family style Italian restaurant and it gives credence to the family style.  It is one of the best, if not the best, Italian restaurant in queens and even though it's right by JFK, it is so worth the trip.  The baked clams here are amazing and the best I've ever had.  Their broccoli rabe is not too bitter and is very tasty while their salad is great.  But enough of the light stuff; let's get right down to the nitty gritty.  The veal parmesean and chicken parmeasan here are amazing while the eggplant is also delicious.  The pastas are great, especially the linguine with clams and the shrimp luciano.  Both outstanding dishes packed with flavor.  And you will be full by the end of this meal.  Guaranteed.  The Chicken Chinese is also great.  For dessert, they go with cannollis, tiramisu, sorbet and biscotti, which are all so good.  Of course, this is if you have any room left.  Enjoy this and don't head over to olive garden when you could have a real family-style italian dinner.",False,3,0,0,Michael K.,en
764,2008-09-05 02:34:06+00:00,4,"Come here with a group of hungry people as the portions are huge! The staff are very knowledgeable so when in doubt, take their advice. The baked clams are the best i've had anywhere, and i really love the way they do their veal parm. The decor is not that great, more for famiies, friends, business than a romantic date place. Just remember, cash only.",False,2,1,1,Gata S.,en
763,2008-11-28 18:43:11+00:00,3,"came here on a recent NYC trip, based upon yelp and location. Friends were driving to meet from Long Island. We were staying near JFK. 

Agree decor is secondary, Sat. night was jammed, we were seated after a 20 minute wait, thre's no bar, and hardly a spot to sit and wait. 

Service was excellent, I don't remember a menu at the table, we studied a far wall, got recommendations from a thick accented local. Dishes were family style, plenty of food for party of 6. 

All in all food and house wine were excellent, only complaint was the seafood marinara, lots of calamari and squid, no shrimp or scallops. 

Also, seems overpriced,  $300 for food for 6, 2 bottles of wine plus tip. 

One other thing, after we spoke favorably about Obama 2 of our party noticed the waiter did not serve the rest of our meal, it was serve yourself from then on, hmmmmmm.",False,5,10,3,j b.,en
762,2009-03-15 20:05:16+00:00,5,"Don Pepe's is what Italian food dreams are made of. The downside is the cash only part of the business, but the homemade wine, delightful bread and scrumptious baked clams.... these folks are NOT afraid of garlic and I love them for that. :) :) :) Seriously, we consider it a big night out when we can get to Don Pepe's... who cares about Canal street and little italy's over-rated italian joints? We'll skip those anyday and head to Don's. The staff is always attentive, witty and sarcastic - thank you Don Pepe's for keeping it real.",True,1,0,1,Sam R.,en
761,2009-07-22 21:20:48+00:00,5,had: baked clams and Linginlie w/ clams... lots of garlic... yummy... soaked in oil... did i mention yummy??? al dente... reminded me of italian food when i was in italy... Family style... go w/ a few ppl so u can try diff food... best baked clams EVER... yummy.... Cash only... long wait... don't bother to go if you are watching your weight :),False,0,0,1,siuming M.,en
760,2009-11-01 02:58:48+00:00,1,"Overall a pretty bad experience. 

Decided to go here for dinner with four people. Pull up to the restaurant and needed to find parking. You must park on the street and it is usually a pain to find parking anywhere in the area. Walked in and had to wait which was no big deal. We were told half an hour but it was actually about 15 minutes. I guess that is this places only saving grace. Unfortunately the waiting area is just a glass room facing the street where everyone stands. 

While waiting it was brought to my attention that it is cash only. No problem, they must have an ATM then. Wrong. The ATM is next door at a supermarket. So I run over to the ATM to take out some money. Of course the ATM in the supermarket is broke. So I have to resort to buying a pack of gum and getting cash back from the supermarket cash register. Obviously the supermarket limits you to $50 cash back. Good thing I had some cash on me or I would have had to end the night there. 

So we finally go in and sit down. There are no menus. The menu is posted on the wall as far away as possible from the table we were sitting at. Also they post the menu at just the right height so people walking by, and sitting in front of it block anyone else from reading it. 

Decided on something simple. Mozzarella and tomatoes for an appetizer and spaghetti and meat sauce for the meal. How can you screw that up? The menu is fairly small and is just typical Italian food like pasta, chicken parmesan, etc... Nothing special. The appetizer was great but $21 ($14 times 1.5. More on that later)  for some cheese and tomatoes is pretty expensive. The pasta came out and was al dente. Too hard for my taste. After we ate we decided on some dessert. They were out of almost everything so we just got whatever they had left. 

Another concern is the family style pricing. We were four people so they just ""adjust"" the portions. They said well give you 1.5 servings (or in other words well just charge you 1.5x the price).",False,11,3,0,Vinny C.,en
759,2009-11-06 04:19:31+00:00,5,"Best place ever!  Don't expect white glove service or fancy decor.  DO expect the best baked clams ever.  Follow with linguini (always cooked perfectly) with shrimp Luciano and finish with Veal Don Peppe (pounded veal chop, fried with chopped onions and tomatoes).  One of the best meals on the planet!  The Broccoli Rabe and chopped salad get honorable mention.",False,2,0,0,Chris C.,en
