,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
2588,2005-04-12 22:20:58+00:00,5,"A gorgeous room, grand and light filled even on rainy New York winter days. Lovely service, and possibly the best prix fixe lunch in the entire city. The raw bar, the foie gras menu, all delightful and handled with care. I've been known to take a cab straight from the airport in order to lunch here. http://www.elevenmadisonpark.com/",False,1,0,0,Stellah D.,en,"{'neg': 0.018, 'neu': 0.651, 'pos': 0.331, 'compound': 0.9738}",0.9738,0.331,0.018,0.651,positive
2587,2005-12-21 01:18:01+00:00,4,Danny Meyer works his magic once again at Eleven Madison Park.  The dining room is vast and open with high ceilings.  Although pricey the food is wonderful.  Lots of menu options to chose from.  It's located at Madison Park and which is a great place to walk off your dessert with a stroll around the park.,False,0,0,0,Pucci P.,en,"{'neg': 0.064, 'neu': 0.812, 'pos': 0.124, 'compound': 0.5859}",0.5859,0.124,0.064,0.812,positive
2586,2005-12-29 21:29:21+00:00,2,"My girlfriend and I went.  The service started out decent but once our entree's came and our wine glasses were empty, we were not asked if we wanted more wine. Also, our water glasses were empty for about 15 minutes and we had to ask twice for more water before getting some. The food was pretty good but the service not so much. I expected more for a restaurant like this. We won't be back for a long time.",False,3,1,1,Steve M.,en,"{'neg': 0.124, 'neu': 0.748, 'pos': 0.128, 'compound': 0.1016}",0.1016,0.128,0.124,0.748,positive
2585,2006-03-29 02:06:51+00:00,3,"It's a beautiful room:  light, airy, high ceilings, lots of big flowers, and the food is excellent, though portions small.  Service was pleasant and professional, but the bartender didn't know how to mix some classic cocktails.  When the menus came we were unpleasantly surprised to find that the $25 prix fixe lunch that my friend confirmed a couple of weeks ago when she made the reservations was now $32.  We still had a very pleasant lunch today but more expensive than we were led to believe.  

(I obviously won't put this on my list of prix fixe lunches for $25 and under!)",False,0,0,0,Arlyne B.,en,"{'neg': 0.082, 'neu': 0.754, 'pos': 0.164, 'compound': 0.8317}",0.8317,0.164,0.082,0.754,positive
2584,2006-04-20 14:55:03+00:00,5,"I reallly like this place.  We went for Brunch for my girlfriend's birthday and had a very nice meal.  The space is beautiful and classy, like and old bank (it actually might be one).  The food is well done classic American food and they ahve a great little breakfast cocktail bar for those of us who like a fruity beverage in the morning (not usually me but I did have a passion fruit Belini.)  I had Poached eggs with Lobster and bearnaise on toast and you really can't have a better brunch than that.  I would definitely go back.  I wonder if it shares a kitchen with Tabla next door?",False,2,0,2,Ted S.,en,"{'neg': 0.03, 'neu': 0.746, 'pos': 0.224, 'compound': 0.9561}",0.9561,0.224,0.03,0.746,positive
2583,2006-09-30 04:14:45+00:00,5,"Daniel Humm is a rock star!! He's one of the best chefs we have ever encountered and things are only looking up, (he's just turned 30).  As fans of Chef Humm when he was at Campton Place Hotel in San Francisco, we made a beeline to Eleven Madison Park when our plane landed in NYC.  We were not disappointed.  From the moment we sat down, our experience was sublime.  Chef Humm sent out a long rectangular plate of 4 ea x 2 appetizers for our table.  Raw tuna, sardine spring roll, cheese and apricot jam, oyster en gelee.  All were fantastic!!  Next up was another gratis amuse bouche, langoustine in an orange broth, which was amazing!!  Our appetizers: Liz - Gnocchi of La Rappe Potatoes with lemon and sardine. Ron had Poached Organic Egg with Everglades Frog Legs, Oregon Chantrelles and Sauce.  Both dishes were absolutely elegant in flavors and execution.  And it only got better.  Chef then sent out the main course Glazed California Muscovy Duck with Lavender Honey and Spices for 2.  This main course we found is a two part presentation. After being brought out whole and shown to you, the duck breast sliced and presented with skin on!!  Fantastic, ruins it for just about anyone else who makes duck.  I can't imagine it being done any better!!  After that comes a confit of duck leg which is super incredible too!!
We then had dessert which consisted of a chocolate hazelnut souffle w/ gianuja ganache and espresso bean ice cream.  Fantastic again.  Liz had Sheeps Milk Yogurt Cheesecake with Roasted Pineapple, Kaffir Lime and Frozen Coconut.  The pastry chef has been with Eleven Madison Park for about six years, did a fantastic job.
After this wonderful meal, we were given a wonderful dessert to take home with us!!  
Service was outstanding, friendly and classy.  The only thing we weren't nuts about was the room itself, with it's 2 story ceilings, it seemed a bit large.  But a small complaint.
Don't walk, run to the restaurant and have Chef Humm's food!!!  The staff are well trained, there are enough food runners to get the food hot to your table and they let you linger if you like.  It's a great place!!!!! See the recent 3 out of 4 stars review of this place in the NY Times.  -Ron & Liz",False,2,0,1,Ron T.,en,"{'neg': 0.032, 'neu': 0.834, 'pos': 0.135, 'compound': 0.9878}",0.9878,0.135,0.032,0.834,positive
2582,2006-11-22 22:23:11+00:00,5,"i traveled all the way across the country to visit my chef and sommelier crushes.  daniel humm and john regan did not disappoint.

my dining partner wasn't drinking so i asked john for the wine by the glass that i would most like based on my all-time favorite wine.  he picked out the perfect one, which shows he not only knows his wines but that their list of wines by the glass isn't lacking.

as for the food, we were greeted with a complimentary tray of single savory bites, a tray for each of us.  the rest of the meal was just me admiring what daniel can do with seafood, fruit, foams and vegetables.  he's an awesome genius and i wish i could visit more.",False,2,1,2,spiff e.,en,"{'neg': 0.014, 'neu': 0.749, 'pos': 0.238, 'compound': 0.9861}",0.9861,0.238,0.014,0.749,positive
2581,2006-12-27 05:17:12+00:00,5,"Viva current chef Daniel Humm who has revitalized the menu at this, one of my NYC favs and is always a delight to speak to after one's meal. Eleven Madison Park never fails to disappoint, whether you're eating in the bar area or the main diningroom. Good service, nicely updated decor and delightful food. 

My one, do-not-miss recommendation is the foie gras appetizer. Seasonally reinvented, I've had it in its summer bing cherry incantation; its autumnal golden raisin version and currently up for winter it is accompanied by black truffle and mushroom brioche. You will not believe your eyes or tastebuds when you sample foie gras brulee! (See more 'Food&Whine' at www.accone.com/weblog/foodwhine/)",False,1,0,1,Tanya A.,en,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.9544}",0.9544,0.149,0.0,0.851,positive
2580,2007-01-18 20:11:00+00:00,5,"Here is another New York restaurant that goes way beyond 5 stars.  I love Daniel Humm's food.  Looooove it.  Sadly he is long gone from SF, but that just gave us the perfect chance to go to Eleven Madison Park.  When we went in November we got the amazing tasting menu.  Everything was absolutely incredible: the ""Fantasy of Eggs, The Turbot, The Lobster with Alba Truffles, The Partridge with foie and chestnuts, Foie with a sort of peanut butter jelly brioche combination, the Queue de veau, and then the gorgeous desserts (sadly by this point we had had two bottles of wine and countless other glasses...so i can't remeber, but I DO remember being in awe and finishing every last bite.  Perfect service on a very very busy night, perfect food, a Gorgeous dining room, and an outstanding wine list.",False,1,0,2,sarah C.,en,"{'neg': 0.029, 'neu': 0.723, 'pos': 0.248, 'compound': 0.9918}",0.9918,0.248,0.029,0.723,positive
2579,2007-01-31 22:07:20+00:00,5,"My first experience at 11 Madison was during Restaurant Week and I give it high, high marks.  The food was fabulous, the waitstaff polite and kind, and the restaurant itself lovely.

EMP offers 'American' food and is one of Danny Meyer's signature eateries.  Its reputation is well-deserved, I think, though mostly out of my price range.  This would be a good place to come if you're having a special night or entertaining out of town guests with a decent budget.

I have read elsewhere that restaurants usually don't offer their best stuff during Restaurant Week because of the 'low' price.  That may or may not be true.  But if it is true for EMP, then I can't wait to go back and try their best.  You know the feeling you get when you put food in your mouth that is so well done that it just makes you want to melt away in a happy puddle of goo?  That was EMP for me.  From the appetizer to the dessert I was not disappointed with anything I tasted.   

To top it off, everyone who dined there during the first week of RW got a gift certificate for $24.07 off their next meal.  What a great way to draw people back!  Especially people who don't have a lot of money.  I'm going back just for the dessert.",False,6,0,3,Tempest B.,en,"{'neg': 0.045, 'neu': 0.763, 'pos': 0.192, 'compound': 0.9881}",0.9881,0.192,0.045,0.763,positive
