month,num_neg,num_neu,num_pos
2017-03,1,0,3
2017-04,5,0,7
2017-05,6,0,16
2017-06,1,0,7
2017-07,2,0,11
2017-08,4,0,9
2017-09,1,0,10
2017-10,2,0,7
2017-11,3,0,12
2017-12,5,0,9
2018-01,2,0,14
2018-02,3,0,5
2018-03,0,0,7
2018-04,1,0,16
2018-05,2,0,12
2018-06,0,0,8
2018-07,0,0,10
2018-08,1,0,10
2018-09,0,0,7
2018-10,4,0,5
2018-11,1,0,7
2018-12,6,0,13
2019-01,1,0,13
2019-02,1,0,15
2019-03,0,0,11
2019-04,1,0,5
2019-05,2,0,2
2019-06,4,0,6
2019-07,1,0,3
2019-08,2,0,9
2019-09,3,0,3
2019-10,1,0,2
2019-11,3,0,3
2019-12,2,0,2
2020-01,1,0,8
2020-02,1,0,2
2020-03,0,0,2
2021-01,0,0,1
2021-03,0,0,1
2021-09,0,0,2
2021-10,0,0,1
2021-11,0,0,2
2021-12,0,0,5
2022-02,0,0,2
2022-03,1,0,1
2022-04,0,0,6
2022-07,2,0,2
2022-08,0,0,6
2022-09,0,0,2
2022-10,1,0,5
2022-11,0,0,2
2022-12,4,0,4
2023-01,0,0,2
2023-02,0,0,4
2023-03,1,1,1
2023-04,0,0,2
2023-05,1,0,6
2023-06,0,0,3
2023-07,0,0,2
2023-08,0,0,2
2023-09,0,0,1
2023-10,0,0,3
2023-11,1,0,4
2023-12,1,0,5
2024-02,0,0,4
2024-03,2,0,1
2024-05,0,0,1
2024-06,2,0,0
2024-07,1,0,0
2024-09,0,0,1
2024-10,0,0,1
2024-12,1,0,2
2025-01,0,0,2
2025-02,2,0,2
