month,num_neg,num_neu,num_pos
2005-10,0,0,1
2005-12,0,0,1
2006-02,0,0,1
2006-04,0,0,2
2006-07,0,0,1
2006-08,0,0,3
2006-09,0,0,1
2006-12,0,0,2
2007-01,0,0,2
2007-02,0,0,1
2007-03,0,0,5
2007-04,0,0,7
2007-05,0,0,4
2007-07,0,0,1
2007-08,0,0,2
2007-09,0,0,2
2007-10,0,0,3
2007-11,0,0,2
2007-12,1,0,2
2008-02,1,0,5
2008-03,1,0,3
2008-04,0,0,2
2008-05,0,0,3
2008-06,0,0,6
2008-07,0,0,4
2008-08,0,0,6
2008-09,0,0,5
2008-10,0,0,6
2008-11,0,0,2
2008-12,1,0,4
2009-01,0,0,9
2009-02,0,1,6
2009-03,0,0,5
2009-04,1,0,5
2009-05,2,0,0
2009-06,1,0,7
2009-07,0,0,6
2009-08,1,0,7
2009-09,0,0,4
2009-10,0,0,4
2009-11,0,0,3
2009-12,1,0,8
2010-01,2,0,7
2010-02,0,0,3
2010-03,0,0,8
2010-04,1,1,8
2010-05,0,0,8
2010-06,1,0,9
2010-07,0,0,7
2010-08,1,0,6
2010-09,0,0,6
2010-10,1,0,6
2010-11,0,0,7
2010-12,0,0,7
2011-01,2,0,9
2011-02,1,0,3
2011-03,0,0,6
2011-04,0,0,6
2011-05,0,0,5
2011-06,1,0,11
2011-07,1,0,5
2011-08,3,0,6
2011-09,1,0,11
2011-10,0,0,4
2011-11,1,0,6
2011-12,1,0,10
2012-01,1,0,8
2012-02,1,0,3
2012-03,0,0,7
2012-04,1,0,3
2012-05,0,0,7
2012-06,0,0,4
2012-07,0,0,8
2012-08,0,0,6
2012-09,0,0,8
2012-10,0,0,10
2012-11,1,0,6
2012-12,0,0,13
2013-01,1,0,5
2013-02,1,0,5
2013-03,1,0,4
2013-04,0,0,4
2013-05,1,0,10
2013-06,1,0,5
2013-07,0,0,10
2013-08,3,0,14
2013-09,1,0,4
2013-10,1,0,5
2013-11,0,0,7
2013-12,1,0,1
2014-01,3,0,9
2014-02,0,0,6
2014-03,0,0,6
2014-04,0,0,3
2014-05,0,0,11
2014-06,1,0,4
2014-07,1,0,5
2014-08,0,0,7
2014-09,0,1,9
2014-10,1,0,8
2014-11,0,0,3
2014-12,1,0,6
2015-01,1,0,4
2015-02,0,0,2
2015-03,1,0,6
2015-04,0,0,9
2015-05,0,0,3
2015-06,1,0,2
2015-07,1,0,8
2015-08,0,0,9
2015-09,1,0,11
2015-10,0,0,9
2015-11,3,0,5
2015-12,0,0,7
2016-01,2,0,7
2016-02,2,0,10
2016-03,1,0,4
2016-04,0,0,2
2016-05,0,0,7
2016-06,0,1,7
2016-07,2,0,6
2016-08,1,0,13
2016-09,1,0,5
2016-10,0,0,4
2016-11,2,0,4
2016-12,0,0,6
2017-01,0,0,8
2017-02,3,0,4
2017-03,0,0,4
2017-04,2,0,5
2017-05,1,0,4
2017-06,2,0,5
2017-07,0,0,10
2017-08,1,0,10
2017-09,0,0,5
2017-10,0,0,5
2017-11,0,0,2
2017-12,0,0,6
2018-01,0,0,2
2018-02,0,0,7
2018-03,2,0,3
2018-04,0,0,4
2018-05,1,1,11
2018-06,2,0,2
2018-07,2,0,7
2018-08,0,0,6
2018-09,0,0,6
2018-10,2,0,5
2018-11,1,0,8
2018-12,1,0,5
2019-01,1,0,4
2019-02,1,0,5
2019-03,1,0,6
2019-04,3,0,4
2019-05,2,0,7
2019-06,1,0,9
2019-07,2,0,1
2019-08,0,0,7
2019-09,0,0,3
2019-10,3,0,3
2019-11,1,0,5
2019-12,1,0,2
2020-01,0,0,2
2020-02,0,1,3
2020-04,0,0,1
2020-11,0,0,2
2020-12,0,0,1
2021-01,0,0,1
2021-07,0,0,2
2021-08,0,0,1
2021-09,0,0,1
2021-10,0,0,1
2021-11,0,0,2
2021-12,1,0,4
2022-01,0,0,1
2022-02,0,0,2
2022-03,1,0,1
2022-04,0,0,1
2022-05,0,0,2
2022-06,1,0,1
2022-07,0,0,3
2022-08,1,0,2
2022-09,1,0,3
2022-10,0,0,3
2022-11,0,0,1
2022-12,0,0,2
2023-01,0,0,2
2023-02,0,0,4
2023-04,1,0,0
2023-05,0,0,3
2023-06,0,0,4
2023-07,0,0,2
2023-08,0,0,2
2023-09,0,0,2
2023-10,0,0,4
2023-11,0,0,3
2023-12,0,0,2
2024-01,0,0,1
2024-03,0,0,1
2024-04,1,0,1
2024-05,0,0,2
2024-06,0,0,1
2024-07,0,0,2
2024-08,0,0,1
2024-09,1,0,4
2024-10,1,0,2
2024-11,0,0,2
2024-12,0,0,4
2025-01,1,0,2
2025-02,0,0,1
