,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
1105,2005-10-30 03:30:20+00:00,5,"One of New York's finest!  This gorgeous American restaurant offers a very grown up dining experience without being stuffy or uptight.  Slightly expensive, but it's absolutely, positively worth every penny for the fresh, seasonal food and impeccable wine list.",False,0,0,0,Meryl C.,en,"{'neg': 0.086, 'neu': 0.576, 'pos': 0.338, 'compound': 0.9388}",0.9388,0.338,0.086,0.576,positive
1104,2005-12-30 16:07:20+00:00,5,"A restaurant that doesn't try to do anything except serve great food with great service in a pleasant atmosphere. No gimmicks here -- the food speaks for itself in its freshness and preparation. The dining room is quietly elegant with no music to shout over -- how refreshing! The service was impeccable and unobtrusive -- the staff knows what they are there to do -- to know their menu, present your meal, and attend to your needs. Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen. Beautiful experience.",False,2,0,1,Steve M.,en,"{'neg': 0.035, 'neu': 0.734, 'pos': 0.231, 'compound': 0.9802}",0.9802,0.231,0.035,0.734,positive
1103,2006-02-12 09:01:44+00:00,5,"Blue Hill is a delight! With fresh, flavorful food served in small portions that are just the right size, you always leave Blue Hill feeling satisfied and not too stuffed. Even the toasted bread they give you is good. When I last ate there, the crab salad was delicate and tasty. The duck was cooked just right and flavorful and the chicken was simple but brimming with flavor. The ""strawberries and cream"" dessert with lemon cake was light with the right balance of sweetness and tartness. Blue Hill's forte is its fancy flavors with simple dishes - delicious! Can't wait to try out Blue Hill at Stone Barns...",False,2,1,1,Chris L.,en,"{'neg': 0.027, 'neu': 0.68, 'pos': 0.293, 'compound': 0.9887}",0.9887,0.293,0.027,0.68,positive
1102,2006-04-10 00:47:21+00:00,5,"Blue Hill is my new absolute favorite restaurant. I had the tasting menu on my most recent visit and everything was absolutely outstanding. The lightly smoked trout starter, followed by a translucent chunk of Chatham cod were unbelievable. Baby lamb with braised escarole was succulently tender and the little jar of steamed cheesecake was a lusciously sweet finish to the meal.

Fresh, clean flavors with ""seasonal"" and ""local"" being the key words here. A lot of the produce comes from the upstate farm as do the extraordinarily fresh eggs that are brought in each day for the famous appetizer ""This Morning's Farm Egg"", which features an uber-fresh egg perched atop greens and a turnip puree. A must-try.

Prices are very reasonable here considering this is extremely high-quality food. I would return in a second and I will!",False,11,0,2,Christy V.,en,"{'neg': 0.0, 'neu': 0.785, 'pos': 0.215, 'compound': 0.9869}",0.9869,0.215,0.0,0.785,positive
1101,2006-04-15 01:11:08+00:00,5,"Unbelievable.  An absolutely terrific place.  Down to earth, you feel like you can ask a question about the food or wine without the staff turning up their noses...just a terrifically pleasant experience for foodies and wannabe foodies alike.

The tasting menu, if you're up for it, is excellent, but starve yourself before you arrive...it's way too much food.",False,1,0,0,Nicholas H.,en,"{'neg': 0.059, 'neu': 0.755, 'pos': 0.186, 'compound': 0.6365}",0.6365,0.186,0.059,0.755,positive
1100,2006-07-10 18:25:55+00:00,5,"Blue Hill was recommended to me by NYC ex-pats currently living in San Francisco. They billed it as the closest thing NYC has to a northern Californian restaurant.  Well, this can be interpreted as both a negative and positive comment. Ideally, ""northern Californian"" concentrates on fresh, local ingredients using cooking techniques that highlight the produce/meat/etc. without using loads of spices and sauces that masks its inherent flavor. Apparently with the rash of ""northern Californian"" restaurants I've tried in SF, it can also mean bland cooking without giving thought to anything beyond the transition of raw to cooked.

I'm happy to report Blue Hill definitely hits the positive mark! This restaurant is truly great. The interior is softly lit with a cozy, modern feel. The hostess was able to change my reservation for both the time and number of people on the spot. The server was friendly and I have to commend her for putting up with the inane, not-at-all funny, stupid-ass ""jokes"" one person in my party kept making (details are best kept as a faded memory).

I ordered This Morning's Farm Egg for the appetizer and Chatham Cod for the main.

Both dishes were absolutely wonderful. The mushrooms in the appetizer were cooked perfectly with the right amount of firmness and the broth served as a good compliment to the truly fresh egg.
The Chatham Cod had great flavor and was prepared to perfection.

The dessert was cheesecake and this was their only miss. The actual cheesecake was good but the accompanying flavors threw it off. It was way too froufrou-ed up. They overpowered the cheesecake and were too great of a contrast.

The dessert did not detract enough to take away a star from the rating. (Okay, maybe 4.9). 

So, NYC residents - try this place!! Great food that doesn't need an aura of pretension and showmanship.

San Francisco - pay attention. Fresh, seasonal cooking is not enough on its own. Blue Hill does it right.

On a side note, I found it interesting that this is the only NYC restaurant I tried that lists the origin of the ingredients. In SF, every farm, dairy, etc is named on the menu.",False,3,1,1,Shawn T.,en,"{'neg': 0.033, 'neu': 0.764, 'pos': 0.202, 'compound': 0.9957}",0.9957,0.202,0.033,0.764,positive
1099,2006-08-01 21:49:19+00:00,5,"My fiance made a reservation at Blue Hill during a weekend in New York City (we are wannabe foodies from Chicago).  To reiterate some of the other comments: staff incredibly warm, but not obtrusive or annoying.  Perfect lighting, soft, but not dim.  No music - wonderful, as opposed to the next night at WD-50 where we could barely hear each other speak.  I had the hour-long poached egg appetizer, grilled Cobia for my entree and rhubarb cheesecake for dessert.  Fiance had the crab salad, duck entree and sour cherry cobbler.  

All in all a wonderful evening, would compare to North Pond in Chicago, with the organic, local and seasonal foods listed on the menu.  

I'm all for inventive menus, but Blue Hill uses simple classic flavors in a way where the flavor and food are what shine through - not necessarily the chef's new cool way to fry mayonnaise into little cubes.",False,2,0,0,Allie B.,en,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.9826}",0.9826,0.166,0.0,0.834,positive
1098,2006-08-19 21:21:25+00:00,5,"This place is amazing - wonderful, fresh, local food and great service. But be aware that it is expensive. If you have the cash, or a special event that you want to celebrate, then check this place out.",False,4,1,3,Charles S.,en,"{'neg': 0.128, 'neu': 0.51, 'pos': 0.362, 'compound': 0.8705}",0.8705,0.362,0.128,0.51,positive
1097,2006-08-30 05:09:24+00:00,5,"This was one of the best meals I have ever had.

It started with complimentary shooters of cucumber gazpacho.

We then tried the infamous ""This Morning's Farm Egg"" in a stew of mushrooms and lettuce broth, the heirloom tomato salad, the Maine crabmeat on fennel salad and green garden gazpacho, the Chatham Cod in dairyless corn and clam chowder, and special of the day sea bass in a vegetable puree.  All were prepared and presented to perfection.  Crisp, fresh -- dare I say nearly naked? -- flavors shone through in each dish.

Although quite full, we topped off this incredible meal with the summer berry coupe (which was good but did not reach the same heights as the appetizers and entrees).

The atmosphere is cozy and warm, with dark wood and leather furnishings.  Elegant and romantic.  [Note:  Although Open Table displays a casual dress code for this restaurant, we were embarrassed to find ourselves with no time to change out of our tourist outfits (T-shirt / tank top and shorts), and we stuck out like sore thumbs.  No one was dressed ""casually"" here!]

Small flashlights are provided for those who need an extra boost to read the menu.  There is a story behind the flashlights; see if your waiter knows it!",False,2,0,2,Sherri C.,en,"{'neg': 0.099, 'neu': 0.71, 'pos': 0.192, 'compound': 0.9741}",0.9741,0.192,0.099,0.71,positive
1096,2006-09-09 21:11:31+00:00,3,"I have to preface my review by revealing that I'm a vegetarian. I'm never sure if my mediocore dining experiences happen because a restaurant is better at their meat dishes than their veggie ones.

I was excited to eat here, being a proponent of eating seasonal, fresh vegetables. Since I couldn't get a reservation, we made sure to get here soon after they opened at 5:30 p.m. to get seats at the bar. 

They served a chilled cucumber gazpacho as an amuse bouche. It was delightful: fresh, crisp, and bright. My green bean and fennel appetizer was just so-so. My companion's heirloom tomato salad was more interesting; I've never had fresh tomato and tarragon together before. Since there was no vegetarian main course listed on the menu, we asked what they had to offer and that night it was a celery gratin with a very soupy pistou. It lacked vibrance and freshness -- maybe it seemed more of an autumn dish? The desserts (peach cobbler with pistachio ice cream and an almond financier with sweet corn (!) ice cream) were both good...especially the cobbler.

Overall, it was a bit disappointing. Maybe we're just spoiled because we live in northern California where the food is mostly good and always fresh. For $30/entree I was expecting more flavor.",False,3,0,1,Michelle J.,en,"{'neg': 0.065, 'neu': 0.765, 'pos': 0.17, 'compound': 0.9765}",0.9765,0.17,0.065,0.765,positive
