month,num_neg,num_neu,num_pos
2016-09,0,0,10
2016-10,2,0,13
2016-11,4,0,19
2016-12,2,0,11
2017-01,1,0,8
2017-02,0,0,6
2017-03,0,0,12
2017-04,2,0,6
2017-05,1,0,8
2017-06,0,0,6
2017-07,1,0,6
2017-08,1,0,9
2017-09,1,2,5
2017-10,0,0,3
2017-11,1,0,6
2017-12,1,0,2
2018-01,1,0,10
2018-02,2,0,8
2018-03,1,0,5
2018-04,0,0,17
2018-05,1,0,12
2018-06,1,0,9
2018-07,1,0,15
2018-08,4,0,10
2018-09,0,0,12
2018-10,0,0,4
2018-11,0,1,17
2018-12,1,0,7
2019-01,2,0,8
2019-02,1,0,11
2019-03,3,0,13
2019-04,0,0,10
2019-05,3,0,12
2019-06,1,1,24
2019-07,1,0,23
2019-08,2,0,30
2019-09,1,0,24
2019-10,0,0,16
2019-11,3,0,33
2019-12,2,0,28
2020-01,2,0,20
2020-02,2,0,22
2020-03,3,0,14
2020-04,1,0,4
2020-05,0,1,6
2020-06,0,0,3
2020-07,1,0,4
2020-08,1,0,13
2020-09,1,0,16
2020-10,1,0,13
2020-11,0,0,13
2020-12,0,0,8
2021-01,1,0,9
2021-02,1,0,14
2021-03,4,0,11
2021-04,0,0,9
2021-05,4,0,21
2021-06,0,0,12
2021-07,4,0,18
2021-08,5,0,26
2021-09,5,0,16
2021-10,2,1,15
2021-11,0,0,21
2021-12,5,0,12
2022-01,1,0,16
2022-02,2,0,19
2022-03,2,0,12
2022-04,2,0,22
2022-05,2,0,17
2022-06,3,0,12
2022-07,2,0,28
2022-08,3,0,30
2022-09,4,0,18
2022-10,2,0,15
2022-11,1,1,20
2022-12,2,0,27
2023-01,2,0,23
2023-02,3,0,18
2023-03,3,0,11
2023-04,1,1,20
2023-05,2,1,23
2023-06,1,0,21
2023-07,0,0,27
2023-08,5,0,22
2023-09,2,0,22
2023-10,0,0,23
2023-11,2,0,26
2023-12,2,0,27
2024-01,6,0,20
2024-02,3,0,24
2024-03,2,0,24
2024-04,2,0,15
2024-05,3,0,22
2024-06,1,0,21
2024-07,1,0,26
2024-08,1,1,24
2024-09,1,0,23
2024-10,5,0,18
2024-11,1,0,16
2024-12,0,0,14
2025-01,0,0,23
2025-02,0,0,12
