,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
661,2015-06-19 01:17:27+00:00,5,"Very nice atmosphere. The restaurant has a very unique and delicious menu. I recommend The Hen In The Wood appetizer with the black pepper pasta with poached egg. Enjoyable beer selection the IPA is on point. Very nice fine dining experience. Only disappointment was no invitation to the soft opening even though I work next door at the custom shoe store. Lovely restaurant, will be coming back soon.",False,0,0,0,Conor C.,en
660,2015-06-25 01:51:16+00:00,5,"Alsatian cuisine at its best. Yes true I am from Alsace but the following dishes were exceptionnal:
- langoustine appetizer
- sweetbread dumplings
- foie gras / squab

There were other good dishes my wife and I ordered (eg the quail) but if you order from the prix-fixe the above are a must-have.

The amuse bouches added a nice touch. Bread was good but not an Alsatian specialty ! The variation on Kugelhopf was interesting.

On top of this we had a gewurtztraminer from Alsace (2012 I believe) for $55.

Only thing missing was a tarte flambee - my favorite dish from The Modern.

Might be back for the tasting menu.",False,7,1,2,Benjamin K.,en
659,2015-06-25 21:44:54+00:00,5,"We went the third night it opened and had an extraordinary meal.  The service was formal but incredibly warm and gracious.  Every course was delectable. The restaurant is incredibly thoughtful from the beautiful plates, gorgeous interior, to a varied and dynamic menu to choose from.  Even the crumb dusters had character!  The cocktail and wine selections were both excellent as well.",False,3,0,1,Zoe R.,en
658,2015-07-12 11:46:39+00:00,5,"Already here second time after two days. Yep, it is that GOOD :) Also happened to catch up with a foodie friend, I suggested GK without even thinking. Because it is the best new restaurant top of my head right now. 

Since it is my 2nd time around, I will just go straight to the food. When I first time here two days ago, we prob tried out 1/3 of the pre-fix menu except for the pasta section. So my goal tonight is to try out the rest of the uncharted territory on the menu. So here we go.

Prior to the dinner we are presented the traditional Alsacien bread with chive fromage blanc. When it came on the table it is still warm - light crispy outside and flurry, scallion fragrant inside. My friend joked it is a healthier, tastier version of Chinese scallion pancake :/ The star is the chive fromage, it is just right amount of creaminess so it is easy to spread. And I love chive for its delicate, onion-y fragrance yet not as overpowering. Adding it to the fromage helps alleviate the heaviness of cheese. Before we knew it, we have scrapped all the cheese and bread...Warning! Don't do the same mistake as we do! There are three rounds of different bread during the meal. Take a bite each and stop!  We didn't and were stuffed before the end of our courses and I have to pack my main and skip the dessert :(

Amuse bouche - peach soup (apricot, last time, I think), corn custard and curried cracker with english pee puree. All taste as good as they are presented. Def wake up your taste bud and appetite. 

Starter: Langoustine tartar with flying fish roe, salty fingers, seasoned with cauliflower-macadamia puree. This is exceptional. I have always loved langoustine - I will have them everytime I go to Barcelona. Here the little monster is deformed and mixed with tiny, crunch flying fish roe and a salty little plant called salty fingers, dressed with nutty-savory cauliflower and macadamia puree. On top of that, some thin burn caramel (?) crisp. The whole combination is a piece of art, visually and gustatorily - sweet vs. savory, tender/juicy vs. crunchy/salty. It goes really well with the NV La Caravelle rose champagne. 

Remember I have also tried the compressed hamachi as starter (friend had it this time)? Which is better? Tough question. I like the hamachi more because it is more on the savory side and I am addictive to black truffle. But if you prefer lighter and refreshingly sweet/salty starter, go with the langoustine. If you could, get both :)

Moving on. I skip the pasta straight to fish and meat sections. I opted for the herb crusted Hawaiian Mero AND chef's signature dish, Squab & Foie Gras Croustillant (mind you, this is for 2 person).

I really enjoy the fish dish, which is presented as if an abstract painting - white fish, golden melted leeks, green baby ramps, mashed purple yam; all contrast against the bright orange stroke of pimento nage. Check out the pic! The mero, I figured, has a similar taste and texture of seabass tho prob less fat. It is cooked perfectly. Yet what's more interesting is the ""pineapple bun top"" accompany the fish - it is made of ""melted"" leeks and bouchot mussels. The melted leeks are leeks simmered in melted butter on low heat till it is super tender (hence the name melted) then adding white wine thyme (?) and mussels. It is savory, buttery and pack of flavors.  The pimento nage is a very nice touch, adding sweet herb and veggie aroma to the tender fish. 

Drum roll please! The Squab and Foi Gras Croustillant!! For all you have been to the Modern back in the days, you would recognize this is chef's signature dish. And needlessly to say, a master piece. The bird and foie are expertly cut, seared and wrap in ""sandwich"" with cabbage leaf. Then the squab & foie gras sandwich is rolled in a thin crispy dough sheet, served with summer veggies and bay leaf jus. Every bite is a symphony of juicy meaty squab meat and savory rich foie gras. It is a shame we are both beyond full by this point and we have to pack this home :/ 

Service is friendly and courteous as always. The maître d', Jonny, has already recognized me. For me, that is what fine dining is about, services and attention to details. For that, GK will be one of the top in my book. 

Before I headed out, I was gifted a little GK notebook with chef Gabriel Kreuther's autograph :) I am a very happy girl.",False,9,1,4,Nomad M.,en
657,2015-07-15 03:19:38+00:00,5,"Loved every minute here. Elegant deco, attentive service, and most importantly, beautiful food (yes, beautiful) from presentation to texture to taste. Every dish we ordered is like a piece of art.",False,2,0,0,Shirley C.,en
656,2015-07-22 20:42:08+00:00,3,"An assault on the senses or maybe I'm just too old to appreciate the hedge-fund magnitude of a restaurant where no surface remains un-designed.  Everything is artfully conceived and with all the current tasteful clichés from the miniaturized brushed steel hatracks brought to the table to hang purses to the specially conceived white wine glasses made to keep the fragrance in and the nose out.  Being old and sensible, we asked to exchange them for glasses that we could actually drink out of.  We couldn't figure out if the leather knife rests were  mouse pads in disguise.  And we were amused by the special silver plated utensils for the amuse bouche.    Too bad when the real show is behind some massive plated glass windows in the kitchen where a master chef is actually presiding in putting together the most intricate dishes being done in NYC.  With a menu and a mastery that rivals NYC's other prix fix four star restaurants, its four course menu is a bargain.  There's a difference in quality when the chef is actually present and on-the-line.  We were enthralled by his quiet intensity, his careful scrutiny of each order, old fashioned paper orders on a magnetic bulletin board, which he carefully annotated as plates were prepared.  And it was Gabriel who put finishing touches.  We watched him use tweezers to add garnishes.  And when you realize he begins before lunch and goes through dinner, we for the first time saw  the work behind these extravagant dining experiences.  The menu is as complicated as the décor.  The Alsatian touches strain to be heard.  What leaps off the printed page though are some amazing tastes bathed in subtle, memorable sauces.  Frogs legs melt in a exquisite sauce, a miniature sauerkraut and sturgeon tart is outstanding despite being presented under a glass bubble that kept in steam and made the tart soggy.  The dessert section descriptions sounded heavy and overdone.  I resigned myself to a chocolate something with kirsch, I hate kirsch, and was absolutely astonished when a pinnacle of dark chocolate soaring out of a sauce that tasted more like chocolate cherries arrived and I could have eaten more.  A cheese millefeuille was equally delicious.  Several amuse bouche appeared and 3 different breads.  This is a restaurant  that deseves to be about food and the chef. The best seats in the house look into the kitchen.  The staff is young, the chef is young, the food is exuberant, I only wish somebody had said, ""Stop Already, less is more.""",False,4,1,1,Melanie R.,en
655,2015-07-22 22:52:40+00:00,4,"My husband and I ate in the lounge twice.  We wanted to avoid the prix fixe--too much food. Don't like the restrictions. The tarte flambé was delicious, especially the traditional one. We had a lobster small plate dish that was good, but about $28.00. We would love to make GK a regular option but the ""ambiance"" is overkill.  I agree with the reviewer who commented on the purse rack and the silverware.  Way too affected, kind of felt like being in a classroom for hotel management.  Haute dining with no sense of humor or light touch.  Servers  trying way too hard to hype the food, the vibe.  I saw GK surveying the scene from the back and wanted to give my 2 cents on all the fussiness. But I suppose we are not the crowd he is seeking. I imagine that the food in the dining room proper is really good. I just think the service and everything surrounding the food needs some tweaking.",False,0,0,0,Jules P.,en
654,2015-07-23 13:21:08+00:00,5,"Absolutely amazing!! 
The staff was very knowledgeable and the ambiance was impressive yet very relaxed. The food was delicious and even the tableware was beautiful. The silverware was from VPur Moonlash collection. Love love love! I'd really like to try the squab next time. 

These are the things that really stood out to me: 
-Kugelhoph bread
-Raw diver scallops 
-Ruby Fizz cocktail 
-the amuse bouche charcoal cracker (not sure what cheese was in the middle) 
-the quail 
-tableware was unique every dish was a beautifully composed work of art
-my waiter was really young and handsome.",False,2,2,2,Bunny B.,en
653,2015-07-27 00:26:47+00:00,5,"Delicious meal in a very nice setting and while formal it didn't feel too stuffy. The service was excellent. Favorite dish was the squab which was fabulous and goes on my list of top dishes of all time. The lobster and Hawaiian mero courses were great as was the sturgeon tart. The langoustine course was interesting with maybe a little too much going on for my taste but it was not bad.  Desserts were expertly prepared. Yes, some people have complained about the funky stemware and silverware. I disagree that it impacts the meal much but understand their chirping.  They are something to talk about though. The fomage blanc they give with the first bread course is perfect. We also enjoyed the amuse bouches. Wines by the glass were all good. 

If I was to be critical I would say that I wish the entrees were slightly bigger like the mero fish. I also wish you could add a course but have different price points. I don't see the reason why anything you want to add is a minimum of $26 bucks. Most appetizers shouldn't be the same charge as a piece of fish or meat. Instead of the baguette with bamboo ash I would have loved to have tasted his tarte flambé!  All in all this is a solid fine dining destination. This is a high caliber of cooking. It is clear they are going for Michelin stars. I hope he will open up a casual place like other top chefs in the city.",False,0,0,0,Adam L.,en
652,2015-07-29 19:38:45+00:00,5,"From the friendly reception on, everything is as good as it gets.  Delicious, imaginative food, beautifully presented, far outstrips the already excellent food at Kreuther's two previous restaurants.  The service is wonderful, attentive without being fussy, correct yet friendly.  This is a place where everything has been thought out anew, from the cutlery, the astonishingly good wine glasses, a wine list full of excellent choices below $100, the originality of the food preparation and the elegant calm decor.  Our best new restaurant experience in years!",False,1,0,0,Alan G.,en
