month,num_neg,num_neu,num_pos
2005-03,0,0,1
2005-05,0,0,1
2005-06,0,0,1
2005-07,0,0,1
2005-09,0,0,1
2005-10,0,0,2
2005-11,0,0,1
2006-02,0,0,3
2006-04,1,0,1
2006-05,0,0,2
2006-07,0,0,4
2006-08,0,0,1
2006-09,0,0,2
2006-10,0,0,2
2006-11,2,0,2
2006-12,0,0,1
2007-01,0,0,1
2007-02,0,0,3
2007-04,0,0,2
2007-05,0,0,3
2007-06,0,0,5
2007-07,0,0,9
2007-08,0,0,2
2007-09,0,0,5
2007-10,0,0,5
2007-11,0,0,6
2007-12,0,0,3
2008-01,0,0,4
2008-02,1,0,5
2008-03,1,0,5
2008-04,1,0,5
2008-05,0,0,3
2008-06,0,0,5
2008-07,0,0,12
2008-08,1,0,3
2008-09,0,0,5
2008-10,1,0,9
2008-11,0,0,9
2008-12,0,0,11
2009-01,0,0,9
2009-02,0,0,12
2009-03,0,0,10
2009-04,1,1,8
2009-05,1,0,14
2009-06,0,0,6
2009-07,0,0,14
2009-08,0,0,19
2009-09,0,0,12
2009-10,1,1,18
2009-11,0,0,11
2009-12,1,0,11
2010-01,4,0,13
2010-02,1,0,12
2010-03,0,1,12
2010-04,0,0,15
2010-05,0,0,19
2010-06,1,0,20
2010-07,1,0,12
2010-08,1,0,17
2010-09,0,0,11
2010-10,1,0,16
2010-11,2,1,13
2010-12,4,0,16
2011-01,2,0,21
2011-02,1,0,9
2011-03,0,0,16
2011-04,1,0,21
2011-05,4,0,14
2011-06,1,0,14
2011-07,0,0,12
2011-08,1,1,15
2011-09,1,0,17
2011-10,0,0,21
2011-11,0,0,17
2011-12,1,0,19
2012-01,3,0,21
2012-02,2,0,15
2012-03,2,0,22
2012-04,2,0,11
2012-05,1,0,19
2012-06,6,0,11
2012-07,0,1,27
2012-08,0,0,15
2012-09,0,0,25
2012-10,1,0,16
2012-11,2,0,12
2012-12,1,0,19
2013-01,0,0,14
2013-02,4,0,23
2013-03,2,0,30
2013-04,0,0,25
2013-05,4,0,26
2013-06,1,0,23
2013-07,3,0,16
2013-08,0,0,19
2013-09,0,0,21
2013-10,2,0,24
2013-11,3,0,23
2013-12,2,0,19
2014-01,1,0,23
2014-02,4,1,25
2014-03,1,0,25
2014-04,2,0,26
2014-05,1,0,20
2014-06,3,1,36
2014-07,5,0,24
2014-08,3,0,25
2014-09,2,0,21
2014-10,0,0,21
2014-11,0,0,32
2014-12,6,0,27
2015-01,1,1,20
2015-02,0,0,30
2015-03,1,1,18
2015-04,2,0,22
2015-05,1,0,24
2015-06,0,0,20
2015-07,1,0,26
2015-08,3,0,28
2015-09,3,0,30
2015-10,4,0,30
2015-11,1,0,26
2015-12,1,0,13
2016-01,6,1,29
2016-02,0,0,28
2016-03,2,0,19
2016-04,0,0,28
2016-05,1,0,25
2016-06,0,0,34
2016-07,5,0,15
2016-08,4,0,23
2016-09,0,0,13
2016-10,0,1,17
2016-11,1,0,24
2016-12,3,0,24
2017-01,3,0,27
2017-02,2,0,22
2017-03,4,0,19
2017-04,2,0,25
2017-05,0,0,33
2017-06,2,0,20
2017-07,1,0,24
2017-08,0,0,15
2017-09,4,0,17
2017-10,2,0,23
2017-11,2,0,11
2017-12,2,0,19
2018-01,5,1,27
2018-02,0,0,25
2018-03,2,0,23
2018-04,2,0,21
2018-05,1,0,17
2018-06,5,0,15
2018-07,1,0,18
2018-08,5,0,20
2018-09,1,0,15
2018-10,5,0,12
2018-11,5,0,23
2018-12,3,0,16
2019-01,0,0,14
2019-02,2,0,18
2019-03,0,0,11
2019-04,3,0,11
2019-05,2,0,18
2019-06,3,0,9
2019-07,1,0,21
2019-08,1,0,11
2019-09,4,0,12
2019-10,3,0,8
2019-11,3,0,22
2019-12,2,0,10
2020-01,3,0,8
2020-02,1,0,16
2020-03,2,0,7
2020-04,0,0,2
2020-06,0,0,4
2020-07,0,0,3
2020-08,3,1,9
2020-09,1,0,10
2020-10,3,0,5
2020-11,1,0,6
2020-12,0,0,2
2021-01,0,0,3
2021-02,1,0,2
2021-03,1,0,0
2021-04,3,0,7
2021-05,0,0,7
2021-06,0,0,8
2021-07,1,1,15
2021-08,4,0,8
2021-09,0,0,11
2021-10,2,0,9
2021-11,0,0,6
2021-12,2,0,5
2022-01,3,0,9
2022-02,1,0,15
2022-03,2,0,9
2022-04,0,0,7
2022-05,1,1,11
2022-06,3,0,11
2022-07,2,1,16
2022-08,0,0,17
2022-09,2,0,10
2022-10,3,0,9
2022-11,3,0,9
2022-12,2,0,14
2023-01,2,1,11
2023-02,1,0,14
2023-03,1,0,12
2023-04,1,1,16
2023-05,4,0,18
2023-06,0,0,12
2023-07,2,0,19
2023-08,2,0,13
2023-09,0,0,15
2023-10,2,0,12
2023-11,0,0,7
2023-12,3,0,20
2024-01,5,0,15
2024-02,2,0,17
2024-03,2,0,16
2024-04,4,1,10
2024-05,2,0,6
2024-06,2,0,16
2024-07,4,0,6
2024-08,3,0,7
2024-09,0,0,10
2024-10,2,0,14
2024-11,2,0,13
2024-12,1,0,19
2025-01,2,0,5
2025-02,3,0,10
