,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
3636,2005-03-24 18:37:08+00:00,3,"after all the hype i gotta say that some of it is true. the service, atmosphere, and attention this place shows for detail is huge. the traditional amuse coming forth, was off the hook. i had a great time here. there was excellent wine to choose from, cheeses that an frenchman would envy, and you get what you expect. the monkfish was tender,but the shredded veg it came with was mottled together, and ther was no taste difference. the sweetbreads were crisp, while maintaining thier moist, tender inside. the steak was perfect, and untampered with, salt and pepper only complimented it wonderfully. the food is unpretentious and cooked to perfection.all in all a wonderful experience and it almost  lived up to the hype.",False,0,0,1,Raphael a.,en,"{'neg': 0.029, 'neu': 0.733, 'pos': 0.238, 'compound': 0.9854}",0.9854,0.238,0.029,0.733,positive
3635,2005-05-24 02:33:34+00:00,4,"All right - so here's the deal.  The reality is that Gramercy Tavern is about the bar any night of the week (""eating in the tavern"") where the cocktails are great, the food is solid, and the bartender Mon-Thursday is one of the best - ever.  If you drink whiskey - or seriously drink, leaving las vegas seriously - get ""the flatiron"" even if it is off the menu.  Also, everything you've ever heard about the service is true - and in NY that can't be more rare.  The food in the back is phenomenal (shy away from the rabit unless thumper is your thing) but you are inevitably surrounded by a series of event dinners (anniversary, funeral, first orgasm - its always got to be something) and the meal will leave you in the prix fixe coma.  So unless you need to entertain the prospective in-laws, eat up front, talk trash with the bar (marvel at how they can move that many people that elegantly around the restuarant)and drink some of the best cocktails in america (and try some rare german wine with your meal) and get out for under a $120....  FYI - this is no singles joint.",False,1,2,0,Andrew C.,en,"{'neg': 0.047, 'neu': 0.838, 'pos': 0.114, 'compound': 0.9451}",0.9451,0.114,0.047,0.838,positive
3634,2005-06-13 00:36:16+00:00,5,Both times I have been here I have had exquisite food and service.  The atmosphere is inviting and unpretentious. The service floats around you and is extremely well choreographed. The food is outstanding with good portion sizes (not too big or too small). You leave feeling extremely satsified. Great place for business lunches or to take your parents for dinner.,False,0,0,0,Stephanie I.,en,"{'neg': 0.017, 'neu': 0.715, 'pos': 0.269, 'compound': 0.9582}",0.9582,0.269,0.017,0.715,positive
3633,2005-07-29 01:15:08+00:00,4,"old school restaurant with old school service.
professional, and a bit over the top.
the decor is floral, park avenue money.

the cheese tasting menu is excellent
the filet mignon was great
lobster was overcooked

good for business dinner",False,0,0,0,Tracy T.,en,"{'neg': 0.092, 'neu': 0.659, 'pos': 0.25, 'compound': 0.7845}",0.7845,0.25,0.092,0.659,positive
3632,2005-09-05 20:21:32+00:00,5,"The best service in New York City, bar none. Anyone with a working credit card is welcome here and the tasting menus are sublime.  Vegetable only tasting menus for the veggie-lovers, too. Make sure you have the cheese plate and ask to match it with one of their delicious ciders. A great place to go for the New York experience without the New York attitude.",False,1,0,0,Christy V.,en,"{'neg': 0.059, 'neu': 0.665, 'pos': 0.276, 'compound': 0.9595}",0.9595,0.276,0.059,0.665,positive
3631,2005-10-17 19:21:36+00:00,5,"A hands-down great restaurant and highly enjoyable all-around dining experience.  Forget about the back seating area that requires reservations.  The front dining area near the bar is more fun, more affordable, and is first-come, first-serve.  The filet-mignon is excellent.  Finish it off with an apple crisp with cream cheese and rasberry ice cream to share with the table.  Expect to wait about an hour at the bar before getting a table.  But enjoy the wait, order a few, and know that you are in one of the best restaurants in town.",False,1,0,0,Sarah B.,en,"{'neg': 0.076, 'neu': 0.706, 'pos': 0.218, 'compound': 0.9384}",0.9384,0.218,0.076,0.706,positive
3630,2005-10-19 21:08:31+00:00,4,"Amazing service, atmosphere. nothing beats the whole experience!   i have never been so well serviced in my whole life. it was seamless...i had no idea when they filled my water, but they did throughout the night.  service was impeccable and is a perfect place to bring someone you want to impress.  The food is good, not the best, but still good enough such that the food combined with the service and atmosphere make it an amazing experience. also if you don't want to spend much money go to the bar - it's a tad bit cheaper!",False,0,0,0,Annie y.,en,"{'neg': 0.085, 'neu': 0.668, 'pos': 0.247, 'compound': 0.9607}",0.9607,0.247,0.085,0.668,positive
3629,2005-11-14 19:27:56+00:00,4,"This establishment has a reputation of being one of the best restaurants in the city, but I have never actually eaten here. However, me and my friends stopped in for a drink once and let me tell you this place does not take kindly to 10 people ordering lemon drops at the bar while people are eating monkfish. I am pretty sure the bartender was pressing the panic button.",False,1,3,0,Ron B.,en,"{'neg': 0.125, 'neu': 0.705, 'pos': 0.17, 'compound': 0.5801}",0.5801,0.17,0.125,0.705,positive
3628,2006-02-01 23:01:51+00:00,4,"A lovely, comfortable place at which I am always happy to be.  Almost everything I've had was delicious, a statement which is only qualified by the dishes which were merely very good.  Great beer selection with seasonal taps paired to the menu.  

It's so home.",False,1,1,1,Lani M.,en,"{'neg': 0.0, 'neu': 0.574, 'pos': 0.426, 'compound': 0.9829}",0.9829,0.426,0.0,0.574,positive
3627,2006-02-12 09:09:34+00:00,3,"Always a good standby, Gramercy Tavern is a reliable good food destination. However, despite saying that, it is a little overhyped. Service was attentive and quick and the ambiance was very comfortable. Dessert was fantastic - the lemon souffle was light and sweet and the cocktails were great! The rabbit main dish I had was very well cooked. However, not all of it was that great. The sweetbreads were too large and too rich - sweetbreads are delicate and should be served in small, well-cooked portions.. but overall a good experience, just maybe not worth all the hype.",False,1,1,1,Chris L.,en,"{'neg': 0.041, 'neu': 0.701, 'pos': 0.258, 'compound': 0.9627}",0.9627,0.258,0.041,0.701,positive
3626,2006-02-27 05:15:14+00:00,4,"We loved Gramercy Tavern. it is casually elegant, and everything was delicious. what a lovely cheese list, and i was surprised and delighted to get to try a Claudia Fleming dessert (she was consulting)....which i adored.",False,0,0,0,sarah C.,en,"{'neg': 0.0, 'neu': 0.446, 'pos': 0.554, 'compound': 0.9846}",0.9846,0.554,0.0,0.446,positive
3625,2006-04-14 19:44:57+00:00,2,Overrated. Something about this place irks me. Was it the bland martini? The not-hot-enough entry? The banal menu? All of the above! And more. Don't go here unless you can't stand saying you've never been there.,False,0,0,0,B D.,en,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.8567}",-0.8567,0.0,0.199,0.801,negative
3624,2006-04-19 20:30:59+00:00,5,"An unintimidating restaurant with unbelievable everything, this ""tavern"" had a warm and inviting feel. I had the rabbit. (Sorry to those of you freaking out about my eating Thumper.) The rabbit was amaaaazing. It was so soft and juicy. It wasn't tough at all, and I could just picture a fat, fluffy bunny who did nothing but sit there and eat carrot after carrot. I'm sorry, Thumper. For dessert, I had the apricot tart, and it was reeeally awesome. It was beautifully presented and tasted even more wonderful. My tummy says thankee to Thumper & Co.",False,8,10,6,Audrey J.,en,"{'neg': 0.03, 'neu': 0.724, 'pos': 0.246, 'compound': 0.9771}",0.9771,0.246,0.03,0.724,positive
3623,2006-05-19 00:53:02+00:00,4,"It's good. It's really good. It's not perfect though which is why it got 4 stars and not 5.  The service is attentive but just a tad frosty at times for my tastes.  I've enjoyed everything I've had there. From the little amuse bouche to get you started to the muffin you get at the end of your meal. (At that price it damn well better cover two meals!).  I have had friends show signs of disappointment on beef dishes in the past, but I've always had wonderful experiences with their lamb and seafood preparation. Portions are perfectly sized, not small but not overly large.  Wine list is extensive and has options that won't break the bank (the food bill will already take care of that....).  And that coffee...I'll probably never be able to pronounce it but its delish. Overall, its a wonderful dining experience.",False,1,0,1,Maryanne N.,en,"{'neg': 0.067, 'neu': 0.667, 'pos': 0.266, 'compound': 0.99}",0.99,0.266,0.067,0.667,positive
3622,2006-05-30 15:24:55+00:00,4,"I had one of the most enjoyable and indulgent dining experiences at the Gramercy Tavern.  We truly celebrated in style here!  This place is all about service, and about really enjoying your company and your meal.  The waiters do not rush you at all, which is almost difficult to get used to in a city that's so rush-rush-rush all the time.  We started the evening off with incredible cocktails before ordering a bottle of wine to go with our meals.  We each had a different and delicious appetizer.  Everyone seemed to love their main course, and I especially loved the tasty salt-baked sea bass that I ordered.  I'm not used to three hour dinners, but somehow the hours just flew by as we ate and talked and celebrated.  This was a very romantic old-New York kind of restaurant, and I had a lovely time.",True,1,0,0,Krista J.,en,"{'neg': 0.01, 'neu': 0.749, 'pos': 0.241, 'compound': 0.9905}",0.9905,0.241,0.01,0.749,positive
3621,2006-07-06 02:40:59+00:00,5,"mmm this place is practically a new york institution.  it's big on power lunches as you can gather from the businessmen around you but the service never falters.  the food is great and the dessert is even better, although I must say I'm a little biased because my friend is a pastry chef there but I swear it's inventive and some of the best I've ever had.",False,1,0,0,Valerie A.,en,"{'neg': 0.044, 'neu': 0.708, 'pos': 0.248, 'compound': 0.9642}",0.9642,0.248,0.044,0.708,positive
3620,2006-07-09 21:13:15+00:00,5,"I went for a late 2pm lunch on saturday and it was some of the best food I've ever had. I got the filet and it was better than any of those overpriced wood-panneled 'steakhouses' (I'm talking to you Capital Grille!). The ambiance was relaxed and pleasant. The waitress checked in regularly to make sure everything was perfect. And it was. And for the quality we got, the bill wasn't bad at all.

From now on, I go to Gramercy Tavern as much as possible.",False,1,0,1,ben -.,en,"{'neg': 0.058, 'neu': 0.705, 'pos': 0.237, 'compound': 0.9555}",0.9555,0.237,0.058,0.705,positive
3619,2006-07-10 22:22:05+00:00,5,"This restaurant served one of the best meals I've had during my brief stay in NYC. All of the staff from the hostess to the server were very accommodating and friendly. 

However, good service alone does not get you the stars. The food surely does. I ordered the crab puree with sweat peas, pink peppercorns, and bacon. I had a very minor quibble with the peppercorns not being blended in perfectly but it was not enough to detract from the dish as a whole. I ordered the rabbit for my main course which was perfectly tender and fit well with the shallots, sausage, and olives. The potato puree was served in a separate container and was whipped to the right consistency.

This place will definitely be a repeat experience the next time I find myself in NYC.",False,2,0,1,Shawn T.,en,"{'neg': 0.01, 'neu': 0.769, 'pos': 0.221, 'compound': 0.9867}",0.9867,0.221,0.01,0.769,positive
3618,2006-07-22 17:21:39+00:00,5,"After the end of a delicious 7 course meal, we were completely satisfied with the flawless food , and perhaps a little drunk, but not overly stuffed.   We were, however, very surprised to find that the check at the end of the meal was twice as much as we'd expected.

For the duration of the meal, we were treated suprisingly well, especially after we had ordered.  I reckon the service is always top knotch, but our waiter was especially friendly.  We realized why when we noticed that instead of the modest $70 bottle of wine we thought had ordered, what we had ordered was, in fact, a $300 bottle.  Oops.

So, this means that Gramercy Tavern was a painfully expensive meal.  But the room felt warm, the service was perfect, and although it's an upscale and especially sophisticated restaurant, it did not feel stuffy. . . which made the check somewhat more palatable.  

We'll definitely be back for a special occasion.",False,2,2,2,Brigitte T.,en,"{'neg': 0.067, 'neu': 0.68, 'pos': 0.253, 'compound': 0.9888}",0.9888,0.253,0.067,0.68,positive
3617,2006-08-07 00:33:24+00:00,4,"Had lunch here with a couple co-workers, and the food, service and ambiance were all wonderful.  The most memorable part of the meal, however, was the coconut tapioca dessert.  It made me forget everything else we had just eaten.  It made Don O. forget to write anything in his review!",False,1,0,1,Sherri C.,en,"{'neg': 0.076, 'neu': 0.855, 'pos': 0.069, 'compound': 0.2942}",0.2942,0.069,0.076,0.855,positive
3616,2006-09-11 23:57:10+00:00,5,"I just got back from NYC and had the most amazing lunch there.  My friend and I chose to do the summer tasting menu and it was delicious.   The scallops were cooked to perfection, the turbo was delicate and the rack of lamb was like butter on the tongue.  Also the service was perfection... thanks Kevin you really took care of us!  I would highly recommend this place and will make sure I stop by next time I am in NYC.",False,1,0,1,Annabel G.,en,"{'neg': 0.022, 'neu': 0.646, 'pos': 0.332, 'compound': 0.9852}",0.9852,0.332,0.022,0.646,positive
3615,2006-09-14 11:00:18+00:00,5,"Reservations can take a month, but you can walkup at the bar!

I ordered the braised beef cheeks.  They were so fantastic our table placed another order and split them for desert!

Service here is good, location is fantastic and its a good crowd at the bar.",False,1,0,1,Jennifer S.,en,"{'neg': 0.0, 'neu': 0.654, 'pos': 0.346, 'compound': 0.9754}",0.9754,0.346,0.0,0.654,positive
3614,2006-10-02 04:18:08+00:00,4,"Perhaps my friends who had gone here had hyped this place up too much, but I'd say my experience here was above average, but not spectacular. Nothing was bad, but nothing knocked my socks off. Good, tasty, American food with a few assorted twists.",False,2,0,1,Jay D.,en,"{'neg': 0.065, 'neu': 0.614, 'pos': 0.321, 'compound': 0.9574}",0.9574,0.321,0.065,0.614,positive
3613,2006-10-15 02:19:57+00:00,5,"What can I say about Gramercy Tavern other than I love this place. I love when you walk into the place they treat you like a long lost friend. I love that if you want a casual dinner you have the Tavern part. The Tavern is very rustic and great on a cold day. The portobello tart is absolutely amazing and addictive. If you want something more formal there are the tables in the back. The rabbit dish with olives and mashed potatoes is to amazing!

The service is great and the place just soothes my soul!",False,2,2,2,lisa f.,en,"{'neg': 0.079, 'neu': 0.562, 'pos': 0.359, 'compound': 0.9885}",0.9885,0.359,0.079,0.562,positive
3612,2006-11-04 16:20:03+00:00,5,"On the cold fall day that I arrived at Gramercy Tavern, I enjoyed being in the ambience of a wooded interior decorated with autumn accoutrements, and a roaring fireplace to complement the atmosphere.

The food was unique and good.  Hot tea just warmed me up while waiting for lunch and during some good conversation.  Thankfully this place is NOT noisy as well.

The Tavern room is open to those without reservation, but get one if you want to sit in the main room.",False,2,0,2,David S.,en,"{'neg': 0.073, 'neu': 0.783, 'pos': 0.144, 'compound': 0.5078}",0.5078,0.144,0.073,0.783,positive
3611,2006-11-09 06:08:57+00:00,5,"yum in many many ways. You can eat in the main dining room, but the casual dining area is definitely worth it anyhow. Besides, who wants to put on business casual (and possibly a jacket) to eat? everything was carefully prepared and a real treat",False,0,0,0,Catherine H.,en,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.9428}",0.9428,0.333,0.0,0.667,positive
