month,num_neg,num_neu,num_pos
2008-04,1,0,1
2008-09,0,0,1
2008-10,0,0,3
2008-11,0,0,1
2008-12,0,0,1
2009-01,0,0,1
2009-03,0,0,2
2009-06,0,0,1
2009-07,0,0,1
2009-10,0,0,1
2009-11,1,0,2
2010-01,1,0,2
2010-02,0,0,1
2010-04,1,0,2
2010-05,0,0,1
2010-07,0,0,3
2010-08,1,0,0
2010-09,0,0,1
2010-10,1,0,1
2010-11,1,0,1
2010-12,1,0,1
2011-01,0,0,5
2011-02,0,0,5
2011-04,0,0,1
2011-05,0,0,3
2011-06,0,0,3
2011-07,0,0,3
2011-09,3,0,3
2011-10,1,0,0
2011-11,1,0,0
2011-12,0,0,1
2012-01,0,0,4
2012-02,0,0,2
2012-03,0,0,4
2012-05,0,0,3
2012-06,1,0,0
2012-07,0,0,1
2012-08,1,0,1
2012-09,0,0,1
2012-10,0,0,2
2012-12,0,0,1
2013-01,1,0,0
2013-02,0,0,2
2013-03,0,0,3
2013-04,0,0,1
2013-05,0,0,2
2013-06,0,0,1
2013-07,0,0,3
2013-08,0,0,1
2013-09,0,0,4
2013-10,2,0,0
2013-11,1,0,1
2013-12,0,0,2
2014-01,0,0,4
2014-02,0,0,1
2014-03,0,0,8
2014-04,0,0,1
2014-05,1,0,2
2014-06,0,0,3
2014-07,0,0,4
2014-08,1,0,2
2014-09,0,0,2
2014-10,1,0,3
2014-11,2,0,1
2015-01,0,0,1
2015-02,0,0,3
2015-03,1,0,1
2015-04,0,0,1
2015-07,1,0,3
2015-08,0,0,3
2015-10,0,0,1
2015-11,1,0,0
2015-12,2,0,0
2016-01,0,0,1
2016-02,0,0,1
2016-03,1,0,1
2016-04,1,1,1
2016-05,3,0,2
2016-06,2,1,1
2016-07,0,0,1
2016-08,0,0,6
2016-09,1,0,1
2016-10,2,0,3
2016-11,1,0,1
2016-12,1,0,1
2017-01,0,0,1
2017-02,0,0,1
2017-03,1,0,2
2017-04,0,0,2
2017-05,1,0,2
2017-06,0,0,2
2017-07,2,0,2
2017-08,2,0,5
2017-09,0,0,1
2017-10,1,0,5
2017-11,0,0,1
2017-12,0,0,2
2018-01,1,0,2
2018-02,1,0,3
2018-03,0,1,5
2018-04,3,0,4
2018-05,1,0,2
2018-07,2,0,3
2018-08,1,0,2
2018-09,1,0,4
2018-10,0,0,5
2018-11,1,0,2
2018-12,2,0,1
2019-01,0,0,4
2019-02,0,0,5
2019-03,0,0,3
2019-04,1,0,8
2019-05,1,0,4
2019-06,1,0,1
2019-07,2,0,6
2019-08,4,0,2
2019-09,2,0,5
2019-10,2,0,6
2019-11,1,0,2
2019-12,2,1,0
2020-01,5,0,3
2020-02,4,0,3
2020-03,1,0,3
2020-07,0,0,1
2020-08,4,0,1
2020-09,0,0,1
2020-10,2,0,2
2020-11,1,0,2
2020-12,0,0,2
2021-02,1,0,0
2021-03,1,0,1
2021-04,0,0,1
2021-06,0,0,2
2021-07,3,0,1
2021-08,4,0,9
2021-09,0,0,2
2021-10,1,0,2
2021-11,1,0,4
2021-12,1,0,0
2022-01,2,0,2
2022-02,1,0,2
2022-03,0,0,1
2022-04,0,1,3
2022-05,1,0,0
2022-06,1,0,1
2022-07,2,0,2
2022-08,2,0,5
2022-09,2,0,4
2022-10,2,2,7
2022-11,1,0,3
2022-12,0,0,7
2023-01,1,0,3
2023-02,0,0,5
2023-03,1,0,4
2023-04,3,0,3
2023-05,1,0,2
2023-06,0,0,3
2023-07,0,0,4
2023-08,1,0,5
2023-09,2,0,3
2023-10,1,0,5
2023-11,2,0,6
2023-12,2,0,1
2024-01,0,0,4
2024-02,3,0,12
2024-03,3,0,4
2024-04,0,0,4
2024-05,1,0,10
2024-06,3,0,4
2024-07,4,0,3
2024-08,0,0,4
2024-09,2,0,5
2024-10,1,0,4
2024-11,0,0,4
2024-12,2,0,7
2025-01,0,0,1
2025-02,2,0,2
