month,num_neg,num_neu,num_pos
2015-12,4,0,6
2016-01,2,0,14
2016-02,4,0,3
2016-03,9,0,9
2016-04,2,0,6
2016-05,4,0,4
2016-06,2,0,4
2016-07,2,0,1
2016-08,2,0,6
2016-09,2,0,1
2016-10,1,0,3
2016-11,1,0,2
2016-12,1,0,2
2017-01,1,0,4
2017-02,1,0,0
2017-03,2,0,2
2017-04,1,0,2
2017-05,1,0,3
2017-06,1,0,6
2017-07,1,0,3
2017-08,1,0,1
2017-09,3,0,4
2017-10,1,0,3
2017-11,1,0,2
2017-12,2,0,6
2018-01,0,0,1
2018-02,2,0,0
2018-03,2,0,2
2018-04,0,0,2
2018-05,0,0,3
2018-06,1,0,4
2018-07,2,0,4
2018-08,1,0,5
2018-09,2,0,2
2018-10,2,0,2
2018-11,0,0,3
2018-12,2,0,6
2019-01,2,0,4
2019-02,2,0,1
2019-03,2,0,6
2019-04,0,0,3
2019-05,1,0,4
2019-06,1,0,2
2019-07,0,0,2
2019-08,0,0,2
2019-09,2,0,4
2019-10,0,0,1
2019-11,0,0,7
2019-12,1,0,0
2020-01,1,0,1
2020-02,0,0,2
2020-03,0,0,2
2020-05,0,0,1
2020-08,0,0,1
2020-09,0,0,2
2020-10,1,0,1
2020-12,1,0,1
2021-03,0,0,2
2021-04,0,0,2
2021-06,0,0,1
2021-07,6,1,0
2021-08,0,0,1
2021-09,0,0,2
2021-10,1,0,1
2021-11,1,0,2
2022-01,0,0,2
2022-02,1,0,3
2022-03,0,0,2
2022-04,0,0,1
2022-05,1,0,2
2022-06,1,0,0
2022-07,0,0,1
2022-08,0,0,2
2022-09,0,0,2
2022-11,0,0,2
2023-01,0,0,1
2023-02,0,0,1
2023-03,1,0,0
2023-05,1,0,0
2023-06,1,0,0
2023-08,1,0,1
2023-09,0,1,2
2023-10,0,0,1
2023-11,1,0,1
2023-12,0,0,1
2024-01,0,0,1
2024-02,0,0,1
2024-03,1,0,1
2024-04,0,0,1
2024-07,2,0,0
2024-08,0,0,1
2024-10,0,0,1
2025-02,0,0,1
