,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
321,2015-12-17 20:59:49+00:00,5,"Insa is officially open now, where is going to be the best Korean bbq place in town. Even better, you can enjoy their bar and karaoke lounge. Triple attacks by Korean bbq, drinks, and karaoke. I love every dish I tried but strongly recommend to order Insa's Fried Chicken and Ojingeo Bokkem which are the best ones for me.

I highly recommend this place for your group event or party with Insa's family style lay-out and its friendly staffs serving you the best.

I was told this hip place was designed by Ben Shneider, a famous designer and all traditional Korean dishes are cooked by two chefs, Sohui Kim and Yong Shin. 

Go check out INSA!!!!!!",False,0,1,0,Jinwoo K.,en
320,2015-12-19 16:50:27+00:00,5,"We went here on Thursday night. So excited to see a full traditional menu.  Our table ordered a bit of everything, and we ate EVERYTHING on the table. One of the highlights was the Soondoobu Chigae...the seafood in this soup was high quality and super fresh! Usually, when ordered in Ktown, i eat around the seafood, but not here....ate the whole bowl.  

The marinated Kalbi was fantastic. Delicious! The dwaenjang on the side was also perfect.  This place is legit Korean.  (Bonus was when the steamed egg and broiled fish were brought mid-meal. Thank you!)

The one thing I recommend to management is to dim the lights a tad.  

Anyway, we will be back! Can't wait for more pigging out and next we will add on the NoRaeBang.",False,2,0,1,Julie K.,en
319,2015-12-21 18:18:49+00:00,5,"""What Gowanus really needs is a combination Korean BBQ/karaoke spot,"" is a thought I'd never had before. Luckily, the minds behind the Good Fork work differently.

There's been a ton of buzz around Insa since it was announced (with a brief experimental residency at Threes Brewing across the street), and I can say it definitely lives up to the hype.

They have two entrances - one to the bar, and one to the main restaurant. The bar is cool, with a few booths, great lighting, and a super cool bartender named Andy. They have decidedly Asian-inspired cocktails that I wouldn't expect to find anywhere else in the area. They use ingredients like matcha tea, jujube, and coconut milk.

Once our table was ready (around 10 minutes on opening week), we walked into the main dining area, which was quite the trip. Assuming this space used to be a garage or warehouse, they really did a number to make it look inviting. High ceilings, skylight, long communal tables, and a giant kitchen off to the side. It really feels like a beer hall, but... y'know, Korean.

Our waitress Sonya was hilarious and made some great recommendations. Between three people, we had:
1) Pork/beef/chive dumplings - they come 7 to an order (weird) and we went with fried. Pretty damn good, especially with the sweet-ish dipping sauce.
2) Japchae - a vegetarian noodle dish with egg. It had two types of noodles and a ton of veggies. Good for something light, but I don't think I could've eaten a whole plate of it.
3) Blood sausage - great if you can stomach it, but probably better for sharing among more people. You can only have so much blood.
4) Cuttlefish and octopus for the grill. Great flavor, but in hindsight, we should've asked for it to be grilled longer for more char.
5) Tteokbokki - spicy rice ""cake"" with fish cakes and egg. This was probably my favorite dish. Very Korean, with a good balance of spicy and savory.

I'd be remiss if I didn't also mention the karaoke. We didn't sing any songs, but they have two room sizes. The smaller one can fit up to 10 people, and they charge by the hour for the room, rather than by the person by the hour, like many places in the city do. It's $60/hour for the small room and $160 for the large. Not bad if you can get a large group going.

Gowanus is definitely shaping up to be a wonderful area for extracurricular activities, and Insa is a very welcome addition to the neighborhood!",False,6,2,1,Kenny C.,en
318,2015-12-22 01:20:51+00:00,5,"THANK YOU, INSA!!! I have been desperate for a real Korean restaurant in this part of Brooklyn for more years than I care to note.  The recent explosion of Korean-fusion restaurants nearby has only made this desperation stronger.  And now, finally, someone has done it.  Went there for dinner opening week, and to be sure, I was skeptical going in.  (I've tried every one of the new Korean-ish joints, always let-down, to put it mildly.)  But no! This is real Korean food in a gorgeous, fun, laid-back, pretty-much-perfect space.  So happy.  Here's what I love about Insa:

-It's authentic Korean food.  The owners don't assume that non-Koreans can't handle or wouldn't appreciate real Korean food.  (I've never understood that.  I mean, who has tried good Korean food and NOT liked it??)  They even use real Korean names on the menu.  It shows respect for Korean food, Korean people/culture, AND for the non-Koreans invited to join in eating it!  

-The food is excellent.  While I might have appreciated one or two things that were just slightly more funky or spicy, every single thing we had (and we ordered quite a lot) was delicious.  Obviously great ingredients, cooked/seasoned/prepared really well.  The banchan was all super fresh and delicious (and anyone who knows Korean food knows that's a litmus test right there!); the BBQ (we had kalbi and samgyupsal/pork belly) was delicious -- true, the portions were a little smaller than I would have liked, but I'm happy to pay an extra few bucks for the quality of meat and for saving me a trip to Flushing; the bossam/pork belly was insanely delicious -- the best I've ever had; everything else we had was really good, too, including the haemul pajon/seafood pancake, fried mandu/dumplings, dukboki/spicy rice cakes.  Yum, yum, yum.  

-Service was great.  Seems like it might take a second for the servers to get the hang of Korean BBQ, but you gotta give them that.  They were all super, super friendly and attentive, as was the host.

-Cocktails were yummy.  The bar space is cute, too.

-The whole space is gorgeous.  It's a perfect marriage of traditional Korean BBQ place meets hip Brooklyn joint. 

-The karaoke!!  The karaoke rooms (all private, as in traditional Korean karaoke places) are the nicest I've ever been in.  Cute, themed, and with a great selection of songs.  And the quality of the karaoke was great, too.  No cheesy videos or weird electronic versions of the songs here.  (Anyone else with kids ever had the terrible experience of choosing a pop song only to have a totally inappropriate video come on??  I appreciate not having to worry about that. Ha!)  So fun!!  We just did a little karaoke after dinner. Next time we will go for some karaoke and order some food and drinks in there. 

Writing about it makes me want to go back, like, tomorrow.

Thank you, Insa!!",False,3,1,1,Tanner L.,en
317,2015-12-29 03:09:20+00:00,2,"Restaurant temperature: 1 star
Portion size of $43 ""Beosut modem"" mushroom plate: 1 star
Ambiance of bar: 5 stars
Ambiance of restaurant: 4 stars
Crispiness of bibimbap: 1 star
Japchae: 4 stars
Mixed drinks: 4 stars
Draft list: 5 stars
Percent less likely you will be to pay $60 to do karaoke after you have to walk past the private rooms on the way to the restroom and hear that multi-generational Scandinavian table painfully trying to do Sinead: 90 
Number of times you were waiting to use the restroom and two people simultaneously exited and you couldn't figure out if they were in the bathroom for sex or for drugs or for a good middle-of-the-winter heart-to-heart: 1",False,2,6,1,Ben S.,en
316,2015-12-29 05:19:36+00:00,2,"Great ambience and tasty mixed drinks, but if you want a good Korean dinner, I do not suggest this spot. I had the kimchee/vegetable dumplings and they were decent-tasting, but over-priced. The kimchee had little flavor. Additionally, my party and I were guilted when we asked for more banchan (side dishes). The bibimbop was not served in a hot bowl to ensure the crispiness of the rice at the bottom. Sad face. Lastly, the waitstaff was inattentive, sometimes verging on rude. I hope this place improves, as I would love to frequent a close by Korean resto.",False,3,0,0,Jessica R.,en
315,2015-12-29 14:57:35+00:00,2,Really disappointing. I wanted to love this place because I loved the idea of having Korean food so close to home!!! I guess if you are looking for a good ambience and good drinks and bad Korean food this place is ok. I  give them 2 stars for ambience and Karaoke. But seriously those of you who rarely had Korean food....please do not think this place is a representation of good Korean food. It is certainly more chic and modern than most Korean place you will go in flushing and K town but the food really sucks!!! There is absolutely no BBQ experience because they did not install the proper ventilation so they try to finish cooking asap and close the hear so you are left eating cold meat throughout. (That is never how it is supposed to be done!!) The price of bbq is as expensive as Ktown but the meat is really low quality. I got a over priced Soon tofu which is a classic Korean tofu soup and they had put doenjang in it. Yuk! which is equivalent to serving a chicken pot pie with marinara sauce in it. I am all for fusion dish and creativity but you have to tell me before I am going to get a non soon tofu. I had sent the food back and they told me that is normally how it is done. Either they hired non Korean chef who has no clue or they are lying! Don't even get me started on service. Everyone was confused and people do not know what anything was or how to pronounce anything. Which is ok because it just opened and they hired non Koreans. But they kept getting our orders wrong and never checked on us which is not a good service anywhere in the world. This place sucks and is overpriced. Brooklyners Do yourselves a favor and Uber to flushing or Ktown for Korean food. I can confidently say I have had better Korean food in manhattan delis than here. You will be saving money and get more authentic yummy Korean food anywhere else but here.,False,11,2,2,June K.,en
314,2015-12-29 17:24:34+00:00,2,"I had been excited for the opening of Insa for a while, especially since it was being opened by Sohui Kim, but I was hugely disappointed in my experience. If you've ever had actual Korean food you would know that what they're serving at Insa is a white-washed version of what Korean food is supposed to taste like. I tried the bulgogi bibimbap, seafood pancake, and tofu jigae. While the ingredients seem fresh enough, the dishes lacked flavor and spice that you expect to find in this type of food. The seafood pancake had barely any seafood in it and was the worst seafood pancake I've ever gotten. The ambiance was nice enough, and the drinks weren't bad, but the service was ridiculously slow. The slow service could have been due to the fact that it was opening week.

I can't speak to the karaoke since I was only there for dinner. I'm sure this place will be teeming with hipsters, so if you're looking for a crowded place with bad Korean food, please enjoy. I will not be there.",False,1,0,0,Emily S.,en
313,2015-12-30 14:48:53+00:00,1,"It's a beautiful space. The bar alone is worth a visit as it's just lovely. As others have mentioned, the service is uneven and the food is nothing to write home about. The bibimbop was lukewarm and the bowl as well. Not authentic at all. We ordered an appetizer which was delivered to the wrong table. Disappointing experience so it's back to K-town for the real deal.",False,1,0,0,Stina P.,en
312,2015-12-30 21:34:33+00:00,4,"Super excited to have Insa in the neighborhood, it's a fantastic addition. The food is amazing - so good we went back a second time opening week. We just couldn't get enough. They are still so new and I know overtime this place will knock it out of the park. 

They could make a few improvements and mainly that revolves around staff. There are so many people working there its a bit chaotic and everyone doesn't seem trained on what they are serving. 

On both visits we had servers who showed no interested in us or explaining the menu. Luckily other staff members come and go so if your waiter isn't great, there's someone else right there to assist you. 

When I mentioned my shellfish allergy to our waiter on our second visit, she acted as if I was totally putting her out - even though on our first visit the Chef/Owner came to our table and told us not to worry about anything in regards to cross contamination. For others suffering from shellfish allergies, ask for the vegetarian kimchi -- no shrimp paste! 

When we asked for our check as our baby was getting a little restless while we finished our meal, they started clearing the table even when we were still holding chopsticks and eating- it made us feel like they wanted to flip the table so quickly and we were being pushed out. It was a little strange and not at all representative of the place or the food. I do wonder if the no tip rule and the admin fee means that the waiters don't have to go out of their way, they know they will get paid regardless. 

I hope overtime these kinks will get worked out -  the staff will be more accommodating and friendly and the food will remain as good as it already is.",False,3,0,0,K. S.,en
