month,num_neg,num_neu,num_pos
2014-05,3,0,24
2014-06,4,0,17
2014-07,4,0,31
2014-08,9,0,27
2014-09,2,0,12
2014-10,6,0,12
2014-11,4,1,14
2014-12,6,0,7
2015-01,11,0,21
2015-02,6,0,15
2015-03,7,0,15
2015-04,5,0,15
2015-05,7,0,8
2015-06,5,0,13
2015-07,7,1,12
2015-08,5,0,14
2015-09,3,0,5
2015-10,6,0,5
2015-11,4,0,13
2015-12,4,0,11
2016-01,2,0,11
2016-02,4,0,8
2016-03,2,0,8
2016-04,3,0,9
2016-05,3,0,5
2016-06,3,0,8
2016-07,5,0,6
2016-08,0,0,5
2016-09,1,0,9
2016-10,4,0,3
2016-11,4,0,4
2016-12,4,0,5
2017-01,2,0,10
2017-02,4,0,10
2017-03,5,0,31
2017-04,8,0,25
2017-05,5,0,15
2017-06,3,0,17
2017-07,2,2,15
2017-08,2,0,21
2017-09,6,0,17
2017-10,6,0,17
2017-11,6,1,27
2017-12,3,0,15
2018-01,7,0,21
2018-02,7,0,14
2018-03,5,0,16
2018-04,10,0,15
2018-05,5,0,21
2018-06,0,1,24
2018-07,1,0,14
2018-08,3,0,9
2018-09,3,0,17
2018-10,3,0,11
2018-11,11,0,18
2018-12,5,0,17
2019-01,4,0,18
2019-02,7,1,17
2019-03,6,1,5
2019-04,4,0,12
2019-05,1,0,12
2019-06,3,0,13
2019-07,4,0,7
2019-08,5,0,11
2019-09,1,0,12
2019-10,3,0,14
2019-11,1,0,7
2019-12,4,0,10
2020-01,5,0,15
2020-02,3,0,5
2020-03,2,0,6
2020-05,0,0,1
2020-06,0,0,4
2020-07,0,0,1
2020-08,0,0,5
2020-09,3,0,4
2020-10,3,0,5
2020-11,1,0,3
2020-12,0,0,2
2021-01,1,0,6
2021-02,1,0,3
2021-03,0,0,3
2021-04,0,0,6
2021-05,1,0,0
2021-06,1,0,9
2021-07,2,0,2
2021-08,0,0,7
2021-09,1,0,1
2021-10,1,0,6
2021-11,2,0,9
2021-12,2,0,13
2022-01,0,0,9
2022-02,1,0,4
2022-03,2,0,7
2022-04,1,0,7
2022-05,0,0,15
2022-06,2,0,5
2022-07,1,0,8
2022-08,1,0,3
2022-09,1,0,9
2022-10,1,0,9
2022-11,1,0,2
2022-12,1,0,12
2023-01,1,0,13
2023-02,0,0,6
2023-03,1,0,10
2023-04,1,0,4
2023-05,1,0,7
2023-06,1,0,7
2023-07,2,0,9
2023-08,1,0,5
2023-09,1,0,5
2023-10,0,0,3
2023-11,0,0,3
2023-12,0,0,5
2024-01,1,0,3
2024-02,0,0,10
2024-03,0,0,2
2024-04,2,0,3
2024-05,0,0,4
2024-06,0,1,4
2024-07,0,0,3
2024-08,0,0,2
2024-09,2,0,2
2024-10,0,0,3
2024-11,0,0,3
2024-12,1,0,13
2025-01,0,0,7
2025-02,0,0,2
2025-03,1,0,5
