,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
1639,2014-05-06 16:22:13+00:00,5,"Finally, a ramen noodle shop on Clinton.  But to call Ivan's a ramen shop is doing it a huge injustice.  Neglectful, even.  The diversity of the menu offers up such things as fried tofu (more on this later), daikin radish salad, pork meatballs, thousand year old deviled eggs, and deep fried chicken livers.  Yes, I tried all of those in addition to a huge bowl of ramen.  All on the first day of my ""it's almost too late to get ready for the beach"" diet.  Oh well.  

After many trials and tribulations with ConEd getting this quaint and well laid out shop open, Michael and Jenn have shown what they can do and damn, it is good.  The backyard is absolutely gorgeous with the beautiful mosaic full of discovery and whimsy.  The décor is simple and classic and exemplifies Ivan's approach to providing new interpretations on classic dishes without going overboard.  
On top of all the deliciousness, the Coney Island Tofu was the most awesome presentation / twists I have seen in a very long time.  Fried tofu, covered in a miso and mushroom chili and a splash of yellow mustard.  At first, I didn't get the reference but yes, they really do look like chili cheese fries but none of the heaviness and heart-clogging regret.

I had the triple garlic / triple pork tankatsu.  This is a no brainer.  Figure it out and then order it.

The spicy red chilli ramen has a wonderful heat that sneaks up on you without being overpowering.  It is about the flavor, not the heat but it all comes together in a mouth-watering concoction of broth, noodles, and all sorts of goodness.

I have to also bring up the dirty rice.  I don't know the name on the menu but it is an amazing aray of spices and monk fish liver.  Now usually, fried rice is pretty ok at best but what the guys in the kitchen do with this is downright, well, dirty.  I loved the texture and depth of the caramelized rice and the slow heat build-up as I plowed through the dish that I really should have been sharing but too bad, I'm the grown up.

Well done, guys and welcome to the neighborhood.   Now go do that voodoo that you do, SO WELL!",False,5,2,6,Craig N.,en
1638,2014-05-07 04:54:31+00:00,5,"I was just there for Friends and family, (disclaimer, I am friends or family with some of the staff there), it was so good. It has a very innovated and fun menu.",False,0,0,0,Michael H.,en
1637,2014-05-07 14:02:55+00:00,5,"Had the distinct pleasure of trying out Ivan's Ramen. I was looking forward to great things as I'm a huge fan of the slurp shop and I was not disappointed.

One of my biggest qualms about ramen shops is that appetizers and small dishes are often an afterthought and haphazardly thrown together. Here, they receive every bit as much effort as the ramen and I must say it shows. The fried pork meatballs had a surprisingly melty, hot center. The anchovy salad made great use of Japanese mayo, the shrimp had a nice balance of sweetness and spice, and the pork masubi was an absolute star (we got two orders). 

The triple garlic mazeman was outstanding and had a taste I have yet to find outside of Ivan's world. The spicy chili pork ramen took spiciness to whole new level (be aware that this is not your typical mildly spicy broth). 

Overall a creative and delicious experience, will come back again, especially to sit outside when it gets a bit warmer.",False,1,0,1,S W.,en
1636,2014-05-10 04:17:38+00:00,5,"After whetting our appetites with the excellent ramen at the Slurp Shop in Gotham West Market, Ivan Ramen has finally opened his long-awaited full restaurant, and it was well worth the wait and the repeated delays.

As expected, there was a decent-sized line when I walked up at 5:30 (opening time) on opening day. Unexpectedly though, the line moved very quickly, and they were extremely efficient and professional the entire night. They were already running it like pros on just the first night.

It's seems like a small restaurant, but they actually have quite a large seating capacity, with some tables up front, followed by some bar seating in the middle area against the wall and facing the kitchen, and then many larger tables in the open garden in the back near that cool pig mural. Ivan himself was walking around the entire night, cool as a cucumber, just chilling and chatting up the customers.

We were seated and ordered a good selection of the menu by 5:45, after which our food started to come out pretty quickly. We got a sampling of items from the ""Crisp"", ""Hot"" and ""Ramen"" sections of the menu (completely neglecting the ""Cold"" section, which was probably a bad idea since it was quite a heavy meal):

- Roast Pork Musubi ($6)
This was a delicious start to the meal. Two little bite-size pieces, these were not like traditional musubi, but were instead kind of like unwrapped versions. A delicious hunk of pulled pork and tomato topping a little ball of rice, all placed on top of a crispy piece of seaweed. I took it in one bite and it was excellent.

- Ankimo Dirty Rice ($14)
This was one of the best bites of the night - it was a good portion of fried rice with tons of monkfish liver, which I never previously realized was so delicious. The rice was piping hot and slightly crispy and had some decent kick to it, which had me reaching for my water continuously. This is a great choice if you like some spiciness, or just some really good fried rice.

- Pork Meatballs ($9 for 5)
Listed under the ""Crisp"" section, these meatballs were amazing. They indeed had a light, crispy exterior, and a really soft, creamy interior. There was apparently tofu mixed in with the pork, which would explain that great texture. These are a must for a really satisfying starter.

- Tofu Coney Island ($11)
One of the dishes I read about frequently leading up to the opening, this can be described as a rendition of ""vegetarian chili cheese fries"". Instead of fries, there is lightly fried strips of tofu. Instead of chili, there is miso mushroom sauce. Instead of cheese, there is yellow mustard. Add some onions to the mix, and this makes for a very interesting dish that somehow works for the most part. It almost tasted like you really are eating chili cheese fries for a second, especially at first when the tofu is still really hot and crispy. Some of the tofu pieces were cut a little thicker though, and the larger pieces of mushiness were a little off-putting. Overall though, this is definitely worth a try as it quite different.

- Triple Pork Triple Garlic Mazemen ($15) Fully Loaded (+ $5)
This was incredible. Really rich and porky from the 1) tonkotsu broth, 2) chashu pork and 3) crispy bacon bits (there's the triple), the flavors are so strong. The chewy, springy whole wheat noodles were even better than I remembered from the excellent bowls at Slurp Shop. The ""Fully Loaded"" option is a must to get that perfect egg, as well as the tasty roasted tomato (and chashu pork, which already is included in this bowl). This is heavy, but well worth getting filled up on.

- Four Cheese Mazemen ($15)
Another pretty much brothless bowl, this was also extremely rich and overwhelming. His take on mac & cheese, it reminded me more of a ramen version of carbonara. The broth was so thick, coating each delicious whole wheat noodle with so much of that cheesiness. This was even heavier than the triple pork bowl, but it's another must try.

Ivan Ramen just makes really good quality food. Everything here was very well made and delicious. It all came out nice and hot, and service was perfect throughout, particularly impressive given it was opening night. I will definitely be back to try the rest of the menu, and hopefully once they have some dessert available. I especially need to try that Okonomiyaki with scrapple and the Spicy Red Chili Ramen. Maybe the salad or broccoli next time too, so I live long enough to try it a third time.",True,22,7,10,Mike C.,en
1635,2014-05-10 12:58:49+00:00,4,"Ever since the Slurp Shop opened up in Gotham West Market I'd been making the trek to the far western reaches of Hell's Kitchen just for a bowl of ramen. Now that the full restaurant is open on Clinton I only have to walk a few blocks to satisfy my ramen cravings!

The menu is a bit expanded here with a nice variety of small plates for sharing. Definitely get the pork musubi. I split an order with a friend and one wasn't enough, we had to order seconds!  

Wait time for 2 around 9:30 on a Friday night was about 30 minutes but they'll take your number and send a text when your table is on deck.",False,0,1,1,Andrew D.,en
1634,2014-05-10 17:13:42+00:00,5,"I take ramen very seriously.  Ivan's ramen is as good as any I've ever had.  Wonderful, warm team takes great care of you and Ivan is just such a nice guy.  This will be a weekly spot for me, no doubt.  Thanks for a great meal and a terrific night.",False,1,1,1,Jeff R.,en
1633,2014-05-13 17:30:17+00:00,4,"I must have come at the right time. I had planned to join the masses on line right before the dinnertime opening of 5:30 (my whole life feels like a long line) however the nice weather prompted me to linger a bit longer than usual at a nearby park. However, the promise of ramen was too strong and I made my way in the springtime heat trying not to idle as I passed a bunch of my favorite restaurants along clinton street. I got here right around 6 and the two of us were seated immediately even though the restaurant seemed very full. I took note of the open backyard which I plan to request next time to dine al fresco. It definitely looks more like a lunch place with all the counter seating though. It definitely looks like a place I could order a shake and some fries. I am hoping the chef adds dessert to his menu.

I was glad that we were seated towards the front of the restaurant next to a family having a mothers day ramen meal. We sat fortuitously along a wall mural filled with brightly colored characters from my childhood like the snap, crackle and pop elves from the rice crispy commercials, tony the tigerrrr and the chubby little frog from honey smacks. The service was very smiley and we got our food in a timely manner and they constantly kept checking on us which was nice. Also nice to see chef ivan making the rounds and chatting with the customers. It would have been nicer to see him making his magic in the kitchen though.

We ordered a glass of yuzu lemonade to share since it was an 80 degree day. The lemonade was very light and sweet and not very tart. It tasted more like a clementine or tangerine juice with a hint of lemon. 

We opted to try two types of noodles after we both fought over who would get to order the triple garlic mazemen. In the end we also ordered the tokyo shio ramen. The triple pork triple garlic mazemen was such a palate pleaser with its garlic and pork enriched sweet tonkotsu sauce and a helping of the whole wheat noodles were topped with scallion, brined roasted nickel thin garlic slivers, two pieces of rich fatty pork belly chashu, crispy bacon crumbles and a small sprinkle of garlic powder. Less broth and good noodles make it definitely slurpable for the bib inclined like me. I wish I had 2 orders of this or maybe an extra noodle portion since this was really good. You could order it fully loaded with a soft boiled egg, roasted tomatoes and extra chashu for an extra fee. As it was I did get hungry just a few hours later. I cannot live on ramen alone. The tokyo shio ramen was a dark chicken broth flavored with dashi and sea salt which came with the big piece of chashu pork and a serving of rye noodle topped with a small mountain of scallions. I was less pleased with this dish because the scallions really overwhelmed the broth and other elements of the bowl and I had to stop drinking it because it left an oniony flavor in my mouth which I tried to wash out with my yuzu lemonade. Less scallion and maybe bean sprouts or bamboo would have contributed nicely to this dish for texture. I do wish there was more than one piece of pork though. At first I thought it was two pieces but it was just one larger piece but the pork itself was very tender and did not leave a fatty taste. The rye noodle was softer than I anticipated but was satisfactory. These whole wheat and rye noodles were an interesting change from my udon and soba diet. Didn't taste like I was having healthy noodles at all. My favorite is still the triple garlic mazemen.

I will be back to try everything in the crisp appetizers menu such as the tofu coney island, the pork meatballs, the ebi shrimp and the jfc chicken livers but there are tons of appetizers to choose from besides these like thousand year old deviled eggs and roast pork musubi. As well as some of the other interesting noodles like the four cheese mazemen and the spicy chili ramen and I definitely hope to come back to dine outdoors on the back patio.

Chef Ivan thanks for opening a nice little noodle stand in the LES I hope to make this another one of my usual spots.",True,3,0,1,Elaine L.,en
1632,2014-05-13 19:15:29+00:00,4,"After reading on grub street that it was opening night on Friday, I headed over to the LES to try my luck as a 1-top.  I am glad I did.  The ramen is excellent and the restaurant is sure to be a hit (probably a big hit which will result in terribly long lines).  

First off, the staff is already very well trained and professional.  They use an ipad to figure out seating arrangements and will call you when your table or seat is ready.  The place is a bit bright, but well decorated.  My only knock on the decor is that the space is quite narrow up front, although they seemed to have garden seating in the back?  

As for the food, it was great.  I had the 1000 Year Old Deviled Egg, which was tasty and a nice starter.  I then got both the Triple Pork Triple Garlic Mazemen and the Tokyo Shio Ramen.  That is too much food for 1 person, but I wanted to taste both and then bring the rest home for my lady, who wasn't feeling well.  

The mazeman was very rich in flavor and the noodles were excellent.  Pound for pound though, I would say that Yuji Ramen in the Bowery Whole Foods has more flavorful and exciting mazeman.  That said, it was still delicious. 

As for the ramen, it was on par with Ippudo and the other greats in the city.  I do not think is significantly better than ippudo or totto though. It is well seasoned and has a nice depth of flavor.  

Finally, the sake is expensive for how much you get if you pay by the glass. 

tl;dr:  great ramen, though not transcendent.  Nice space, but will probably crowded and overrun for some time, if not permanently.",False,0,0,0,Ian A.,en
1631,2014-05-15 02:48:37+00:00,3,"Very surprised that there was no wait around 8pm on a Tuesday, given this place just opened a week ago and I would have thought that there would be a line. Lucky us I guess. So we got a table in the back for 3, ordered the deviled eggs which was my favorite of the night. We also shared the waffle okonomiyaki, and that was ok. Now for the ramen... it was just ok. I've been to the slurp shop and was not impressed, again I was not very impressed here. I had the Shio Ramen, and nothing stood out. Maybe it was from all the anticipation of how amazing it will be, ended up not blowing my mind.",False,0,0,0,Christine T.,en
1630,2014-05-15 04:44:57+00:00,4,"I visited Ivan Ramen on an overcast, misty night, the perfect kind of night to indulge in a hot bowl of ramen.  I'd been excited about the opening of this location, what with all the hype and press, so I was surprised to find that the wait wasn't that long (25 minutes or so for 3 people on a Wednesday...granted, we did sit at the bar).  My two friends and I decided to go all out, as we'd heard great things about not only the ramen, but the appetizers as well.  We began with a nigori sake, which was cold and cloudy, a nice change from the standard clear sake served warm.  

We started with two orders of the deviled eggs, two orders of the roast pork musubi, and one plate of pork meatballs.  Everything was delicious, but the roast pork musubi was the biggest hit.  The roast pork, juicy roast tomato, and wasabi went perfectly with the nori wrap.  The deviled eggs had a depth of flavor I wasn't expecting, and the pork meatballs were great, but I'd probably order something else in their place next time.  It was all a very interesting marriage of flavors and a welcome reinterpretation of existing dishes.

I had the spicy red chili ramen.  I liked the addition of minced pork over chashu.  I must admit, however, that it was almosttttt too spicy for me.  It's very upsetting to actually say that because I'm the kind of person who puts hot sauce on literally everything and now I can barely eat a meal without it.  I'd vote for a touch less spicy and a little more broth flavor.  My friend got the 4 cheese mazemen, which was delicious, even for someone like me who can take or leave cheese.  Next time I'll probably get the shio ramen and add spice.

This sums up my experience: at one point near the end of the meal, hot and thirsty from all the spice and wanting more water, I got the server's attention and blurted out, ""Could I please have some more ramen?""  Freudian slip.  Did I want more ramen?  Obviously.  Could I have fit anything else in my stomach?  Definitely not.",False,1,0,0,Sara S.,en
