,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
578,2015-03-05 14:39:24+00:00,5,"Amazing! I felt like I was transported back to Texas in just one bite. As a Texan, I have a high standard for Tex-Mex and never thought I would ever be able to find it in NYC until last night. We  started with what any Texan would start with...queso and it was good!!! Smooth and creamy with a mild spice of serrano peppers. For my entrée, I kept it simple, chicken tacos, which you can't go wrong with! They come two in an order and are stuffed with lime marinated chicken, avocado and queso fresco. Yummmm! We topped it off with the traditional frozen margaritas, which were the perfect blend of tequila and lime and just what I needed to make this the best meal I have had in a long time. Bravo Javelina and thank you for bringing Tex-Mex to NYC! A note to Texans: This is the real deal, you no longer have to go back to Texas every time you are craving queso, enchiladas, tacos and ritas. To all the Non-Texans reading this, you are in for the real deal and make sure to start with queso!",False,3,0,1,Sydney K.,en,"{'neg': 0.036, 'neu': 0.837, 'pos': 0.128, 'compound': 0.9547}",0.9547,0.128,0.036,0.837,positive
577,2015-03-05 16:23:44+00:00,5,"FINALLY a place in New York that serves real Tex-Mex! They have queso that gives nod to two amazing places in Austin- Matt's El Rancho and Magnolia Cafe. Definitely try one of the specialty quesos. I had the Bob Armstrong dip and beef fajitas and both were delicious. The Mexican Margarita was really good as well... very similar to Trudy's in Austin! Super excited about this place, and they have a great bar for after work drinks.",False,2,0,0,Maggie K.,en,"{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.9829}",0.9829,0.292,0.0,0.708,positive
576,2015-03-05 19:53:18+00:00,5,"This was my first visit to Javelina but most certainly won't be my last!    

The entire staff went out of their way to make sure that we enjoyed ourselves -from the hostesses, bartenders, and manager who stopped by to check on our table.  I never would have guessed it was opening night. 

I would highly recommend the classic margarita - it was one of the best I've had in the city.  Don't get me started on the queso you just need to try it for yourself....yes, its that good!",False,4,1,1,Erin M.,en,"{'neg': 0.022, 'neu': 0.744, 'pos': 0.234, 'compound': 0.9764}",0.9764,0.234,0.022,0.744,positive
575,2015-03-07 06:00:06+00:00,5,"Wow. This is something unusual place in my neighbor. They greet you warmly at the beginning and that give a great warm impression of what to expect. I got my margatita and it was great. And fajitas i got was great too. 

Go here if you want to try something from hotter lands in the cold winter of NY.",False,1,1,1,Patricia J.,en,"{'neg': 0.04, 'neu': 0.612, 'pos': 0.348, 'compound': 0.969}",0.969,0.348,0.04,0.612,positive
574,2015-03-07 22:50:32+00:00,5,"Had dinner here last night, only its 3rd night open. The food was amazing! Chips and salsa were immediately brought to the table after we sat down. I don't know what this ""white queso"" nonsense is, but the regular queso is AMAZING! Just like back in Dallas. You can load it with brisket, chorizo, guac, whatever. Like others have said: this is the real deal, people! Spicy jalapeno margarita was great. Brisket tacos were good, but I was eyeing the enchiladas and fajitas that other tables ordered with food remorse. Good thing I'm going back again tonight...

The owner (from Texas) was walking around checking on everyone - a really nice guy. They're not messing around at Javelina - it's real Tex-mex. And I no longer have a need to ever go back to Texas now :)",False,2,1,1,Stephanie H.,en,"{'neg': 0.045, 'neu': 0.725, 'pos': 0.231, 'compound': 0.9875}",0.9875,0.231,0.045,0.725,positive
573,2015-03-08 06:17:54+00:00,5,"How can I find Tex-Mex in NYC? Impossible until this joint.

We walked in on Saturday, 4th night open.  Wait was longggg...this place is getting a lot of hype.  Waited 1.5 hours but it was worth.

White queso...strongly recommend.  Yummy and smooth, has a little kick to it, just like Texas. Enchiladas were fabulous, sauce is good. Rice and beans are a plus. Drinks were strong and the staff was very excited. Fun night. The owner even came around to say hello before we left. Strongly recommend. Best tex-mex in NYC.",False,4,1,1,Matt B.,en,"{'neg': 0.017, 'neu': 0.585, 'pos': 0.398, 'compound': 0.9946}",0.9946,0.398,0.017,0.585,positive
572,2015-03-09 15:26:05+00:00,2,"I'm giving this spot an extra star because I visited on night 3 and I'm sure they were still working out some kinks. This review is based on my criteria, which deems a place worth a mention and/or a second visit.

Conclusion: 
Overall, avoid.  There are way tastier and more vibrant places in NYC to spend your evening.

Decor: 
Bare bones, no character.

Service: 
Very attentive but timing was off; received tacos before apps.

Food: 
The chile relleno was topped with raisins, which immediately made the plate look cheap and sloppy.  Overall, food was not terrible but it wasn't memorable either.

Cocktails: 
Overpriced and not satisfying.

Atmosphere: 
The music was billboard top 50's.  Very generic.  Luckily the sound system was almost non-existent.

Scene:  
An odd mix of people were there that night.  The super intoxicated owner stumbled up to our table to ask who our night was without an intro.  I just thought he was a drunk guy wandering around the place.  Not a great look for opening week, just sayin.",False,6,4,1,Stacy K.,en,"{'neg': 0.132, 'neu': 0.72, 'pos': 0.147, 'compound': 0.0079}",0.0079,0.147,0.132,0.72,neutral
571,2015-03-09 19:08:50+00:00,4,"Come hungry!!! I was lucky enough to try several items on the menu, the Bob Armstrong Queso is to die for and the avocado tacos, lamb tacos, and stacked pork enchiladas are All delicious!!! I thought the wait staff was very pleasant and everyone genuinely seemed excited to be part of something new in Manhattan.  The place is very lively but not pretentious.  The owner is great and I appreciated him coming to our table to make sure everything was going well.",False,2,0,0,Sarah L.,en,"{'neg': 0.044, 'neu': 0.63, 'pos': 0.326, 'compound': 0.9849}",0.9849,0.326,0.044,0.63,positive
570,2015-03-11 05:12:50+00:00,2,"This is as banal a restaurant as one can imagine. Menu is EXACTLY what a tex mex restaurant on the side of the road in middle Oklahoma might offer, but at Nyc prices. No innovative dishes and very uninspired. One of the kind of joints in the city that begs the question: how did this even happen? 

Space looks like they designed it on a reality show in 12 hours on a minimal budget. Awful acoustics all around.

Wait staff was eager, but not very professional. 

Had some of the most mediocre food I've experienced in awhile. Nachos...yes, like u might microwave at home...no joke. Tacos: 2 tacos for $16. Doesn't say that on the menu and given the atmosphere, I assumed it would be at least 3 for that price, but two sad lamb tacos came out. Margarita was sour mix and cheap tequila with half of the glass dripping in salt and the other half vacant. It was as if I'd ordered a drink in a packed college bar. 

Basically, the place lacks pride and I think that is lazy of the owners and sad for the customers.",False,4,1,0,M S.,en,"{'neg': 0.204, 'neu': 0.707, 'pos': 0.089, 'compound': -0.9881}",-0.9881,0.089,0.204,0.707,negative
569,2015-03-11 16:15:45+00:00,5,"Amazingly good food, a taste of home coming from San Antonio. The guacamole had a great kick to it, the chili is all beef like it's supposed to be, margaritas are tasty and frozen, the enchiladas were divine and the service was exceptional. Start with the queso, end with the sopapillas and eat every thing inbetween. It's a taste of Texas on NYC and that's a great thing.",False,0,0,0,Dianne B.,en,"{'neg': 0.0, 'neu': 0.712, 'pos': 0.288, 'compound': 0.9764}",0.9764,0.288,0.0,0.712,positive
