month,num_neg,num_neu,num_pos
2016-06,1,0,6
2016-07,0,0,11
2016-08,0,0,8
2016-09,2,0,6
2016-10,1,0,7
2016-11,0,0,10
2016-12,3,1,10
2017-01,2,0,14
2017-02,1,0,9
2017-03,1,0,19
2017-04,2,0,11
2017-05,5,0,14
2017-06,3,0,19
2017-07,4,0,17
2017-08,1,0,14
2017-09,5,0,9
2017-10,2,0,6
2017-11,4,1,14
2017-12,0,1,5
2018-01,0,0,15
2018-02,1,1,10
2018-03,3,0,16
2018-04,2,0,14
2018-05,4,0,9
2018-06,2,0,12
2018-07,2,0,14
2018-08,4,0,10
2018-09,2,0,3
2018-10,5,0,11
2018-11,4,0,10
2018-12,2,0,10
2019-01,0,0,9
2019-02,2,0,18
2019-03,2,0,10
2019-04,1,0,5
2019-05,2,0,11
2019-06,1,1,9
2019-07,1,0,7
2019-08,0,0,11
2019-09,0,0,5
2019-10,3,0,8
2019-11,2,0,7
2019-12,3,0,10
2020-01,3,0,4
2020-02,5,0,10
2020-03,1,0,5
2020-08,0,0,2
2020-09,0,0,1
2020-10,0,0,1
2021-02,0,0,1
2021-11,2,0,0
2021-12,1,0,6
2022-01,0,0,5
2022-02,0,0,3
2022-03,1,0,5
2022-04,3,0,5
2022-05,1,0,6
2022-06,0,0,7
2022-07,2,0,4
2022-08,1,0,4
2022-09,1,0,6
2022-10,1,0,8
2022-11,1,0,6
2022-12,0,0,5
2023-01,3,0,8
2023-02,2,0,3
2023-03,1,0,3
2023-04,0,1,5
2023-05,1,0,5
2023-06,0,0,3
2023-07,0,0,8
2023-08,0,0,2
2023-09,2,0,4
2023-10,0,0,4
2023-11,0,0,3
2023-12,0,0,9
2024-01,2,0,9
2024-02,0,0,4
2024-03,3,0,8
2024-04,1,0,5
2024-05,2,0,3
2024-06,0,1,5
2024-07,2,0,2
2024-08,0,0,6
2024-09,2,0,6
2024-10,1,0,3
2024-11,0,0,3
2024-12,1,0,6
2025-01,0,0,4
2025-02,0,0,2
