,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
89,2023-06-01 23:30:11+00:00,5,"An incredible new French bistro on a nice corner on Christopher Street. It's a small menu, but everything is a hit. Definitely start with the Oeufs Mayo and the Tartare de Beouf. For mains, the chicken is the showstopper but the Duck is also incredible. And do not miss the Rice Pudding for dessert!",True,6,2,3,Mike C.,en,"{'neg': 0.044, 'neu': 0.826, 'pos': 0.13, 'compound': 0.6004}",0.6004,0.13,0.044,0.826,positive
88,2023-06-03 18:29:30+00:00,5,"Rockstar team operating at a high level from top to bottom. Drinks coming out of the gorgeous bar have been on point while food leaves nothing to be desired. High level cooking with heart and the soul missing from most self proclaimed ""French bistros"" in NYC. A welcomed addition to the West Village community. Wine list is also spectacular. Special bottles from both reputable and lesser known producers with a clear focus on conscious wine making. I will be here very often.",False,0,0,0,Sina N.,en,"{'neg': 0.045, 'neu': 0.802, 'pos': 0.153, 'compound': 0.8586}",0.8586,0.153,0.045,0.802,positive
87,2023-06-03 20:15:18+00:00,5,Cody has created a magical little slice of Paris in the West Village! Both the ambiance and an amazing food / wine lineup,False,0,0,0,Christian K.,en,"{'neg': 0.0, 'neu': 0.757, 'pos': 0.243, 'compound': 0.7263}",0.7263,0.243,0.0,0.757,positive
86,2023-06-11 02:39:25+00:00,5,"Outstanding food, atmosphere and service.  The village is lucky to have this establishment in the village. Local spot with upscale food and a fun vibe. Don't skip the duck - can't be beat.",False,0,0,0,Dylan H.,en,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.8779}",0.8779,0.265,0.0,0.735,positive
85,2023-06-12 13:19:05+00:00,5,"This new spot in the West Village is a true triumph. The food is exquisite and beautifully presented. The wine list is impressive and made approachable by the lovely staff who are generous with their time and knowledge.

The ambiance is friendly, warm, and unpretentious. It really did have the authentic feel of a bistro.

Our waiter, Dominic, was extremely kind and made us feel like we were the only guests at the restaurant. It was a special evening that I will not soon forget, and worth every penny. Already planning my return trip.",False,0,0,0,Samuel M.,en,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.9885}",0.9885,0.333,0.0,0.667,positive
84,2023-06-12 16:03:53+00:00,5,"This is really a magical place - makes me feel like I am on vacation in a small village in France. The restaurant has a buzz about it from the moment you walk in. Beautiful details on the ceilings, floors, walls. The cocktails are spot-on with perfectly clear ice and chilled glasses. The restaurant is beautiful with such attention to detail - the tables have the smallest lip around the edges that would be overlooked anywhere else. All the dishes are coming out of the kitchen at a really elevated level. Even  dishes that appear simple are utilizing top ingredients and technique. I think the wine list puts Libertine right at the forefront of wine programs here in the city. A real delight for anyone into ""natural"" wine - also called well produced wines if you disavow the ""natural"" moniker. :) I'm not an expert in Chartreuse but they have plenty of ice cold varieties to try. Most importantly, a restaurant that is comfortable to spend time in and a place that you want to come back to. Great addition to the neighborhood and wishing them many years of success!",False,0,0,0,Brad F.,en,"{'neg': 0.043, 'neu': 0.753, 'pos': 0.204, 'compound': 0.9862}",0.9862,0.204,0.043,0.753,positive
83,2023-06-18 22:27:11+00:00,1,"I really wanted to like this place and supposedly the food and drinks here are pretty good although I wouldn't know because I didn't get to try anything. Some friends and I tried to go here for a late dinner on Saturday around 11 as the place advertises being open until midnight. The hostess politely informed us that the kitchen was closed but invited us to have drinks at the bar. The bartender unfortunately was not as friendly or polite. He started out fine by asking how we were doing but when I stuttered while returning the question asking ""how- how about yourself?"" He immediately insisted that I was heavily slurring my words and that he wouldn't serve me a drink! I'm all for being a responsible barkeep but not only was he incorrect about me being intoxicated, he also just had a very rude and dismissive energy. When I worked at a bar if I suspected someone was too drunk to serve I would at least cordially ask a few questions to make a fair assessment and if I determined that it would be irresponsible to serve them then I would pour them a glass of water and as politely as possible let them know that I wouldn't be able to serve them anymore alcohol at the moment but would be happy to offer them something else. It's sad to go somewhere not have a bite of food or a sip of a drink and be left with such a bad taste in your mouth.",False,0,0,0,Daniel P.,en,"{'neg': 0.16, 'neu': 0.733, 'pos': 0.107, 'compound': -0.9692}",-0.9692,0.107,0.16,0.733,negative
82,2023-06-24 00:22:31+00:00,5,This place was wonderful. The food and wine were way above most anything in the area. The chef cares about every detail down to the how the wine is grown and uniquely curated vintners.  The duck was over the top crispy and sumptuous. The side with the duck in a terrine was amazing as was the scallop and the egg with mayo. Very French yet also very original and super flavorful. Would highly recommend for outstanding food but also for true local bistro atmosphere. Great spot will return to often!,False,0,0,0,Tafer S.,en,"{'neg': 0.0, 'neu': 0.705, 'pos': 0.295, 'compound': 0.9821}",0.9821,0.295,0.0,0.705,positive
81,2023-06-24 00:26:15+00:00,5,"Everything we ordered was incredible and we ordered many things! Steak tartare, scallops, oeufs mayonnaise, and duck (came with an incredible side dish) were the main highlights for us. Chicken and monkfish were very good too but preferred the other items. Chocolate mousse was simple and good.  
Creative and refreshing cocktails.  Good wine list. 
Comfortable, spacious seating in a charming setting.  Our server was knowledgeable and efficient.  So happy to have this special place in the West Village. Will definitely be back!",False,0,0,0,Lisa M.,en,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.9952}",0.9952,0.419,0.0,0.581,positive
80,2023-07-09 13:41:25+00:00,5,"Great experience at Libertine. The atmosphere is adorable and very reminiscent of Paris. It's great that the tables are not on top of each other too. A rare highlight in nyc. The staff was great - friendly and attentive and checked in the perfect amount. 

We went with:
Bread + butter: delicious
Chicken liver mousse: good but has a bit of a bitter aftertaste so I didn't love it 
Scallop: delicious
Duck: definitely the highlight. The confit was especially amazing but the duck was also the most tender I have ever had. The only negative was that it was more room temp on arrival which is not my personal fav 
Chocolate mousse: nice sweet bite to finish the meal

I would definitely go back",False,0,0,0,Sue G.,en,"{'neg': 0.142, 'neu': 0.5, 'pos': 0.359, 'compound': 0.9905}",0.9905,0.359,0.142,0.5,positive
79,2023-07-10 20:50:36+00:00,5,"Had a great meal here when they first opened. Service was amazing without being overbearing. Started things off with one of the best martinis I've ever had and then dove right into dinner paired with great wine. Menu highlights were the oeufs mayo and the chicken. Excited to try the rest of the menu next time.

Not your typical cookie cutter 'natural wine bar'. Feels like you're in Paris. Can't wait to go back.",False,0,0,0,Tom N.,en,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9785}",0.9785,0.289,0.0,0.711,positive
