month,num_neg,num_neu,num_pos
2016-01,0,0,7
2016-02,4,0,22
2016-03,0,0,7
2016-04,4,1,11
2016-05,1,0,13
2016-06,3,1,15
2016-07,8,0,16
2016-08,2,1,11
2016-09,7,0,16
2016-10,4,0,9
2016-11,3,0,7
2016-12,6,0,7
2017-01,5,0,10
2017-02,3,0,14
2017-03,1,0,14
2017-04,1,0,12
2017-05,4,0,13
2017-06,4,0,12
2017-07,3,0,9
2017-08,2,0,14
2017-09,3,0,9
2017-10,3,0,5
2017-11,6,0,7
2017-12,5,0,9
2018-01,5,0,13
2018-02,2,0,8
2018-03,0,1,11
2018-04,6,0,9
2018-05,7,0,13
2018-06,5,0,16
2018-07,9,2,9
2018-08,4,0,16
2018-09,7,0,9
2018-10,7,0,10
2018-11,4,0,17
2018-12,1,0,8
2019-01,2,0,20
2019-02,9,0,11
2019-03,2,0,17
2019-04,4,0,11
2019-05,3,0,12
2019-06,5,0,14
2019-07,3,0,15
2019-08,3,0,20
2019-09,0,0,15
2019-10,4,0,11
2019-11,1,0,10
2019-12,2,2,8
2020-01,1,0,13
2020-02,0,1,10
2020-03,1,0,4
2020-07,0,0,2
2020-08,2,0,6
2020-09,1,0,9
2020-10,2,0,10
2020-11,2,0,9
2020-12,0,0,3
2021-01,0,0,4
2021-02,2,0,2
2021-03,4,0,9
2021-04,0,1,4
2021-05,1,0,4
2021-06,5,0,12
2021-07,1,0,15
2021-08,3,0,10
2021-09,2,2,7
2021-10,0,0,9
2021-11,0,0,3
2021-12,2,0,4
2022-01,5,1,4
2022-02,1,1,5
2022-03,0,0,11
2022-04,0,0,11
2022-05,2,0,10
2022-06,3,0,8
2022-07,4,0,10
2022-08,1,0,12
2022-09,4,1,11
2022-10,0,1,15
2022-11,2,0,11
2022-12,3,0,8
2023-01,2,0,17
2023-02,1,0,10
2023-03,2,0,5
2023-04,2,2,16
2023-05,2,0,14
2023-06,0,0,9
2023-07,2,0,16
2023-08,1,0,13
2023-09,4,0,13
2023-10,1,0,12
2023-11,3,0,8
2023-12,1,0,7
2024-01,2,1,11
2024-02,1,0,9
2024-03,1,1,7
2024-04,2,0,11
2024-05,1,0,5
2024-06,0,0,2
2024-07,2,0,7
2024-08,1,0,6
2024-09,2,0,4
2024-10,2,0,5
2024-11,1,0,9
2024-12,0,0,8
2025-01,0,0,5
2025-02,3,0,9
