,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
1364,2016-01-22 16:48:57+00:00,5,"We went on third night the restaurant was open. Between my husband and I, we had the clams with Calabrian chiles, the malfadini, the sheepsmilk stuffed agnolotti in a saffron sauce, and the olive oil cake. Everything was delicious! It was inventive yet familiar, and we both wanted to lick our bowls clean! The space was cool, but a little drafty, and the service was knowledgeable and friendly - it was hard to believe it just opened! I can't recommend it enough!",False,4,0,1,P V.,en,"{'neg': 0.047, 'neu': 0.79, 'pos': 0.163, 'compound': 0.911}",0.911,0.163,0.047,0.79,positive
1363,2016-01-23 21:24:03+00:00,5,"I'm a neighbor down the block and this is a welcome addition.  Loved the experience here. Fresh in house mozzarella and pastas all delicious, wood fire grilled clams, scallops and fennel.  Delicious cocktails.  House made vanilla gelato and apple galette were tasty finish.  Lofty space with great lighting and music made for a lively vibe and service is very attentive.  Definitely going back and looking forward to the day time cafe service coming soon...",False,5,0,1,RICHARD R.,en,"{'neg': 0.048, 'neu': 0.536, 'pos': 0.416, 'compound': 0.993}",0.993,0.416,0.048,0.536,positive
1362,2016-01-25 02:46:18+00:00,4,"We visited Lilia tonight, just a little bit more than a week after opening. The restaurant is good, but certainly has room to improve as it fine tunes over its first few weeks. The prices are high enough to make this restaurant somewhere for special occasions. While any given dish isn't expensive, the portion size is small -- so you may need to end up ordering several dishes to make a full meal. Our meal ran about $60 per person with tip and a bit of wine.

The menu is divided into several categories -- cocktail snacks, veggies, small fish, big fish, pasta and large entrees. There is a nice, but not large, wine list that runs around $12 per glass and starts at around $40 per bottle. 

My fiance and I opted for an order of bread and mozzarella (a cocktail snack), an order of grilled clams with bread crumbs (small fish) and an order of the ricotta gnocchi with broccoli pesto (pasta).

The bread and mozzarella was a bit small for the price -- working out to three slices of bread with a slice of cheese on each. Maybe this was just an example of misplaced expectation, but I was hoping for a large ball of mozz. Overall, this dish had a nice flavor, but was hoping for something a bit more substantial.

The clams also had an excellent taste. Unfortunately, they were as chewy as rubber. I'm not sure if this has to do with (a) cooking clams on a wood grill, (b) the lack of fresh delivery on the first day after the blizzard, or (c) bad sourcing. Whatever the reason, they left something to be desired at least in terms of texture.

Finally, the gnocchi with broccoli pesto was awesome! We gobbled it up. It wasn't a large portion, but still ran almost $20.

For dessert, we ordered an apple pastry with a scoop of gelato. This was an amazing dish, but note that if you ask for a scoop of gelato that will run another $8.

Service was attentive, but maybe a bit awkward. With time, I'm sure the wait staff will feel a bit more comfortable and in command of the table.",False,3,0,1,Jason K.,en,"{'neg': 0.142, 'neu': 0.692, 'pos': 0.166, 'compound': 0.8006}",0.8006,0.166,0.142,0.692,positive
1361,2016-01-26 19:45:31+00:00,5,Amazing!  Love the cauliflower & the pike!  The pastas are delicious! Everything we ate was superb!  Cannot say enough good things about this restaurant!  Bravo!,False,2,0,1,M M.,en,"{'neg': 0.058, 'neu': 0.456, 'pos': 0.486, 'compound': 0.9677}",0.9677,0.486,0.058,0.456,positive
1360,2016-01-27 11:42:34+00:00,5,"Lilia. Oh. Oh my,

While in NYC for meetings I decided to make a short pilgrimage to Williamsburg to see what all the to-do was about. Now I know. The magic of the once-otherworldly Spiaggia and Cafe Spiaggia in Chicago is back, only it's now a few miles east. In Brooklyn.

The place is warm and welcoming, and very much has the feel of a casual neighborhood spot while still being just elegant enough. There is a huge open kitchen that runs almost the entire length of the restaurant, with a huge wood-burning grill at one end and an army of cooks along the line turning out amazing food. The whole operation is visible and it's a little hard to believe that this place just opened, because it seems to run like a well-tuned machine.

I sat with a friend at the bar and got friendly and attentive service. The bartenders and servers were thoroughly versed in every item on the menu, and from the reactions when I asked about a few dishes, I got the sense that they were truly passionate about the food. This did not bode well for me restraining myself. 

Here we go:

 - Beverages: I got the obligatory Negroni and as expected it was perfect. With dinner I had a glass of Falanghina and later a Nebbiolo. The cocktail and wine lists seemed to have just the right number of options and prices were all reasonable.

 - Cacio e Pepe Fritelle (easy for you to say): In other words, cheese and pepper doughnut. This was one of those rare fried things that somehow manages to be as light as a popover. Savory, delicious.

- Roasted trumpet mushrooms: this was when I started saying to myself things like ""Holy $&%# this is good"" and ""&@!*"" and such. I told myself I was going to sample a bunch of stuff, that wasn't going to finish everything I ordered, and failed right out of the gate.

- Scallops: first item from the wood grill. Perfectly cooked, perfectly balanced prep. I didn't know whether to eat them or roll around in them.

- Tuna was also perfectly grilled on the outside edges and beautifully deep red.

- We also tried a couple of pasta dishes in between those last two. I'm a sucker for anything fra diavolo, and there it was on the menu staring at me. My friend ordered the gnocchi, which took me back to a great lunch I had years ago at a little seaside restaurant in Italy.

- Dessert: some ridiculously good, buttery, apple tart kind of thing. More expletives.

Like the wine, I thought everything on the menu was very reasonably priced. Add the quality and presentation of the food and it's an amazing value. 

The room was full and lively, the music was great and the light was dim, but not so dark that I needed a flashlight to read the menu like so many other places nowadays. (Admit it, you've done that too,)

Lilia is the kind of place I could easily go to 2-3 times a week. The only thing disappointing about it is that it's not in Chicago so I can't. &@%#.",False,10,3,5,Dan H.,en,"{'neg': 0.028, 'neu': 0.821, 'pos': 0.151, 'compound': 0.9947}",0.9947,0.151,0.028,0.821,positive
1359,2016-01-28 03:56:30+00:00,5,"I live close by, so I'm thrilled to have this wonderful addition to the area. The restaurant is perfect for dinner in a nice place that feels special yet remains casual and comfortable.  I had the grilled clams and the scallops which were phenomenal. But I really recommend the veal Bolognese sauce and pasta. The menu had so many great choices I can't wait to go back!",False,3,0,1,Cecilia A.,en,"{'neg': 0.0, 'neu': 0.644, 'pos': 0.356, 'compound': 0.9794}",0.9794,0.356,0.0,0.644,positive
1358,2016-01-31 19:49:40+00:00,5,Just checked this place out for the first time and I'll definitely be back.  From the moment we walked the staff was extremely nice. The rustic modern aesthetic is beautiful and inviting.  We were super disappointed to hear that they were booked full all night but then they opened the cafe for us (they explained it wasnt fully completed but It seemed great to us) and we had a delightful meal.  Everything was delicious especially the agnolotti.  Highly recommend.,False,5,0,1,Gabrielle K.,en,"{'neg': 0.027, 'neu': 0.603, 'pos': 0.369, 'compound': 0.9901}",0.9901,0.369,0.027,0.603,positive
1357,2016-02-02 15:20:49+00:00,5,"The restaurant is in a beautiful space, which was formerly a former auto-repair shop. Get all the pastas! You can't go wrong. The brown butter acorn squash is also a must.",False,1,0,1,Nicole M.,en,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.7748}",0.7748,0.206,0.0,0.794,positive
1356,2016-02-04 01:12:05+00:00,5,"It's pretty easy to pick apart a restaurant if you want to. I'm in retail for a living and so I get that and I tend to have a pretty discerning perspective. You can see from my Yelp history I don't ever review negatively even though I have those experiences all the time because I figure if someone catches me on my worst day, I'd hope for some slack. But I also don't go around throwing 5 star reviews. I save them for when they are actually due.

Lilia is truly a 5 star experience. Here's something I love about it. If you're a foodie and you know everything about the kitchen, Lilia will be a fabulous and sensory experience. In many ways, it's a foodie's dream restaurant as from nearly every seat in the house you can watch Missy Robbins and her staff do their magic. And the food rocks. Truly.

Yet....if you just want a wonderful, hearty meal and a great glass of wine or cocktail in a beautiful restaurant without all the fuss, this restaurant is perfect for you.

Do yourself a favor and go to lilia now!",False,0,0,0,Peyton J.,en,"{'neg': 0.023, 'neu': 0.699, 'pos': 0.278, 'compound': 0.9952}",0.9952,0.278,0.023,0.699,positive
1355,2016-02-04 17:50:20+00:00,4,"This restaurant exceeded our expectations since it's brand new. The service was well organized and I can say that they went above and beyond to accommodate us even when we ordered bread which they don't offer it on the menu, as we found out after the fact. It's also very pretty and although bigger than your average Williamsburg restaurant, it manages to look both cozy and romantic. 
I'm taking a star away for one reason:
Portion size.  My boyfriend ordered gnocchi with fresh pesto. It was absolutely divine, but the portion was appetizer size and that left my bf pushing the food around awkwardly so he won't  finish it in 2 seconds flat. It also left him hungry. My tuna steak was a good size, except the side dish that accompanied  it was also ridiculously small. Half a sun-choke and few more, I forget what, but equally small stuff, come on!
Mid-dinner we asked for bread and no matter how long we tried to wait, we finished both our dinners, before the bread actually came out. 
We go out a lot and I can say we both understand the artsy side of food, but there is no reason to make a pasta dish as small. It's dinner! Based on that aspect, I would've probably given this place three stars, if the food was not utterly delicious and made with so much love.  Will try again and report back. In the meantime, stuff yourself with a slice of pizza and then go and have dinner here!",False,2,0,0,Ruxi V.,en,"{'neg': 0.177, 'neu': 0.739, 'pos': 0.084, 'compound': -0.9882}",-0.9882,0.084,0.177,0.739,negative
