month,num_neg,num_neu,num_pos
2007-05,0,0,1
2008-06,1,0,0
2008-07,0,0,1
2008-08,0,0,2
2008-10,0,0,1
2009-01,0,0,2
2009-02,1,0,0
2009-04,0,0,1
2009-07,0,0,1
2009-09,1,0,0
2010-01,0,0,1
2010-03,0,0,3
2010-04,0,0,2
2010-05,0,0,1
2010-06,0,0,1
2010-07,1,0,1
2010-08,0,0,2
2010-11,0,0,2
2011-03,0,0,1
2011-04,0,0,1
2011-05,0,0,1
2011-06,0,0,1
2011-07,0,0,1
2011-08,0,0,1
2011-10,1,0,2
2011-11,0,0,1
2012-03,0,0,1
2012-04,0,0,1
2012-05,0,0,2
2012-06,0,0,1
2012-07,0,0,4
2012-08,0,0,1
2012-09,0,0,1
2012-12,0,0,1
2013-01,0,0,2
2013-02,1,0,2
2013-03,0,0,2
2013-04,0,0,2
2013-05,0,0,3
2013-06,1,0,1
2013-07,0,0,4
2013-08,0,0,1
2013-09,0,0,3
2013-10,0,0,1
2013-12,0,0,2
2014-01,1,0,2
2014-02,0,0,2
2014-03,0,0,3
2014-04,0,0,4
2014-05,0,0,9
2014-06,1,0,0
2014-07,3,0,4
2014-08,0,0,1
2014-09,2,0,2
2014-10,0,0,2
2014-11,0,0,5
2014-12,1,0,0
2015-01,0,0,4
2015-02,0,0,2
2015-03,0,0,1
2015-04,0,0,2
2015-05,1,0,2
2015-06,1,0,1
2015-07,0,0,1
2015-08,0,0,3
2015-10,1,0,0
2015-11,1,0,4
2015-12,0,0,2
2016-01,0,0,3
2016-02,4,0,5
2016-03,0,0,6
2016-04,0,0,4
2016-05,2,0,7
2016-06,0,0,3
2016-07,1,0,2
2016-08,2,0,7
2016-09,1,0,3
2016-10,1,0,2
2016-11,0,0,3
2016-12,0,0,2
2017-01,1,0,4
2017-02,0,0,5
2017-03,1,0,0
2017-04,1,0,3
2017-05,0,0,1
2017-06,0,0,2
2017-07,1,0,0
2017-08,1,0,3
2017-09,0,0,1
2017-10,2,0,1
2017-11,1,0,0
2017-12,0,0,1
2018-01,1,0,3
2018-02,0,0,3
2018-03,0,0,6
2018-05,0,1,2
2018-07,1,0,0
2018-08,0,0,6
2018-09,0,0,4
2018-10,0,0,2
2018-11,2,0,4
2018-12,0,0,3
2019-01,0,0,5
2019-02,0,0,2
2019-03,1,0,4
2019-04,1,0,2
2019-05,2,0,3
2019-07,0,0,4
2019-08,1,0,2
2019-09,1,0,2
2019-10,3,0,1
2019-11,0,0,2
2019-12,0,0,5
2020-01,0,0,3
2020-02,0,0,1
2020-04,0,0,2
2020-05,1,0,0
2020-06,1,0,0
2020-08,0,0,1
2020-09,0,0,1
2020-10,1,0,1
2020-11,0,0,1
2021-01,0,0,2
2021-03,0,0,1
2021-04,1,0,0
2021-06,1,0,1
2021-07,1,0,0
2021-09,0,0,3
2021-12,0,0,1
2022-04,0,0,1
2022-05,0,0,1
2022-06,0,0,2
2022-08,0,0,1
2022-09,0,0,1
2022-10,0,0,1
2022-11,0,0,1
2022-12,1,0,1
2023-01,0,0,1
2023-02,0,0,1
2023-06,1,0,2
2023-07,0,0,1
2023-08,0,0,1
2023-09,0,0,1
2023-10,0,0,1
2023-11,0,0,1
2024-01,0,0,1
2024-04,0,0,1
2024-05,0,0,1
2024-07,1,0,0
2024-08,0,0,1
2024-09,0,0,1
2024-12,0,0,2
2025-02,0,0,1
