,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
359,2007-05-14 14:46:02+00:00,5,"A.k.a. Xiao La Jiao, this basement restaurant has great Szechuan food.  My particular favorite is the lamb with cumin and Szechuan peppercorns.    The cumin and chili powder-laced french fries are also pretty unique. Other good dishes are cold noodles, ma po tofu, dan dan noodles,  twice cooked pork, and pig's ear.  Best Szechuan around, IMHO.

It's authentic, so it's very spicy and has the unique taste of Szechuan peppercorns.   And some of the dishes can be fairly oily, swimming in brilliant red colored chili oil.  They also have more unusual dishes available: lamb, frog and rabbit.",False,3,0,2,Larry Y.,en,"{'neg': 0.057, 'neu': 0.76, 'pos': 0.183, 'compound': 0.9393}",0.9393,0.183,0.057,0.76,positive
358,2008-06-09 03:42:37+00:00,4,"Oh Little Pepper--I'm so sorry. I can only give you four stars. I was actually going to give you three but I had a flavor flashback of your beautiful lamb in spicy cumin and bumped you up one.

Yesterday three friends and I took the long, long ride out on the seven train to Flushing with one goal in mind--Little. Pepper. I had been here once before, about a year ago.

Now this is a very important part of the story, so listen up. When I came here the first time, I hadn't been to any other Sichuan places. And this wonderfully masochistic spicy dinner blew my mind and my scalp was sweating all night. (my sister gets the nose-sweats, I get the scalp...same root--pepper oil) But since last June, I've been a regular customer at Grand Sichuan down on Canal. And I think it corrupted me.

You know how it's hard to go back to Jim Beam when you've been drinking Johnny Walker Black for the last year? Well, it's kinda like that. Little Pepper is just Jim Beam next to Grand Sichuan's Johnny...but you still get the spicy aftershocks the next day, regardless of quality.

Yes, I was a bit disappointed last night. The pork with crispy rice cake was not very good. In fact the meat tasted like that weird unidentifiable rubber you get at Panda Express. The wontons in spicy oil were quite good, but, again, I'm crying for you Little Pepper, they paled in comparison to Grand Sichuan's. Even the cucumber with mashed garlic didn't seem as fresh as it could have been. And cucumber always seems fresh.

So you're probably wondering why the hell I rated this place four stars. Well, it's almost exclusively for the lamb in spicy sauce (with cumin). You will find it identified on the menu as such. It is really great. The taste actually hints at lamb halal street meat, but it's better since it's not some weird compressed meatloaf that's been gyrating all day exposed to the elements. It's real meat, and the difference here is a light sifting of sichuan peppercorns on top.

We tried to get the rabbit (and my friend was lobbying for bullfrog) but they were out of rabbit and we were feeling more like comfort food than experimentation so we didn't try either.

When all is said and done, I don't know if I'm coming back to you, Little Pepper. I may just save myself the $4 and the long train ride and venture down to that little smoky hole-in-the-wall on Canal. I won't rub it in again by saying its name. Sorry.

((Oh--and LP--one more thing before it's over. Don't tone down the spice for the out-of-towners. The spice factor in your food left us wanting more...we don't go to sichuan for fun. We go for serious capsaicin comas. You just didn't deliver.))",False,3,6,5,Christopher I.,en,"{'neg': 0.149, 'neu': 0.709, 'pos': 0.142, 'compound': -0.8409}",-0.8409,0.142,0.149,0.709,negative
357,2008-07-18 19:29:08+00:00,4,"Little Mr. Pepper,  I really wanted to five star you just because I eat your food so often.  

True, the cumin lamb is a great dish, but the fries may show off the interplay of cumin and red chili powder even better.  For me, your best dish is the shrimp with hot and spicy sauce because when you're on, no other dish has as much nuance and complexity.  

But you can be inconsistent.  Sometimes, the red oil leafy tripe is just too salty.  Or there's not enough sichuan peppercorn in the husband wife.  But that won't stop me from coming in tonight and getting a container of ma la tendon, an order of water-cooked fish fillets, and that shrimp.  And a container of beef jerky that I can pick at until all that's left is the red oil-slicked bottom of a plastic takeout container.  Some people might walk across the street and get their Sichuan fix at Spicy and Tasty, but really, why bother.  They've got nothing on you, Mr. Pepper.",False,3,1,1,K C.,en,"{'neg': 0.069, 'neu': 0.801, 'pos': 0.13, 'compound': 0.9145}",0.9145,0.13,0.069,0.801,positive
356,2008-08-21 04:01:16+00:00,4,"Extremely solid Szechuan food. Ironically their best dishes aren't even 100% native Szechuan versions, the noodles in spicy brown sauce with beef felt more Taiwanese (but oh so yummy once mixed up), and the cold cucumber with garlic... mmmm, just the right amount of crunch and large amounts of garlic.

We also had the pork intestine that was perfectly chewy and seasoned, although it wasn't spicy at all. That might have been my biggest issue-- dishes that were supposed to be spicy really weren't that spicy. It's probably a nice blend of spice level, though, so you don't scare the unwashed masses away. It is also distinctly possible that I enjoy spicy food way too much and that's why the heat barely registered...

And for a little basement hole in the wall, the charm is just about right.",False,1,0,0,Brian W.,en,"{'neg': 0.049, 'neu': 0.769, 'pos': 0.182, 'compound': 0.9702}",0.9702,0.182,0.049,0.769,positive
355,2008-08-24 00:24:27+00:00,4,"The best hot pot place in flushing. Their plates come in big serving and are very fresh. Some dishes such as beef inner stomach can't be found in any other hot pot places. 

If you're looking for a spotlessly clean place, go somewhere else.",False,0,0,0,Shirley H.,en,"{'neg': 0.0, 'neu': 0.762, 'pos': 0.238, 'compound': 0.9259}",0.9259,0.238,0.0,0.762,positive
354,2008-10-04 04:38:10+00:00,4,"3.565 stars

I'm feeling that Taiwanese/Szechuan fusion vibe here others mentioned. We tried some staples like the Cold Spicy Beef Tendon, thin sliced and creamy in texture, with the hard high fastball heat (spiciness). That was possibly the best dish we sampled. Although not on the menu in the Braised Section they made the dish with thin sliced pork for us, you can get it with pork intestine too, but having had chitlens early in the week in Boston we opted for just the pork. We had a split decision on the Pork with Dry Bean Curd, I thought it was quite good  but the cut of pork was quite fatty. For the veggie we tried the Napa Cabbage with Dried Pepper Szechuan Style. It was not quite spicy enough for me and I found myself dunking the cabbage in the Braised pork sauce, which did enhance the flavor. If this place was in Massachusetts it would be in the top 3 Szechuan establishments, in Flushing, they need to keep pace a little better. The staff was very friendly and helpful and that does count for something. Xiao La Jiao deserves a 2nd, and probably 3rd visit before final judgement.

* I'm a sucker for basement venues, my first apartment was subterranean.
* Prices have risen significantly, about 30% but that's a sign of the times 
I suppose.
* Wide and deep offerings should be something for every spicy food lover.
* they didn't have rabbit this visit",False,2,1,3,Sean M.,en,"{'neg': 0.059, 'neu': 0.82, 'pos': 0.121, 'compound': 0.9558}",0.9558,0.121,0.059,0.82,positive
353,2009-01-12 04:58:25+00:00,4,"Quite good Sichuan food.  The chong qing spicy chicken (la zi ji) is outstanding, definitely try that.  The water-cooked spicy beef (shui zhu niu) is decent, but not as good as at some of the other Sichuan places around NY like Sichuan Gourmet.  Also, not much (i.e. nothing) in the way of ambiance.

Definitely enjoyable, but not worth the trip out to Flushing versus the Manhattan Sichuan places.  I do want to come back and try the hot pot here though.",False,0,0,0,Michael L.,en,"{'neg': 0.021, 'neu': 0.741, 'pos': 0.238, 'compound': 0.963}",0.963,0.238,0.021,0.741,positive
352,2009-01-28 17:15:44+00:00,4,"I spent a summer in China and I thought I would never again feel the delicious sting of being bitch-slapped by Sichuan cuisine- and then I discovered Little Pepper.  I am no expert but man this food is spicy and yummy and CHEAP.

I recommend the braised fish in spicy soup base, homemade pork dumplings, homemade tofu, and the lotus root with chilis (the dry one- the one with sauce is a little too cloying).  I can not emphasize how delicious fresh tofu is with some chili oil and boiled peanuts and scallions.  If you've only ever had that brick deep fried and covered in sticky sweet chili sauce you need to try the real thing.  And in case you have any reservations about the fish- I can honestly say that it is some of the freshest I've had in all of NYC.  Lotus root is pretty much a more interesting potato.  I like it's subtle flavor and crunch even after being cooked.  If you haven't had it before give it a try.

I can't speak for every dish on the menu but the ones I mentioned are all winners. I only wish that I could get bigger groups of people to go with me so I could do the hot pot or order about ten other things.

P.S.  Most of the time the servers don't speak English but I've never had a problem just pointing and smiling.  If you're a stickler for service this is not your place- I usually just help myself to a second beer from the cooler",False,1,2,1,Emily C.,en,"{'neg': 0.028, 'neu': 0.726, 'pos': 0.246, 'compound': 0.9973}",0.9973,0.246,0.028,0.726,positive
351,2009-02-17 21:37:11+00:00,5,"This place is super dumpy but it doesn't matter. The beautiful pepper is all I need to see. I haven't eaten here in a while, but it's good. Go for the hot pot. Nowhere in Manhattan compares with Sichuan places in Flushing. Please. Do not speak if all you have to say is nonsense.",False,0,0,0,Judith C.,en,"{'neg': 0.168, 'neu': 0.688, 'pos': 0.145, 'compound': -0.123}",-0.123,0.145,0.168,0.688,negative
350,2009-04-05 23:59:14+00:00,5,"Down the stairs we went, following the peppers in the window. Our waiter boasted of the chefs talents and of the braised fish dish that had been written up in the NY Times. He was not wrong. The flakey swai fish was amazing in a fiery pot of broth. We also ordered the wood ear mushrooms and pork. I would also highly recommend this dish, the funky looking mushrooms and pork came together with layered flavors and a kick of spice.  The kitchen did a good job at toning down the spice for us, though there was enough to provide that szechuan mouth burn.  

Note: they are moving in 3 months to 18-24 College Point Blvd
bigger location apparently, but that will be a big loss for this neighborhood",False,6,3,3,Jamie S.,en,"{'neg': 0.045, 'neu': 0.879, 'pos': 0.077, 'compound': 0.4894}",0.4894,0.077,0.045,0.879,positive
