,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
770,2015-11-23 14:09:52+00:00,4,"I visited Peru around this time last year, and fell in love with Lima's sophisticated food scene. When I heard that a ""new-Peruvian"" restaurant would be opening in Williamsburg, I immediately made plans with one of my travel buddies, and we checked it out this past Sunday night. (Pro-tip: they're on opentable!).

When I entered the restaurant, it had that upscale Lima vibe to it, between the high ceilings, abundance of greenery, and Andean artwork. Great setting. My friend and I chose to eat at the bar, since it's often most comfortable. The menu was interesting, but I thought it was a little limited. There are a variety of veg, fish, and meat entrees, and then a small anticucho menu of dressed grilled meats (beef heart, chicken thigh, pork belly, head-on shrimp). They could definitely benefit from another section on the menu dedicated to small vegetable sides (""And I'd like a side of the yams"").

We started with pisco sours, which were expertly made and splashed with that perfect thin line of bitters. I then moved on to the grilled pork belly anticucho, and ordered the duck sausage with farro for my main. I liked the skewer of grilled pork belly, but I loved the tiny spicy pickled chilis that sat on top of it. It was a few really satisfying bites. My duck sausage entree came out shortly after that, and it was delicious too. The combination of all the ingredients: sausage, butternut squash, greens, and farro felt really balanced. My only complaint was that a few areas of the dish skewed towards over-salted.

I usually don't visit restaurants within the first 2 weeks of their opening because they need time to find their footing and get comfortable. The service last night, while all very polite, definitely felt like the service in a brand new restaurant. If they can get their act together (which eventually I think they will), I think the concept, space, and food at the Llama Inn could really be a valued and unique addition to the New York food scene.",False,3,3,1,Meghan A.,en,"{'neg': 0.056, 'neu': 0.733, 'pos': 0.21, 'compound': 0.9966}",0.9966,0.21,0.056,0.733,positive
769,2015-11-24 22:56:38+00:00,5,Delicious food ... Every plate prepared is full of different tastes and textures ... Environment is very pleasant . It was  nice to be able to see the chefs and cooks as they prepared or food !! Will definitely go back !!!,False,1,2,0,Monica P.,en,"{'neg': 0.0, 'neu': 0.617, 'pos': 0.383, 'compound': 0.9711}",0.9711,0.383,0.0,0.617,positive
768,2015-11-25 21:25:58+00:00,5,"Absolutely amazing!!!  I had one of the best meals of my life here.  The drinks were very strong and taste delicious.  I ordered the goats neck and he ordered the roast pork shoulder. Bartenders were very good and we got complimentary dishes such as the kale with a poached egg (orgasmic), meat skewers (chicken beef and heart, my fav was the chicken), and ceviche which was so good and fresh!! Id definitely return!",False,0,2,0,Jully H.,en,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.9914}",0.9914,0.396,0.0,0.604,positive
767,2015-12-02 01:22:19+00:00,5,Excellent Sea Bream Tiradito!! Combination of flavor was magnificent! Service is outstanding and compliments to Chef Erik!! Nicely done!!,False,0,2,0,Dr C.,en,"{'neg': 0.0, 'neu': 0.433, 'pos': 0.567, 'compound': 0.9605}",0.9605,0.567,0.0,0.433,positive
766,2015-12-06 01:12:12+00:00,3,Went here on a Saturday night. The fish dishes were phenomenal but the other food we ordered were just ok. The drinks were not very impressive either. The worst thing is the service. They don't have enough ppl for the customers they get and everyone is getting their orders late. Will for back if the service improved!,False,3,0,0,Danni L.,en,"{'neg': 0.301, 'neu': 0.647, 'pos': 0.052, 'compound': -0.9777}",-0.9777,0.052,0.301,0.647,negative
765,2015-12-14 20:03:34+00:00,5,"By far the best Peruvian food in NYC. 

My friend and I are both chefs, and appreciate attention to detail. The Llama in clearly focused on that when designing the space. 

The food is fantastic. Best ceviche outside of Peru. The jus actually tastes identical to that which your get in a ceviche dish in Lima. Love the anticuchos selection. 

All in all you'll have a great meal and drinks. Service always needs time to work out the kinks in a new place. Be patient and enjoy.

Oh, and the front doors are beautiful.",False,0,2,0,Devin L.,en,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.9903}",0.9903,0.328,0.0,0.672,positive
764,2015-12-15 02:53:23+00:00,5,"Loving it! This place is fantastic. The food is top notch, the drinks are on point, the service is very good.
Upscale Peruvian food: excellent tiraditu (raw fish preparation), and anticuchos, probably the best beef heart I've ever had! 
Plus top-notch Pisco cocktails by bartender Matt.
The Chocolate-Lucuma pudding is not to be missed! Grade AA luscious!
Brendan, the manager, is super sweet, and Math the Blondie sever is sooo cute and awesome!
Llama Inn for the win, I'll be back!",False,1,4,0,scottie c.,en,"{'neg': 0.0, 'neu': 0.626, 'pos': 0.374, 'compound': 0.9913}",0.9913,0.374,0.0,0.626,positive
763,2015-12-21 17:08:38+00:00,4,"This is a new restaurant, couple of minutes away from Lorimer St. station. 
I had some errands to run in around Bedford station area and walked to the restaurant, that's only few minutes too but on a chilly day the distance is kinda harsh but the food makes up for it. 
I went with a friend, between the 2 we ordered 1 appetizer(lentil salad), 2 pork belly skewers and the beef entree. 
Everything was on point, super flavorful and filling. 
The drinks were great, the pisco sour was super frothy, creamy and strong. 

Although our server was great, he was a little preoccupied with a party in the corner so I had a little hard time finding him but  one of the hostess/server was super charming and helpful that all was good. She made the night even more giggly and fun.

In conclusion, I would go again, it's not just your ceviche and chicken Peruvian restaurant, its a lot more. I could have those pork belly RIGHT NOW!",False,0,5,1,Clouse M.,en,"{'neg': 0.023, 'neu': 0.644, 'pos': 0.332, 'compound': 0.9974}",0.9974,0.332,0.023,0.644,positive
762,2015-12-23 07:24:38+00:00,5,"Everything we ordered here was delicious! The chef does an excellent job of combining flavors and textures in an unexpected way. You have to order the shrimp and quinoa dishes. The waitress we had that night was super attentive and knowledgable of the menu, which helped us decide on dishes with certain ingredients we had never heard of before. This place is definitely one of the best in Williamsburg. Go there now!",False,0,3,1,Kimberly H.,en,"{'neg': 0.0, 'neu': 0.693, 'pos': 0.307, 'compound': 0.9846}",0.9846,0.307,0.0,0.693,positive
761,2015-12-24 16:22:30+00:00,5,"Wow! 

We went on a rainy night and it seemed sort of empty. I was worried. How good could this place be? We started with cocktails, I had a Tia Julia and he had a Cumbia cocktail. Then we shared the beet salad. It was terrific with lovely crunchy Peruvian corn. It caused food envy in the people seated next to us. Then we had  chicken and beef anticuchos. The food was beautifully prepared and showed evidence of some amazing knife skills. We  had the duck sausage with spinach, rice and butternut squash and pork with yoghurt sauce. Amazing flavors and textures. I got some red wine by the glass that complimented the food beautifully. We shared the chocolate dessert. The flavors  of the food are unusual and difficult to describe but oh so satisfying. There were some rough edges in the service but the food more than made up for it.",False,1,4,1,Ellis S.,en,"{'neg': 0.084, 'neu': 0.727, 'pos': 0.189, 'compound': 0.9348}",0.9348,0.189,0.084,0.727,positive
