month,num_neg,num_neu,num_pos
2013-11,1,0,5
2013-12,2,0,4
2014-01,0,0,1
2014-02,1,0,1
2014-03,1,1,3
2014-04,0,0,1
2014-05,0,0,1
2014-06,0,0,1
2014-07,0,0,3
2014-08,1,0,3
2014-09,1,0,2
2014-10,0,0,2
2014-11,0,0,3
2014-12,0,1,3
2015-01,0,0,4
2015-02,1,0,6
2015-03,1,0,3
2015-04,1,0,4
2015-05,3,0,9
2015-06,0,0,6
2015-07,0,0,1
2015-08,0,0,3
2015-09,0,0,1
2015-10,1,0,1
2015-11,1,0,3
2015-12,0,0,4
2016-02,1,0,0
2016-04,0,0,1
2016-07,0,0,2
2016-08,0,0,1
2016-09,2,0,4
2016-10,1,0,2
2016-11,1,0,2
2017-01,1,0,3
2017-02,3,0,10
2017-03,0,0,3
2017-04,0,0,6
2017-05,0,0,3
2017-06,0,0,5
2017-07,1,0,1
2017-08,0,0,1
2017-10,0,0,1
2017-11,0,0,4
2017-12,0,0,1
2018-01,2,0,0
2018-02,1,0,2
2018-03,0,0,2
2018-04,0,0,1
2018-05,1,0,0
2018-06,0,0,4
2018-07,0,0,1
2018-08,0,0,2
2018-09,0,0,1
2018-10,1,0,3
2018-11,0,0,3
2018-12,0,0,1
2019-01,1,0,2
2019-02,1,0,2
2019-03,0,0,2
2019-04,0,0,1
2019-06,2,0,1
2019-07,0,0,2
2019-08,0,0,1
2019-09,0,0,3
2019-10,0,0,2
2019-11,0,0,2
2019-12,1,0,2
2020-01,0,0,2
2020-02,4,0,3
2020-03,0,0,2
2021-03,1,0,0
2021-05,1,0,1
2021-06,0,0,3
2021-07,0,0,1
2021-08,0,0,1
2021-09,2,0,2
2021-10,0,0,1
2021-11,0,0,3
2021-12,1,0,0
2022-01,0,0,1
2022-02,0,0,2
2022-03,0,0,1
2022-04,1,0,0
2022-06,0,0,1
2022-10,0,0,3
2023-01,1,0,0
2024-03,0,0,2
2024-08,0,0,1
2024-10,0,0,1
2024-11,0,0,1
2025-02,0,0,1
