,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
248,2013-11-04 03:22:33+00:00,5,"Minton's is as good as it gets but gentleman beware, you must wear a jacket for entry into this establishment.  An older way of thinking no doubt but setting the tone for a unique experience.
Jazz plays 40 minutes on, 20 minutes off and usually the classics are played that any generation of jazz lovers would know.  We sat at the bar (due to the $90 table minimum per person) and ordered the 2 drink minimum.  I had the lady day and duke, which were made with love by our mixologist.  
I loved this place and would highly recommend it for the sect that wants to have a conversation with company (and actually hear them) but also are looking for a certain ambience that is hard to find in todays social ecosystem.  It's traditional, classic and modern all at the same time.",False,5,0,0,T M.,en,"{'neg': 0.046, 'neu': 0.746, 'pos': 0.208, 'compound': 0.9828}",0.9828,0.208,0.046,0.746,positive
247,2013-11-09 06:51:19+00:00,4,"If you come looking for a nostalgic New York then come here. The Mac and cheese is creamy, the pork chop is smokey like bacon, the greens are official, the Brussell sprouts rustic, the grits gritty :), the crab cake all crab, ribeye hits a bullseye!!!!! 
Service is good, alittle forced but I appreciate the effort. Practice makes perfect. Now the band.... There are no words. Old school players doing their thing, well!!!!!!! One of my best nights ever. $300 for 2 well spent! ($90 per person minimum-awkward)",False,1,0,0,Sally A.,en,"{'neg': 0.053, 'neu': 0.716, 'pos': 0.23, 'compound': 0.9613}",0.9613,0.23,0.053,0.716,positive
246,2013-11-09 16:29:43+00:00,4,"This place overall is good for a special night. $300 for 2 with drinks. The ambiance and service were excellent. The jazz music during dinner is very good and 2 hours goes by quickly if you are watching the band.

 I'm rooting for this place to make it, so some constructive criticism would be around the food and size of the cocktail. My ribeye steak was very thin and flavorless. It was not steakhouse quality for $46, worth maybe $29 at most. I realize you are paying for the music too, but I feel the steak could be much better. The Mac and cheese was fantastic, as was the down home or low down appetizer of 5-6 items. I almost ordered a second of the down home appetizer. The bread biscuit was excellent too.

The red wine selection and prices are pretty bad and says ""expense account"" all over the wine menu. I was looking for a $60-$90 bottle of Cabernet or red. Two choices for red by the glass, and the $16 Gamay was low quality. My Manhattan was well made, but filled up an ounce short of where a $15 drink should be.  

Overall great experience and we will be back. I am glad an option like this is in the neighborhood. We enjoyed dressing up and soaking in the history.",False,3,0,1,Mike M.,en,"{'neg': 0.068, 'neu': 0.748, 'pos': 0.185, 'compound': 0.9836}",0.9836,0.185,0.068,0.748,positive
245,2013-11-10 20:15:31+00:00,5,"We went there last Friday night and had an amazing experience from start to end. The band, ambience, food, and service were all fantastic.
I had the foie gras and the ribeye steak, and my steak, on the contrary of one of the other reviewers, was thick and very tasty. One of my friends ordered the mac and cheese, which was di-vi-ne! My boyfriend had the venison and was really happy with it. 
We had cocktails, and they were also very good too.
For dessert we shared the banana cream pie and the vanilla pound cake. Both of very nice and delicate but we specially liked the banana cream pie.
The jazz players were so talented that the almost 3 hours that we spent there went by super fast.
Overall it was such a special night and we will definitely be coming back and bringing new people over. 
Harlem needs more places like this, and I really hope that this place will continue to be a success.",False,0,0,1,Urban D.,en,"{'neg': 0.0, 'neu': 0.724, 'pos': 0.276, 'compound': 0.9949}",0.9949,0.276,0.0,0.724,positive
244,2013-11-29 02:21:18+00:00,2,"I'm so SO bummed out. We had high hopes - after all, it's our neighborhood and we LOVE the Cecil, Minton's sister restaurant. 
Hoo boy. They're clearly still working out the ""newbie"" kinks. The service was really, really bad. From not having a clue about their wine list to forgetting drinks and dessert, then charging us for a dessert we didn't have...it was embarrassing and we couldn't wait to get out of there. I realize this is not ENTIRELY the restaurant's fault - it's the server, who'll likely last another day before screwing up the wrong person's order...
Then the fire alarm (strobe lights and all) went off for FIFTEEN MINUTES! Holy moly - it was so bad. Nobody came to our table to apologize or even let us know what was going on. All the while, the music played on. I get it - this is NYC and things happen - can't always help it, but the least management could have done is stop by each table (it's a small place) with a courteous apology and sheepish smile!
Finally, the food. It was good. Not amazing, nothing I can't get next door at the Cecil for 1/2 the price, but if I go back I'll sit at the bar. This place needs serious work before a reconsideration!
Huge disappointment!",False,4,0,0,Jen B.,en,"{'neg': 0.157, 'neu': 0.72, 'pos': 0.123, 'compound': -0.8908}",-0.8908,0.123,0.157,0.72,negative
243,2013-11-30 05:08:28+00:00,4,"Nice to have real live jazz music in Harlem!  I think the food was good but a little over priced.  Yes, you are paying for live music and the band was excellent!  A little annoying they called three times to confirm reservation and kept mentioning men need a jacket, got it the first time.  Definitely worth the trip if you like live jazz.  Service was excellent, attentive and friendly.  Will be back just to sit at bar and have a few drinks.",False,0,0,0,Syd J.,en,"{'neg': 0.059, 'neu': 0.593, 'pos': 0.348, 'compound': 0.9863}",0.9863,0.348,0.059,0.593,positive
242,2013-12-07 23:06:36+00:00,3,"Overall we had a fine experience but sadly we cannot make this a go-to because it is so expensive. $90 a head is steep anywhere but in Harlem I can't see how this price point is going to be sustainable unless it becomes a destination. The service was mediocre which is sadly the case in most Harlem restaurants (except Vinteria where it is excellent). The jazz was a little disappointing - I was hoping for some jam sessions but it felt a little more like background music. The ""house musicians"" are on salary I hear so I get that this is a job for them but it could be a little livelier. Maybe of they had special guest musicians and change the prefix format we could be inspired to go back.",False,3,0,1,julia n.,en,"{'neg': 0.197, 'neu': 0.69, 'pos': 0.113, 'compound': -0.9515}",-0.9515,0.113,0.197,0.69,negative
241,2013-12-08 23:55:01+00:00,3,"Great atmosphere, great music, comfy place. Food pretty good, but tries a bit too hard.",False,2,0,0,James R.,en,"{'neg': 0.081, 'neu': 0.456, 'pos': 0.463, 'compound': 0.7615}",0.7615,0.463,0.081,0.456,positive
240,2013-12-09 16:52:23+00:00,3,"Had an OK dining experience at Minton's.

The place is aesthetically pleasing, and can certainly get one ""in the mood"" if that's what you're looking for.

Unfortunately, I ended up paying $250 for dinner for two, and 2 drinks. And also, as a jazz musician - the houseband plays some really white-washed, boring standards.

Felt like a tourist attraction, as opposed to the REAL minton's vibe.

Overall, a cool spot but highly overrated for the price point, quality of the food, and quality of the music.",False,17,1,2,John-Henry M.,en,"{'neg': 0.14, 'neu': 0.745, 'pos': 0.115, 'compound': -0.7465}",-0.7465,0.115,0.14,0.745,negative
239,2013-12-14 14:50:26+00:00,4,"The folks at Cecil certainly did a good job revamping Minton's (which was a classic Harlem jazz club): they maintained the original decor and layout of the place (including the distinctive mural behind the band), but reorganized dining tables so that they are now to the 2 sides of the room with space to dance in the middle. Service and vibe is excellent, and I would certainly come here just to stay at the bar and catch some good jazz played by adorable old-timers. Dinner is definitely on the expensive side ($300 for 2, but with $150 going just in wine) but is not bad: the low country mixed appetizer is a must try, and then I was a fan of the pork chop - really moist and smoky flavorful thanks to the collard greens. The venison was somewhat underwhelming due to lack of seasoning, but overall the experience was good.",False,0,0,0,Vanni P.,en,"{'neg': 0.085, 'neu': 0.641, 'pos': 0.275, 'compound': 0.9883}",0.9883,0.275,0.085,0.641,positive
238,2013-12-16 12:21:45+00:00,5,"Awesome atmosphere, perfect for a special night out.  Paid about 200 for 2 with cocktails.  Food was great (had the rib-eye and salmon) and the entertainment was awesome.  

I didn't think the menu which included fried chicken and fist and grits, matched the atmosphere but maybe that's just me.",False,0,0,0,Evan J.,en,"{'neg': 0.0, 'neu': 0.744, 'pos': 0.256, 'compound': 0.8945}",0.8945,0.256,0.0,0.744,positive
237,2013-12-23 20:06:18+00:00,4,"Came here with girlfriend on a Saturday night before starting our 5-borough adventure (well almost all) She reminded me of how pathetic we would look sitting in an actual table just the two of us so we sat at the communal table in the front and looked like we were the girls checking in the guests since its upon entering the resto! We quickly overlooked all of that once the amazing drinks came! I had the Blood & Fire and she the Sahara Nights...it was so good I just wanted to cradle it and not drink it! Then came the Gumbo! Wow! we got the large portion (by mistake) and it was more than enough for 4ppl! Since we didn't realize there were 2 sizes our pretty server made the adjustment and off we went into the cold winter night.. bellyful and full-of-feels thanks to the cocktails! 

A bit pricey but definitely worth it...spent $73 for 2 cocktails and the small gumbo & tip!",False,4,2,0,Sky G.,en,"{'neg': 0.091, 'neu': 0.788, 'pos': 0.121, 'compound': 0.5328}",0.5328,0.121,0.091,0.788,positive
236,2014-01-31 01:54:34+00:00,4,"Jazz and sophisticated southern cooking, what else can a man ask for. Oh hot waitresses too. We came here after Christmas day for a little music, The menu was a bit constrained, not the usual full menu it was a Sunday night.

1.Fried Gulf Shrimp and Oysters  Charred Okra, Sweet Pepper Remoulade 

2.Braised Pork Belly  Johnny Hoe cake, Fried Organic Egg, Country Tasso Ham Bearnaise 

3.Deviled Egg Toast  Smoked Trout, Country Ham, Pickled Shallots
4.Buttermilk Fried Chicken  Red Skin Potato Salad, Three Bean Salad 
5.Grilled rib eye (4)
6..Crispy Fish & Grits  Red Eye Gravy, Pimento Cheese Grits, Braised Cabbage
7Sweet Potato Ricotta Dumplings  Chanterelle Mushrooms, Coconut Collard Greens

And plenty of drinks, the music was good and the food very good.
.",False,5,1,2,Richard M.,en,"{'neg': 0.021, 'neu': 0.88, 'pos': 0.098, 'compound': 0.8934}",0.8934,0.098,0.021,0.88,positive
