month,num_neg,num_neu,num_pos
2012-04,2,0,1
2012-05,9,0,9
2012-06,4,0,6
2012-07,3,1,5
2012-08,4,0,5
2012-09,1,0,0
2012-10,1,0,2
2012-11,0,0,5
2012-12,1,1,3
2013-01,3,0,0
2013-02,1,0,6
2013-03,0,0,1
2013-04,0,0,1
2013-05,0,0,2
2013-06,2,0,3
2013-07,0,0,1
2013-08,3,0,0
2013-09,0,0,2
2013-10,0,0,3
2013-11,3,0,1
2013-12,1,0,3
2014-01,3,0,3
2014-02,4,0,1
2014-04,0,0,2
2014-05,3,0,3
2014-06,1,0,3
2014-07,2,0,5
2014-08,2,0,5
2014-09,3,0,1
2014-10,3,0,6
2014-11,0,0,4
2014-12,2,0,1
2015-01,3,0,2
2015-02,2,0,3
2015-03,2,0,2
2015-05,0,0,1
2015-06,1,0,7
2015-07,1,0,3
2015-08,7,0,4
2015-09,2,0,3
2015-10,3,0,3
2015-11,0,0,3
2015-12,1,0,4
2016-01,2,0,4
2016-02,3,0,3
2016-03,2,0,4
2016-04,2,0,1
2016-05,1,0,4
2016-06,1,0,3
2016-07,0,0,2
2016-08,4,0,2
2016-09,1,0,1
2016-10,0,0,5
2016-11,1,0,0
2016-12,1,0,3
2017-01,5,0,3
2017-02,3,1,2
2017-03,2,0,3
2017-07,4,1,8
2017-08,2,0,4
2017-09,4,0,7
2017-10,1,1,5
2017-11,0,0,4
2017-12,4,0,3
2018-01,2,0,8
2018-02,2,0,3
2018-03,0,0,5
2018-04,1,0,2
2018-05,0,0,2
2018-06,3,0,3
2018-07,2,0,3
2018-08,3,0,3
2018-09,3,0,6
2018-10,1,0,4
2018-11,4,0,3
2018-12,1,0,4
2019-01,1,0,3
2019-02,4,0,3
2019-03,1,0,5
2019-04,2,0,5
2019-05,4,1,2
2019-06,4,0,2
2019-07,1,0,0
2019-08,0,0,1
2019-09,3,0,2
2019-10,2,0,1
2019-11,0,0,2
2019-12,5,0,4
2020-01,0,0,3
2020-02,3,0,1
2020-03,1,0,2
2020-07,1,0,1
2020-08,2,0,3
2020-09,0,0,5
2020-10,1,0,1
2020-11,1,0,4
2020-12,1,0,2
2021-01,2,0,0
2021-02,1,0,0
2021-03,1,0,1
2021-05,2,0,3
2021-06,0,0,6
2021-07,1,0,3
2021-08,2,0,2
2021-09,0,0,3
2021-10,0,0,3
2021-11,0,0,4
2021-12,2,0,2
2022-01,1,0,1
2022-02,2,0,1
2022-04,0,0,3
2022-05,1,0,2
2022-06,1,0,2
2022-07,0,0,2
2022-08,0,0,1
2022-09,1,0,2
2022-10,2,0,1
2022-11,1,0,2
2022-12,0,0,4
2023-01,3,0,7
2023-02,1,0,3
2023-03,1,0,2
2023-04,5,0,5
2023-05,3,0,0
2023-06,0,0,4
2023-07,2,0,2
2023-08,1,0,3
2023-09,0,0,2
2023-10,0,0,2
2023-12,2,1,9
2024-01,0,0,3
2024-02,2,0,1
2024-03,0,0,2
2024-04,0,0,3
2024-05,0,1,2
2024-06,1,0,6
2024-07,2,0,1
2024-08,1,0,5
2024-09,1,0,4
2024-10,0,1,3
2024-11,2,0,2
2024-12,1,0,7
2025-01,0,0,2
2025-02,3,0,5
2025-03,0,0,1
