,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
675,2012-04-28 02:29:24+00:00,1,"I took my mom here for her birthday. The service...? Absolutely horrendous...it's a Chinese restaurant so you can't expect much right?  The waiters have this ""don't waste my time"" attitude, the hostess stand ignores you oh and did I mention that it took forever for them to take our order and for the food to get here?  The woes of new restaurant kinks I suppose. The head waiters in their cheap suits really irked me for some strange reason. And they had this ""my shit don't stink"" air about themselves. The food was delicious....because by the time it came, I was ready to chew on one of their 30+ flower / tree arrangements.  
Not coming back here for at least 6 months. The wait staff is impatient and sloppy.

I miss Palace Diner!",False,3,6,1,Lily Z.,en,"{'neg': 0.16, 'neu': 0.771, 'pos': 0.069, 'compound': -0.9238}",-0.9238,0.069,0.16,0.771,negative
674,2012-04-29 19:21:03+00:00,1,"9:00pm on a Saturday night, my family and I strolled in to try this new place. When we arrived oddly no one was waiting, yet there were people seated. We asked the waiter for us to be seated, they told us we had to wait 1 hour. LOL. what!? 9:00pm on a Saturday night no wait but we're the only ones waiting and 1 hour ... i would believe it if there were other people waiting. hahaha. -_-",False,0,1,0,Tracey L.,en,"{'neg': 0.097, 'neu': 0.814, 'pos': 0.088, 'compound': 0.4326}",0.4326,0.088,0.097,0.814,positive
673,2012-04-30 05:07:31+00:00,1,"i was there this past saturday night for dinner with my family and relatives and i have never got up and left before eating in my entire life until that night. we waited nearly TWO HOURS after we placed our order and nothing came to our table. we remained hopeful during the first hour but after that we realized that many of the other tables around us were without food as well; everyone's dishes were clean! one of us complained to the several of the workers in suits but they just looked at our tables and walked away. great service. they wouldn't even give us peanuts to snack on. it was such a waste of time getting together for nothing. lake pavilion effectively ruined our family dinner. at the 2nd hour we thought it was so ridiculous to wait this long for the 1st dish that we couldn't even imagine how long the wait would be for our 2nd dish. so we decided to just get up, leave, and order takeout nearby. this restaurant and its workers don't even deserve 1 star. 0/5.",False,0,0,0,Ray N.,en,"{'neg': 0.218, 'neu': 0.724, 'pos': 0.058, 'compound': -0.9908}",-0.9908,0.058,0.218,0.724,negative
672,2012-05-01 01:11:35+00:00,2,"An hour wait on weekends for seats for dim sum. Really?!?!? The system of waiting for table was just a mess. The lady was standing in the middle with all these chinese people surrounding her. You cannot even reach her to get a number. 

Since that didn't work out, I went to the take out section/bakery in the back. i ordered both Shrimp Rice Noodle (ha churng) and Beef Rice Noodle (gnau churng). They each came in a small plastic box. Cost me 6 bucks!!!! I'm not cheap but seriously, I can get a whole meal for 6 bucks. Those 2 dishes barely filled me up and it wasn't like it was that good to begin with. So disappointed.

Take out/Weekend/Holiday have separate prices for dim sum. M = 2.75, Large = 3.25. Don't worry, not much dim sum were small dish prices.",False,0,0,0,Starry S.,en,"{'neg': 0.172, 'neu': 0.764, 'pos': 0.064, 'compound': -0.9562}",-0.9562,0.064,0.172,0.764,negative
671,2012-05-03 15:26:09+00:00,4,"I was sold on this place because of the PARKING!! But definitely will be back because of the pastries.

Chris -NOM NOM NOM",False,1,0,0,Chris H.,en,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.629}",0.629,0.164,0.0,0.836,positive
670,2012-05-04 05:12:24+00:00,4,"Dim sum is great. People complain about the service, its dim sum. You are not going to get ""white glove service"". It's a crap shoot whether you get a friendly server. 

Now with that being said, the dim sum here is actually pretty good and cheap."" Bueno, Bonito, Barato!"" I think translated In Spanish means, good, nice and cheap. Yes sir!  it is the 3B's. 

If you want to have some delicious dim sum, come here, if you crave 5 star service, go to a nice steak house.",True,6,3,2,Tsz-Cheong C.,en,"{'neg': 0.066, 'neu': 0.606, 'pos': 0.328, 'compound': 0.9846}",0.9846,0.328,0.066,0.606,positive
669,2012-05-04 18:30:53+00:00,4,"This rating is based on one visit, one dish, both of which were -  on a jam-packed Friday afternoon - a success. 

The wait, at 12:30 on a Friday, at first seemed insurmountable, but these guys turned out to be skillfull and efficient at moving things along - I was seated within 5 minutes of arriving. I'll weigh in on the plus side regarding the service. It was attentive, professional, even helpful, at a pretty busy time.

My dish - Scallops and Conch in spicy XO Sauce - is the type that any Cantonese venue worth a damn will knock out of the park. The scallops were fat, juicy and had a nice wok sear along the edges. The conch was just chewy enough, with just enough give. The mildly spicy XO sauce was laid on with a light hand, and brought everything together, with some pea pods for a little added crunch.

Looking forward to coming back with reinforcements.

P.",False,3,0,0,Pole C.,en,"{'neg': 0.068, 'neu': 0.719, 'pos': 0.213, 'compound': 0.9832}",0.9832,0.213,0.068,0.719,positive
668,2012-05-06 05:31:54+00:00,1,"My family went there on a Sunday night and we were seated within 5, but everything followed just went wrong really quickly.

First, nobody offered tea or water. After we asked 3 times and 10 minutes later, a floor manager finally brought some tea.

Then, the waiter came to take the order. We asked what fishes they have, the waiter replied with a short list, while his eyes wondering somewhere else, very rude. 

After that, we ordered steamed pork sth on the menu. He straight up said, we couldn't do it. While my family was trying to figure out what else we could order to replace this dish we wanted to try. I couldn't help myself but ask this waiter what do you have and that you could make? If you don't do it why do you have it on the menu. He went ,oh it's not like we couldn't do it, but it takes more than an hour to make, then you will yell/curse at me because you waited too long. That is the most ridiculous thing I've ever heard a waiter say! First of all, why did you say you could not make it in the first place if that's not the case, then why couldn't you explain this dish will take a long time to make, and if you did all that and we still would like to try it, why would we yell at you??

 I wasn't going to spend 70 dollars on a fish dish and yet have to endure this kind of service, so we left immediately and definitely not going back and will NOT RECOMMEND anyone to go there. IT'S NOT LIKE YOU ARE THE ONLY CHINESE RESTAURANT IN FLUSHING!",False,0,0,0,jennifer C.,en,"{'neg': 0.148, 'neu': 0.834, 'pos': 0.018, 'compound': -0.9933}",-0.9933,0.018,0.148,0.834,negative
667,2012-05-08 00:52:10+00:00,5,"Okay, so finally I went for dinner... and sorry but it beat out every other cantonese option in Flushing and probably all of NYC. The only reason to go Imperial Palace is for the Dung. Crab, literally Lake Pavillion executed every dish I order at imperial with superior skill. 

1. Winter melon soup - 4.3/5, outstanding broth, full of seafood, but would have liked it to be a bit hotter.

2. Sauteed Filet of Flounder - 5/5, the fish literally melted in my mouth, it was so soft and full of flavor, it was really enjoyable, it was served over a bed of chinese broccoli and some other veggies which made it very refreshing.

3. Salt baked squid - 4.5/5, so lightly fried, it was much less greasier than other restaurants make it, decent sized pieces of squid, extremely tasty and great way to start off the meal. 

4. Pan Fried Noodles w/ Beef - 5/5, this might actually be my favorite food on earth, if I was forced to eat one thing for every meal for the rest of my life, it might just be this. I first ate pan fried noodles as a real young buck at East Lake (former restaurant of the owners of Lake Pavilion) about 15 years ago. Since East Lake closed, it was extremely hard to find any restaurant that made this dish anywhere near as good. Imperial's version is not bad, nor is Jade Asian's- even the place on 38th ave does a decent job... but lets face it, Lake Pavilion's version blows everyone else out of the water, perfectly crispy noodles, their sauce could not have been more on point - it was not too starchy but had the perfect thickness to it. Fresh broccoli and delicious beef, perfectly executed.

5. Peking Pork Chops - 5/5, I have never in my life had such a juicy and meaty version of Peking Pork chops, even when Silver Pond was still around (used to be at the corner of main and booth memorial across from the hospital and killed this dish), the pork chops were not soaked in sauce like some restaurants do, but rather perfectly glazed, lightly fried, so you could actually taste the sauce and the meat and it was truly a pleasure. 

As for the service, the lady who waited on us, told us she recognized us from Dim Sum a week ago, she was very pleasant and took really good care of us. I actually felt that the service was much better than any other Chinese restaurant in Flushing, as the service was broken down into different parts, it wasn't the same guy with an upset face bringing you every dish, interesting for such an establishment. The owner as well came over and said he recognized us from his previous restaurant. 

Love this place, I guess no other restaurant in Flushing will see me for a long long long long time... bye bye imperial, maybe you can find me at M&T, see you in a month Nan Xiang since can't get XLB here and your food is good, Jade Asian it was nice knowing you, and Red Bowl maybe if im drunk and you're open we can meet again. 

By the way, the place is pretty big, it was packed for dinner... says something.",False,7,0,1,Rob S.,en,"{'neg': 0.085, 'neu': 0.699, 'pos': 0.216, 'compound': 0.9987}",0.9987,0.216,0.085,0.699,positive
666,2012-05-08 16:09:07+00:00,1,DON'T GO STAY AWAY. Igrew up in queens and ate at The Palace Diner all the time . I went to Lake Pavilion on Friday to check it out . We walked in to be seated  and someone walked in after us. They spoke to someone behind the counter and was seated first. When we where finally seated they put us in the back and in the corner. 15min. went by and no one asked if we wanted water or said i will be with you soon. My wife said to the waitress that we where ready and she said ok and walked away to help someone else. We where the only americans in the restaurant. We felt that the staff was prejudice towards us and we were very insulted so we got up and left. DO NOT GO THERE !!!!,False,0,0,0,Anthony C.,en,"{'neg': 0.101, 'neu': 0.865, 'pos': 0.034, 'compound': -0.9014}",-0.9014,0.034,0.101,0.865,negative
