month,num_neg,num_neu,num_pos
2016-05,0,0,3
2016-06,2,0,11
2016-07,1,0,7
2016-08,3,0,8
2016-09,1,1,9
2016-10,1,0,6
2016-11,3,0,8
2016-12,1,0,8
2017-01,0,0,5
2017-02,0,0,11
2017-03,2,0,8
2017-04,0,0,6
2017-05,2,0,7
2017-06,2,0,11
2017-07,0,0,7
2017-08,1,0,4
2017-09,1,0,7
2017-10,2,0,9
2017-11,4,0,5
2017-12,1,0,6
2018-01,0,0,9
2018-02,1,0,3
2018-03,1,0,8
2018-04,0,0,9
2018-05,1,0,6
2018-06,3,0,9
2018-07,0,0,16
2018-08,0,0,3
2018-09,1,0,7
2018-10,1,0,9
2018-11,1,0,5
2018-12,0,0,8
2019-01,2,0,8
2019-02,1,0,5
2019-03,1,0,9
2019-04,1,0,3
2019-05,1,0,9
2019-06,0,0,6
2019-07,0,0,9
2019-08,3,0,6
2019-09,3,0,3
2019-10,1,0,7
2019-11,1,0,4
2019-12,2,0,2
2020-01,1,0,6
2020-02,1,0,6
2020-03,0,0,4
2020-04,0,0,1
2020-08,1,0,4
2020-09,1,0,3
2020-10,0,0,5
2020-11,2,0,2
2020-12,0,0,1
2021-02,1,0,3
2021-03,1,0,1
2021-04,0,0,1
2021-05,2,0,4
2021-06,1,0,1
2021-07,0,0,5
2021-08,0,0,1
2021-09,0,0,1
2021-10,1,0,4
2021-11,0,0,1
2021-12,0,0,4
2022-01,0,0,1
2022-02,2,0,4
2022-03,0,0,2
2022-04,1,0,3
2022-05,0,0,2
2022-06,0,0,3
2022-07,1,0,5
2022-08,1,0,4
2022-09,0,0,2
2022-10,1,0,3
2022-11,0,0,1
2022-12,1,0,2
2023-02,1,0,2
2023-04,1,0,1
2023-05,1,0,0
2023-06,0,0,2
2023-07,0,0,1
2023-08,1,0,5
2023-09,1,0,1
2023-10,0,0,2
2023-11,0,0,2
2023-12,1,0,0
2024-01,0,0,2
2024-02,1,0,2
2024-03,2,0,2
2024-04,2,0,2
2024-05,1,0,1
2024-06,2,0,0
2024-07,0,0,1
2024-08,0,0,3
2024-10,0,0,1
2024-11,2,0,0
2024-12,0,0,1
2025-01,0,0,1
2025-02,0,0,1
