,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
519,2016-05-28 03:31:42+00:00,5,"Terrific, tremendous food. Warm, welcoming service. Affordable, approachable wines. Clean, cozy environment... All three of us loved everything we ate (five dishes) and everything we drank (two bottles) -- it all comes across throughly-thought yet definitely not overwrought, never intimidating or imposing -- and we cannot wait to return.",False,4,2,4,David L.,en,"{'neg': 0.028, 'neu': 0.525, 'pos': 0.446, 'compound': 0.9838}",0.9838,0.446,0.028,0.525,positive
518,2016-05-28 13:46:23+00:00,5,Great first meal at Olmsted! The service was outstanding; they were very kind to us and squeezed us in without a reservation (but we did show up at 5:30 on the dot). The food was terrific- my three-year-old even ate the crispy asparagus and the scallops... What better review do you need? Very nice wine menu. Lovely setting. I hope they have a great opening week!,False,2,1,3,Suzanne H.,en,"{'neg': 0.0, 'neu': 0.594, 'pos': 0.406, 'compound': 0.9893}",0.9893,0.406,0.0,0.594,positive
517,2016-05-28 22:26:31+00:00,5,"We drove in from Connecticut because we had heard such great things in advance their opening. At first you are intrigued by the living wall that spans the length of the restaurant. 

After a warm welcome we were escorted past the rustic bar to the amazing edible garden out back.  While it is obvious that there is serious farming going on there are also touches of whimsy. A Koi pond  (a claw foot bath tub) and a guard dog (sculpted from nuts and bolts).

We spent a lovely hour over wonderful wines and tasty snacks. Then unhurried we ambled into the dining room. Every table was in use and there was great music in the background, however we could still hold a conversation without straining. 

Be sure to bring a couple of friends. We shared just about everything on the  menu. And whether beef, fish, foul or vegetable each dish offered unique and subtle flavors and was cooked to perfection and elegantly presented.

Even the art work in the bathroom showed that while Chef Greg and Farmer Ian are serious about this endeavor they are having fun and so will you.

Great atmosphere, great service, great food and a terrific value. We will be back.",False,3,3,1,Steven R.,en,"{'neg': 0.027, 'neu': 0.696, 'pos': 0.277, 'compound': 0.9965}",0.9965,0.277,0.027,0.696,positive
516,2016-06-01 01:42:16+00:00,5,"A welcome addition to Vanderbilt Avenue! I snagged a reservation online a few days in advance, thinking it would be a nice place to celebrate my last day of vacation before starting a new job.

Service was warm, relaxed, and gracious. The whole space is light and beautiful, especially the wall of live plants and the lush garden in the back. Nice selection of wines by the glass in the $10 range; can't wait until they have the all-clear to serve cocktails.

We started with the fried fiddlehead ferns and the oysters with the garden mignonette, both of which were delicious but not especially memorable. The ferns were crispy and grassy but gone in a minute. The mignonette was very flavorful and a bit spicy, so I had to concentrate to also taste the oyster, which was definitely fresh.

Our waiter recommended the radish top gazpacho, so we tried that and the chawanmushi, which was savory and light in texture. The crispy shallots on top provided good textural contrast. The gazpacho was bright green and vegetal and paired nicely with the sweeter lemon balm foam. My husband loved the generous amount of trout roe in the dish; I particularly loved the cubed pickled radish - overall really bright, springtime in a bowl. I haven't yet mentioned that everything is plated thoughtfully and beautifully, either on white china, or in a wooden or ceramic bowl, and includes something fresh/leafy/herby/flowery that was grown out back.

The large plates were our favorites, and the real reason we'll be coming back. The scallops were out-of-control good: delicious dry rub, grilled, perfect texture, and loved the creamy polenta and green garlic underneath. I hope these stay on the menu for a while because I know I'll be thinking about them. I was pleasantly surprised that the guinea hen was a twofer with the breast as one dish and the confit leg and morels as another. Very generous.

The women sitting next to us ordered completely different dishes and seemed like they really loved everything they ate, so I suspect you can't go wrong here. We were stealing glances at each other's dishes the whole time. This is fine dining AND farm-to-table AND a comfy neighborhood spot done very well and made really accessible. It's the sort of place to bring friends and family from out of town, do double dates (and order the whole menu!), and go for spontaneous celebration. Can't wait to go back.",False,5,0,1,Christine B.,en,"{'neg': 0.035, 'neu': 0.646, 'pos': 0.319, 'compound': 0.9994}",0.9994,0.319,0.035,0.646,positive
515,2016-06-02 02:36:50+00:00,5,"This is a superb undertaking. Imaginative cooking,beautifully executed and a very good value. Not cheap, but worth it.in every way. We had superb service by an eager magement and skilled staff. It would really be hard to imagine a better dining experience--and we have had some of the best  in all corners of the globed And this is in Prospect Heights  Brooklyn! Get there while you can still get a reservation, because once word gets around. You probably won't be a to get a table
 It's really that good an experience.",False,0,0,0,AJ K.,en,"{'neg': 0.052, 'neu': 0.657, 'pos': 0.292, 'compound': 0.9829}",0.9829,0.292,0.052,0.657,positive
514,2016-06-02 14:42:12+00:00,3,"First time there and had dinner & some bubbly at the bar after a crummy day at the office.  Restaurant has nice decor and ambiance, and my Bartender was very enthused and service-oriented.

The food is tasty.  

I had no service-related issues during my dinner at the bar.  The two issues I did have (one legitimate, the other small) concerning the food I tried was:

 - Price vs. Portion-size:  It's not that the food is overly expensive perse (if I remember correctly, most of the entrees are roughly $20 which I believe is mid-to-high range for the neighborhood), it's just the amount of food you get for that price.  Again, the food is tasty but it is absurd to me that you would need to order 2 small plate dishes & two entrees just to feel full.   (this is a semi-common problem I've found with a certain type of restaurant -- ""Atrium"" in dUMBO (which, randomly, also features a growing wall which is why I thought of it) has a similar issue; tasty food & good variety but overpriced for the portion size)

  - Apps:  This is small, but some of the app's and entrees are made to be eaten with your fingers (like the broccoli and skewered scallops), although based on the type of dish it was and/or the way they were prepared I think that silverware should be standard for them.  You'll get silverware if you ask (and my Bartender even offered), but it threw me off slightly.

I would go back there to eat again to see if my experience improves.",False,3,1,0,Anthony R.,en,"{'neg': 0.095, 'neu': 0.787, 'pos': 0.117, 'compound': 0.5418}",0.5418,0.117,0.095,0.787,positive
513,2016-06-04 17:45:16+00:00,2,"The food is delicious, the space is great, and the backyard is lovely. Everything else, however, was a mess. 

We showed up 5 minutes early for our reservation, so were told to wait outside in the backyard and have a drink. It took over 20 minutes for the waitress (who was very nice) to come over and take our order. We finished our first glass and at this point it was 45 minutes past our reservation time. We inquired about our table when she asked if we wanted another drink and were finally seated ten minutes later (mind you, we could see there were empty tables indoors). There was no apology/explanation for being late for our reservation. We then waited another 20 minutes for someone to take our order. I understand growing pains of a new restaurant so we were still not too bothered by this. Then, however, I experienced the rudest waiter I have ever met. My friend inquired if there were any vegetarian specials, and he told her to ""just read the menu"" in a disdainful tone. Thanks, we did that- oftentimes there are off menu specials. We ordered a couple of starters to split (delicious broccoli rabe and fiddlehead ferns) and asked for cutlery from a passing waitress. Our waiter then came over to our table and told us ""the dishes are meant to be eaten with your hands, but if we REALLY wanted plates we could have them. Were we SURE we wanted them?"". Again, yes. We asked for them. Not only do I not want to eat broccoli rabe with my hands, but I also don't want an attitude filled waiter telling me I'm doing it wrong. This type of behavior continued throughout our meal, and it basically ruined the entire experience for us. I was shocked by how rudely we were treated. Unfortunate, because the food was incredible, but the overall experience at the restaurant was appalling.",False,15,2,1,Sara B.,en,"{'neg': 0.104, 'neu': 0.814, 'pos': 0.082, 'compound': -0.6903}",-0.6903,0.082,0.104,0.814,negative
512,2016-06-06 18:38:38+00:00,5,"Great new restaurant! Loved all the appetizers - from the fried ferns to the gazpacho to the charchuterie pretzels to the oysters. So fun to eat these out back in the garden with a glass of crisp white wine and cold beer. Then, off to the inside for our main courses. Tried the scallops and the steak dishes, and both were amazing! So stuffed, but still ate the chocolate mousse and strawberry sorbet. Best we've ever had! Will definitely be back.",False,2,0,1,kh G.,en,"{'neg': 0.021, 'neu': 0.767, 'pos': 0.212, 'compound': 0.9579}",0.9579,0.212,0.021,0.767,positive
511,2016-06-09 17:40:41+00:00,5,"Really loved our meal here.  The garden in back is adorable, with clever little tables for your drinks and snacks.  I just wish we had arrived a little earlier than our reservation so that we had more time to enjoy the garden!  Yes, the portions could be considered on the smaller size, but I felt that the quality and presentation of the food (all of which was cooked to perfection) more than warranted the price.",False,1,0,1,Aaron B.,en,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.8726}",0.8726,0.164,0.0,0.836,positive
510,2016-06-18 19:59:34+00:00,3,"I am sorry- I don't get it. We had an ok experience. Host at the door was rude, and didn't seem to know what she was doing. Service was nice, but not polished, certainly not as aspirational as the food. Food was good. Most dishes we had were just good- nothing reinventing the wheel. The Guinea hen was very good. I like the wine list being priced in the comfort zone, mostly 40-60, and the list has many good selections. I feel like the biggest problem with this place is it seems like no one is driving the boat in service. I watched a food runner come within inches of hitting a guy in the face with a plate, watched the host not really understand whether or not she could seat someone, no one really managed how the bar was sat- it was just sloppy. I hope they pull it together. I would hate to see yet another restaurant close on Vandy.",False,4,0,1,Amy L.,en,"{'neg': 0.126, 'neu': 0.691, 'pos': 0.183, 'compound': 0.9185}",0.9185,0.183,0.126,0.691,positive
