,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
357,2016-02-15 04:54:47+00:00,5,Excellent food. Cozy ambiance. Friendly staff. The flavorful cuttlefish appetizer is prepared using small embers from the woodfire oven. The pheasant and sea bass were great. The delicious roasted pineapple with mascarpone ice cream is a must have! Prices include tip. Sit in the kitchen-side seats for a great view of all the action!,False,3,0,0,Gabriel L.,en
356,2016-02-20 03:49:25+00:00,5,"Like Charlie Bird, the first restaurant from this team, everything here is delicious, service is excellent, and they play good hip hop music.

We only tried a few of the small plates, pizzas and a pasta, but it was all so good that we definitely need to return again soon:

- Pane Carasau ($7)
Instead of starting with bread, these are crisp crackers served with a dollop of ricotta, black pepper and honey. It's not as good as bread, but is a nice little light starter to begin with.

- Charred Cauliflower ($16)
Another much lighter option, if you don't care at all about your health and just want bang for your buck, I would consider ordering the Marinara Pizza instead since it's just $1 more than this small plate of veggies. It was delicious though, and as you will notice with the prices of the items, everything seems a bit on the higher end, due to the fact that they are one of the many restaurants that has now embraced the no tipping policy.

- Margherita Pizza ($18)
Opting for the plain old original Margherita to compare it against other places, this was an incredible rendition. The dough here is amazing, which makes at least one of the pizzas a must order.

- Calzone ($21)
Filled with ricotta, prosciutto and sopressata, this is another excellent option from the pizza section.

- Martelli Spaghetti ($19)
Accompanied by Spanish anchovy and bergamot, the heavy lemony taste was almost too overpowering, but the pasta itself was a perfect texture and did have a ton of flavor. It was on the oily side too, leaving a nice pool in the bowl which would have been nice to eat with some bread. This was good, but it definitely made me wish I tried the Rigatoni with sausage, nettle and smoked ricotta too.

- Pear with Mascarpone Gelato and Hazelnuts ($12)
I would probably skip over this option on a dessert menu, but since it was the single option available, we tried it, and I am very glad we did, because it was excellent. The pear was roasted in the oven, and you could still see it smoking under the refreshing, cool scoop of gelato. The hazelnuts sprinkled on top added a delicious crunch and rounded out a surprisingly satisfying and sweet dessert to end a memorable meal.

The staff was so welcoming and the atmosphere was so nice that it definitely make me want to return sooner than later to try more of the pizzas and maybe some items from the veggies and entrees sections that we didn't even get to touch on this visit.",True,29,13,16,Mike C.,en
355,2016-02-24 23:09:40+00:00,5,"Just to let everyone in on a little secret my name is not Mario A (Just my Yelp alter ego) it's actually Pasquale A. So being a huge fan Charlie bird and this restaurant restaurant bearing my name I had to try it. I was very impressed from start to finish. First off immediately after sitting down you realize how comfortable it is to eat there the seats are super comfortable. Th restaurant also has an awesome chill unpretentious vibe with as you know coming from the Charlie bird team plays GREAT music.
We wanted a bottle of wine and the manager/somm recommend a Sicilian frappato served slightly chilled it was exactly what we were looking for. 
     Onto the food, excellent! We stated with the winter lettuces and it was so simple and fresh. The vinaigrette tasted like it came from my grandmas cantina great wine flavor. Next up the sepia, super simple but unbelievably flavorful and tender get it!
Onto the pizza I'm a margarita junkie and huge critic when it comes to pizza. It was very good way above average  but in my opinion the food out shined the pizza.
       Next up the wood fired skate wing. Skate is one my favorite fishes to eat and when it's done right it really is one of the more enjoyable fishes out there. Prepared with the bone in which is a little unusual for skate  but I loved it. Super moist and flavorful. 
    And now dessert. They only had one dessert for the day and it's all they needed. A wood charred pear with a super delicious fior de latte gelato finished with sea salt and evoo. It was so good that my girlfriend and I had to order another one. Sweet,savory, cold, warm, soft, crunchy it was honestly great please leave that one on the menu!
    Over all a really great experience can't wait to go back! Big W for all the Pasquales out there!",False,1,0,0,Mario A.,en
354,2016-02-25 04:16:52+00:00,5,"Where do I start ?!? This past week I was reading Time Out magazine and I read about Pasquale Jones opening. The restaurant is near where I live so I booked marked and told myself ""I will try that asap"" 

We just went tonight for dinner! They have been very busy and I totally understand why. Cheers to Chef Ryan Hardy. The food is outstanding. I literally couldn't stop eating!!!! 

We had a reservation for 8:30pm but got there 10 minutes before. They were running late but the service was so great that I didn't might waiting for our table. They pored us prosecco while waiting as a courtesy. 

When we finally sit down we had one of their pizzas, rigatoni pasta (I would said this one was a bit salty but I believe it was because of the sausage) and charred cauliflower. Everything tasted perfect. I could stay there eating for another hour. 

Dessert was also very good. As I heard they will only have one dessert choice every night. I was very lucky because they had one of my favorite fruits(pineapple) and ice cream. It was incredible good!! 

Since we were siting at the bar we saw many dishes been prepare. They cook everything from scratch. We had an amazing wine and the service was great! 

Well, 5 stars to Chef Hardy and his crew. Everything was amazing. I would definitely come back for the pork shoulder !!! Can't wait ...",False,3,0,1,Gisele V.,en
353,2016-02-28 04:54:27+00:00,1,"Was excited to come here based off of a review from a trusted source. Arrived on a Friday at around 7:30 and was not acknowledged for about 5 minutes as two hosts helped a couple in front of us. Once the host addressed us, we were told that the wait would be around 2 hours but it also could be less since they were still figuring out their flow. Obviously waiting 2 hours is never ideal..but we were willing to wait it out for great food and wine. Strange though since half the restaurant at this time was empty. Put our name down and were told that they would text us when the table was available. 

We went to a cocktail bar to wait..and wait...after 2 hours and 30 mins we were back with no text and the host was extremely surprised to see us. Strangely enough the restaurant was packed now so either people had made reservations in advance or other people were seated before us. At this time at party of 3 left whose table we easily could have been seated at. ""You guys are very prompt..unfortunately it may be about 30 more minutes..but it just 2 guys eating so they may be faster."" So the wait was actually 3 hours or more..who knows though cause decided to just cut our losses and leave. I would have been fine if the host had been a bit better at estimating the time (an hour off is a bit absurd) or just been a bit more accommodating but I definitely can't tolerate this lack of awareness and service. Maybe it's cause they don't care about tips here. Figure it out guys...",False,3,1,0,Ace K.,en
352,2016-02-28 17:45:40+00:00,5,"This place is just fabulous.  Have been here twice now and the kitchen is already in high gear, turning out delicious food.  I find the setting super comfortable.  Those chairs!  Wow, super comfy.  Everything I have tried on the menu is great.  So many highlights.  Clam pie, calzone, braised leeks and fresh pastas.  Wine service by Grant Reynolds is superlative.  Great geeky wine list.  Tax and tip are included in the menu prices.  A tremendous addition to the NYC dining scene.",False,0,0,0,John O.,en
351,2016-02-28 23:52:07+00:00,4,"No doubt Pasquale Jones is good.  I was not quite as impressed as I hoped, especially compared to Charlie Bird; however, I enjoyed the experience immensely.  

The pizza is great.  Luckily, when I went, they had a truffle pizza special.  Oh my god, I actually thought I was having an orgasm while I consumed each cheesy, crispy, truffly bite.  This should totally be a regular menu item.  While the clam pizza was very good, I didn't find it destination worthy.  

The rigatoni was pretty disappointing.  The meat was tasty, but the pasta itself was not worth consuming. 

Like Charlie Bird, the wine selection is excellent.  The staff is extremely knowledgeable and helped us select something that paired perfectly with our food and was exactly what we were looking for.

The space is a bit cramped but the decor is welcoming.  Moreover, I did not find the music selection to be quite Charlie Bird level either, but maybe that's just my love of 90s hip hop talking.",False,19,7,13,Julie M.,en
350,2016-03-09 02:06:14+00:00,5,"Incredible. Ricotta, clam pizza, and skate wing were all fantastic. Need to return for the pork shank for two.",False,0,0,0,Nick A.,en
349,2016-03-12 16:18:13+00:00,5,"4 food snobs thoroughly enjoyed our meal in this small, newish restaurant.  We had a lovely server, enjoyed the fresh, well prepared food and the wine was also great.
Highlights are the beet salad (one of the best ever), leeks, tortelloni, and the steak. The food is all flavorful, seasoned well and tastes healthy. 
Honestly this is one of the best meals we've had from start to finish in a long time.  Prices include tip, and from  the quality of the food to the service, it's reasonably priced.",False,0,0,0,Selma S.,en
348,2016-03-14 14:44:13+00:00,5,"I'm so hesitant to write a review because it's hard enough to get into this place but alas, I'm all about giving credit where credit is due. I made a 6:00 reservation for Sunday night a few weeks in advance. It's a tradition of ours to have pizza and pasta every Sunday and our local place just wasn't cutting it. We almost cancelled because we were having a case of the couch potato Sundays but we rallied and made the trek down from HK. When we walked in right on time we were very warmly greeted by the lovely Hostesses. The atmosphere is so serene, the music is playing at the perfect level, the place was completely full but there was no deafening roar like most NYC restaurants. We were seated at the perfect little booth for 2 on the left when you walk in and another huge thumbs up that we actually had quite a bit of space between us and the table next to us. The service is a group effort and it was absolutely spot on, not overbearing and not absent, just right. The Somm was not only totally hot :) but was very accommodating.  We went with a bottle of Red from Sicily that was pretty classic for the area. Their wine list is not as robust as Charlie Bird's but it's interesting, well thought out and has quite a few selections under $60.00. On to the food!! We started with the braised leeks, ignoring my BF's displeasure but who was the one that was licking the bowl? This is a must order. We then chose the Coppa pie which would have been perfect if it was cooked just a smidge longer, but then again, we like our pies almost burnt on the bottle. Next up was the rigatoni with sausage that was out.of.this.world.order it. We also went with a side of charred broccoli rabe that made you forget that it was a plate of vegetables. For dessert they offer one thing, grilled pineapple with gelato which sounds pretty meh but let me warn you, you will want like 10 bowls of this...unbelievable flavors! We had such a perfect experience that I booked the same table for next Sunday...this is definitely our new Sunday night dinner spot. It's kinda a good thing there's a little travel involved all the way from Hells' Kitchen because if Pasquale Jones was any closer, we'd be there every night.",False,1,0,1,L S.,en
