month,num_neg,num_neu,num_pos
2022-06,0,0,3
2022-07,0,0,14
2022-08,0,0,19
2022-09,0,0,27
2022-10,1,0,15
2022-11,2,0,8
2022-12,0,0,10
2023-01,1,0,12
2023-02,0,0,19
2023-03,1,0,12
2023-04,0,0,9
2023-05,0,0,5
2023-06,1,0,17
2023-07,0,0,7
2023-08,3,1,20
2023-09,3,0,13
2023-10,5,0,17
2023-11,1,0,15
2023-12,2,0,21
2024-01,3,0,23
2024-02,0,0,14
2024-03,1,0,9
2024-04,2,0,10
2024-05,3,0,11
2024-06,1,0,13
2024-07,1,0,12
2024-08,2,1,15
2024-09,0,0,5
2024-10,1,0,10
2024-11,0,0,8
2024-12,2,0,8
2025-01,0,0,4
2025-02,1,0,14
2025-03,0,0,5
