,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
462,2022-06-19 04:31:29+00:00,5,"The newest restaurant you need to try is from the team behind Milk & Cream Cereal Bar, which is just a few blocks away in Chinatown, where the owners are also from and drawing inspiration for this great new spot.

They are making some amazing takes on classic Chinese dishes in a fun spot with great hip hop music playing non-stop.

Definitely start with Potstickers ($11) and a very unique Endive Salad ($15) with dragonfruit and pistachios. The XO Fried Rice ($18) is also a must, as is the Oyster Mushroom Rice Roll Noodles ($16) and Braised Short Ribs ($32). For dessert, make sure you try the Almond Cookie Soft Serve.

They are currently in soft open mode with dinner only Thursday - Sunday, but I'm looking forward to returning to try everything.",True,7,6,6,Mike C.,en,"{'neg': 0.011, 'neu': 0.866, 'pos': 0.123, 'compound': 0.9062}",0.9062,0.123,0.011,0.866,positive
461,2022-06-23 23:23:25+00:00,5,"So cute inside! Staff was really nice. I like that the menu is small. I tried the potstickers (amazing) salty, savory, spicy, overall great. Had the oyster mushroom rice roll noodles which were pretty good. Mushrooms were tasty. And had the spicy eggplant side which was delicious. Cant wait to come back and try more!!! Theyre doing a soft launch. So only open thursday through sunday for dinner",False,1,0,2,Lyndsie L.,en,"{'neg': 0.087, 'neu': 0.513, 'pos': 0.4, 'compound': 0.9875}",0.9875,0.4,0.087,0.513,positive
460,2022-06-26 10:29:43+00:00,5,"Came here to try this place for dinner after learning about their soft opening through a friend and wasn't disappointed!

Came at 6:50PM on a Friday and got seated. The inside is a huge nostalgia for late 90s/early 2000s Hong Kong comedy cinema. This place was described to me as a modern take on Chinese favorites and it rang true.

We looked at the menu and decided (after some deliberation) the endive salad, salt and paper chicken, Berkshire potstickers and the soy braised ribs.

Salad came out first, and visually it looked very fresh and refreshing. The fruits (dragonfruit, oranges and others) were very fresh and sweet. This made a good contrast with the veggies and some nuts on it that just freshened your up on a hot day.

The pot stickers were a nice touch. They were quite tasty itself with juicy meat on the inside but paired especially well with the chili oil it comes with.

The salt and pepper chicken was the main here that really shined. The scallion biscuits was an interesting touch and well appreciated. The chicken was fried greatly. Skin was crispy but not to the point where you just get a mouthful of batter. The meat was incredibly juicy and flavorful, and it went well with the house made jam they provided. 

The short ribs. Wow. Meat was incredibly tender and basically just tore off. Well braised gave it loads of flavor and the portion size was amazing.

For dessert, we had to get the pineapple soft serve with pineapple crumbs. Fantastic way to head dinner. The soft serve's sweetness paired perfectly well with the slight saltiness of the pineapple bun crumbs. Would return to try all the other amazing dishes on the menu!",True,4,0,2,Andrew C.,en,"{'neg': 0.005, 'neu': 0.685, 'pos': 0.311, 'compound': 0.9989}",0.9989,0.311,0.005,0.685,positive
459,2022-07-04 22:31:59+00:00,5,"Delicious new spot in Chinatown! Came here for dinner with friends and every dish was amazing. Favorites were the endive salad, chicken with ginger scallion sauce, rice rolls with hangar steak and tiger prawns (we even got another order of it because it was just that good). To top it off, we had the pineapple dole whip soft serve with the pineapple bun crumbles. It even came with fortune cookies which was a nice touch! The ambiance and decor is reminiscent of Hong Kong and featured nostalgic elements like classic Asian movie posters and childhood snacks. Would definitely recommend!",False,0,0,0,Astisya S.,en,"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.9832}",0.9832,0.251,0.0,0.749,positive
458,2022-07-08 22:19:49+00:00,5,"POTLUCK is amazing ... the best vibes, the best atmosphere, the best salads, the best chicken.. can't complain. EAT EAT EAT for lunch and dinner.",False,0,0,0,Scott M.,en,"{'neg': 0.0, 'neu': 0.456, 'pos': 0.544, 'compound': 0.9742}",0.9742,0.544,0.0,0.456,positive
457,2022-07-09 14:45:26+00:00,5,"Food: 10/10
Service 10/10
Vibes: 10/10

As soon as you walk through the doors, a wave of nostalgia with a modern twist puts you in its sweet embrace. The fun, hip decor is perfectly done and the restaurant is clean and spacious. 

We dined as a party of 6 and followed our server, Kim's spot-on recommendations--she is the loveliest host (and so are the whole team!) We ordered: all three starters currently on the menu, which consisted of two refreshing salads (yay, shout out to my jellyfish fans) and plump, meaty potstickers--we thoroughly enjoyed them. For our mains, we shared two orders of the fried chicken & biscuits--the chicken was seasoned well, the sauce had a tang and a kick (but not too spicy - fear not my spice-averse, friends) and the biscuits were well executed (flaky and buttery), two orders of the rice rolls with stir fried beef (the noodles were the perfect QQ texture, get in my belly!), shrimp (a new take on the classic Cantonese favorite) which had a nice crunch and a mildly sweet flavor with creamy goodness, the fried rice (each grain of rice was perfectly coated and the pork had a good chew for a fun play of textures in each spoonful), the short ribs (flavorful and tender) and the eggplant (don't sleep on this dish if you're an eggplant fan, or if you're not, it might convert you). Family-style is the way to go! Sharing is caring, betches.

To end the evening, we had the Dole whip-inspired dessert. A nice, refreshing way to end a perfect meal. Hats off to Chef Zhan and Peter for modernizing and putting their own spin on some familiar flavors.  All the staff welcome you and make you feel like family. We can't wait to go back!",True,3,0,1,Kristina N.,en,"{'neg': 0.011, 'neu': 0.732, 'pos': 0.256, 'compound': 0.9977}",0.9977,0.256,0.011,0.732,positive
456,2022-07-10 01:52:59+00:00,5,"Popped into this new restaurant in the Chinatown/Lower East Side area during their soft opening. Love the movie theater decor theme, filled with nostalgic movie references from my childhood. 

The mocktails were very good, with the Old Man Chiu being especially refreshing, and The Landlady having a very interesting flavor mixture with strawberry and plum. 

Tried almost every dish with my group, and found everything to be delicious. Particularly enjoyed the Endive Salad which beautifully combines blood oranges, dragonfruit, and pistachio crumbs. My personal favorite entree was the Rice Rolls with Hangar Steak. Though among the table, most people's favorite was the salt and pepper chicken which comes with delectable scallion-flavored biscuits and a very tasty jam. Honestly, you can't go wrong with any of the offerings. 

Ended the meal with the only dessert option, Pineapple Soft Serve. Nice and refreshing after the meal, and the bolo boa (pineapple bun) crumble was a very thoughtful addition.",False,3,3,3,Dennis L.,en,"{'neg': 0.0, 'neu': 0.718, 'pos': 0.282, 'compound': 0.9955}",0.9955,0.282,0.0,0.718,positive
455,2022-07-10 23:00:42+00:00,5,"For a soft opening, the team has found their wonderful flavor profile and able to share a great experience into the lives of those who served the plates. The fun and whimsical interpretation of modern Cantonese cuisine with soul. This is not your traditional Cantonese dishes, it is the elevated next generation of taste. The enthusiasts' vision of what was to what is to come.",False,0,0,0,James C.,en,"{'neg': 0.0, 'neu': 0.711, 'pos': 0.289, 'compound': 0.9657}",0.9657,0.289,0.0,0.711,positive
454,2022-07-16 01:21:42+00:00,5,"Came to Potluck Club on a Thursday night during soft opening. Right away I took notice and appreciated the modern sleek decor with Chinese and Asian American themes mixed in. They really pay attention to the little details around the restaurants such as Chinese films playing on mini TVs on the wall, Chinese vending machine that displayed popular drinks that dispenses fortune cookies and Asian American art on the walls. They even had a funny Easter egg by the bathroom which was a fun surprise. It just felt like a high end restaurant with a casual laid back vibe. We had a group of four so we were able to order mostly everything. The food was Cantonese cuisine mixed with an American flair. Everything was cooked perfectly in terms of texture and flavors. My favorites were the fried chicken with homemade scallion biscuits and the rice roll with steak and mushrooms which tasted like beef chow fun with a bite. The dessert ended with a pineapple soft serve with a pineapple bun crumble which was fun and paid homage to popular Chinese bun. The staff was very welcoming, attentive and friendly. Can't wait to come back to see what additions they add to the menu and get more scallion biscuits!",False,1,0,1,Keene W.,en,"{'neg': 0.007, 'neu': 0.746, 'pos': 0.247, 'compound': 0.9953}",0.9953,0.247,0.007,0.746,positive
453,2022-07-17 23:53:37+00:00,5,Amazing food. The fried chicken and biscuits were the most crispy and delicious chicken I ever had.  Definitely will be back in the near future,False,0,0,0,Justin C.,en,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.9641}",0.9641,0.474,0.0,0.526,positive
