month,num_neg,num_neu,num_pos
2006-08,0,0,1
2006-11,0,0,1
2007-01,0,0,1
2007-02,0,0,1
2007-03,0,0,1
2007-04,0,0,1
2007-06,0,0,1
2007-08,0,0,1
2007-09,1,0,0
2007-12,1,0,0
2008-02,0,0,1
2008-04,0,0,1
2008-06,1,0,1
2008-08,0,0,1
2008-09,0,0,1
2008-11,0,0,1
2008-12,0,0,1
2009-01,1,0,0
2009-03,1,0,1
2009-05,0,0,1
2009-06,0,0,2
2009-07,2,0,0
2009-08,1,0,2
2009-09,1,0,2
2009-11,0,0,1
2009-12,0,0,1
2010-01,0,0,3
2010-02,0,0,2
2010-03,1,0,0
2010-04,0,0,3
2010-05,1,0,3
2010-06,0,0,2
2010-07,1,0,2
2010-08,1,1,8
2010-09,1,0,5
2010-11,0,0,3
2010-12,1,0,0
2011-01,1,0,1
2011-02,0,0,2
2011-04,0,0,1
2011-05,1,0,2
2011-06,1,0,6
2011-07,1,0,6
2011-08,1,0,1
2011-09,1,0,4
2011-10,0,0,1
2011-11,2,0,4
2011-12,1,0,5
2012-01,2,0,4
2012-02,0,0,2
2012-03,0,0,1
2012-04,0,0,8
2012-05,0,0,5
2012-06,0,0,2
2012-07,3,0,2
2012-08,1,0,4
2012-09,2,0,4
2012-11,0,0,1
2013-01,0,0,1
2013-02,0,0,2
2013-03,0,0,4
2013-04,1,0,1
2013-05,4,0,5
2013-06,3,0,4
2013-07,4,0,4
2013-08,2,0,5
2013-09,2,0,5
2013-10,2,0,3
2013-11,1,0,1
2013-12,0,0,2
2014-01,0,0,3
2014-02,0,0,4
2014-03,1,0,2
2014-04,3,0,3
2014-05,1,0,5
2014-06,1,0,5
2014-07,2,0,6
2014-08,5,0,7
2014-09,1,0,2
2014-10,1,0,4
2014-11,1,0,2
2014-12,1,0,5
2015-01,0,0,2
2015-02,4,0,3
2015-03,1,0,2
2015-04,3,0,5
2015-05,1,0,7
2015-06,0,0,6
2015-07,2,0,8
2015-08,1,1,13
2015-09,1,0,2
2015-10,1,0,6
2015-11,0,0,8
2015-12,1,0,6
2016-01,0,0,5
2016-02,1,0,2
2016-03,1,0,5
2016-04,0,0,3
2016-05,3,0,3
2016-06,1,0,7
2016-07,6,0,7
2016-08,5,0,9
2016-09,1,0,5
2016-10,3,0,2
2016-11,2,0,2
2016-12,1,0,4
2017-01,1,0,3
2017-02,1,0,0
2017-03,1,0,2
2017-04,1,0,4
2017-05,1,0,4
2017-06,0,0,5
2017-07,4,0,5
2017-08,6,0,4
2017-09,1,0,1
2017-10,0,0,6
2017-11,1,0,0
2017-12,1,0,2
2018-01,1,0,2
2018-02,0,0,2
2018-03,1,0,3
2018-04,1,0,3
2018-05,1,0,5
2018-06,1,0,6
2018-07,4,0,6
2018-08,4,0,7
2018-09,0,0,6
2018-10,0,0,2
2018-11,0,0,3
2018-12,0,0,2
2019-01,1,0,7
2019-02,0,1,3
2019-03,0,0,4
2019-04,2,0,2
2019-05,5,0,3
2019-06,1,0,4
2019-07,5,0,2
2019-08,2,0,4
2019-09,2,0,7
2019-10,2,1,2
2019-11,0,0,1
2019-12,2,0,1
2020-01,0,0,3
2020-02,0,0,1
2020-03,0,0,1
2020-04,1,0,1
2020-05,0,0,3
2020-06,1,0,2
2020-07,2,1,1
2020-08,2,0,4
2020-09,1,0,2
2020-10,1,0,2
2020-11,1,1,0
2020-12,0,0,4
2021-02,1,0,1
2021-03,0,0,4
2021-04,0,0,2
2021-05,1,0,5
2021-06,4,0,2
2021-07,1,0,2
2021-08,1,0,6
2021-10,0,0,1
2021-11,1,0,2
2022-01,1,0,3
2022-02,0,0,2
2022-03,1,0,3
2022-04,0,0,2
2022-05,1,0,0
2022-06,1,0,3
2022-07,3,0,3
2022-08,1,0,0
2022-09,2,0,2
2022-10,0,0,4
2022-11,1,0,2
2022-12,1,0,0
2023-01,0,0,1
2023-02,0,0,1
2023-03,1,0,5
2023-04,2,0,3
2023-05,3,0,4
2023-06,1,0,2
2023-07,2,0,0
2023-08,0,0,7
2023-09,0,0,2
2023-10,0,0,2
2023-11,1,0,2
2023-12,1,0,1
2024-01,0,0,1
2024-02,2,0,0
2024-03,1,0,1
2024-04,0,0,5
2024-05,0,0,2
2024-06,2,0,0
2024-07,2,0,5
2024-08,3,0,4
2024-09,1,0,5
2024-10,1,0,2
2024-11,0,0,4
2024-12,0,1,0
2025-01,1,0,5
2025-02,0,0,1
