,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
810,2006-08-28 00:50:33+00:00,4,"Many good sea food restaurants in the borough, but this one has the old fashioned clam shack feel.  An excellent clam chowder to start (I like the New England over the Manhattan) but the must-have here is the red sauce, especially the hot version.  Over the fried calamari, it is first rate.  The hot is hot enough to build a little sweat without burning the taste buds.  Real flavor. The medium is equally as good but I love food with the extra kick.  The downside..soda's are seriously overpriced since they still serve the little splits (and have been since I was a teen going there) and you will need a couple to wash down the sauce.  Open late, it was my comfort food stop when I went back and forth to Brooklyn when my Dad was ill.  (calamari in hot sauce as comfort food???? Yep!)",False,4,0,2,Stewart W.,en
809,2006-11-24 18:44:03+00:00,4,"An old-style, no frills clam bar right on Sheepshead Bay. The best thing on the menu is their steamers - year round b/c they have their own farm. 99 times out of 100 the steamers are juicy, fresh, and absolutely delicious. I also love their calamari with hot sauce, scungilli, baked clams, linguine w/white clam sauce, and lobster bisque. the restaurant is not classy, the waitresses are a bit rough around the edges, and the silverware can always use an extra wash, but this place is still one of my favorite local eats.",False,5,2,3,Angela C.,en
808,2007-01-15 03:14:24+00:00,4,"You know that any place that can get away with looking like a high school cafeteria is doing something right. Randazzo's has the best steamers I've ever had and I grew up on them. They were absolutely delicious! My boyfriend tried them for the first time and agreed wholeheartedly. I'm a bit of a purist when it comes to lobster bisque, so I was a teensy bit put off by the chunks of potato and celery in my soup, but the flavor of the large pieces of lobster were so delicious that all was forgiven. The bisque definitely made my top 5.",False,4,0,3,Haley C.,en
807,2007-02-18 04:24:18+00:00,3,"This place serves drinks out of plastic cups, bright lights and brings water for the table in a plastic pitcher; but it was pretty good seafood for the area.  We started with the steamers, which we sandy, but that's to be expected.  We then shared the spicy crab corn chowder soup, it was good, but no Maryland Crab soup.  I had the fried calamari with medium sauce, it was tasty, but I do wish I had ordered the hot sauce since the medium wasn't spicy for me.  The sauce was chunky and tasty.  My mom ordered the lobster broiled, it was OK....supposed to come with a salad (but she didn't get it). My boyfriend ordered the seafood fra diablo over linguine, which was good.  The sauce was very liquidity but the shrimps, clams and mussels were good.  

After all was sad and down...this wasn't the best clam bar I've been too and we did spend over 80 dollars for three people, but I might go back, the calamari was the best choice.",False,2,1,1,steph d.,en
806,2007-03-05 20:12:45+00:00,5,"I go here at least once a month with my Dad, and I don't know what I'd do without it.  Their steamers are huge and juicy, and the pasta with lobster sauce is off the chain, with big, meaty chunks of lobster.  Oh, and of course, raw oysters and clams on the half-shell.",False,1,0,0,Dennis C.,en
805,2007-04-30 00:33:33+00:00,4,"The place is not fancy,... hell they serve you water in a large plastic pitcher with some plastic cups, but that is the beauty of it. It is a simple good seafood place. As long as you are dressed well enough to be on the street you are dressed well enough to go to Randazzo's. 

The service is good, though they won't take any attitude from you (and are very likely to give you some). They food is excellent as long as you don't expect high class presentation. The fried zucchini is always a treat with some calamari with hot sauce. 

Really there isn't much to add that hasn't been said. Go get some food at Randazzo's and then take a walk over to the boardwalk to watch the weekly fireworks in the summer on a Friday night. If that isn't your thing take a walk to a desert place further down Emmons avenue and just watch the people. It is hard not to have a good time.",False,2,0,1,Eugene D.,en
804,2007-06-20 16:55:59+00:00,5,Everyone seems to be right on about this place. I just cant believe no one is raving about the stuffed shrimp or the Scungilli with hot sauce. Steamers like everyone said is the best ever and there is nothing like a dozen little necks to suck down before I really start to eat all of Randazzo's  seafood glory ( and hard little biscuit on the plate too drenched in sauce). Man Im hungry! This website is killing me!,False,4,4,3,Phil M.,en
803,2007-08-21 23:30:12+00:00,4,"I was surprised their steamers were so big. I remember little necks being small and sweet, even the necks tender. Not these, these were large and a bit tough. My gf had the soft shell crab sandwich was to die for, and both types of clam chowders were delicious. It's a no frills place, old school clam bar house. They even served chilled red wine !!! :D How funny. 
After trying to explain to my friend how yelp works, there on the counter was a placard saying they had been yelped and displaying their 5 star review! Yelp, much like big brother is everywhere!
Sadly, 3000 miles did not make for better steamers, but what the heck!
4 stars for the rest of the food. And you can't but a price on the friendliness of these folks. Makes me wonder ...... where the rest of the country went wrong.",True,5,0,2,Christine E.,en
802,2007-09-03 15:36:23+00:00,4,"I got the fried calamari and loved it. I ordered a side of the hot sauce and it   was very tasty, not hot to me. I also had the medium sauce and it was not nearly as good as the hot version. Fried yet digestible, this is a Brooklyn treasure. We waited 20 min to get our table for 4 seated, but they did not rush us out at the end. Tiny sodas, but the pitcher of water helped.

I would go back!",False,5,0,3,April P.,en
801,2007-12-05 05:07:22+00:00,3,"One of the few places where you can find native Brooklynites dining en masse. Pauly the owner being the opitimy of a native ""Goodfella"" with his Tony Manero hairstyle, over golding and Brooklynese dialect.

Except for the clams on the half the food is pretty mediocre.  Most of the shellfish is over steamed in way too much fresh water.  Even the fried food doesn't hold much flavor.  The sauces are okay. It's a shame because I remember when Randazzo's and a place called Joe's ruled Emmons Avenue.  You're pretty much going for the history and not the culinary.",False,1,2,0,David B.,en
