month,num_neg,num_neu,num_pos
2016-11,4,0,38
2016-12,8,1,35
2017-01,8,0,31
2017-02,7,0,31
2017-03,11,0,19
2017-04,5,0,25
2017-05,0,0,14
2017-06,5,0,19
2017-07,0,0,20
2017-08,6,1,27
2017-09,3,0,15
2017-10,4,0,22
2017-11,3,0,18
2017-12,2,0,14
2018-01,2,0,14
2018-02,1,0,15
2018-03,2,0,11
2018-04,2,0,15
2018-05,3,0,16
2018-06,3,0,21
2018-07,3,0,17
2018-08,1,0,10
2018-09,1,0,13
2018-10,4,0,9
2018-11,2,1,16
2018-12,3,1,15
2019-01,2,0,20
2019-02,5,0,14
2019-03,6,0,9
2019-04,2,0,9
2019-05,3,0,12
2019-06,3,0,9
2019-07,3,0,12
2019-08,1,0,16
2019-09,3,0,8
2019-10,2,0,10
2019-11,0,0,6
2019-12,2,0,9
2020-01,3,1,10
2020-02,4,0,6
2020-03,3,0,6
2020-04,0,0,2
2020-05,0,0,5
2020-06,0,0,1
2020-07,0,0,2
2020-08,0,0,3
2020-09,0,0,5
2020-10,0,0,4
2020-11,1,0,5
2020-12,0,0,5
2021-01,1,0,2
2021-02,1,0,1
2021-03,1,0,5
2021-04,1,0,4
2021-05,1,0,3
2021-06,1,0,6
2021-07,0,0,7
2021-08,2,0,6
2021-09,1,1,8
2021-10,0,0,6
2021-11,1,0,4
2021-12,0,0,8
2022-01,0,0,7
2022-02,0,0,1
2022-03,0,0,5
2022-04,3,0,7
2022-05,0,0,4
2022-06,0,0,2
2022-07,0,0,3
2022-08,0,0,8
2022-09,1,0,5
2022-10,0,0,5
2022-11,0,0,9
2022-12,0,0,2
2023-01,0,0,3
2023-02,1,0,5
2023-03,2,0,3
2023-04,0,0,5
2023-05,0,0,4
2023-06,0,0,1
2023-07,2,0,3
2023-08,2,0,2
2023-09,1,0,4
2023-10,1,0,3
2023-11,0,0,3
2023-12,1,0,4
2024-01,2,0,3
2024-02,1,0,0
2024-03,0,0,5
2024-04,0,0,1
2024-05,0,0,1
2024-06,1,0,7
2024-07,0,0,3
2024-08,0,0,4
2024-09,0,0,5
2024-10,1,0,3
2024-12,0,0,2
2025-01,1,0,2
2025-02,1,0,0
