,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
1054,2016-11-06 02:43:03+00:00,5,"Sugarfish lives up to the hype! I ate there the 2nd night it is open, and waited over 4.5 hours- better than the 5 hour quote time! Once seated everything was great- the service was wonderful and you can taste the difference in the high quality fish they serve.",False,1,0,0,Rachel P.,en
1053,2016-11-06 03:34:38+00:00,5,"The HYPE is real! Came to Friday's Grand Opening and was met with a 2 hour wait. There was no way in hell I was waiting 2 hours to each lunch. So I put my name on the list just for the hell of it. I sat down to answer a couple emails and the host approaches the 2 people waiting to eat lunch who were waiting for over an hour and he says to us a table for 3 just opened up would you 3 mind sitting together. We all looked at each other and said why not let's do this. So we sat together and had a memorable first meal at Sugarfish. It was awesome to share this opening with people that had all just met at the grand opening with a love for premo sushi. The place is gonna kill it btw. So we all ordered the Nozawa menu. I had some changes since I don't eat shellfish and they were very accommodating. Started with organic edamame, then tuna sashimi in a ponzu sauce with scallions. It was so fresh and so delicious. Then came the sushi... albacore, tuna, salmon, yellowtail, snapper and sea bass. All amazing. Then came the toro and salmon Hand rolls to finish off the meal. It was an amazing meal. I didn't want it to end. It was great to meet the people I had lunch with as well as the master himself, chef Kazonori Nozawa. I will be back for more.",False,1,0,0,Joe C.,en
1052,2016-11-06 06:35:27+00:00,5,Do not walk to put your name on the 5hr wait list. RUN. The best meal we have had since dining at Sugarfish in downtown LA in 2013. It's so so so good and impossible to describe. Did not want it to end and can't wait to go back.,False,1,0,1,Jackie K.,en
1051,2016-11-06 18:42:42+00:00,5,"Well worth the wait! Just as delicious as in LA but even better in NYC! Super friendly staff and amazingly fresh, perfect sushi! Wow can't wait to go back!!!!",False,1,0,0,Erika R.,en
1050,2016-11-06 19:11:54+00:00,4,"We arrived about 30 minutes before they opened and were seated in the first group. The meal took about an hour and a half. We all ordered the Trust Me menus - some of us went with the standard and others, like myself, ordered the largest version. The food was very good. The fish quality was very good and the rice was warm and loose. I prefer the rice to be slightly vinegared like Yasuda and Nakazawa, however this restaurant clearly isn't in that class. The service was still a bit spotty but that's to be expected with a new restaurant. Everyone was incredibly nice and the staff quickly corrected any mistakes. Overall I think this is the best option for omakase style sushi in this price point. Light years ahead of Haru and others. I will definitely return.",False,2,1,0,Michael G.,en
1049,2016-11-07 20:09:30+00:00,3,"Got quoted 3 hours wait time, but instead it became a 5 hour nightmare. We went back when we didn't get a text, and was told they were backed up and said the wait would take another 30 minutes. It ended up being 2 hours more than the quoted time. I can't blame the staff though, they were nice; and it wasn't totally their fault. They just need to be more aggressive with the self righteous New York diners that linger after finishing their meal as if there's no one else waiting to sit. The food didn't live up to the hype. The rice was over powered with vinegar, I don't mind vinegar but it was just overpowering you can't taste anything else but vinegar. I also expected the rice to be on loose, but it just broke apart. Since we were the last few to be seated for the night, I'm guessing quality just went down hill. Hoping to give them a chance again after the hype dies. Until then, just a friendly PSA to all NYC diners: gtfo in a timely manner.",False,1,1,0,King T.,en
1048,2016-11-07 21:14:20+00:00,5,"yum! tried to come on Saturday but by 6 pm they had stopped accepting names. The people at the door are extremely gracious when they say no, and it is opening weekend. Came back on Sunday and put our name down and were quoted 3 hours, but we were texted within 1.5 hours and were seated 5-10 minutes of arriving to the restaurant. The restaurant is in a great location, so go to a nearby bar and have some drinks! 
There is no bar for you to wait at at the restaurant.
Anyway we sat and shared a trust me and then ordered some extra pieces (salmon, yellow fin sashimi, toro and salmon rolls). All the sushi was fresh, delicious and so so well thought out.
They give you some wasabi, ginger and soy when you order but they will not really provide any more, which is fine. Some pieces of fish will come with soy or sauce already on it so they will recommend not adding any.  I had the stag leap which was delicious and my boyfriend had the Sapporo. Tip is included and the meal is very reasonably priced.",False,2,1,0,Peggy J.,en
1047,2016-11-07 22:34:11+00:00,4,"4 for the food; 3.5 for the service. I stopped by for lunch and wait time was long but shorter than originally estimated. They take your number down and text you when you're close to top of the list to return to the restaurant. I was seated in the back bar type area. Food was good, on par with what I remember having at the Sugarfish location in Beverly Hills. Fish was fresh and delicious. Pacing of the meal was a bit off so there was quite some wait time between sections and service was generally frustrating. I had to repeat my request for water, then part of my order was forgotten (the waiter was asking me the end of the meal questions and I point out I was still waiting on an item) and when it was ready; it was served to the guests next to me. So I had to wait for it to be re-made because once they set a plate down for a guest they can't take it back. I'm fine with the policy but I was getting tired of the mistakes and waiting. Will give them a few weeks to get the kinks out and hopefully things will be smoother next time.",False,0,0,0,Jenn W.,en
1046,2016-11-08 00:13:16+00:00,5,"After moving to NYC and leaving my beloved favorite sushi spot behind, you have no idea how excited I was to see Sugarfish in NYC.

Highlights: Consistency. It tastes exactly as fresh as it did in Los Angeles, and the quality is incomparable to most sushi at other price points.

Unfortunately, there are no reservations- so there will be a long wait for quite some time in the future months.

The only think you will find close is Domo Domo in Greenwich Village. But in my opinion, Sugarfish is far superior with both quality and service.",False,2,0,1,N R.,en
1045,2016-11-08 01:25:11+00:00,5,"From LA to NY, no longer do I need to travel far for outstanding melt in your mouth sushi for cheap. Get the Omakase- it's so worth it. Tips already included. Similar layout as the locations in LA and spectacular service as usual. Got to beat the rush at 5:30 and the line was down the block at 6",False,4,1,1,Ai-Mei Z.,en
1044,2016-11-08 02:54:21+00:00,4,"Really excellent sushi; omikase style at a lower price point than some of the other big name places in Manhattan. 

Their ""Trust Me"" entree comes in three sizes, making it a flexible choice for all appetites, and I prefer their selection of fish over some others. I was particularly happy to get a toro roll included in my meal without having to add it. 

The rice is fantastic. It's warm and loose and the contrast to the fish really steps this up a notch from standard sushi joints. It's not traditional vinegary rice, but I like it better that way. They also don't automatically dot every nigiri with wasabi. I know it's not traditional, but maybe I'm just a progressive sushi eater. 

That rice. So good. 

The fish itself seems a step below the top tier places, evidenced primarily by texture and tenderness. Still very good. 

As for service, the place is jam packed because it's new and if we hadn't gotten there a half hour before it opened, we would have been waiting for HOURS. This popularity makes it a bit hard on the staff, and there were a few logistical errors in serving our party of 6. Everything was very cordially fixed, and they even gave us a roll on the house because it was a mistake. Everyone is very nice there. 

Overall, I dig this place more than something like Sushi Yasuda, which is more of an ""experience,"" but not as cost effective for what isn't necessarily that big a step up in terms of enjoying the actual food. Sugarfish is good. 

But then again, I still love my salmon avocado maki from the joint down the street in Brooklyn, so what do I know?",False,0,0,0,Eddie I.,en
1043,2016-11-08 16:28:26+00:00,5,"As good as in LA, warm, but efficient service and the Trust Me as always was perfection. For the quality and value, there is no better.  Got a seat at the sushi bar with no wait at 5pm, the hype won't die and it shouldn't.  Go at off times, eat often.  Welcome to town Sugarfish.",False,1,0,0,Amira G.,en
1042,2016-11-09 13:15:15+00:00,4,"I've only ever had very quick stop-ins at Sugarfish in LA, so this was my first real experience with it. We went at 11:30am on Sunday (a half hour before it opened), and got seated right at 12, but by the time we left it was a 3+ hour wait. 

I went all in -- I got the Nozawa Trust Me, which is their biggest omakase option, and costs $45. I really liked everything I got with it, with the yellowtail and sea bass being particular highlights. The only thing that held me back somewhat is the obvious comparison to Sushi Yasuda, where you can get almost as much food with their $44 entree option, and the sushi is essentially perfect. Sugarfish has some cheaper options, but I don't think I'd be excited to pony up for the Nozawa Trust Me again when I can make that trade off and go to Yasuda.

Should also note -- they still seem to be working out a lot of issues here. The servers were all extremely nice and apologetic when things were going haywire (and I ended up getting an extra hand roll by mistake!), but it happened a number of times. I don't put a lot of weight on service anyway, but for those that do, be aware that this might be an issue.",True,1,0,1,Shawn H.,en
1041,2016-11-09 21:45:42+00:00,5,"Excellent experience.  Walked in at 12:15, restaurant was packed but they were able to sit us at the bar immediately. Service team was courteous, efficient, knowledgeable and FAST!  Food was terrific, I went with the ""trust me"", my friend ordered off the menu. I will absolutely be going back.",False,1,0,0,Jon J.,en
1040,2016-11-10 03:26:05+00:00,5,"I've tried this place when I visited LA two years ago and honestly, it wasn't that memorable. But when I found out that they have recently opened up a location here in NYC, I decided to give it a try again. And I'm SO glad I did. I was just in Tokyo and even waiting on line for two and a half hours at the infamous fish market was not as good as Sugarfish, and I am quite a picky eater. When we arrived there around 12:30pm on a Wednesday afternoon, it was already packed with a number of people waiting, and we were told the wait was 45 minutes to an hour for two people but they took my phone number down and said they would contact us when our table was close to being ready. We walked around the neighborhood but ten minutes later we already received a text that our table was almost ready! I ordered the Nozawa Trust Me and it was so worth it. My favorite was the blue crab hand roll, hands down. But I enjoyed everything else as well. The rice just melts in your mouth but they have distinct flavors that might not be to everyone's liking. I was tempted to order more but I decided to save the deliciousness for another time. Since they just opened, I do agree with another reviewer that they're still sorting out a few kinks here and there, but otherwise, the service was on point. There's also no tipping allowed. I don't know if I would have waited the three to five hours others have, but I'm just glad I had a flexible enough job that I can enjoy new popular restaurants during the weekdays. I'm already drooling over the next time I'm coming here.",False,1,0,0,Janice H.,en
