,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
349,2014-11-16 03:28:41+00:00,3,"Pricey. Service was solid and we thoroughly enjoyed the music selection. Good food but nothing wowed us. Appreciated the caviar, seared toro, scallop, and the squab. Pleasantly surprised by the grape kakigori and apple pie a la mode to finish the meal..",False,1,0,0,Billy K.,en,"{'neg': 0.181, 'neu': 0.6, 'pos': 0.219, 'compound': 0.0277}",0.0277,0.219,0.181,0.6,neutral
348,2014-11-22 00:06:19+00:00,5,"I love this place!! The ambience, the service, and food are fantastic. We were amazed by the freshness of the ingredients and the details that the chef put on to every plate. I recommend this restaurant 1000%",False,0,0,0,Madelein G.,en,"{'neg': 0.0, 'neu': 0.688, 'pos': 0.312, 'compound': 0.9335}",0.9335,0.312,0.0,0.688,positive
347,2014-11-22 02:28:43+00:00,3,"""It's a world of difference between good and great.""

I want to start with some numbers. $175. This is the cost of the kaiseki menu. You wouldn't know this if you walked in cold, because no one tells you in advance. In fact, there's no food menu at all, not even a tour guide sheet to help you suss out what you're having in case you happen to miss the server's spiel. Personally, I don't find this terribly expensive for what this experience could be--could--but it is worth keeping this number in mind as I continue.

Three. That's the number of sakes available by the glass. Imagine going to your favorite trattoria and finding only three by-the-glass-wines. You'd laugh, right? You'd assume, sure enough, there were a few other bottles available by the glass. Not at Shuko. Only three sakes, all of which are delicious but none of which particularly showcase some of their umami powerhouse dishes. No yamahai, really? No nama genshu? Who exactly is running this bar program?

6. That's when my reservation was because there was literally nothing else available, even several days before Shuko opened. Fine, I can live. But despite this, we were seated by the door (not even at an edge with extra room, I had to ask for that!) on a cold November night. Even my simple seating change request was met with uncertainty.

Worse still were the service levels. The staff were all (for the most part) nice, but coordination was sloppy and objection handling was abysmal. What do I mean by that? My fiancee, a petite woman, politely informed the chef that she was getting full partway through the meal. Unlike Nakazawa, where Nakazawa himself began using less rice for her so she could enjoy all the pieces, we simply got a shrug and a rattling off of items left to eat. Great. Thanks for the help.

I had my own embarrassments too. The sushi rice is so loose that it often crumbled in my hand when I tried to pick up my pieces, making me look like a messy clutz. And when I asked the chef to repeat the Japanese name of a fish he himself had told us, he couldn't do so. I even asked in Japanese (I'm conversational in the language, but don't look it), and he simply said: ""No, fish not from Japan"". Yes, thank you, I know. I simply wanted to hear the name again for my own benefit.

$175. Remember that number? Does this sound like the service you expect for that price point? How about a hostess who looks like a bored intern (so much so that I kept forgetting if she was a guest or staff)? How about a patron who comes in and starts putting their belongings in my fiancee's chair as we're getting ready to leave?

Food-wise, there were some hits (especially the kaiseki items) and a number of misses. Sequencing of the sushi was all over the place. First piece, blue fin. Second piece, shima aji. Really? Do you serve a steak dish before a white fish one? The pieces towards the end--the negi toro roll, for example--made for a lackluster finish.  The uni was a fishy disappointment.

If this were a $100 or even a $120 omakase, I could let it slide. But not at $175. Between the service, the inconsistency of items, and the lack of transparency online and in the restaurant, all I could think upon leaving was that it's going to take a hell of a lot for me to go back to Bar Shuko. This is one to pass on, at least for the foreseeable future. Head to one of the other many more polished experiences in NYC and you'll probably even save some cash.",False,24,5,5,Mike A.,en,"{'neg': 0.123, 'neu': 0.774, 'pos': 0.103, 'compound': -0.9729}",-0.9729,0.103,0.123,0.774,negative
346,2014-11-22 21:01:29+00:00,2,"Being big fans of Jimmy and Nick at Neta we were very excited to try their new spot.  Unfortunately, it was a very disappointing experience.

Food:  We have tried every top Omakase in the city and this one at a pricey $175 pp woudn't make our second tier list.  Way too many mediocre hot dishes from the kitchen followed by an OK selection of sushi to follow.  Hot dishes all came with fancy ingredients (truffles, caviar etc) but were pretty flavorless for the most part with a few exceptions.  The hot menu at Neta was much better, although admittedly we stopped going after Nick and Jimmy jumped ship.  We were already full by the time what we  actually came for (the sushi) started.  We were then underwhelmed by the actual sushi and its preparation.  We were especially disappointed that they had a Su Chef prepare our sushi at the bar while Nick relaxed swigging wine and Jimmy prepared sushi for the tables.

Service:  They sat us down at 9:50 for our 9:00 PM reservation.  Normally I would have walked out after this kind of scheduling mess but we were too excited to try this place and cut them some slack since the place opened just 2 weeks ago.  Then we found out we likely got bumped because of celebrities that showed up last minute which did not sit well with us as full price loyal customers.  They did compensate us by comping our full alcohol bill of around $150.  Frankly, they seemed to be too distracted by the celebrities and friends in the place to properly service all the high paying clientele in the sushi bar.  This may be a good marketing strategy to hype up the place but will kill them in the long run when they need the regs to keep coming and shelling out $600 on a meal for 2.  At these numbers they should be making sure every detail is taken care of.  

Ambiance:  They play cool old school hip hop and attract a younger outgoing local crowd so it is a refreshing vibe compared to most plain and quiet omakase spots and the overly fancy tasting menu shrines from the celeb chef crowd.

In this hyper competitive space with soaring retail rents, hopefully they will get their act together before the hype subsides and the place crashes and burns.  They are very talented but this level of effort won't cut it.",False,11,2,2,Enrique A.,en,"{'neg': 0.138, 'neu': 0.733, 'pos': 0.129, 'compound': -0.8833}",-0.8833,0.129,0.138,0.733,negative
345,2014-11-25 16:12:58+00:00,5,"I had a great time at Shuko, we sat at the bar and had one of the best meals i have had in ages.  The service was great, very personal and made our experience extremely enjoyable.  I can't wait to go back for more.  I would highly recommend this restaurant to anyone looking for a great atmosphere while enjoying phenomenal dishes!",False,0,0,0,Daniel L.,en,"{'neg': 0.0, 'neu': 0.615, 'pos': 0.385, 'compound': 0.9841}",0.9841,0.385,0.0,0.615,positive
344,2014-11-25 16:27:35+00:00,5,"I have been to Shuko twice, once at the bar and once downstairs in the private room, both of my experiences were absolutely phenomenal. I have been to all the top places in the city for their omakase...from Masa, to Yasuda to Sushi of Gari, and this has been by far the best. From the level of exceptional service to the atmosphere, to the attention to detail in every dish, it all comes together to create an absoutely amazing experience. They have taken it to the next level with drinks, i tried this drink they call the Bob Dylan, and it was one of the best/most unique drinks I have ever had. All in all this is a very special place that i will be visting often with both clients and friends!",False,0,0,0,Steve P.,en,"{'neg': 0.0, 'neu': 0.868, 'pos': 0.132, 'compound': 0.9537}",0.9537,0.132,0.0,0.868,positive
343,2014-11-25 20:09:11+00:00,5,"I was super excited on getting a reservation here only a week out and for a good time slot, 8pm. As others have said this is the new spot from the old chefs from Neta. I actually like the ambiance a lot better here, its a better place for a date. Food was very good and i was happy that they still had old favorites like toro tartare with caviar and the scallop with truffle and mushrooms along with a few new ones. Dessert was apple pie with a bay leaf ice cream which was really tasty and satisfying 

Im a huge fan of the cooked food start and the sushi end and thought the price of 175 was good for the level of ingredients we were given. Service was attentive and polite, I would definitely return",False,1,2,1,Rog C.,en,"{'neg': 0.0, 'neu': 0.645, 'pos': 0.355, 'compound': 0.9954}",0.9954,0.355,0.0,0.645,positive
342,2014-11-26 19:00:30+00:00,5,"One word....WOW!! From top notch chefs to unbelievable ambiance Shuko sets the bar. I love the locations discreteness, as well as the bar setup. The ability to interact with the chef really makes this a must try. The quality of ingredients really helps their creative dishes standout. Having tried all the NY staples, such as Masa, Sasabune, Nazakawa, Shuko takes the best of them all and combines them in one intimate and fun experience. I would highly recommend trying to lock down a reservation.",False,1,0,0,Tony R.,en,"{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.9863}",0.9863,0.331,0.0,0.669,positive
341,2014-11-27 00:41:45+00:00,5,"I think it was over 2 years ago when I first tried, and fell in love with, Nick and Jimmy's unique and utterly spectacular dishes at Neta. So, to put it lightly, I had arguably the highest of expectations possible when I first dined at their new spot - Shuko - just two weeks ago. My expectations were not only met, but exceeded. And that is saying a lot.

The place has arguably one of the most sophisticated storefronts I've ever seen. Cooler than Neta's, something I can imagine as the front of a gorgeous but understated $10m townhouse in the West Village or something. The ambiance could not have impressed me more - casual, yet elegant. The music was as good as it gets, nicely curated - and the volume, the mood, were set just right. The decor was impressively modern. It's one of those unique places where I think it'd be just right bringing a date, your parents, or a business dinner - just like Neta was, but I think even more versatile.

Onto the food. I don't take pictures of my food, sorry - and it's been two weeks, so I can't remember every dish I had. However, I remember the overall experience. And it was spectacular, as good as Neta or Masa at their best. Of course they had the ""classic"" favorite you can get at Masa, Bar Masa, Neta - the Toro Tartare, which is impossible to not love. And I also remember the scallop, which is my quintessential favorite dish from Neta as well as here. I remember a couple great cooked dishes as well, things different from Neta, as well as some things the same. I'm not a big fan of dessert, so can't speak for that. And, of course, who can finish a review without writing about drinks. The drinks were awesome, and their new drink guy was as good as it gets! Just ask him to make you something special, and I'm sure he'll impress you - I was.

Honestly, I also can't speak much for value. I don't think experiences like Neta, Bar Masa, Masa, Shuko, Nobu, Ichimura, etc should be compared on that basis. It's all expensive, and it's all a once-in-a-while experience. It's just about whether it's worth it or not, to have some ""special"" occasion there. For me, talking about Shuko, it totally is. It's about as good as Japanese food gets in NYC.",False,5,4,3,Jeff S.,en,"{'neg': 0.038, 'neu': 0.714, 'pos': 0.247, 'compound': 0.9987}",0.9987,0.247,0.038,0.714,positive
340,2014-12-03 15:36:52+00:00,4,"4 stars for the sushi bar ! For the kitchen 1 star. Sushi is as fresh as fish gets ...Textures...insane !! The slight touches of lime zest & shiokambu on sushi makes it perfect...doesn't overwhelm the freshness of the fish which sushi of gari fails miserably. The rice cooked to perfection & nori CRISP !! Combined with Santa Barbara uni melted in my mouth like a butter on hotcakes. The unique plates that looks like cracked bricks and walls was a great touch to originality. Indra who I'm so lucky to have as my sushi chef gave me a perfect second act with his grace, care & detail for perfection. The first act however was the reason I never went back to Neta. Ponzu, shiso, cilantro, cucumber, tempura flakes & bacon steals the show ruining my lobster, Dungeness crab & sea trout. Toro caviar was not a surprise, Masa took that part of me long gone. I prefer sliced toro over scraped toro nowadays, seen too much with scraped toro to have any affection. Music is a bit too jumpy for me from rap to jazz to Pop, rather prefer elegant instruments with my sushi. Ambiance was simple & elegant. Nice touch was fist bumps all around to regulars. Behind the counter all the chefs were great ! Attentive ! Great attitude ! But other then that I don't know if you know what I mean. At $175 is it worth it ??? Mos Def !",False,1,0,1,Michael W.,en,"{'neg': 0.064, 'neu': 0.76, 'pos': 0.176, 'compound': 0.9779}",0.9779,0.176,0.064,0.76,positive
339,2014-12-08 02:18:58+00:00,5,I've been twice and both meals were outstanding with the most recent visit last week being one of the best meals I've had in NYC in a while. Toro tartare and caviar and the grilled tuna sinew roll at the end were standouts. Krug Grande Cuvée (old disgourgement) was a perfect pair to almost everything,False,1,0,0,Robert B.,en,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.9169}",0.9169,0.192,0.0,0.808,positive
338,2014-12-09 14:57:25+00:00,5,"The three of us had their $175 tasting menu; it consists of 7 cooked dishes, 12 delicately individually prepared sushi and 2 desserts.  It's as good as any of the best we had in Tokyo.

The preparation is pure, material is exceptional and service can't be beaten!

This is a destination spot; don't miss it.",False,1,0,0,Charles H.,en,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9196}",0.9196,0.247,0.0,0.753,positive
