,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
951,2013-09-01 20:52:04+00:00,4,"I was invited to the soft opening by a friend of friend of the owner's family.  I was very impressed upon arrival with the modern ambiance and group style seating which is a nice change of pace in NYC where it is often hard to bring a good sized group.  The wait staff also gets a lot of points for being kind and attentive.  I had the opportunity to speak with owners who gave me a brief history of the restaurant and its culinary objectives.  While I hope the restaurant becomes popular, I also hope that the owners do not lose that personal touch I felt while I was there.  I also give them credit for creating a very elegant menu with pictures which can be helpful for those who often do not eat Thai food.
The food itself was amazing.  Well cooked, and well presented.  I went with two other dinners and between us we split plates of fried chicken thighs, duck salad, pork with basil, and rice noodles.  There was nothing we tried that I did not like.  My only criticisms come on the size of the potions and size of the rice side.  The portions are larger than Tapas, but you would need to order more than one for a filling meal.  I also think that they would do well to provide you sides of rice with your meal.  The rice side offered is kind of small and some of the food can be spicy, which is great if you like spice, but if you are a spice wimp like me having that rice could be important.",False,3,0,2,Joshua S.,en,"{'neg': 0.07, 'neu': 0.739, 'pos': 0.191, 'compound': 0.9815}",0.9815,0.191,0.07,0.739,positive
950,2013-09-04 03:39:51+00:00,5,"Best papaya salad I've ever had outside of Thailand. That and the other dishes are excellent as well.

We generally use papaya salad as the barometer of a Thai restaurant. After trying it here, you'll realize that what you've had at other restaurnts bears little resemblance to the real thing. This is good authentic Issan food, a nice change from the standard curry and noodle Thai restaurant, but even more fresh and delicious. You will not be dissapointed.

All in all, a wonderful addition to the neighborhood. Friendly staff, affordable prices, and delicious food.  So good in fact that I was inspired to register on yelp and post my first review.

Dish reccomendations: Papaya salad with crab, roast pork, roast beef.",False,3,0,1,B A.,en,"{'neg': 0.0, 'neu': 0.629, 'pos': 0.371, 'compound': 0.9968}",0.9968,0.371,0.0,0.629,positive
949,2013-09-09 13:24:35+00:00,4,"Came here was a friend last night. He had read an article that said the place was brand new and getting rave reviews so we decided to check it out. I wasn't really sure what to expect but was very pleasantly surprised! The food was fantastic! The minced duck salad was a perfect dish. So many fresh herbs and spices! The chef obviously pays close attention to the quality of the ingredients. I also had the sun dried beef which was which was very flavorful too. My friend ordered the grilled beef skewers and the taro in condensed Milk for dessert, both of which I would highly recommend. 

Many of the dishes on the menu will seem unfamiliar to people who haven't eaten a lot of Isan cuisine, making it a little hard to narrow down your options. But the way they have set up the menu helps a lot. There are plenty of pictures and descriptions to help guide you through deciding what to order. Everything is great for sharing so I'd bring a friend or two so you can try several different dishes. Just keep in mind that the dishes come in fairly small portions so you will probably need to order more than one thing per person or you may not feel full. 

My only complaint was that the service could have been a bit more attentive, but they were very friendly and were willing to make suggestions and answer any questions we had about the menu. I'm sure they'll work out the kinks eventually. Overall I think this place is going to be very successful and I definitely plan on coming back!",False,2,0,0,Shelly P.,en,"{'neg': 0.041, 'neu': 0.709, 'pos': 0.25, 'compound': 0.9978}",0.9978,0.25,0.041,0.709,positive
948,2013-09-12 23:30:19+00:00,2,"Went in a week ago.  The only reason that this place is getting 3 stars is because the food is pretty damn good.  The service was beyond bad.  We ordered a starter to share, two entrees, and two drinks.  The drinks came after two of the dishes - the waitress forgot the starter.  Um so annoying to want a pre dinner cocktail and have to drink it with the meal.  The food was really good though.  Love the coconut rice. 

Because the service sucked, I decided to take out.  Waited in the restaurant for my food - 5 minutes late, fine.  Then when I got home- wrong order!  UGH.  Was too exhausted to bring back or even complain so BF and I ate it.  Blah.  

Get your act together please.  It could be so much better.  The food is good.",False,4,3,1,Jane K.,en,"{'neg': 0.213, 'neu': 0.639, 'pos': 0.148, 'compound': -0.937}",-0.937,0.148,0.213,0.639,negative
947,2013-09-15 16:22:49+00:00,4,"Went on a Saturday night with two friends and we had a great time! The food is absolutely fantastic... definitely a notch up from your typical Thai food. They said the wait was around 30 minutes, and we ended up waiting almost an hour, but it was worth it. Will absolutely go again.",False,0,0,0,Sarah F.,en,"{'neg': 0.039, 'neu': 0.797, 'pos': 0.164, 'compound': 0.7211}",0.7211,0.164,0.039,0.797,positive
946,2013-09-16 15:01:21+00:00,3,"Great to see another authentic Issan Thai restaurant in the East Village (and Manhattan in general). However, sadly, the food is just mediocre and you can actually get better quality and value for your money at Zabb Elee (also in the East Village) or just go out to the number of Issan restaurants in Queens.

The standout dish was the Raw Shrimp Sashimi. Very similar to what I had when I was in Thailand. Very spicy too!

The Som Tum with land crab was downright awful, which was disappointing since it was one of their ""Specialty"" dishes. Really salty and bad, fishy after-taste. Maybe their standard Som Tum is better? 

The Laab Moo (pork) was OK, but the fish sauce they used was rather salty. 

The Fried Chicken was tasty, but their wasn't much meat on the plate. Good for one person, but hard to share with two.

Finally, we had the Thai Sausage. Decent dish, but had better elsewhere.",False,3,1,1,Eric S.,en,"{'neg': 0.151, 'neu': 0.706, 'pos': 0.143, 'compound': -0.377}",-0.377,0.143,0.151,0.706,negative
945,2013-09-19 04:13:36+00:00,5,"Super delicious meal tonight. Grilled and fried dishes were great, somtum was yummy. Overall really great eats, and looking forward to going back. 

Make sure you try the coconut glazed beef and the larb.",False,2,0,1,Gabe Z.,en,"{'neg': 0.0, 'neu': 0.505, 'pos': 0.495, 'compound': 0.984}",0.984,0.495,0.0,0.505,positive
944,2013-09-24 14:12:57+00:00,4,"So this is one of the newer entries into the Asian cuisine world. It's a little different and it's not your typical Thai place with all the curries. But rather it's a style of Thai food that has it's origins from the Northeastern part of Thailand.  It uses tons of fresh ingredients, such as peppers and papaya. A lot of their main dishes are salads with meat.  

The decor was very nice and modern, very welcoming. And has a beer house type feeling with the benches for their big tables.  Nice and dimly lit atmosphere.  It is a welcomed addition to the grunge feeling of Alphabet City/East Village/Lower East Side restaurants.

The food itself is actually pretty good. I had the garlic beef rice dish. I found it full of flavor and has a more home cooking style than what you would normally find at other Thai places.  Simple, meat and rice dish. Nothing else. But one thing I hope they tone down a little bit in the future before I consider going again is their saltiness. The dishes were very salty for my tastes. And I love salty foods.

If you are looking for something new. Give it a try.",False,2,0,0,Norman C.,en,"{'neg': 0.062, 'neu': 0.73, 'pos': 0.208, 'compound': 0.9879}",0.9879,0.208,0.062,0.73,positive
943,2013-09-30 03:00:44+00:00,4,"Pretty standard Thai place in terms of decor and service, although you can tell the food is very authentic. The portions aren't amazing, but the food is very flavorful.

Had the Larb Moo (which is minced pork salad) and the Pad See Eil. Pretty killer flavors and they didn't overpower the Larb Moo with spice. The Pad See Eil was a bit different and had more vegetables and shrimp than actual noodles, which was okay. Might need a few more carbs in that dish. Heh.

The fried chicken thigh was also delicious. Again, we didn't really go quite that adventurous from the usual Thai dishes, but everything we had was very well done.

Overall, while the food was definitely well done and authentic, the feel of the place and the service wasn't mind-blowing, and if you are in the mood for something other than the run-of-the-mill pad thai or pad see eil, this is definitely worth trying.",False,2,1,0,Eric J.,en,"{'neg': 0.07, 'neu': 0.713, 'pos': 0.217, 'compound': 0.9862}",0.9862,0.217,0.07,0.713,positive
942,2013-10-10 00:21:34+00:00,4,"Lunch specials $10-$12!

We sampled both lunch sets and found both to be very good. The $12 lunch special comes with Spicy Papaya Salad and Deep-Fried Chicken Thigh w/ Sticky Rice. The sticky rice was amazing and tasted really good with the deep-fried chicken, which was very juicy and succulent. The papaya salad, though, was super super super spicy! Both of us couldn't eat more than 2 bites. 

We also tried $10 lunch special - I opted for the Fried Garlic Pork with Jasmine Rice. Pop the egg, let it soak into the rice and eat with a piece of pork. It is heavenly! The flavors are like a small punch in the face. It also comes with a pork cartilage soup, which was also super spicy!! Too spicy!! 

We also ordered a Fried Sticky Rice on the side and it was really good. The rice was very fragrant and had a sweet, yet salty, taste to it. So so so good! It is a must try!",True,2,1,1,Michelle T.,en,"{'neg': 0.043, 'neu': 0.671, 'pos': 0.286, 'compound': 0.9945}",0.9945,0.286,0.043,0.671,positive
