,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
470,2022-11-02 23:06:35+00:00,5,"The new restaurant right in the middle of Lincoln Center, from Chef Kwame Onwuachi, as the name obviously indicates.

All the food we tried was great, served in a gorgeous dining room with views of the Revson Fountain and the rest of Lincoln Center surrounding it.

It's obviously not cheap given the location, but well worth it especially for dishes like the Curried Goat Patties ($18 for 3) and the Hamachi Escovitch ($22) to start, followed by the Short Rib Pastrami Suya ($50), a show stopper of an entree.

Don't leave without the Rainbow Cookie Panna Cotta ($16) too, the only dessert currently, with more additions apparently coming soon (I'm going to need to come back for those Truffled Chopped Cheese Buns from all of the opening press that wasn't yet on the menu tonight).",True,10,3,7,Mike C.,en,"{'neg': 0.012, 'neu': 0.883, 'pos': 0.105, 'compound': 0.9038}",0.9038,0.105,0.012,0.883,positive
469,2022-11-04 22:53:02+00:00,5,"It's going to be very easy to rave about the food  and ambiance and the staff. The flavor choices are bold and exciting, yet the chicken reminded me of a Sunday family dinner but with a dynamic element of a little heat and the acidity of the lime. I really enjoyed the Peri Peri salad. Savory with a kick of heat and then bursts of sweetness with the grapes. The mushrooms were my absolute favorite. Meaty and yet balanced well with the ginger and plum sauce. 

Highly recommend! Kwame Onwuachi has brought a fantastic dining experience to New York that is fresh and new yet the food tastes comforting and familial. We dined at the bar and ended up having fantastic conversations with the staff and the people sitting next to us. From the ambiance to the food to the people - it's a place you want to be. 

Such a great evening out! Everything 5 stars! I only wish I could give it more.",False,1,0,0,H L D D.,en,"{'neg': 0.0, 'neu': 0.672, 'pos': 0.328, 'compound': 0.9969}",0.9969,0.328,0.0,0.672,positive
468,2022-11-13 02:22:37+00:00,5,"Wedged in the middle of Lincoln Center, literally a stone's throw away from the fountain, Tatiana shouldn't be good.  It should be overpriced and unoriginal food in a sterilized box filled with theatergoers and tourists.

But as his Top Chef devotees and other acolytes know well, Kwame Onwuachi has never been one to adhere to convention.  And so it is fitting that in his first foray into restaurant ownership in his hometown, Chef Kwame has planted a genuinely cool and unique restaurant smack in the middle of a quintessential tourist trap.

The small, dimly lit dining room has a certain energy to it, enclosed in floor-to-ceiling glass windows looking out onto the Center and glowing in ambient light piped in through new-age light fixtures that look like they were taken from outer space.  The space is sleek and stylish, but warm and inviting too.  

But what sets Tatiana apart are the menu and the food.  Noah X is not sure that he has ever had elevated Caribbean before (Miss Lily's doesn't count).  But he left this meal wondering where this cuisine had been all his life.  

As he tucked into his first of several goat patties, he began to contemplate whether he would be satisfied eating these and only these for the rest of his life.  (He would.)  And the piri piri salad was surprisingly delightful, the perfect amalgam of sweet, salt, acid, and heat.  For dinner, the pastrami short rib is a signature dish (though should come with a side of a Lipitor prescription and Tums).  It ate beautifully, as the meat fell off the bone and melded together perfectly with the bright cabbage to cut through the fat.

The drinks are not to be missed, either--brilliantly-crafted and inventive cocktails that arrive to your table quickly.  

In an age where so many new restaurants elevate style over substance, Tatiana proves that you can have both.  Tourists, boomers, millenials, and TikTokers unite:  you will all enjoy this place.",False,0,0,0,Noah X.,en,"{'neg': 0.049, 'neu': 0.759, 'pos': 0.193, 'compound': 0.9957}",0.9957,0.193,0.049,0.759,positive
467,2022-11-13 18:48:52+00:00,5,"I cannot recommend highly enough. Excellent food and great vibes. Kwame was working the floor - which I loved. He introduced himself to us, and nearly every table. You can just tell this is his passion, dancing and singing to old school Usher with staff. Food rundown:

-Dumplings - 8.5/10, go great w/ house hot sauce
-Truffled Chopped Cheese - 7/10, tbh a little dry
-Mushrooms - 11/10, honestly the best thing ever
-Pastrami Suya - 10.5/10, an absolute must try 

Personally obsessed with the mushrooms. One of the best things I've ever eaten. Mushrooms, scallion pancakes.. plum sauce?! Epic.

Suya was just as good as I had read, short rib fell off the bone. Rolls also 10/10, dead.

TL;DR surprisingly vibrant energy for Lincoln Center - 1000% get either the mushrooms or suya",False,4,1,3,Hope F.,en,"{'neg': 0.119, 'neu': 0.634, 'pos': 0.247, 'compound': 0.9704}",0.9704,0.247,0.119,0.634,positive
466,2022-11-16 00:02:28+00:00,5,"Kaydene is wonderful. We came here because I have known SOMM Amy from Sons & Daughter Michelin Stared in San Francisco. Saw her post on IG, then realize chef Kwame Onwuachi we met him at James Beard Foundation Award event in Chicago 2021. We were sitting on his table where he spoke!

I love to support minority chef and the kind of food that warm my belly and my heart :-) the server got me the fresh chili , I appreciate it so much!

The style is Afro Caribbean opening at Lincoln Center, at 10 Lincoln Center Plaza, near Columbus Avenue. This is chef Onwuachi's first in New York, is an homage to the chef's roots in Nigeria, Jamaica, Trinidad, New Orleans, and his upbringing in New York. They open for dinner on November in the gorgeous a $550 million newly renovated at the center's David Geffen Hall.

Taking his experience from Michelin-starred Per Se and Eleven Madison Park, chef Onwuachi was also the contestant on Top Chef. He opened with 2 popular spots in Washington D.C.: the Shaw Bijou, a fine dining Kith and Kin, where chef was won a James Beard award in 2019 -- and resigned roughly a year later.

We love everything and every dish we had! The bomb rib. Melt in your mouth, falling apart by itself, oh you are so meaty goodness!

The Goat curry, the rice and peas, the truffle cheese, wish I have a second belly to indulge it all. I look like 6 months Preggo when we are done! HA!

The wine list is so reasonable for this part of town and worldwide list, many bottles under $100, unheard of price point here!

The cocktails is yummy! 

The service is impeccable, genuine, and I love to see faces that represent the food and culture.

Wishing you success chef, I'm a FAN. 

Book your reservation ASAP! Tell them @1MandaBear send you :)",False,6,6,6,Manda Bear B.,en,"{'neg': 0.027, 'neu': 0.747, 'pos': 0.227, 'compound': 0.9973}",0.9973,0.227,0.027,0.747,positive
465,2022-11-19 19:17:59+00:00,5,"Totally blown away with how amazing our experience was at Tatiana!  The ambiance of the restaurant is absolutely stunning, and we were warmly welcomed & promptly seated.  We ordered a wide variety of the menu & absolutely loved everything we had.  The egusi dumplings were a perfect starter, along with the hamachi, the lamb hummus & the scallops.  Everything was filled with flavor and so creative & innovative.  Another standout was the truffle chopped cheese, a high end take on a NY classic & absolutely divine!  We ordered both the pastrami & shrimps as our mains & loved both.  The pastrami was so tender, definitely the best I've ever tried.  It comes with bread & cabbage, making it the perfect complete dish.  The shrimps are huge & full of flavor from the buttery sauce, delicious.  We finished off with the rainbow cookie panna cotta for desert which was the perfect light way to end our epic meal.  Cocktails were also creative & refreshing.  Service was 10/10, very attentive & gave great recommendations on the menu.  We cannot wait to come back & try kwame's other fantastic dishes.  There is nowhere else like tatiana!",False,2,1,1,Rachel G.,en,"{'neg': 0.014, 'neu': 0.633, 'pos': 0.353, 'compound': 0.998}",0.998,0.353,0.014,0.633,positive
464,2022-11-21 13:24:03+00:00,5,"Wow, what a treat dining at Tatiana. We shared the egusi dumplings, truffle chopped cheese, take-out mushrooms, sofrito roasted chicken, rice, and bodega special. We did not have one bad bite all night.

The dumplings were perfectly seared. The truffle chopped cheese paired well with the ribeye and had a nicely balanced flavor. The take-out mushrooms were exceptional. The texture of the mushrooms was perfect with a delightful umami flavor. The chicken was unbelievable - amazingly juicy and moist, perfectly roasted, with a delicious stew around it. The rice was actually one of the best rices I've ever had. The bodega special was good too - a clever take on a nostalgic favorite and creative with the powdered donut ice cream.

I can't wait to coming back. Highly recommend!",False,2,0,0,Rebecca S.,en,"{'neg': 0.015, 'neu': 0.553, 'pos': 0.432, 'compound': 0.9973}",0.9973,0.432,0.015,0.553,positive
463,2022-11-23 18:28:10+00:00,5,"First thing to know: you are in for a treat! From the service, to the overall dining experience, and oh yea, the tunes playing in the background (contemporary hip-hop and r&b). I came on a Tuesday night, and needless to say, it was a vibe. 

Now, let's get to the food! Note: the flavors were bold, authentic and simultaneously sophisticated. 

Small Plates: Egusi Dumplings (one of my favs, though egusi isn't something I eat frequently). Each dumpling was packed with flavors and a punch of spice. The Curried Goat Pastries were also incredible  (definitely one of their classic hit). Lastly, the Truffle Chopped Cheese. Now, if you're a person who've had a chopped cheese or grew up eating them (from a corner store), don't expect those same flavors. This is definitely a more refined version, and although different, it was a great bite-- worth trying for sure! 

Entrees: The Mom Dukes Shrimps were off the chain! Perfectly cooked, great size, and o-m-g that sauce! Not to mention the perfectly buttered toast it's paired with.. that thing just melts in your mouth, whew! We also ordered the braised oxtails of course, which were pretty good (don't expect them to be spicy though). 

Highlight of my experience: Chef Kwame calling me out for eating the oxtail with a fork and knife! ""What are you doing? Now I know you know how to eat oxtails.... This is home, you better pick it up and eat it!"" 

Highly, highly recommend. High-end dining with a twist of home!",True,4,5,2,Shirley D.,en,"{'neg': 0.019, 'neu': 0.796, 'pos': 0.185, 'compound': 0.9923}",0.9923,0.185,0.019,0.796,positive
462,2022-11-24 13:14:35+00:00,5,"What an addition to the area, and all of New York.  Amazing ambiance, upbeat and alive but also refined dining.  Great drinks, too.  Can't wait to come back very very often.",False,0,1,0,Jason R.,en,"{'neg': 0.0, 'neu': 0.666, 'pos': 0.334, 'compound': 0.9262}",0.9262,0.334,0.0,0.666,positive
461,2022-11-25 15:11:26+00:00,5,"Upscale fine dining and at an affordable price. GOD, Chef Kwame just marry me already! Okay, not me, but I absolutely loved everything about this restaurant.  First, I was floored by the affordability of the menu and wine selection. I am happy that TATIANA is an upscale restaurant that is not exclusive. In its 4th week, the TATIANA staffing provided a professional, warm, fun, and flawless fine dining experience. It was the hostesses for me! The moment I saw these lovely ladies I knew we were going to have a great time. I DID NOT feel as if I was walking into a country club seeking approval. Our server Jake was an awesome guide for the evening, helped us make good selections. The sommelier, Andrew, was pleasant and patient as we talked through wine selections. He even started us off with some bubbles as we finalized our decision (appreciate that). But what made US feel appreciated is that Chef Kwame made his rounds checking in on guest and even stopping for a little conversation. He is charismatic and it made me smile to see this young brotha working his floor. TATIANA is a beautiful space (beautiful and clean bathroom). You can tell that they really do work towards inclusivity and want this to be a restaurant where all can come and enjoy the fire ass food!

THE FOOD - nothing salty, perfectly balanced seasonings and flavors. No condiments needed! Although the scotch bonnet pepper sauce was 

Cucumber Salad: ma'am. What. The flavors bursting in my mouth! These little Pearl radishes and bits of minty to off set some of the spice. Absolutely delicious. 

Egusi Crab Dumplings: perfect. Just perfect. Just...perfect. Perfect crisp. 

Take-Out Mushrooms: laaaawd! Our server was right, definitely a stand out dish that got you thinking about it days later. Never have I had a mushroom dish so tasty, so filling, so impressive. I did not love their spin on the scallion pancake, it was too pancake/waffle batter like for my preference, but best believe I hate a few slices. Just a wonderful dish. 

Brown Stew Snapper: hella good. I'm trying to understand where they found boneless/eyeless whole fish at LOL this was a very tasty fish that I enjoyed with some of the scotch bonnet pepper sauce. I definitely wanted more of the stewed onions that were on top but a perfectly seasoned dish nonetheless. 

Excited to follow Chef Kwame's journey. If y'all got his Spotify profile, please share. He curated a damn a good playlist. I was literally dancing to the bathroom. And may I say, the pumpkin coconut candle burning in the bathroom smelled marvelous!",True,3,1,3,Robbin R.,en,"{'neg': 0.077, 'neu': 0.596, 'pos': 0.328, 'compound': 0.9995}",0.9995,0.328,0.077,0.596,positive
