month,num_neg,num_pos
2015-07,0,2
2015-08,0,4
2015-11,0,2
2015-12,0,3
2016-01,0,1
2016-02,0,2
2016-03,0,1
2016-04,0,2
2016-05,0,5
2016-06,0,4
2016-07,0,4
2016-09,0,1
2016-10,0,2
2016-11,1,1
2016-12,2,2
2017-01,0,1
2017-02,0,2
2017-05,1,2
2017-07,0,2
2017-08,0,3
2017-09,0,1
2017-10,0,1
2017-11,0,3
2017-12,0,2
2018-01,0,1
2018-02,1,4
2018-03,0,4
2018-04,0,3
2018-05,0,3
2018-06,0,3
2018-07,0,4
2018-08,0,1
2018-09,1,2
2018-10,0,5
2018-11,0,4
2018-12,0,5
2019-01,0,1
2019-02,0,3
2019-03,0,2
2019-04,0,3
2019-05,0,6
2019-07,1,2
2019-08,0,3
2019-10,0,2
2019-11,2,4
2019-12,0,2
2020-01,0,1
2020-02,0,2
2020-03,1,1
2020-06,1,0
2020-07,0,1
2020-09,0,1
2020-10,0,3
2021-02,0,1
2021-03,0,1
2021-05,0,1
2021-06,0,3
2021-07,0,2
2021-08,0,1
2021-10,0,3
2021-11,0,2
2021-12,0,1
2022-01,0,1
2022-02,0,1
2022-03,0,2
2022-04,0,2
2022-05,1,4
2022-07,0,1
2022-09,0,1
2022-11,0,3
2022-12,0,1
2023-01,0,2
2023-02,0,4
2023-03,0,1
2023-06,0,1
2023-07,0,3
2023-08,0,1
2023-09,0,2
2023-10,0,2
2023-11,1,2
2024-01,0,1
2024-02,0,1
2024-03,0,5
2024-05,0,2
2024-07,0,3
2024-08,0,3
2024-10,0,1
2024-11,0,1
2024-12,0,1
2025-01,0,3
2025-02,0,2
