month,num_neg,num_neu,num_pos
2015-05,1,0,6
2015-06,2,0,8
2015-07,0,0,15
2015-08,3,0,6
2015-09,0,0,9
2015-10,1,0,6
2015-11,1,0,11
2015-12,3,0,9
2016-01,1,0,9
2016-02,0,0,9
2016-03,1,1,11
2016-04,1,0,4
2016-05,0,0,1
2016-06,0,0,2
2016-07,1,0,11
2016-08,0,0,8
2016-09,2,0,2
2016-10,1,0,4
2016-11,0,0,2
2016-12,0,0,7
2017-01,1,0,2
2017-02,5,0,7
2017-03,2,0,3
2017-04,1,0,8
2017-05,0,0,4
2017-06,0,0,3
2017-07,1,0,4
2017-08,1,0,7
2017-09,1,0,1
2017-10,0,0,5
2017-11,0,0,2
2017-12,2,0,13
2018-01,2,1,12
2018-02,3,0,3
2018-03,1,0,4
2018-04,2,0,3
2018-05,0,0,3
2018-06,0,0,1
2018-07,2,0,2
2018-08,2,0,10
2018-09,0,0,4
2018-10,0,0,3
2018-11,3,0,2
2018-12,0,0,6
2019-01,1,0,8
2019-02,2,0,5
2019-03,3,0,5
2019-04,1,0,5
2019-05,0,0,2
2019-06,1,0,1
2019-07,0,0,3
2019-08,0,0,6
2019-09,1,0,2
2019-10,0,0,7
2019-11,1,0,4
2019-12,2,0,5
2020-01,0,0,3
2020-02,1,0,5
2021-03,0,0,1
2021-06,0,0,1
2021-11,0,0,4
2021-12,0,0,1
2022-01,0,0,2
2022-02,0,0,1
2022-03,0,0,4
2022-04,0,0,2
2022-05,1,0,4
2022-06,0,0,3
2022-07,0,0,5
2022-08,2,0,4
2022-09,0,0,6
2022-10,1,0,3
2022-11,0,0,1
2022-12,2,0,2
2023-01,3,0,3
2023-02,1,0,0
2023-03,1,0,2
2023-04,0,0,1
2023-05,0,0,6
2023-06,0,0,2
2023-07,0,0,1
2023-08,0,0,3
2023-09,0,0,1
2023-10,1,0,3
2023-11,1,0,1
2023-12,0,0,1
2024-01,0,0,3
2024-02,1,0,4
2024-03,0,0,2
2024-05,0,0,2
2024-06,0,0,1
2024-07,0,0,1
2024-08,0,0,1
2024-09,0,0,1
2024-10,0,0,1
2024-11,0,0,1
2024-12,0,0,1
2025-02,2,0,1
2025-03,0,0,1
