,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language
478,2015-05-16 23:02:23+00:00,5,"Came on the opening night.  Ambience, service and food are all amazing.  The cocktails are creative,  nice and more importantly, taste great.  

We were seated in the American Room.  Started with the American Cereal Killer cocktail which is Bullet Burbon and milk and Give Peas A Chance cocktail.

Starters were Steak Tartare...probably one of the best I have had in a long time and Uni Risotto. Main was Pork Belly and Bone Marrow as well as Cornish Fish Stew. 

We will definitely return!",False,4,1,1,Lenny H.,en
477,2015-05-21 15:06:15+00:00,5,"Recently opened, this is a new restaurant from the Starr Group.  It is in the Edition Hotel at the clocktower of the former Met Life building at 5 Madison Park.  The space is paneled with an eclectic gallery of photographs of artists and celebrities.  The music is trendy.  The Goldleaf bar is a half round bar next to the  Pool table and is warm and inviting.  Service was good and very friendly.  Drinks range from 8-16 for the most part.   Dinner was in adjacent rooms with similar sort of decor.  One room has a fireplace.  Service was over the top and very accommodating and attentive.  Food was excellent and presentation was great.  I tried a few dishes including the lobster, the risotto and the radish salad.  I also ordered the bone in Sirloin Steak.  While all the dishes were very good the Uni Risotto was a stand out.    The Steak was perfectly cooked and very tasty.   Prices are on par with fine dining restaurants.  This is a wonderful place to go for a romantic dinner or a business dinner or just a drink after work.  Definitely they are going for the Michelin star so time will tell.   Check it out before it gets too busy.",False,0,0,0,Raymond P.,en
476,2015-05-25 06:12:35+00:00,5,"Uhhhh....yes yes and did I mention YES?

Friends of mine were visiting from Miami (where there is also an Edition Hotel) for MDW and informed me that an Edition Hotel opened in NYC recently and that they wanted to have dinner there. I had no expectations and was blown away.

The staff was welcoming, knowledgeable, and actually acted like they enjoyed working there. I hope that over time this won't fade...

+ My water was constantly re-filled throughout the night and the staff seemed on point. 

Ambiance
Dark wood and perfect lighting. Need I say more? Very romantic vibe yet also could see business dinners conducted here. There are two rooms directly next to each other but yet separated so each room feels very intimate. We sat next to Fredrik Eklund (from Million Dollar Listing) so I assume a lot of ""celebrities"" will be pouring into this hotel.

Wine
+ They have great options for all price points. I was really surprised at the range. I wasn't let down as I had the Austrian wine (Gruner Vetliner, which I seem to find on every menu in NYC which leads me to ask who the hell is their wine rep?!) and it was yummy yet very inexpensive. 

Food
I ordered a salad to start. I can't remember the exact name of the salad and can't seem to find their menu anywhere online but basically it was just a mixed green salad with a light yet fruity vinaigrette dressing. The salad was excellent. I'm not usually a fan of paying a large amount of money to eat lettuce and I seem to always find that the dressing portion applied to salads are either too heavy or too light.
This
was
perfect.

A really light and refreshing way to start my meal. I would say this is a MUST ORDER.

I followed the salad with the uni risotto despite it being listed as an appetizer. I was still a bit hungry after the salad and risotto but not too bad. I wasn't in the mood for a huge entree and wanted a smaller portion for dinner as I had a late lunch. It was quite tasty and I would definitely order it again. It was a tad too creamy for my taste (I'm lactose intolerant yet still consume a lot of dairy, don't ask) but nonetheless was very good. My friends had the filet mignon (which was cooked perfectly) and the chicken (which she loved).

+ I was impressed with how on point the experience was from start to finish despite it being a brand new restaurant.

I definitely will throw this restaurant into my rotation!",False,5,2,3,Melanie A.,en
475,2015-05-26 06:12:25+00:00,5,"Beautiful and classy restaurant with immaculate dishes.

Cote de boeuf - a delicious bone-in ribeye cut with fatty, marbled, and bone-in sections. Bone marrow jus was the perfect complement to this steak, without overpowering the natural flavors at all. Grilled garlic was a great touch. Tip: pair with the Grenache red for an awesome experience. 

Colorado lamb - cooked to perfection, ideal tenderness. So tasty on its own and even better with the innovative combination of condiments and vegetables on the plate - eggplant, yoghurt, curried onions, perhaps cucumber and a rich sauce?

King Salmon - the salmon was also cooked perfectly. Crispy skin and firm exterior with a ""medium rare"" interior than almost melted in your mouth. I don't like peas much. But the black garlic purée was a great addition.

Roasted sea scallops - one heck of an appetizer. There were so many good ideas in this dish and it all came together in a blaze of gastronomic delight. 

Lobster salad - I don't know how but the apple slices complemented the light, fresh taste of the lobster excellently. Not the typical heavy butter taste.

Steak tartare - tasty. Their thin bread crisp puts a spin on the traditional toast.

The restaurant has a classy, dark wood interior and boasts a pool room next door to boot. Great for brushing up on your pool skills whilst waiting for apps.",False,0,0,1,Joseph O.,en
474,2015-05-28 04:32:29+00:00,2,"In all fairness, this place is just getting it's legs so I'll try and go easy.

The staff is very nice. Was hour wait so we grabbed a drink in the bar. Only one drink as the bartender takes about 20 min. per concoction, but the waitress was very nice and exchanged the adventurous ""pollos hermanos"" drink I tried and didn't like at all.

Personally, the appetizers were my favorite. Although they took an eternity, as did the mains, the lobster salad was great and the tuna tataki was even better. I would suggest they add a little ponzu or similar to the lobster salad, as we were dipping it in the tuna sauce and not the mayo it came with.

Again, took about an hour for our entrees to arrive and the place wasn't that crowded around 930. We were fine waiting but man they better get that time cut in half!

I ordered the salmon rare and it came out medium/well. A very nice piece but I was not impressed at all with the ""parsely chowder."" I'm not a fan of mint flavors in my food and this had a hint of mint so it was a bit of a downer. A mustard or champagne sauce would be much better.

The lamb was cooked great but again I was not impressed by the sauce. 

Call me crazy, but I like what I like and this place - at least for now - misses the mark with those two dishes and the really long waits. However, the grapefruit sorbet is to die for and the waiter brought out all 6 flavors for us to try due to the long wait time so that was nice. the combo chocolate and vanilla are awesome, too.",False,2,0,0,David F.,en
473,2015-05-28 06:17:36+00:00,3,"Came here four days into the opening of this restaurant, my friend knew about it but due to low advertising, I hadn't heard of it. I really liked the vibe, the photos on the wall and the dim lite. Standouts would be the service and steak tartare with bone marrow. Oysters come out looking nice but they werent extraordinary, scallop crudo was a bit fishy to me. Nice touch is a tin box at the end that reminds you of Grandmas house and is filled with various goodies. Bravo-lebritisa and celebs were there during my time. I would love to come back for the tartare and sit at the bar.",False,0,0,0,Taylor P.,en
472,2015-05-30 21:33:58+00:00,5,"Wow Wow Wow!!!! 

I love Edition hotels, I have been to them in Istanbul and Miami, I have to say this is by far my favorite one!  The lounge downstairs has a cozy fire and the bar is just perfect. Ok, enough with the hotel...it's all about Clocktower for this review

We walked up the circular staircase to the restaurant and  the moment I saw it, I was in love. I really appreciate how they divide the dining rooms, this means less noise and more intimacy. There is also a bar to the side, which looks like great date spot!

The food was simply amazing, I had the white asparagus as an appetizer and only let my boyfriend have 1 bite.....I'm selfish when it is that good : )

My entree was the lamb and it was cooked to perfection. My boyfriend had the filet  mignon and he was very silent while eating....which means he loved it.

Wine list is grand and eclectic. 2 thumbs up

My only complaint is do not come here if you are very tired, the dark lighting and dark wood design/smell may make you drowsy. Maybe i'm totally off on this remark, but i did find myself yawing a few times, an espresso fixed that though!

I highly recommend eat, drink and enjoy!",False,2,0,0,Julia G.,en
471,2015-06-05 11:03:41+00:00,5,A great new restaurant in the city. The scene is definitely hot and loud. The decor clubby with interesting retro photographs. Service is attentive but not intrusive. The scallops were perfectly cooked and tasty. Cornish fish stew was like a deconstructed bouillabaisse featuring tasty bits from the sea. The portion could have been a little bigger. The pistachio soufflé with chocolate sorbet was amazing. Light with a nutty fragrant finish and then rich chocolate to balance it off. Overall outstanding.,False,0,0,0,Lawrence C.,en
470,2015-06-07 19:14:15+00:00,4,"This beautifully decorated restaurant was a delicious brunch experience. Aside from a miscommunication with the server which I didn't deduct stars since they remedied it appropriately but removing an item off the bill, we had a nice dining experience. 

The bread which isn't served for brunch is delicious. Served pipping hot, it has a hint of sweetness to it. The butter served on a wooden hair pick is velvety smooth. The steak tartare is very flavorful. They take a bone marrow and scrape it right on top of the steak tartare. Yum!

The burger is very good. We ordered it medium rare. The condiments of thinly slicked pickle, lettuce, red onion and their sauce stayed well in place surprisingly so it wasn't a sloppy meal. The king crab sandwich is buttery good with a creamy bisque like spread. The fried are amazing; perfectly crisp and thick. 

They end your meal with complementary dessert consisting of marshmallow, butter cookie, chocolate peanut toffee and caramels- all homemade!",False,0,0,0,Donna V.,en
469,2015-06-09 20:45:17+00:00,3,"I will make this scientific :)

Ambiance=9 (very chic)
Sommelier= 1 (failed to answer questions about the vineyard or region multiple times, we opted for cheaper wine for spite)
Apptz= 7 (had the scallops)
Main = 9 (the King Salmon was excellent)
Dessert=3 (the Souffle was a disaster and the Tartine was basic)
Service=7 (basic and nice, but again nothing that merits any exceptional service)

I am waiting a year before I decide if its worth reconsideration",False,1,1,0,V C.,en
