month,num_neg,num_neu,num_pos
2016-08,0,0,9
2016-09,15,1,40
2016-10,6,0,47
2016-11,10,0,56
2016-12,9,0,64
2017-01,14,0,42
2017-02,13,1,51
2017-03,11,0,46
2017-04,7,0,32
2017-05,4,2,41
2017-06,4,1,26
2017-07,5,0,42
2017-08,7,1,43
2017-09,3,0,41
2017-10,4,0,42
2017-11,7,1,44
2017-12,8,2,59
2018-01,7,0,41
2018-02,9,0,27
2018-03,8,1,56
2018-04,9,1,50
2018-05,8,0,39
2018-06,6,0,37
2018-07,7,0,33
2018-08,3,1,29
2018-09,5,0,13
2018-10,9,1,18
2018-11,7,0,32
2018-12,13,0,34
2019-01,10,0,28
2019-02,8,0,22
2019-03,7,0,20
2019-04,6,0,17
2019-05,12,0,20
2019-06,9,1,21
2019-07,6,1,12
2019-08,9,0,20
2019-09,6,0,28
2019-10,11,0,25
2019-11,8,0,21
2019-12,7,0,24
2020-01,4,1,15
2020-02,8,0,16
2020-03,1,0,5
2020-04,1,0,5
2020-05,2,0,2
2020-06,0,0,2
2020-07,1,0,1
2020-08,1,0,2
2020-09,1,0,3
2020-10,4,0,4
2020-11,0,0,13
2020-12,2,0,5
2021-01,2,0,10
2021-02,3,0,11
2021-03,1,0,7
2021-04,3,0,6
2021-05,3,0,9
2021-06,1,0,17
2021-07,9,1,13
2021-08,6,0,22
2021-09,3,1,17
2021-10,8,0,14
2021-11,2,0,8
2021-12,4,0,13
2022-01,4,0,18
2022-02,3,0,9
2022-03,2,0,7
2022-04,4,0,10
2022-05,3,0,14
2022-06,2,0,10
2022-07,3,0,10
2022-08,5,0,14
2022-09,3,0,7
2022-10,4,0,13
2022-11,2,0,15
2022-12,4,0,17
2023-01,2,0,10
2023-02,5,0,8
2023-03,0,0,9
2023-04,3,0,4
2023-05,4,0,7
2023-06,2,0,10
2023-07,3,0,8
2023-08,0,0,8
2023-09,2,0,6
2023-10,1,0,6
2023-11,1,0,16
2023-12,2,0,4
2024-01,2,1,3
2024-02,2,0,7
2024-03,1,0,6
2024-04,1,0,8
2024-06,0,0,3
2024-07,1,0,0
2024-08,0,0,2
2024-09,0,0,3
2024-10,0,0,4
2024-11,0,0,6
2024-12,0,0,5
2025-02,0,0,1
