,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
2376,2016-08-28 14:59:13+00:00,5,"Was able to try this place out during their soft opening and I had a great experience from the get go! Has a well thought out design to the space and has quite a good amount of seats, whether its at the bar or tables with groups (I would limit the groups to 4-6 max). Front and back of the house were totally putting out their best effort.

I got to try one of their cocktails at the bar, The Orient, which is a gin based drink and it was pretty tasty! They have a pretty good list of cocktails and also Hitachino Beer on DRAFT! If you have any know how of more craft Japanese beer, they're usually quite hard to find and usually in bottles. So its super dope to find draft here! =]

Sat down with a couple of my buddies and the waitress walked through every aspect of the menu, answering any questions we had. We ended up getting a few appetizers and noodles to share. For starters we got the grilled duck breast, spicy tuna cones, eel and tamago roll, and the tatsuta FRIED CHICKEN! The chicken was really awesome. Super tender and juicy inside and the accompanying purple sauce was so so good! 

For our main course we had the sizzling sukiyaki udon, salmon chirashi bowl, a deluxe curry udon, and the cold mentai caviar udon. Loved the presentation and the choice of dishes they use. They made the dishes look amazing and pop out at you! So you get to eat with your eyes first, then your mouth. 

The mentai I didn't think I would like but the roe isn't overpowering and the dish is overall very balanced. If you can, try it with the thinner noodles it'll taste better. The sizzling sukiyaki was pretty dope, its sweet and salty and hearty and all awesome. The curry was really good actually and noodles were extra silky with the curry sauce on it. Plus the katsu and tempura shrimps were light and tasty and disappeared very fast haha. I'm not a fan of salmon so I can't comment but I thought the rice was top notch! Soft and a hint of sweetness from the vinegar. So if you're hesitant of ordering a rice dish, don't be! It'll probably taste like heaven. 

We closed off with a sorbet medley of mango, lychee, and lemon. All 3 were very refreshing, awesome, and complimentary to one another. They had ran out of the chocolate cake, which goes to show how popular it was. Not to mention some of the staff had it as their personal favorite. 

Loved my time here! Would totally come back when they officially open. My dining experience was great and its a good change from the more street, izakaya style. Also unlike other more fine Japanese restaurants it won't cost you everything you own. Its priced quite fairly for the experience and the quality of the food. I really hope they do well!",False,3,0,1,Arthur L.,en,"{'neg': 0.045, 'neu': 0.734, 'pos': 0.221, 'compound': 0.9987}",0.9987,0.221,0.045,0.734,positive
2375,2016-08-28 23:39:31+00:00,4,"Soft opening in the old Union Square Cafe spot. 
Officially open tomorrow for dinner.

Very extensive menu (many appetizers, including sashimi & rolls, and many varieties of udon, don, and cold noodles).
Most of the items reasonably priced.

Favorite appetizers:  Tatsuta fried chicken, ribeye steak, and the spicy tuna tartare cones. Try to order as many appetizers here. Most impressed with the appetizers.

Udons (nice break from all the salty, greasy ramens popular in the city these days): 
Curry deluxe udon - in a nice curry broth, but the stars were the donkatsu & shrimp tempura on top. 
Tsurutontan deluxe udon- really enjoyed the broth in this one. Nice touch of sweetness from the aburaage (fried tofu skin). Comes w/ excellent shrimp & vegetable tempura.
The noodle is not the nice, chewy texture like Raku's though, which I prefer more; More on the soft side here.

Many thanks to Chris for the excellent service.

: 8 calendars",False,5,1,2,Go Bruins 1.,en,"{'neg': 0.042, 'neu': 0.697, 'pos': 0.261, 'compound': 0.992}",0.992,0.261,0.042,0.697,positive
2374,2016-08-29 00:28:38+00:00,5,"What the 3 previous reviews said - like I'll have what they're having!!
YES
I look forward to working my way down the menu.
I like the thick udon noodles they offer and the broth is just right.
I had the tuna waffle cones- beautifully presented .
 Spices and  herbs were perfect. Somehow I had been thinking tuna as sashimi but this was totally rad.
The staff is very professional,gracious, and thorough.
The decor is exceptional .
Welcome to the Nabe .",False,0,0,0,Gail F.,en,"{'neg': 0.0, 'neu': 0.817, 'pos': 0.183, 'compound': 0.9186}",0.9186,0.183,0.0,0.817,positive
2373,2016-08-29 23:22:52+00:00,5,"The food is great, service is great.


Being it is their grand opening , it is a bit overwhelming for both the floor and kitchen staffs. But they are able to keep the services level well. 

Their Asian infusion cocktail are good but a bit too Asian favorite. It is a bit of trying to be Asian too much and leaving out the idea of a good cocktail, I would say if the cocktail menu have one or two drinks that's more classic or less citrusy (Asian influence) it might be better, every drinks have a bit of fruit of citrus in it.

After waiting for an hour, finally got a seat, the hour was well spent at the bar, trying their cocktail and get to know the bartenders (Frankie and Andrew) they are awesome. 

Food come out fairly fast and the presentation is total at par with the price. 

I got the uni appetizer, they didn't provide the soy sauce or salt but it come with sweet soy jelly with help bring out the uni sweetness a very nice touch. 

The wagyu sushi is simple and melt in your mouse, serve with truffle salt, which I do use it on the uni to bring out the sweetness a bit more.

And I tried their mentaiko udon and it is totally awesome, first you can't really find anywhere in NYC that serve mentaiko and second they did it right , it isn't too salty and too fishy. Well a balance.",False,2,0,0,Anthony T.,en,"{'neg': 0.01, 'neu': 0.754, 'pos': 0.236, 'compound': 0.9967}",0.9967,0.236,0.01,0.754,positive
2372,2016-08-30 01:47:01+00:00,4,"Visited during grand opening day! The average wait time is around 90 mins(they told us), but we didn't get to our seat until 2 hours later. The staff was very polite and nice to greet us, but they can do much better in their seating assignment. 

The appetizer was very okay, we have spicy tuna cone, like typical spicy tuna with avocado wrapped with crispy wonton skin ($12, I think was little over price, should be $8-$10 range), definitely a mediocre appetizer. Crispy fried chicken was also very okay, only 6 pieces ($11) dollar, chicken was very juicy and tender, but again, didn't surprise me. 

Now, comes to the main character of the night, Udon! That's what they famous about! I gotta said udon was meet my expectation, definitely the best udon that I had so far in NYC area. We had tempura Deluxe, curry deluxe , and creme deluxe. They all tasted so good! The broth was amazingly delicious! That will become the only reason than I want to come back to try another one! The bowl looks gigantic, but the portion was very normal size!

Dessert! The worst part on the menu, only three choice, we got water cake, very simple, nothing special. 

Overall, it was a good Japanese udon speciality restaurant, but defiantly not worth 2 hours of waiting( luckily they do accept reservation request after their grand opening date, so call ahead to book your table). It was little pricy, I think the reasonable price for a bowl of udon is around $15.",False,2,0,1,Enci C.,en,"{'neg': 0.123, 'neu': 0.596, 'pos': 0.281, 'compound': 0.9964}",0.9964,0.281,0.123,0.596,positive
2371,2016-08-30 17:52:38+00:00,5,"I was here on 8/29 at the grand opening. Doors opened at 5 pm. I got there at 5:30 to put my name and number down. The wait was about a 30-45 min wait. That wasn't too bad. My friend and I got a drink at the bar while we wait for our table. He got a Sapporo draft and I got a ginger beer. Staff was attentive and polite. We got to sit down at our table and looked at the menu. There were so many choices for appetizers and udon dishes. I had a hard time deciding because everything sounds amazing and delicious.

For appetizers, we got the tatsuta fried chicken and smashing cucumber salad. For udon, I settled on the curry beef and my friend picked the recommended, Tsurutontan deluxe. 

The fried chicken isn't fried fried. It was very juicy and tender. The tartar sauce gives the chicken more flavor but I felt like I could eat the chicken without the sauce. The smashing cucumber salad is pretty much sliced cucumbers with sesame sauce. We really like this appetizer because it was light and refreshing. This appetizer is perfect on a hot day.

The udon comes in a giant bowl. At first I was a little intimated because I was halfway full from the two appetizers. But once you peek inside the bowl, it's really not a lot. There's not a whole lot of noodles but it was just the right amount for me considering I was halfway full. I opt for the thick noodles. I like smaller noodles for ramen. There are bits of beef cubes and the curry soup was thick. Their curry is the sweet kind. My friend tried my curry soup and he said it tastes like the curry from go go curry. I was able to finish my curry udon and my friend also finished his tsurutontan deluxe. He would have preferred more udon noodles. Our server, who was knowledgeable, mentioned that more noodles could be added to the bowl, free of charge. So if you are someone who wants more noodles, you can request! 

We were so full that we didn't have room for dessert. We will definitely come back to try other appetizers and udon dishes. I'm definitely bringing my friends here! I love noodles especially noodles in soup. I love ramen, udon soup and soba in soup. the broth is what makes the dish! 

Also, you can always order a bunch of appetizers and share the udon dish instead of getting your own.",False,2,1,1,Angie Y.,en,"{'neg': 0.017, 'neu': 0.771, 'pos': 0.212, 'compound': 0.9983}",0.9983,0.212,0.017,0.771,positive
2370,2016-08-31 04:55:29+00:00,5,"I went here on opening day and waited a bit more than two hours to be seated, granted it was opening night. The staff were so apologetic and provided exceptional service. Our server Kristen was really nice and gave great recommendations. She knew what she was talking about instead of ""everything here is good"". 

My sister and I got the spicy tuna cone which was so good. There is a avocado on the inside, which neither of knew about so that was a nice surprise. This is great for sharing. 

I ordered the sukiyaki udon, which was really good. It was on the sweet side, as sukiyaki is. Nothing overwhelming. Sukiyaki is a sweet soy flavor, more sweet and umami than salty. Order the thick noodles with hot dishes! :) 

My sister ordered the TsuruTonTan Deluxe, which she really enjoyed. The tofu kitsune was a bit overwhelming in sweetness but I hear that they will be changing the dish a bit to accommodate to US tastes. The dish was dashi based. 

Overall, the place is great. Service is great. The environment is professional and clean, and great lighting for photos! :)",False,1,0,0,Yesenia Y.,en,"{'neg': 0.013, 'neu': 0.704, 'pos': 0.282, 'compound': 0.9952}",0.9952,0.282,0.013,0.704,positive
2369,2016-08-31 14:23:19+00:00,5,"Everything was absolutely amazing! For appetizers, we had the spicy tuna cone, duck breast and fried chicken with tartar sauce. I think the duck breast was my favorite! So flavorful, especially when you dip it in the wasabi. 

For the udon, I had the clay pot one under the ever-popular section. The udon was definitely the highlight of the dish. Bouncy; cooked perfectly. 
 
The food, the service and the decor.. Amazing!!!",False,2,2,2,Crystal C.,en,"{'neg': 0.0, 'neu': 0.699, 'pos': 0.301, 'compound': 0.9811}",0.9811,0.301,0.0,0.699,positive
2368,2016-08-31 21:00:07+00:00,3,"Great drinks , I tried Tokyo mule and lychee drink . Both of them was really good .
We ordered sukiyaki udon and cream mentaiko udon (cold) and it was just ok. 
I expected more.
I also tried supicy tuna appetizer which was more like Latin than Japanese .
They are famous in Tokyo and I'm Japanese but quality of main food udon wasn't anything special .
Bar also didn't have any chairs so I waited for my friend for hour just standing around ...
Staff were very friendly and service was great . Clean bathroom .
Also if you leave food , you can't take it home as they don't have take home containers.",False,4,2,2,Rurina k.,en,"{'neg': 0.056, 'neu': 0.726, 'pos': 0.218, 'compound': 0.9743}",0.9743,0.218,0.056,0.726,positive
2367,2016-09-01 03:33:21+00:00,4,"Delicious ramen! Great selection! Chic decor, spacious area and nice food. Finally there is a potential alternative to my all time favorite Ootoya, still need to come back and check the consistency though.

The beef buns are filled with sukiyaki beef, which is less oily than a pork bun. The flavor is still nice and the meat is juicy.

Thick Udon noodles was great! Got the one with tempura shrimp and veggies. There was a gigantic piece of fried tofu on top of the noodles and they placed the tempura on top of the tofu. This way the tempura was still crispy when served! Very thoughtful. The noodle toppings also include eggs and beef. 

My friends got curry deluxe which was also great! 

Wanna come back and try more things on the menu.",False,2,1,1,Sherry Z.,en,"{'neg': 0.0, 'neu': 0.681, 'pos': 0.319, 'compound': 0.995}",0.995,0.319,0.0,0.681,positive
