month,num_neg,num_neu,num_pos
2014-11,0,0,4
2014-12,0,0,8
2015-01,0,0,5
2015-02,0,0,1
2015-03,2,0,8
2015-04,2,0,6
2015-05,3,0,7
2015-06,1,0,9
2015-07,1,0,4
2015-08,2,0,4
2015-09,2,0,1
2015-10,3,0,3
2015-11,1,0,2
2015-12,1,0,2
2016-01,1,0,3
2016-02,3,0,9
2016-03,1,0,5
2016-04,2,1,4
2016-05,1,0,4
2016-06,2,0,3
2016-07,0,0,3
2016-08,1,0,1
2016-09,1,0,2
2016-10,0,0,3
2016-11,0,0,4
2016-12,0,0,3
2017-01,3,0,3
2017-02,0,0,5
2017-03,1,0,6
2017-04,2,0,5
2017-05,1,0,2
2017-06,3,0,6
2017-07,2,0,7
2017-08,0,0,4
2017-09,3,0,6
2017-10,3,0,7
2017-11,0,0,4
2017-12,1,0,5
2018-01,1,0,6
2018-02,1,0,4
2018-03,1,0,2
2018-04,1,0,7
2018-05,0,0,4
2018-06,0,0,4
2018-07,3,0,13
2018-08,0,1,5
2018-09,2,1,5
2018-10,1,0,5
2018-11,1,0,5
2018-12,1,1,6
2019-01,4,0,14
2019-02,4,0,6
2019-03,1,0,17
2019-04,1,0,9
2019-05,7,0,11
2019-06,7,0,16
2019-07,4,0,10
2019-08,4,0,16
2019-09,2,0,21
2019-10,4,0,12
2019-11,6,0,13
2019-12,1,0,8
2020-01,3,0,16
2020-02,2,1,8
2020-03,2,0,3
2020-04,0,0,1
2020-05,0,0,1
2020-07,4,1,1
2020-08,0,0,5
2020-09,4,0,1
2020-10,3,0,5
2020-11,4,0,10
2020-12,1,0,2
2021-01,2,0,5
2021-02,2,0,1
2021-03,4,0,3
2021-04,4,0,6
2021-05,5,1,4
2021-06,2,0,8
2021-07,5,0,7
2021-08,4,0,9
2021-09,4,0,9
2021-10,6,0,11
2021-11,2,0,8
2021-12,3,1,6
2022-01,1,0,7
2022-02,1,0,4
2022-03,1,0,3
2022-04,2,0,3
2022-05,4,0,7
2022-06,0,0,8
2022-07,5,0,6
2022-08,3,0,11
2022-09,1,0,5
2022-10,0,0,11
2022-11,4,0,7
2022-12,1,0,10
2023-01,1,0,12
2023-02,3,1,11
2023-03,5,0,8
2023-04,4,0,7
2023-05,2,0,10
2023-06,6,0,10
2023-07,4,0,15
2023-08,1,0,13
2023-09,4,0,11
2023-10,4,0,6
2023-11,1,1,11
2023-12,2,0,11
2024-01,2,0,10
2024-02,5,0,13
2024-03,5,0,3
2024-04,7,0,8
2024-05,5,1,8
2024-06,3,0,8
2024-07,2,0,6
2024-08,2,0,8
2024-09,3,1,3
2024-10,1,0,7
2024-11,2,0,14
2024-12,3,0,8
2025-01,1,0,5
2025-02,2,0,11
2025-03,2,0,4
