,date,rating,review_text,is_elite,useful_count,funny_count,cool_count,user_name,language,sentiment_scores,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment
1128,2014-11-20 14:58:41+00:00,2,"I am terribly disappointed. After waiting months for this to open, walking by every night and peering in the window I was extremely excited to finally eat here. I am a huge fan of Buvette and I Sodi so I was so upset when I was not impressed by anything served. Granted this was their soft opening but they have a lot of work to do service and food wise. 
The meal began with our waiter unable to give us recommendations or his thoughts on what he his favorites were on the menu. Then once we told him our order he made us point it out on the menu so he could copy it down because he admittedly could not pronounce anything on the menu. We were there for 2.5 hours... way too long for ordering primarily vegetable dishes. The tables are so close that you are constantly shoved by a waiter or guest walking by.
Once we did get our food it was all so oily. The charcuterie was the only thing we could finish and even that was served on a dish that must have just been washed because it was sitting in a puddle of water. 
The cauliflower dish tasted like fish and the sea bream (which is the only dish with potential) was topped with a beautiful potato crust but it was so oily we only had a bite each.
One of our dishes was missing so we pointed it out on the menu again and he brought us the wrong dish. 
We had also told our waiter it was our friends birthday and to please bring a slice of cake at the end. He asked us at the end of the meal if we wanted dessert, which is the opposite of what you do when you are told ahead of time to make it a surprise, and when my friend responded no thank you. He just brought us the check instead of a cake and some chestnuts that weren't even hot... At that point we didn't even care because we had been there for over 2.5 hours for a meal that should have taken an hour less.

The decor is lovely and great italian wine selection but I was not impressed with any of the dishes that came out. Rosemary's on Greenwich has a similar menu so if I was going to even go back for wine and charcuterie, I would probably just go there.",False,5,0,0,Ashley O.,en,"{'neg': 0.074, 'neu': 0.812, 'pos': 0.114, 'compound': 0.9601}",0.9601,0.114,0.074,0.812,positive
1127,2014-11-24 03:36:18+00:00,4,"While it's early days, I was really impressed with how much Via Carota already gets right, and the food we had was terrific--continental comfort food with superb ingredients and refined preparation. 

I can't say whether it was an off night or if perhaps there were just growing pains that prompted one of the reviewers here to say that the food was ""oily,"" but that certainly wasn't the case when we were there. We had the foie gras crostini and endive salad to start, with the svizzerina (the ""burger without the bun,"" though that doesn't do it justice) and the fried rabbit for entrees.  The foie gras was quite nice, and the endive salad was nicely balanced with the right amount of dressing and a mix of gorgonzola, walnuts and pears with the greens.  The svizzerina was fantastic and the fried rabbit with garlic and rosemary was cooked to perfection--beautifully tender and flavorful with a minimum of grease, the best rabbit I've had in ages. 

Our service was great--non-intrusive but warm and informative.  And, surprisingly, the sidecar I had was one of the better ones I've had anywhere--I didn't even have to ask them to hold the sugar on the rim, and it was more nuanced than I expected.

The lighting may need a little calibration and there may be a rough edge or two, but, again, it's early days for this place.  We wouldn't expect everything to be absolutely perfect yet, even if it's *almost* there.  Our overall feeling is that we will be back, and often.",False,1,0,0,Amir N.,en,"{'neg': 0.03, 'neu': 0.771, 'pos': 0.2, 'compound': 0.9946}",0.9946,0.2,0.03,0.771,positive
1126,2014-11-24 03:48:18+00:00,5,"People love Buvette, so I knew this new spot from the same team just a few doors away would be packed a few days after opening.

We showed up for the early bird special at about 5:30, and were turned away with the info that they would be open in ""a half hour or so"". I didn't know because they don't answer their phone and there's no info on social media or their website yet, so we were stuck waiting around. No problem though, just go to Big Gay Ice Cream a few steps away and get some ice cream as a dinner appetizer.

We returned right around 6, and the place was already filling up. By the time our meal was done, the fairly large space was completely full, with the crowd of mostly miserable old people couples and very West Village-y younger couples all on top of each other in the closely packed tables. It fits in perfectly with a very West Village atmosphere.

The menu is pretty large, but we got a good sampling of most of the sections, with stuff ranging from just ok to amazing:

- Choice of 3 Salumi, Formaggi or Crostini for ($20)
For these, we chose the Fegatin' di Pollo ($7) from the Crostini section and the Mangalista Lardo ($8) and Cacciatorini di Cinghiale ($8) from the Salumi section. The best was definitely the Mangalista, which actually should have been in the Crostini section, as it consisted of honey and walnuts on the excellent crusty bread. We asked for some additional bread to go with the Salumi option, which wasn't nearly as good as the bread used for the crostini.

- Lasagna Povera ($16)
This was one of the more disappointing items, as it was surprisingly quite bland. It also looked like it could have been cooked more, as the cheese scattered on top was completely unmelted. Some meat probably would have helped things instead of the winter vegetables inside.

- Cavolo Nero ($10)
From the veggies section, this is of course the best course, as the description reads ""black kale & pork sausage"". The little chopped up pieces of kale are in practically the same proportion to the crumbled up, delicious pieces of sausage. If you want a good vegetable side dish, but one that is by no means healthy, this is a great choice.

- Via Carota Svizzerina ($17)
This one's getting some hype on the food blogs, being described as an amazingly good, bunless burger. In terms of the meat, it was indeed incredibly good. Cooked very rare, and seasoned very well, this sizable patty served pretty much alone on the plate except for some garlic on top, is as excellent as it is simple. Make sure you try this one.

- Coniglio Fritto ($17)
Even better than that chopped steak actually, this fried rabbit was one of the best entrees I've had all year. It consists of 3 sizable pieces of rabbit and a crusty piece of delicious bread. Unlike most rabbit dishes I've had, instead of small, boney pieces with little to no meat, these pieces were really meaty, juicy and satisfying. The skin had a salty seasoning that made it so addictive. Make sure you get this one too.

- Cioccolata ($8)
This was an excellent, though fairly standard slice of flourless chocolate cake, served with a little dollop of whipped cream. It was quite good, and a nice choice to end the meal.

- Semifreddo ($8)
This one was much better than the cake, and a better choice if you are going to pick just one dessert. Topped with hazelnuts, the cool hazelnut semifreddo was also presented impressively overflowing out of the glass it was served in, with a long spoon sticking out for digging to the bottom. Another rich dessert to go with the flourless chocolate cake, this was also very sweet and delicious.

Some of the dishes weren't the best, like the lasagna, and service deteriorated quickly as the high maintenance dining room filled up, but the chopped steak and the rabbit were so good I see no choice but to give a 5 star rating,",True,29,7,17,Mike C.,en,"{'neg': 0.07, 'neu': 0.702, 'pos': 0.228, 'compound': 0.9993}",0.9993,0.228,0.07,0.702,positive
1125,2014-11-30 04:36:25+00:00,5,"We follow new openings and talented chefs.  This place just opened and we worried about getting a spot but the staff is incredible, worked us right in and the food is outstanding.  We sampled quite a few things and loved everything.  Highly recommend.",False,0,0,0,Brad B.,en,"{'neg': 0.029, 'neu': 0.663, 'pos': 0.307, 'compound': 0.9523}",0.9523,0.307,0.029,0.663,positive
1124,2014-12-03 18:51:05+00:00,4,"As big fan of Buvette I was more than happy to see it coming back here too in the decor and the presentation of food.

Food was really tasty, great quality and authentic flavors. 
Service was even better: kind, attentive, acknowledged and entertaining. Molly was so sweet and even ran after us with the credit card I had forgot on the table.",False,0,0,0,Giulia P.,en,"{'neg': 0.0, 'neu': 0.573, 'pos': 0.427, 'compound': 0.99}",0.99,0.427,0.0,0.573,positive
1123,2014-12-07 09:58:10+00:00,4,"Hot, new rustic Italian in the West Village by Jody Williams and Rita Sodi. If you are a fan of Buvette and/or I Sodi, you shall not miss out. 

Came here on a Tuesday night around 8pm without reservation. Bar was almost full while there were two tables for two available. Dim light, nice vibe. I opted for the bar. I was greeted warmly and handed the menu promptly. Wine list is short and sweet. Can't recall the name of the previous restaurant in this space- the layout was unchanged. 

Onto the food. Menu offers lots options, all are small-medium plates. Perfect for sharing. Between me and my friend, we had:

- Cavolo Nero: black kale & pork sausage. It was OK but the chopped sausage tasted  pretty dry :/ prob better with sliced sausage or crispy bacon?

- Baccala Fritto: fried salted cod and potato balls. Yumm! I usually don't like fried stuffs, but this is good. Topped with whipped garlic cheese~ 

- Polipo: grilled octopus and green olive pesto. You bet, this is my fav! The tentacle was perfectly charred. Great texture, not chewy at all; meaty and scrumptious. Will come back just for this one.

Over the dinner, we got couple drinks, from wine to whiskey sour to grappa and amaro (an Italian aperitif). All good. Not the best I have had nor there is anything to complain about. 

I will def come back and try more item on the menu. If you come in any day on/after wed with 2 or more, make your resy.",False,5,0,2,Nomad M.,en,"{'neg': 0.072, 'neu': 0.704, 'pos': 0.224, 'compound': 0.9934}",0.9934,0.224,0.072,0.704,positive
1122,2014-12-09 14:58:05+00:00,5,"Came here with my gf after seeing a movie.  Couldn't make reservations as the restaurant is too new and still getting everything up and running.  That didn't matter as the waitstaff was welcoming and got us drinks and a seat within a few minutes.

We shared a few dishes.  The pumpkin ravioli was really fresh and the pumpkin was very sweet.  We had a fish dish with a nice light sauce that blended well along with the leek dish we had.  The dessert we had was a chocolate budding whose flavors were layered from light to heavier chocolate which was divine.

Overall, this new space from Rita Sodi and Jody Williams hits certain notes which are not currently available in the village and does so quite well.  The service was a little confusing at first (no host) but impeccable.  We were made to feel special and were given great suggestions on what dishes go well together.  This is a great new spot and a great place for a date night.",False,2,0,0,Paul H.,en,"{'neg': 0.013, 'neu': 0.766, 'pos': 0.221, 'compound': 0.9898}",0.9898,0.221,0.013,0.766,positive
1121,2014-12-11 22:44:40+00:00,5,"We love Buvette and I Sodi! So my husband and I were so excited when Via Carota recently opened. It has quickly become our go to place in our neighborhood. Great food, wide selection, wonderful wine and a good cocktail list. The staff is very friendly. Overall feel is very nice, but has a laid back casual vibe. 

Last Saturday night we decided to invite our friends to join us. The hostess sat us in the private dinning area. It was perfect, delicious food and even a visit from owner Jody Williams! 

Thank you for bringing us a great place to meet friends in the West Village!",False,0,0,0,Kathleen L.,en,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.9954}",0.9954,0.398,0.0,0.602,positive
1120,2014-12-14 02:59:25+00:00,5,"Felt compelled, and still in the restaurant. Pleasant staff, and delicious food. The I sodi, buvette, carota group kills it.  Polenta and burger thing are out of control.  Coming back soon.",False,0,0,0,Jason S.,en,"{'neg': 0.084, 'neu': 0.624, 'pos': 0.293, 'compound': 0.8658}",0.8658,0.293,0.084,0.624,positive
1119,2014-12-15 17:27:02+00:00,5,"Amazing! Was really excited to go here for my boyfriend's birthday. I tried for a week to call to no avail, so we showed up around 6:30 on a Sunday night and were luckily seated right away (right near Mario Batali). The space is much larger than Buvette, so it's a little less intimate. Nice bar area, but we skipped the wine and went straight for the food. Mostly everything was so declicious! Our service got a little screwy in the beginning and the wrong things came out, but they corrected it. Unfortunately my bf had to eat his pasta first, but he said it was great and wasn't worried about it! 

Crostini with Stracciatella (I think!) and tomatoes--incredible. the cheese was so good and melted a bit. the tomatoes were a little oily, but i would eat it again and again!
Salt Cod Fritters - so great. obviously salty, but that's to be assumed. the mayo it comes with was a lot on the plate, but it was very tasty
Cabbage with Farro and Pecorino--Delicious, fresh and light
Cauliflower Gratin - Creamy deliciousness
Papperadelle with Wild Boar - My bf ate this and said it was really, really good
Gnocchi with Gorgonzola - I always order gnocchi if it's on the menu. This version was good, but I've had better in the city and prefer Malatesta's. I'd skip this next time and try more veggies!

No dessert menu, but our server listed a few and my boyfriend picked the chocolate pudding. I didn't have any, but he said it was great. They also give you a few cookies and I tasted the chocolate with hazelnuts which was very tasty!

All in all $88 before tax and tip--Not bad at all. Can't wait to come back.",False,1,0,1,hannah s.,en,"{'neg': 0.08, 'neu': 0.687, 'pos': 0.233, 'compound': 0.996}",0.996,0.233,0.08,0.687,positive
