month,num_neg,num_neu,num_pos
2017-02,0,0,2
2017-03,0,0,3
2017-04,1,0,7
2017-05,1,0,16
2017-06,1,0,15
2017-07,3,1,17
2017-08,2,0,10
2017-09,5,0,11
2017-10,5,0,14
2017-11,5,0,16
2017-12,3,0,8
2018-01,1,0,13
2018-02,3,0,16
2018-03,5,0,16
2018-04,2,0,15
2018-05,4,0,15
2018-06,2,0,9
2018-07,6,0,11
2018-08,0,0,11
2018-09,4,1,11
2018-10,0,0,11
2018-11,1,1,7
2018-12,0,0,10
2019-01,2,0,13
2019-02,2,0,12
2019-03,3,0,9
2019-04,4,0,16
2019-05,0,0,12
2019-06,0,0,5
2019-07,3,0,11
2019-08,4,0,12
2019-09,2,0,15
2019-10,1,0,14
2019-11,0,0,7
2019-12,2,0,13
2020-01,2,0,11
2020-02,2,0,6
2020-03,0,0,4
2020-06,1,0,1
2020-07,0,0,1
2020-08,1,0,0
2020-09,0,0,1
2020-10,1,0,4
2020-11,0,0,2
2021-01,0,0,3
2021-02,0,0,1
2021-03,0,0,1
2021-04,1,0,1
2021-05,1,0,4
2021-06,2,0,5
2021-07,0,0,6
2021-08,1,0,5
2021-09,0,0,5
2021-10,0,0,6
2021-11,1,0,5
2021-12,2,0,6
2022-01,0,0,6
2022-02,1,0,3
2022-03,2,0,2
2022-04,0,0,2
2022-05,1,0,3
2022-06,1,0,1
2022-07,2,0,4
2022-08,0,0,3
2022-09,1,0,2
2022-10,1,0,6
2022-11,2,0,5
2022-12,1,0,6
2023-01,0,0,8
2023-02,1,0,3
2023-03,2,0,2
2023-04,1,0,2
2023-05,1,0,1
2023-06,0,0,2
2023-07,2,0,5
2023-08,2,0,1
2023-09,0,0,7
2023-10,1,0,0
2023-11,0,0,1
2023-12,0,0,1
2024-01,0,0,1
2024-02,0,0,2
2024-03,0,0,5
2024-04,1,0,2
2024-05,1,0,4
2024-06,0,0,1
2024-07,1,0,5
2024-08,1,0,4
2024-09,0,0,3
2024-10,0,0,2
2024-11,0,0,2
2024-12,0,0,2
2025-01,0,1,5
2025-02,0,0,2
